name,amenity,latitude,longitude
Technikum nr 4,school,50.2445864,18.9961228
Zespół Szkół Handlowych im. Bolesława Prusa,school,50.2727575,19.0736708
Państwowa Ogólnokszrałcąca Szkoła Muzyczna I st. im. Stanisława Moniuszki,school,50.262416,19.010275
Szkoła Policealna nr 6,school,50.2443403,18.9960159
XVI Liceum Ogólnokształcące,school,50.2444685,18.9960843
Szkoła Policealna Nr 7,school,50.2549316,19.0087904
Technikum Nr 2,school,50.2549247,19.0085483
I Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi,school,50.2495285,19.0221394
Zespół Szkół Ogólnokształcących nr 1 im. Mikołaja Kopernika,school,50.2498109,19.0221813
Szkoła Policealna nr 5,school,50.2122588,18.9755328
Technikum nr 12,school,50.2122882,18.9756298
XVIII Liceum Ogólnokształcące,school,50.2122736,18.9755816
Technikum Uzupełniające nr 10 dla Dorosłych,school,50.2091775,18.973952
Technikum nr 16,school,50.2022105,19.0434663
Technikum nr 18,school,50.2090853,18.9739783
Zasadnicza Szkoła Zawodowa nr 15,school,50.2091314,18.9739652
Technikum Nr 8,school,50.2606763,19.0192266
Technikum nr 14,school,50.2526501,19.0852317
Technikum nr 19,school,50.2524552,19.0851253
Zasadnicza Szkoła Zawodowa,school,50.2522863,19.085025
IX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Henryka Sienkiewicza,school,50.2796345,18.9719834
Szkoła Języków Obcych LinguaCity,school,50.2546483,19.0193462
Zespół Państwowych Szkół Muzycznych im. Wojciecha Kilara w Katowicach,school,50.2833474,18.9685499
Zespół Szkół Plastycznych,school,50.283992,18.9690227
Prywatne Liceum Ogólnokształcące im. Melchiora Wańkowicza,school,50.2585199,18.9703133
Kuźnica,school,50.2685708,19.0469535
Technikum nr 7,school,50.2706849,18.9712123
Branżowa Szkoła I Stopnia nr 5,school,50.2706085,18.9715464
Akademia l'Oreal,school,50.2585072,19.0266953
Branżowa Szkoła I Stopnia nr 16 imienia Janusza Korczaka Specjalna,school,50.2325245,18.9854377
Szkoła Specjalna Przysposabiająca do Pracy,school,50.2319378,18.9857977
I Zespół Ogólnokształcących Szkół Społecznych im. Stanisława Konarskiego,school,50.254629,19.0110144
Budynek II - TEB Edukacja,school,50.2536544,19.040202
Zespół Szkół nr 1 im. gen. J. Ziętka,school,50.26047211484085,19.051743973548746
,school,50.283266773048275,18.969301175640783
Zespół Szkół Ogólnokształcących nr 3,school,50.279628679695655,18.97156313297002
Zespół Szkół Integracyjnych nr 1 im. Roberta Oszka,school,50.27488108133285,18.978622676391673
Zespół Szkół Zawodowych im. Romualda Mielczarskiego,school,50.27463086100891,18.977540666499056
Zespół Szkół Zakonu Pijarów Matki Bożej Królowej Szkół Pobożnych,school,50.1974810461312,18.98240935545809
Zespół Szkół Omega,school,50.27244679102379,18.963720220791085
Zespół Szkół Muzycznych,school,50.26212561958451,19.010172844221337
Pałac Młodzieży im. Aleksandra Kamińskiego,school,50.25448267353571,19.011564997378287
Zespół Szkół Technicznych i Ogólnokształcących nr 2,school,50.244320517656476,18.9954795706349
Nasza Dobra Szkoła,school,50.278793218088715,19.00376726267481
VII Liceum Ogólnokształcące imienia Harcerzy Obrońców Katowic,school,50.22565626161334,18.97121324895138
Zespół Szkół Technicznych i Ogólnokształcących nr 3 im. Edwarda Abramowskiego,school,50.21199528234241,18.97565066093118
