name,amenity,latitude,longitude
Szkoła Podstawowa nr 32 im. Bohaterów Monte Cassino,school,50.2079793,18.9637399
Szkoła Podstawowa Nr 7 Specjalna,school,50.2592924,19.0261789
Szkoła Podstawowa nr 37 im. ks. Jana Twardowskiego,school,50.2503167,19.0234035
Szkoła Podstawowa nr 55,school,50.2631091,19.091479
Niepubliczna specjalna szkoła podstawowa Arka Noego,school,50.2281154,18.9450636
Szkoła Podstawowa nr 33 im. Stanisława Ligonia,school,50.2585299,18.9729697
"Prywatna Szkoła Podstawowa ""Szkoła Jak Dom""",school,50.2589778,18.969812
"Prywatna Szkoła Podstawowa ""Amicus""",school,50.2588787,18.9703044
Szkoła Podstawowa nr 13 im. św. Barbary,school,50.2683093,19.0414517
Szkoła Podstawowa nr 18 im. Karola Miarki,school,50.2740725,18.9977238
Szkoła Podstawowa nr 60 Specjalna,school,50.2797161,18.9718834
Szkoła Podstawowa nr 36 im. Krzysztofa Kamila Baczyńskiego,school,50.27320275387536,19.019419394468446
Szkoła Podstawowa nr 31 im. Henryka Sienkiewicza,school,50.26215429524784,19.05878676888018
Szkoła Podstawowa nr 9 im. Jana Brzechwy,school,50.23053627202058,18.948183362345667
Szkoła Podstawowa nr 59 im. Jana Matejki,school,50.28067521367815,18.967735772633684
Szkoła Podstawowa nr 64 im. Ratowników Górskich,school,50.223366600245,18.958789441237766
Szkoła Podstawowa nr 19 im. Wojciecha Korfantego,school,50.278557280477976,19.007192842937567
Szkoła Podstawowa nr 66 im. Janusza Korczaka,school,50.27440806363154,18.98210414332397
Szkoła Podstawowa nr 29 im. Żwirki i Wigury,school,50.18237327238672,18.997482035072434
Szkoła Podstawowa nr 5 im. Dziewięciu Górników z Wujka,school,50.244827672989004,18.994609511404466
Szkoła Podstawowa nr 34 im. Mikołaja Kopernika,school,50.22455127113839,18.97636245188159
Szkoła Podstawowa nr 35 im. Adeli Korczyńskiej,school,50.22180797164593,18.976594765383474
Szkoła Podstawowa nr 11 im. Tadeusza Kościuszki,school,50.22855005189477,18.990254579018444
Szkoła Podstawowa nr 54,school,50.222780992908085,19.06297732543728
Szkoła Podstawowa nr 51 z Oddziałami Integracyjnymi im. Fryderyka Chopina,school,50.22302763497374,19.07086900551686
Szkoła Podstawowa nr 28 im. Karola Miarki,school,50.20910681140783,18.975534702764495
Szkoła Podstawowa nr 65 im. Gustawa Morcinka,school,50.22944803641412,19.00576605528713
Szkoła Podstawowa nr 53 im. Stefana Żeromskiego,school,50.24756783859,19.09058212179148
Szkoła Podstawowa Nr 67 z Oddziałami Integracyjnymi im. Komisji Edukacji Narodowej,school,50.23426926879983,18.958827195431798
Szkoła Podstawowa nr 8 imienia Stanisława Staszica,school,50.233279058806055,18.977523804854787
Szkoła Podstawowa nr 10 imienia Marii Curie-Skłodowskiej,school,50.26316131029232,19.01915203408362
Szkoła Podstawowa nr 1 im. Józefa Piłsudskiego,school,50.254654913209926,19.02207358378938
Szkoła podstawowa nr 4 im. Jerzego Ziętka,school,50.246771930431535,19.03569069574982
Szkoła Podstawowa nr 2 im. Jana III Sobieskiego,school,50.260171149218465,19.038557511108156
Szkoła Podstawowa nr 12 im. Ignacego Jana Paderewskiego,school,50.25026673494113,19.037073033440333
Szkoła Podstawowa nr 62 im. Józefa Kocurka,school,50.268208725381115,19.02991430700727
Szkoła Podstawowa nr 44 im. Marii Curie-Skłodowskiej,school,50.26438048691513,19.103017271720873
Szkoła Podstawowa nr 20 im. Tadeusza Rejtana,school,50.263704844331684,18.99796678417411
Szkoła Podstawowa nr 44,school,50.26817124212517,19.0955066300433
Szkoła Podstawowa nr 15 im. Jana Pawła II,school,50.251834414377086,19.00246590824026
Szkoła Podstawowa nr 22 im. Juliusza Słowackiego,school,50.265964460882664,18.986374110890097
Szkoła Podstawowa nr 27 im. Władysława Szafera,school,50.20470378178715,18.985774402677034
Szkoła Podstawowa nr 42,school,50.26180076627129,19.098368839249837
Szkoła Podstawowa nr 45 im. Kornela Makuszyńskiego,school,50.26941284817497,19.083956669934615
Szkoła Podstawowa nr 48 im. Juliusza Ligonia,school,50.199624944326395,19.045934756062998
Szkoła Podstawowa nr 53 im. Stefana Żeromskiego,school,50.242716007993316,19.08389931189306
Szkoła Podstawowa nr 40 w Katowicach,school,50.268267744454775,19.04750579908464
Szkoła Podstawowa dla chłopców „Kuźnica”,school,50.27406138271424,19.075730731192515
Szkoła Podstawowa nr 38,school,50.188543465495755,18.994594929095182
Szkoła Podstawowa nr 56 im. Henryka Sławika,school,50.208899491184305,18.987605341939357
Szkoła Podstawowa nr 47 im. Józefa Lompy,school,50.277630159575104,19.066609903093873
Niepubliczna Katolicka Szkoła Podstawowa im. Św. Rodziny,school,50.23434279665044,18.985175753388972
Szkoła Podstawowa dla Dziewcząt PŁOMIEŃ,school,50.22664438376799,19.064192305819493
Szkoła Podstawowa nr 61,school,50.22068884511469,18.97150634045816
Społeczna Szkoła Podstawowa i Liceum Ogólnokształcące Stowarzyszenia Rodziców i Nauczycieli,school,50.242535188290944,19.02551393977864
Szkoła Podstawowa nr 17 im. Tadeusza Kościuszki,school,50.28330752184471,19.015905586187454
Szkoła Podstawowa nr 21 z Oddziałami Integracyjnymi im. Karola Miarki,school,50.178952959150415,18.969233258351554
