name,shop,amenity,latitude,longitude
Zenit,supermarket,,50.2590836,19.0223416
Żabka,convenience,,50.2661397,19.0226168
,convenience,,50.2592221,19.0486647
Rabat,convenience,,50.1981742,19.0434813
sklep Euro,convenience,,50.1982914,19.0446368
,convenience,,50.2436906,19.0817475
Aga,convenience,,50.2408673,19.0801276
Społem,convenience,,50.2102037,18.9819078
Rabat,supermarket,,50.2436898,18.9908848
,convenience,,50.2260199,18.9365941
Biedronka,supermarket,,50.2258116,18.9762766
Żabka,convenience,,50.2343051,18.9956562
Carrefour Market,supermarket,,50.1997913,18.9789617
U Francika,convenience,,50.2232892,19.0693969
Żabka,convenience,,50.2791381,19.0053012
Delikatesy „Pod 3”,convenience,,50.2731524,18.9941346
u Kasi,convenience,,50.2283545,18.9207395
Żabka,convenience,,50.2314261,18.9529851
Żabka,convenience,,50.2273284,18.9597796
Fresh,convenience,,50.2255312,18.9678546
Żabka,convenience,,50.2807394,18.9731434
Społem,convenience,,50.2615135,19.0230303
Żabka,convenience,,50.2239087,19.0730908
Grota,convenience,,50.1820867,18.9399286
Trans Oil,convenience,fuel,50.2652644,19.0566711
Stokrotka,supermarket,,50.2316682,18.9882046
Żabka,convenience,,50.2574276,19.0246172
Stokrotka,supermarket,,50.2777139,18.9762102
Delikatesy na Francuskiej,convenience,,50.2548565,19.0271945
Żabka,convenience,,50.2515603,19.0263743
Home Concept,supermarket,,50.2764994,19.0727231
Żabka,convenience,,50.2460868,18.997018
24h,convenience,,50.2255084,18.9677669
Groszek,convenience,,50.2279969,18.9352199
Spożywczy,convenience,,50.2284004,18.9355189
Żabka,convenience,,50.2368721,18.9604586
Odido,convenience,,50.2267496,18.9694606
Żabka,convenience,,50.2319628,18.9767455
Żabka,convenience,,50.2748444,18.9834095
Model,supermarket,,50.269429,19.0799252
Żabka,convenience,,50.2709549,19.075708
,convenience,,50.235275,18.9784668
Żabka,convenience,,50.2343274,18.9774406
Nasz Sklep,convenience,,50.2330134,18.97705
U Asi,convenience,,50.2318435,18.9784196
Żabka,convenience,,50.2316414,18.983159
Żabka,convenience,,50.2308188,18.9790143
,convenience,,50.2430289,18.9945541
Pod ręką,convenience,,50.2690603,19.080573
abc,convenience,,50.2171122,19.0730076
Żabka,convenience,,50.2188216,19.0720597
Biedronka,supermarket,,50.2802478,18.976968
Żabka,convenience,,50.2774017,19.008168
Biedronka,supermarket,,50.176418,18.9677804
U Beaty,convenience,,50.2742425,19.0305243
Społem,convenience,,50.2295146,18.9431665
Lidl,supermarket,,50.1940104,18.9840015
Biedronka,supermarket,,50.2218244,19.0638945
Diament,supermarket,,50.2235935,19.0600641
Biedronka,supermarket,,50.2364718,18.9932777
,convenience,,50.2324592,19.0084476
Carrefour,supermarket,,50.2679867,19.0623386
Lidl,supermarket,,50.2763915,19.0181544
Auchan,supermarket,,50.2427498,19.0375431
Auchan,supermarket,,50.2741889,18.9686289
Lidl,supermarket,,50.2675382,18.9735872
Żabka,convenience,,50.252412,19.0154557
Moje Auchan,supermarket,,50.2531002,19.0193515
Spożywczy,convenience,,50.2540278,19.0127363
Biedronka,supermarket,,50.2660986,18.9973329
Netto,supermarket,,50.2771184,18.9761095
Żabka,convenience,,50.2727753,18.9984361
Artykuły spożywcze,convenience,,50.2642962,19.001412
Żabka,convenience,,50.2265915,19.06642
abc,convenience,,50.2276666,18.959542
Żabka,convenience,,50.2258386,18.9762254
Lewiatan,convenience,,50.2231474,18.9701796
Odido,convenience,,50.2231273,18.9700864
Żabka,convenience,,50.2541642,19.014396
Lewiatan,convenience,,50.2546877,19.0131266
Odido,convenience,,50.2550916,19.0218672
,convenience,,50.2550415,19.0225477
,convenience,,50.2549352,19.0262966
Biedronka,supermarket,,50.2600364,18.9789616
Społem,convenience,,50.2702508,19.0239973
Rabat,convenience,,50.2258665,18.9757964
Żabka,convenience,,50.2516916,19.0058825
Żabka,convenience,,50.2530937,19.0071422
Żabka,convenience,,50.2538709,19.0036468
,convenience,,50.2419386,19.0805081
Żabka,convenience,,50.2094478,18.9738704
Żabka,convenience,,50.1880439,18.9921746
Stokrotka,supermarket,,50.2845153,19.0128322
Społem,convenience,,50.2402449,18.9803949
,convenience,,50.2209972,19.0608146
Społem,convenience,,50.2739031,18.9987241
Społem,convenience,,50.2331862,19.0019892
Społem,convenience,,50.2653952,19.0214087
Społem,convenience,,50.2829371,19.0143638
Pod ręką,convenience,,50.2721828,19.0734476
Lewiatan,convenience,,50.2753999,18.9819883
Żabka,convenience,,50.2589937,19.0184125
Spiżarnia,convenience,,50.2340717,18.9772461
Żabka,convenience,,50.2290725,18.9705766
Lewiatan,convenience,,50.2595586,18.9747639
Moje Auchan,convenience,,50.2788582,19.0128783
Żabka,convenience,,50.2548921,19.0176464
Żabka,convenience,,50.2617577,19.0131148
Delikatesy,convenience,,50.2323561,18.9767967
Żabka,convenience,,50.2584088,19.0243343
Żabka,convenience,,50.2575831,19.0315105
Żabka,convenience,,50.2598646,19.0591589
Żabka,convenience,,50.2600108,19.0539524
Społem,convenience,,50.2582629,19.0538107
Społem,supermarket,,50.2593202,19.0621669
Lewiatan,convenience,,50.2498963,19.0249058
Żabka,convenience,,50.2561537,19.0241158
Żabka,convenience,,50.2589077,19.020874
Biedronka,supermarket,,50.2628471,19.0106887
Żabka,convenience,,50.2604246,19.0134369
Netto,supermarket,,50.1965312,18.9784999
Żabka,convenience,,50.2587037,19.0440695
Groszek,convenience,,50.2619439,19.0120502
Żabka,convenience,,50.2600708,19.0155446
Żabka,convenience,,50.2588184,19.0174234
Carrefour,supermarket,,50.2587173,19.0157931
,convenience,,50.2571651,19.0163257
Żabka,convenience,,50.2595796,19.0163325
Żabka,convenience,,50.2771682,18.9785446
abc,convenience,,50.2742429,19.0559601
Żabka,convenience,,50.2673708,19.0402678
Aga,convenience,,50.2701952,19.026945
Sylwia,convenience,,50.2683862,19.0265164
Kiosk,convenience,,50.2756017,18.9790291
Gryfnie,convenience,,50.2747659,18.9839055
Rabat,convenience,,50.2756423,18.981374
Żabka,convenience,,50.2481703,19.0322244
kiosk kolporter,convenience,,50.2486451,19.0337762
Bazar,convenience,,50.248252,19.0329426
Żabka,convenience,,50.2592608,19.0573462
,convenience,,50.2624211,19.0564059
,convenience,,50.2624188,19.0571882
Społem,convenience,,50.2671877,19.0409027
Delikatesy „Pod 3”,convenience,,50.2674793,19.0234833
Livio,convenience,,50.2793903,19.0091835
Żabka,convenience,,50.2701156,19.020541
Społem,convenience,,50.2737799,19.0233895
Lewiatan,convenience,,50.2785327,19.0158265
Dor-Jan,convenience,,50.2757952,19.0013208
Żabka,convenience,,50.2593594,19.0209278
Żabka,convenience,,50.2040363,18.9886104
abc,convenience,,50.2581805,19.0426815
Groszek,convenience,,50.2579566,19.0408503
Żabka,convenience,,50.2706661,19.0242808
,convenience,,50.2587057,19.0536898
Lewiatan (Zamknięty),convenience,,50.1986357,19.0428801
ALDI,supermarket,,50.2617274,19.019306
Żabka,convenience,,50.2796081,19.0093747
Żabka,convenience,,50.275444,19.0224356
Żabka,convenience,,50.2790924,19.0155209
Delikatesy Kubik,convenience,,50.27335,18.9991195
Indian Supermart,supermarket,,50.2623448,19.0172086
Żabka,convenience,,50.2641881,18.9743978
Żabka,convenience,,50.264318,19.0188676
Żabka,convenience,,50.260845,19.0188188
Społem,convenience,,50.2729818,19.0300134
,convenience,,50.2480168,19.0321286
abc,convenience,,50.2600172,19.050418
Ekolud,convenience,,50.2754095,19.0004522
Odido,convenience,,50.2763196,19.0089056
Po schodkach,convenience,,50.2818875,19.0150652
ALDI,supermarket,,50.2743621,19.0015118
Figa,convenience,,50.2791296,19.0180431
,convenience,,50.282995,18.9652234
Kima,convenience,,50.2669034,18.9684561
Sklep Górnik,convenience,,50.268386,18.9794408
,convenience,,50.2746792,18.9968182
Pigwa,convenience,,50.2605034,18.968558
Żabka,convenience,,50.2607458,18.9682804
Żabka,convenience,,50.2626682,19.0971898
Odido,convenience,,50.2616499,18.9664476
Rabat,convenience,,50.2590069,18.9690324
,convenience,,50.2624786,19.0964202
Żabka,convenience,,50.2585368,19.0232906
Złoty róg,convenience,,50.2618705,19.1015844
Żabka,convenience,,50.2692872,19.0353109
Carrefour Express,convenience,,50.2482334,19.0320624
Społem,convenience,,50.2669675,18.9878363
Sklep spożywczy,convenience,,50.2817848,18.9666088
Sklep Socjalny Spichlerz,convenience,,50.2819177,18.966591
,convenience,,50.2657851,19.0919478
abc,convenience,,50.2651842,19.1013447
,convenience,,50.2783619,19.0675384
Żabka,convenience,,50.260577,18.9704888
Klaudia,convenience,,50.2519352,19.025187
MiniMarket,convenience,,50.2073999,18.9688275
Żabka,convenience,,50.2606625,19.0201093
Żabka,convenience,,50.2611011,19.0227873
,convenience,,50.2601204,18.9693318
Pionier,convenience,,50.184108,18.9976686
Ranczo / ABC,convenience,,50.1839761,18.9971835
Żabka,convenience,,50.1839132,18.997209
Cukierenka,convenience,,50.21775,19.0724945
Żabka,convenience,,50.2543189,19.0223278
Biedronka,supermarket,,50.2264089,19.0729778
Żabka,convenience,,50.2415974,19.0903568
Żabka,convenience,,50.2849443,18.9701234
Żabka,convenience,,50.2859074,18.9676424
Rabat,convenience,,50.266145,18.9742615
VIP u Marty,convenience,,50.2659005,18.9748432
Żabka,convenience,,50.2559346,19.0185322
Żabka,convenience,,50.1936651,18.9911935
Lewiatan,supermarket,,50.2563802,19.015581
Żabka,convenience,,50.2848591,19.0128468
Żabka,convenience,,50.2682409,19.020099
Sklep spożywczy 24h,convenience,,50.263678,19.003532
Abecadło,convenience,,50.2681036,18.98346
Caffe Moya,convenience,fast_food,50.2673729,18.9727358
Żabka,convenience,,50.2457276,19.0353772
Delikatesy Kubik,convenience,,50.2649361,18.9981124
Danusia,convenience,,50.2658344,18.9967352
Pochrzest,convenience,,50.2658949,18.9958356
Żabka,convenience,,50.2652239,18.9977789
,convenience,,50.2739565,18.9991444
Żabka,convenience,,50.1767057,18.9719126
Żabka,convenience,,50.1767537,18.9675227
GinPol Korea Shop,convenience,,50.1829084,18.9780411
Ekodelikatesy Natura i Zdrowie,convenience,,50.199716,18.9801418
Lewiatan,convenience,,50.2516658,19.021277
,convenience,,50.2610699,19.0410829
,convenience,,50.2613987,19.0401304
Osiedlowy sklep ogólnospożywczy,convenience,,50.2180322,18.976348
Lewiatan,convenience,,50.2195048,18.9739988
Eurospar,supermarket,,50.219452,18.9743263
Mini-maxi,convenience,,50.2204636,18.973929
,convenience,,50.2236276,18.9719958
,convenience,,50.2236871,18.973746
Joanna,convenience,,50.1851413,18.9790813
Żabka,convenience,,50.2615572,19.0171563
Delikatesy Kubik,convenience,,50.2733941,19.0240919
Lidl,supermarket,,50.2369563,19.0040695
Żabka,convenience,,50.2614982,19.0218983
Społem,convenience,,50.221314,19.0607305
Delikatesy Express Market Spożywczy,convenience,,50.1991319,19.0372441
ALDI,supermarket,,50.2298917,18.9693607
Społem,convenience,,50.2632549,19.0205422
Żabka,convenience,,50.266128,19.0182584
Rabat,convenience,,50.2698617,19.020315
Żabka,convenience,,50.1983806,18.967797
,convenience,,50.2276581,18.9930234
F.H.U. Andrzej Pajdo,convenience,,50.2532852,19.0048928
Lewiatan,convenience,,50.2548609,19.0078122
Lewiatan,convenience,,50.2464116,18.9955243
Lewiatan,convenience,,50.2520677,19.0084707
Żabka,convenience,,50.2114695,18.9848376
Żabka,convenience,,50.2522643,19.0204024
Delikatesy Słoneczko,convenience,,50.2724678,19.0203717
Lewiatan,supermarket,,50.1991053,19.0368065
Sam Maja,convenience,,50.1852994,18.9549617
Kubik Delikatesy,convenience,,50.2694607,19.0361662
Żabka,convenience,,50.2680325,19.0447202
Żabka,convenience,,50.25819,19.0217805
Przy Rynku,convenience,,50.2580791,19.021715
Sklep spożywczy,convenience,,50.2481964,19.0876409
Paola,convenience,,50.2654836,19.0416299
Żabka,convenience,,50.2686837,19.0385491
Sklep spożywczo-monopolowy,convenience,,50.2668951,19.0405732
Groszek,convenience,,50.2680479,19.0394103
Żabka,convenience,,50.2671971,19.0094226
Żabka,convenience,,50.262573,19.0154783
Carrefour Express,convenience,,50.260823,19.0184172
Zielony Bazar,,marketplace,50.2569931,18.9775592
Żabka,convenience,,50.2402045,19.0130393
Żabka,convenience,,50.2770033,18.9808259
Żabka,convenience,,50.2311335,18.9638501
Żabka,convenience,,50.2263576,18.9703237
,convenience,,50.2574299,18.9712576
,convenience,,50.2581247,19.0305039
Żabka,convenience,,50.2585799,19.0262695
Żabka,convenience,,50.2591255,19.0249039
