name,highway,latitude,longitude
Ochojec Wapienna,bus_stop,50.2210272,18.9896572
Ochojec Sadowa,bus_stop,50.2161415,18.9899278
Piotrowice Skrzyżowanie,bus_stop,50.2092421,18.9742146
Giszowiec Karolinki,bus_stop,50.2267089,19.0566072
Zawodzie Waleriana,bus_stop,50.2596028,19.0473396
Osiedle Kukuczki Podhalańska,bus_stop,50.2718764,19.0489339
Muchowiec Park,bus_stop,50.234755,19.0261783
Dąbrówka Mała Centrum Handlowe,bus_stop,50.268453,19.0582446
Giszowiec Kościół,bus_stop,50.2241659,19.063466
Zawodzie Ośrodek Sportowy,bus_stop,50.2593059,19.0559892
Zawodzie Centrum Przesiadkowe,bus_stop,50.2596847,19.0643205
Giszowiec Mysłowicka,bus_stop,50.2265589,19.0686261
Giszowiec Mysłowicka,bus_stop,50.2260424,19.0698846
Giszowiec Szyb Roździeński,bus_stop,50.2221156,19.0757153
Giszowiec Przyjemna,bus_stop,50.2195449,19.0715464
Giszowiec Radosna,bus_stop,50.223335,19.0669867
Nikiszowiec Szyb Wilson,bus_stop,50.2499648,19.08192
Kolonia Wysockiego Kulika,bus_stop,50.2361655,19.0734412
Kolonia Wysockiego Woźniaków,bus_stop,50.2341666,19.0699907
Giszowiec Przyjazna,bus_stop,50.2220111,19.0702916
Giszowiec Przyjazna,bus_stop,50.2215808,19.0703915
Janów Zamkowa,bus_stop,50.2422193,19.0889435
Nikiszowiec Kościół,bus_stop,50.2435778,19.0818416
Giszowiec Kopalnia Staszic,bus_stop,50.2245318,19.0489915
Janów Lwowska Szkoła,bus_stop,50.2477785,19.0894981
Zawodzie Waleriana,bus_stop,50.2597664,19.0474842
Murcki Rynek,bus_stop,50.1979536,19.0433534
Zawodzie Bohaterów Monte Cassino,bus_stop,50.259902,19.0532187
Murcki Bielska,bus_stop,50.1982919,19.045275
Murcki Bielska,bus_stop,50.1977364,19.045499
Murcki Osiedle,bus_stop,50.203767,19.0430405
Murcki Dolina Murckowska,bus_stop,50.1999856,19.0522003
Murcki Szyb Stanisław,bus_stop,50.2064917,19.0419426
Janów Zamkowa Skwer,bus_stop,50.2439367,19.0852477
Ochojec Szpital,bus_stop,50.2120241,18.9993349
Ligota Poleska,bus_stop,50.2230235,18.9696542
Ligota Szpital,bus_stop,50.2247483,18.9577859
Ligota Akademiki,bus_stop,50.218075,18.9585562
Janów Lwowska Szkoła,bus_stop,50.247866,19.0898392
Ligota Bronisławy,bus_stop,50.2210293,18.9596432
Katowice Mariacka,bus_stop,50.257109,19.0281369
Giszowiec Przyjemna,bus_stop,50.2193781,19.0727939
Dąbrówka Mała Pawilon Agata,bus_stop,50.2679222,19.0553162
Nikiszowiec Kościół,bus_stop,50.2436924,19.0821138
Nikiszowiec Szpital,bus_stop,50.2460087,19.0800144
Wilhelmina Skrzyżowanie,bus_stop,50.2543407,19.0926413
Wilhelmina Skrzyżowanie,bus_stop,50.2542858,19.0929451
Wilhelmina Krakowska [nż],bus_stop,50.2566918,19.0807444
Załęże Pośpiecha,bus_stop,50.2637514,19.0036039
Katowice AWF,bus_stop,50.2511129,19.0043562
Wilhelmina Skrzyżowanie,bus_stop,50.2531185,19.0909804
Ligota Medyków,bus_stop,50.227224,18.960293
Katowice Wita Stwosza,bus_stop,50.2489601,19.017401
