name,power,man_made,latitude,longitude
,substation,,50.2617487,18.9663496
,substation,,50.2760323,19.0272371
,substation,,50.2746842,19.0273058
,substation,,50.2606016,18.9657126
,substation,,50.2598232,19.0204041
,substation,,50.2313076,18.9830286
,substation,,50.2763581,18.9770892
,substation,,50.2604517,18.9771568
,substation,,50.2342772,18.9776747
,substation,,50.2689748,19.040577
,substation,,50.284094,19.0128084
,substation,,50.2709497,19.0350347
,substation,,50.2743344,19.0364234
,substation,,50.2555753,19.0921684
,substation,,50.2691657,19.0483522
,substation,,50.2704165,19.0474293
,substation,,50.2692728,19.0447013
,substation,,50.2699631,19.0460864
,substation,,50.2691273,19.0432719
,substation,,50.2682273,19.0440272
,substation,,50.268128,19.0451353
,substation,,50.269089,19.0490245
,substation,,50.2678584,19.0500285
,substation,,50.2672539,19.0470375
,substation,,50.2667982,19.049148
,substation,,50.2665867,19.0444181
,substation,,50.2565367,19.0195331
,substation,,50.258816,19.0217927
,substation,,50.2659705,19.060576
,substation,,50.2649839,19.0584846
,substation,,50.264546,19.0595085
,substation,,50.2618252,19.0536732
,substation,,50.2631146,19.0209482
,substation,,50.2636991,19.0213259
,substation,,50.2640642,19.0214644
,substation,,50.2614354,19.0212586
"Stacja elektroenergetyczna 220/110/6kV ""Katowice""",substation,,50.26440093880681,19.054232950669242
"Stacja elektroenergetyczna 110/20/6kV ""Roździeński""",substation,,50.22274444616195,19.078050728457146
,substation,,50.221340999999995,19.086920949999996
"Stacja elektroenergtyczna ""Klimzowiec"" 110/20/6 kV",substation,,50.2807873054791,18.963341562548965
Stacja elektroenergetyczna 110/20/6kV „Brynów”,substation,,50.23855438756409,18.992652923305506
Stacja elektroenergetyczna 110/20kV „Piotrowice”,substation,,50.199754727037806,18.983318360106516
"Stacja elektroenergetyczna ""Murcki"" 110 kV",substation,,50.1790470789716,19.00616743991326
,substation,,50.23251785,18.9880749
"Stacja elektroenergetyczna 110/6kV ""Obroki""",substation,,50.26571252546922,18.967903587683878
"Stacja elektroenergetyczna 110/6kV ""Załęże""",substation,,50.269340659246424,18.99011225249816
"Stacja elektroenergetyczna 110/6kV ""Kopalnia Wujek""",substation,,50.24358817987689,18.98844250999085
"Stacja elektroenergetyczna 110/6kV ""Płuczka""",substation,,50.24719443436343,18.986563146863272
"Stacja elektroenergetyczna ""Ligota"" 110/20 kV",substation,,50.226303741821894,18.94912289626615
"Stacja elektroenergetyczna 110/20/6kV ""Torkat""",substation,,50.26019462884051,19.031525964353957
"Stacja prostownikowa ""Centralna""",substation,,50.25962538688897,19.02534855095805
,substation,street_cabinet,50.25913332358224,19.026089162073678
"Stacja elektroenergetyczna 110/20/6kV ""Dąb""",substation,,50.26990880003508,19.013800816641943
,substation,,50.22830768683101,18.948308388673354
,substation,,50.22528920914127,18.972156219322073
,substation,,50.22677261208979,18.974033031660642
,substation,,50.225263988044304,18.966860847437516
,substation,,50.19492329893878,18.93575929182344
,substation,,50.188311625756526,18.97210809391477
,substation,,50.202772026092454,19.02327274018004
,substation,,50.20396744447149,19.017883882299795
,substation,,50.19498665008959,19.034706033017045
M1052,substation,,50.193584099584655,19.033659097608624
,substation,,50.19570290459138,19.033739906484332
,substation,,50.198309553307695,19.035464819974358
,substation,,50.18250398163935,19.003961517985232
,substation,,50.18500138546924,19.00249414654025
,substation,,50.188829350000006,18.995396450000005
,substation,,50.19288680986763,18.995331256317687
,substation,,50.17740149465959,19.014026775904505
Stacja S3,substation,,50.21053985569692,18.996149601594432
Stacja S4,substation,,50.21110832912487,19.001373724543
Stacja S2,substation,,50.21094902167564,19.00325520132353
Stacja S1,substation,,50.210406003773514,18.999664071120634
,substation,,50.21128997598154,18.99428046980495
,substation,,50.22231602876358,19.059782562547223
,substation,,50.219577691597856,19.058464980162235
,substation,,50.221633878266815,19.06003031387721
,substation,,50.24146188392694,19.08801660180092
,substation,,50.24150724782665,19.08231162449427
,substation,,50.24023600436283,19.07740088579559
,substation,,50.24216615,19.079770850000003
,substation,,50.24203429999999,19.081412550000003
,substation,,50.2401828298538,19.08983804136037
"Stacja prostownikowa ""Szopienice""",substation,,50.25991147499468,19.10992835439913
,substation,,50.262559700000004,19.101304350000003
,substation,,50.262728643115054,19.103642830180988
,substation,,50.265404330513974,19.09290780321153
,substation,,50.26375580688697,19.09715956106976
,substation,,50.26334870000001,19.099357850000004
,substation,,50.25678427259287,19.094287462917293
,substation,,50.25498122089688,19.090864366617208
,substation,,50.2586685,19.11325855
,substation,,50.2408187330363,19.006663817905505
,substation,,50.228113300000004,18.98183715
,substation,,50.23026790759928,18.976643899347863
,substation,,50.23115373062034,18.97613836548043
K80,substation,,50.23473679999999,18.994282400000003
,substation,,50.230652233187506,18.978801926623
,substation,,50.23975460838679,19.00749454158898
,substation,,50.23118710821044,18.988061685395603
,substation,,50.280577346063374,19.06682048034746
,substation,,50.2804175531402,19.06121952737398
,substation,,50.27492851669894,19.06988174888586
,substation,,50.28558655082116,19.060489497844095
,substation,,50.283360596809395,19.071782510418483
,,wastewater_plant,50.263593195216465,19.066516844424036
,,wastewater_plant,50.26386738499237,19.066481507627547
,,wastewater_plant,50.26371407304285,19.066419732825306
,,wastewater_plant,50.26381412205107,19.066332722184036
,,wastewater_plant,50.26376723726656,19.06656866070725
,substation,,50.26753566093788,19.083489448242688
,substation,,50.27079478612705,19.07691593204297
K742,substation,,50.25902552498092,19.060791463628522
,substation,,50.26239947527541,19.055553207391803
,substation,,50.26192445907578,19.054208113691782
,substation,,50.261647703805664,19.057009074650292
,substation,,50.260415349999995,19.060487549999994
,substation,,50.26203717433731,19.056992080729838
K276,substation,,50.258960055068904,19.060307820993998
,substation,,50.266784379245934,19.03807116082996
,substation,,50.26421209219334,19.04306467163215
,substation,,50.274141611354565,19.031057298635204
,substation,,50.265950350000004,19.03777385
,substation,,50.26870252915359,19.02659971755853
,substation,,50.27269160070205,19.03773701758093
,substation,,50.264570850000005,19.041491900000004
,substation,,50.267401433540975,19.03825253277271
,substation,,50.27071649995972,19.03325189464211
,substation,,50.26336382839517,19.036921250153945
,substation,,50.26637017823124,19.046220105658897
,substation,,50.262529225623744,19.046716468685247
,substation,,50.276403285701186,19.029221483539104
,substation,,50.26889239043546,19.025766167601695
K280,substation,,50.268332286701416,19.03177411028601
,substation,,50.27112512941279,19.02668657816035
,substation,,50.264890691075806,19.042558936910883
,substation,,50.27742239865107,19.00986673127392
,substation,,50.27991021532567,19.013407668649567
K1078,substation,,50.28830428325302,19.01123025553146
,substation,,50.26635620831764,19.020249493892113
,substation,,50.27526200909448,19.022061329228865
,substation,,50.27479902625039,19.012568610129595
,substation,,50.277561639141766,19.02451763110313
,substation,,50.27756560286751,19.015473572744078
,substation,,50.27997328736648,19.0075191070055
,substation,,50.28527892161491,19.01316595404962
GLC K833,substation,,50.27844576190245,19.01414030766462
,substation,,50.277888092257164,19.01047856763887
,substation,,50.274900599999995,18.9980653
,substation,,50.27290150559067,19.0000206540606
,substation,,50.27583414111238,19.011712486734165
,substation,,50.27190325667792,19.02296010974452
,substation,,50.281345129052696,19.007798974041044
,substation,,50.279506923140104,19.010827142711843
,substation,,50.27900543289553,19.006809670233007
,substation,,50.27344555159441,19.021948480733226
,substation,,50.27486460310992,18.99801230411749
,substation,,50.28444410557028,19.01053832511378
,substation,,50.281025509417006,19.008915819689452
,substation,,50.28050153201152,19.011774893862057
