name,leisure,landuse,natural,latitude,longitude,area_m2,score
,,,wood,50.07931075989094,20.053025822201214,6018.022735969152,4212.615915178406
,,forest,,50.013332405909225,19.84850866124955,207491.22145772737,165992.9771661819
,,forest,,50.01690226109968,19.8525204963503,318100.50439930445,254480.4035194436
,,,wood,50.04342285837456,19.90514594477254,43490.709439679296,30443.496607775505
,,forest,,50.039699793044434,19.901053214887167,35793.839777254434,28635.071821803547
Lasek Mogilski,,forest,,50.05540363521093,20.05759319893367,638050.02902925,510440.02322340006
Park Jordana,park,,,50.06263478894409,19.916232753547977,503245.27545442333,503245.27545442333
,,forest,,50.06300524859762,19.915013127352356,6266.45339429651,5013.162715437208
Skwer Aleksandra Biborskiego,park,,,50.067488631805304,19.935639663330836,3890.0674252728427,3890.0674252728427
Skwer Wolnej Ukrainy,park,,,50.067635076481736,19.93692132921779,4220.262315477886,4220.262315477886
Skwer Praw Kobiet,park,,,50.05924256891034,19.928066764539942,6923.230481557259,6923.230481557259
Ogród Botaniczny Uniwersytetu Jagiellońskiego,garden,,,50.06260349027889,19.957952645722187,211681.3151698043,169345.05213584343
,,grass,,50.066102810579764,19.935487870048668,1154.1290270153193,807.8903189107234
,,forest,,50.05385902907621,19.823623893900624,153531.65216135836,122825.32172908669
,,forest,,50.044006982503305,19.81488067093122,350938.9474096135,280751.15792769083
Park Krakowski,park,,,50.068057796831205,19.92432557309568,130357.55678128845,130357.55678128845
,,forest,,50.06837669370065,19.924852781533094,243.38833205890109,194.7106656471209
Planty Floriana Nowackiego,park,,,50.04357203006559,19.942795067146434,51730.83737718291,51730.83737718291
,,grass,,50.05260096972136,19.920715797644313,35081.203293260834,24556.842305282582
,,grass,,50.05257035679761,19.926736987044457,16876.888277443155,11813.821794210207
,,grass,,50.04968591696556,19.935482407483036,354.0948962931327,247.86642740519287
Park Ratuszowy,park,,,50.0756324951962,20.0397308552704,55036.75627942945,55036.75627942945
Ogród Doświadczeń im. Stanisława Lema,park,,,50.068515218020735,19.996859160740673,148928.23560008325,148928.23560008325
Park Aleksandry,park,,,50.012120840027585,20.013867199709768,367849.8637448204,367849.8637448204
,,,wood,50.01289237673319,20.00501024022812,44491.20536505765,31143.84375554035
Park Lilli Wenedy,park,,,50.02029709588694,20.002718750068933,254887.87961348653,254887.87961348653
,,,wood,50.01239673063473,19.9964676895731,51014.34261794536,35710.03983256175
,,grass,,50.01336091877556,20.012033592129093,646.797100065064,452.75797004554477
Park imienia Wojciecha Bednarskiego,park,,,50.041661776812575,19.94908553766021,174406.82349746322,174406.82349746322
,,forest,,50.03133403570401,19.947647055422063,19734.7368697051,15787.78949576408
Park Decjusza,park,,,50.06478383152452,19.872592021079885,193377.77983613402,193377.77983613402
Park Kleparski,park,,,50.076096846955416,19.93806469039015,73129.42582758702,73129.42582758702
Park im. Tadeusza Kościuszki,park,,,50.09344540064896,19.941240932835008,152460.8842671536,152460.8842671536
Park Leśny Witkowice,park,,,50.10835858122267,19.950972985455767,384597.37424463296,384597.37424463296
,,,wood,50.095651273902895,19.852872838004068,265166.58195468684,185616.6073682808
,,,wood,50.09276995871562,19.86404464653035,936.3912452389412,655.4738716672588
,,forest,,50.0513060392748,20.15016082595835,2681.992349612487,2145.5938796899895
,,forest,,50.051402274227755,20.151150599945737,3085.6915307172285,2468.553224573783
,,,wood,50.05328058158393,20.151342691447862,13719.642033748172,9603.74942362372
,,forest,,50.051240565185495,20.15674657292276,2891.272603894925,2313.01808311594
,,forest,,50.050398411581774,20.15462704610875,3731.2991116086177,2985.0392892868945
Lasek Łęgowski,,forest,,50.05365731068788,20.033211962076678,557248.1632093694,445798.53056749556
,,forest,,50.06710925043931,19.83809843171391,117073.94461611826,93659.15569289461
,,forest,,50.082683738237975,19.8225279784847,25575.174829512453,20460.139863609962
,,,wood,50.10762153905726,19.940521003132588,32660.372145647663,22862.260501953362
,,grass,,50.01221127523447,20.00947938790776,4710.536204162185,3297.375342913529
Park Wyspiańskiego,park,,,50.08596736309402,19.920766929070105,58660.76254398906,58660.76254398906
Park Krowoderski,park,,,50.08902423280757,19.92114138925366,228180.17208372333,228180.17208372333
Park im. Wisławy Szymborskiej,park,,,50.06529391175869,19.92900558386576,19380.02782566235,19380.02782566235
,,forest,,50.037358221352186,19.867317159593718,23691.560854038693,18953.248683230955
,,forest,,50.039086167527906,19.87066391034599,24473.583748536705,19578.866998829366
,,forest,,50.0315515609051,19.86258694543036,61888.360553780825,49510.688443024665
,,forest,,50.035795111927705,19.857607445651947,28170.239767251183,22536.19181380095
,,,wood,50.03398208095549,19.859683861346507,43533.77270976086,30473.6408968326
Skwer Janiny Paradowskiej,park,,,50.0704421789671,19.93174183191651,3615.8366667683404,3615.8366667683404
,,grass,,50.074875634497936,19.909621873352428,17857.72383639413,12500.40668547589
,,grass,,50.07518458589143,19.907730174787197,15172.254478993043,10620.578135295129
Park imienia Jalu Kurka,park,,,50.0695388049126,19.941945826178813,39283.06976636776,39283.06976636776
Park Imienia św. Wincentego á Paulo,park,,,50.070754352802005,19.911881036517816,44851.619615260344,44851.619615260344
Park Szwedzki,park,,,50.074572529123394,20.043619383191015,49114.7891119078,49114.7891119078
Park Maćka i Doroty,park,,,50.00242213568317,19.910823433556736,214036.16216762175,214036.16216762175
,park,,,50.01567981888582,20.01688655974506,18286.14565416002,18286.14565416002
Park Tysiąclecia,park,,,50.090031242375076,19.997399283579327,292174.0842190046,292174.0842190046
,park,,,50.09848555419391,20.05450682658822,235889.5924688009,235889.5924688009
Park Zielony Jar Wandy,park,,,50.094740844181175,20.058984088989117,153043.17189803667,153043.17189803667
Park Rogozińskich,park,,,50.066470334759316,20.05103542693655,22904.750819978024,22904.750819978024
,garden,,,50.06363587571212,19.92883965043841,1493.0650446817995,1194.4520357454396
Park Aleksandry II,park,,,50.01865782192993,20.01042638684127,165866.6549366393,165866.6549366393
Planty Mistrzejowickie,park,,,50.09745066605181,20.005415321051924,282543.3825744976,282543.3825744976
,,,wood,50.053679810196904,19.88655149757585,155685.4190278536,108979.79331949752
,,,wood,50.04944980832985,19.883113191946652,18222.70467953473,12755.89327567431
,,forest,,50.05472804220299,19.882369653967512,21131.61738632858,16905.293909062864
,,,wood,50.05442879263911,19.883880767895022,21386.8787647545,14970.815135328148
,garden,,,50.07008771854619,19.930429656781435,56473.910057819754,45179.128046255806
Skwer Berrecciego,,grass,,50.05285447904969,19.949013564668086,662.7128237374224,463.8989766161956
,,forest,,50.04690862029861,20.009499120316985,10626.018863389989,8500.81509071199
,,forest,,50.046788304543554,20.014321776455102,135513.98811402044,108411.19049121636
,,forest,,50.04826103389336,20.008365158482327,1884.2356986833558,1507.3885589466847
,,grass,,50.07251235750371,20.037678486172886,423.0539436328422,296.13776054298955
,,grass,,50.07279040414855,20.037159209124894,1019.340004067789,713.5380028474523
,,grass,,50.07250553660238,20.036848350066013,366.7345738242558,256.71420167697903
,,grass,,50.072683333268614,20.037949240517644,1025.357420566027,717.7501943962188
,,grass,,50.07232988285002,20.038100566326204,441.07796102277064,308.75457271593945
,park,,,50.057794560496475,19.951447374673116,13085.799470617962,13085.799470617962
,park,,,50.056215166600076,19.953207708786195,13895.805098873909,13895.805098873909
Park Wiśniowy Sad,park,,,50.07589402020165,20.027506647556052,68415.67117688776,68415.67117688776
