name,amenity,latitude,longitude
AP Edukacja,school,50.0627507,19.9341099
Prywatne Liceum Ogólnokształcące przy Klasztorze Prezentek,school,50.0635002,19.9390141
XXV Liceum Ogólnokształcące im. Stefana Żeromskiego,school,50.0197476,20.0160507
Ośrodek Szkolno-wychowawczy nr 1,school,50.0627991,19.9282092
I Liceum Ogólnokształcące Sportowe,school,50.0792558,20.0346192
Szkoła Specjalna Przysposabiająca do Pracy nr 7,school,50.0688013,20.0554866
Szkoła Sportowa Piłki Nożnej,school,50.080271,20.0478245
Technikum Uzupełniające dla Dorosłych Nr 2,school,50.080405,20.0479751
Technikum nr 2,school,50.0798959,20.0474473
Liceum Ogólnokształcące Zgromadzenia Sióstr Augustianek im. św. Rity,school,50.0489274,19.9408831
Rzemieślnicza Branżowa Szkoła I stopnia,school,50.0567461,19.9572915
Inter Lang & Text English and German School,school,50.0667673,19.9288747
Prywatna Szkoła Muzyczna,school,50.0589975,19.9415697
Securcom - Niepubliczna Placówka Kształcenia Ustawicznego,school,50.0822236,20.0413027
Szkoła Specjalna Przysposabiająca do Pracy nr 1,school,50.0818701,20.041174
Branżowa Szkoła Specjalna I Stopnia nr 31,school,50.0820094,20.0412239
Szkoła Muzyczna,school,50.045846,19.9500642
Ogólnokształcąca Szkoła Muzyczna I stopnia,school,50.0694723,20.0403668
Ogólnokształcąca Szkoła Muzyczna II stopnia,school,50.0694066,20.0407465
Szkoła Muzyczna I stopnia,school,50.069283,20.0414879
Szkoła Muzyczna II stopnia,school,50.0693572,20.041045
XXXI Liceum Ogólnokształcące im. Romana Ingardena,school,50.0876542,19.9706582
TEB Technikum Kraków,school,50.0662643,19.9431739
Zespół Szkół Gastronomicznych nr 2 w Krakowie,school,50.0431287,19.9486552
XXX Liceum Ogólnokształcące im. św. Brata Alberta - Adama Chmielowskiego,school,50.0836018,20.0060443
Liceum dla dorosłych,school,50.0626573,19.9352691
Specjalny Ośrodek Szkolno-Wychowawczy nr 1 im. Jana Matejki,school,50.0637643,19.9296932
British International School of Cracow,school,50.0589018,19.9291039
III Prywatne Liceum Ogólnokształcące,school,50.0642151,19.9377476
Szkoła Zasadnicza nr 30,school,50.0627758,19.9282082
Zespół Szkół Mechanicznych nr 1 im. Szczepana Humberta,school,50.061499,19.9245553
Warsztaty szkolne,school,50.0340638,19.9345839
XXIII Liceum Ogólnokształcące,school,50.0796525,19.9853691
Bursa dla Studentek Córek Bożej Miłości,school,50.0639492,19.8670333
Technikum Komunikacyjne nr 25,school,50.074597,19.9864518
Publiczne Liceum Ogólnokształcące i Internat Sióstr Prezentek,school,50.0627229,19.9410624
Zespół Szkół Specjalnych Nr 3 w Uniwersyteckim Szpitalu Dziecięcym w Krakowie,school,50.0116536,20.0021265
World Around Intercultural Primary School,school,50.0675869,19.9335794
Zespół Szkół Specjalnych Nr 10 im. św.Mikołaja,school,50.0675609,19.9531789
Delta,school,50.0628309,19.9346855
UnderWonder Studio Pole Dance,school,50.0591271,19.9502712
Szkoła Muzyczna I stopnia Specjalnego Ośrodka Szkolno - Wychowawczego dla Dzieci Niewidomych i Słabowidzących,school,50.0513224,19.9251205
XXI Liceum Ogólnokształcące,school,50.0910767,20.0019873
Cosinus,school,50.0677953,19.9289345
Liceum Ogólnokształcące im. Bogdana Jańskiego,school,50.0798601,20.0209508
XV Liceum Ogólnokształcące im. Marii Skłodowskiej – Curie,school,50.0223004,19.9859548
Zespół Szkół Ogólnokształcących im. J. Słowackiego STO w Krakowie,school,50.0531493,19.9403171
I Prywatne Liceum Ogólnokształcące im. Józefa Piłsudskiego,school,50.0230945,19.9828387
VIII Prywatne Akademickie Liceum Ogólnokształcące oddział IB,school,50.067105,19.929056
Kolegium Europejskie,school,50.067756,19.9426173
Zespół Szkół Społecznych nr 5 STO,school,50.015103,20.0044524
TEB Edukacja,school,50.0641052,19.9420636
Centrum Edukacji Graceland,school,50.0078064,19.8927581
Liceum ogólnokształcące z oddziałem dwujęzycznym im. Piotra Michałowskiego,school,50.0664528,19.9288331
Szkoła Przysposabiająca do Pracy nr 2,school,50.0637205,19.9296998
Zasadnicza Szkoła Zawodowa nr 30,school,50.0637359,19.9296485
Liceum Ogólnokształcące Mistrzostwa Sportowego,school,50.0736792,19.9624423
XVII Liceum Ogólnokształcące im. Młodej Polski,school,50.081521,19.8953202
Gloker,school,50.0662772,19.9355955
Chrześcijańskie Liceum Ogólnokształcące Uczeń,school,50.0706349,19.9018724
Technikum Mechaniczne nr 30,school,50.0536214,19.9446453
XXVI Liceum Ogólnokształcące,school,50.062198,19.9240818
Technikum Chemiczne i Ochrony Środowiska nr 3,school,50.0622799,19.9244477
Technikum Mechaniczne nr 15,school,50.0613497,19.9256159
Branżowa Szkoła I Stopnia nr 14,school,50.0612366,19.9252178
Montessori Mountain Schools,school,50.070943,19.9600609
Prywatna Szkoła Policealna Edu-Duo,school,50.06421,19.9377003
Prywatne Liceum dla Dorosłych,school,50.0642017,19.9377377
"Krakowska Spółdzielnia Pracy ""Oświata""",school,50.046517,19.9409506
Branżowa Szkoła Specjalna I stopnia nr 59,school,50.1060513,19.9571443
Młodzieżowy Ośrodek Wychowawczy dla Chłopców,school,50.1059259,19.9578399
Młodzieżowy Ośrodek Socjoterapii nr 2,school,50.1055392,19.9570503
Szkoła Tańca Skalski Dance School,school,50.0548419,19.9239804
Technikum nr 16 im. ks. dr. Jana Kaczkowskiego,school,50.0335778,19.9346061
Branżowa Szkoła I stopnia nr 3 im. Erazma Józefa Jerzmanowskiego,school,50.0334814,19.9346051
Branżowa Szkoła II stopnia nr 2,school,50.0333743,19.9346068
Mała Finlandia,school,50.0183845,19.9550177
KTT Perfect Dance Kraków,school,50.0720269,19.9679335
BC Primary School,school,50.0463468,19.9741319
,school,50.01937637876807,20.01645192984918
III Liceum Ogólnokształcące im. Jana Kochanowskiego,school,50.08909368220852,20.017627567375907
"Zespół Szkół Zawodowych ""HTS""",school,50.091104364379014,20.02349850075758
Publiczne Liceum Ogólnokształcące Sióstr Salezjanek im. Świętego Dominika Savio,school,50.08594757194406,20.02721577675019
Zespół Placówek Opiekuńczo - Wychowawczych nr 1,school,50.07711403889133,20.047525188751703
VIII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego,school,50.059124862038225,19.955759740331594
Zespół Szkół Ogólnokształcących Sportowych nr 2,school,50.07973455855189,20.034483896737576
Liceum Ogólnokształcące nr 43 im. Zofii Chrzanowskiej,school,50.04335518398068,19.95881942030167
Zespół Szkół Łączności,school,50.04696051007173,19.92147980172847
Zespół Szkół Elektrycznych nr 1,school,50.02482500836511,19.976139735892776
Specjalny Ośrodek Szkolno Wychowawczy nr 4,school,50.04667993948549,19.940783631229184
Zespół Szkół Gastronomicznych nr 1,school,50.08398035569534,20.03120809191386
Da Vinci's International Schools,school,50.078490643853684,19.970263751341122
Zespół Szkół Ekonomicznych nr 2,school,50.077230495679046,20.025215315076814
Zespół Państwowych Szkół Muzycznych im. Mieczysława Karłowicza,school,50.068854139851716,20.040979938072297
Publiczne Liceum Ogólnokształcące im. Królowej Apostołów,school,50.08197738041668,20.04732995811744
XIII Liceum Ogólnokształcące,school,50.063292221183595,19.963811222761322
Szkoła Gortata MG13,school,50.08439088054243,20.01718749435977
VII Liceum Ogólnokształcące im. Zofii Nałkowskiej,school,50.070391686804726,19.908276387592394
Open Future International School,school,50.00831301524585,19.89272817184429
,school,50.07992693065236,19.973657382307582
Publiczne Salezjańskie Liceum Ogólnokształcące,school,50.098772964549234,20.017626191738323
Zespół Szkół Specjalnych nr 6,school,50.06881540179967,20.054972435084185
Zespół Szkół Mechanicznych nr 2 im. Kazimierza Górskiego,school,50.03389238260197,19.934025805533224
Szkoła muzyczna,school,50.057514179262455,19.897470718990384
Zespół Szkół Przemysłu Spożywczego,school,50.08246172900521,19.966073106399538
Zespół Szkół Ogólnokształcących Integracyjnych nr 5,school,50.077653540498545,20.042074843182814
Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego im. Mikołaja Kopernika,school,50.07370213228126,19.963113869834853
Zespół Szkół Ogólnokształcących nr 7,school,50.08133968380833,19.894699135504556
Zespół Szkół Ogólnokształcących nr 13,school,50.08741931383048,19.970698303506992
Zespół Szkół Ogólnokształcących nr 1 w Krakowie,school,50.0552369556495,19.95110193347926
Zespół Szkół Ogólnokształcących nr 9,school,50.07949007472503,19.985486617871036
Liceum Ogólnokształcące nr XXVIII,school,50.04099640825142,19.93674608686506
