name,amenity,latitude,longitude
Samorządowe Przedszkole nr 30,kindergarten,50.0933437,19.9464121
"Przedszkole prywatne - ""Maja i Gucio""",kindergarten,49.999199,19.8959941
Przedszkole Samorządowe nr 58,kindergarten,50.0140461,19.8973881
Publiczne Technikum Rzemiosła i Przedsiębiorczości,school,50.0567973,19.9576594
"Przedszkole Samorządowe nr 129 - ""Skrzaty""",kindergarten,50.0321395,19.972773
"Niepubliczne Przedszkole ""Nutki""",kindergarten,50.0417909,19.9941493
"Niepubliczne Przedszkole ""Baby Garden""",kindergarten,50.0642882,20.0152669
"Niepubliczne Przedszkole ""Baby Garden""",kindergarten,50.0943962,19.9377794
Samorządowe Przedszkole nr 10,kindergarten,50.0263579,19.9246819
Ogród Empatii - Przedszkole Alternatywne,kindergarten,50.0835283,19.8786369
Samorządowe przedszkole nr 77 Magiczne Siódemki,kindergarten,50.0747207,19.9021708
Niepubliczne przedszkole Niebieska żabka,kindergarten,50.046723,19.9271474
Przedszkole Montessori,kindergarten,50.0733286,19.8979679
Przedszkole Sióstr Franciszkanek Świętej Klary,kindergarten,50.0723231,20.0113843
"Społeczne Przedszkole STO ""Julek""",kindergarten,50.067487,19.9374473
"Niepubliczne Przedszkole ""STACYJKOWO""",kindergarten,50.0880115,19.8478813
Samorządowe Przedszkole nr 132,kindergarten,49.9944845,19.9448085
Przedszkole samorządowe nr 19,kindergarten,50.0697022,20.1570588
Samorządowe przedszkole numer 57 filia,kindergarten,50.0415188,19.9426029
Samorządowe Przedszkole nr 136,kindergarten,49.9842424,19.9496438
Przedszkole Źródło,kindergarten,50.0855865,19.9081887
Przedszkole Pod Magnolią,kindergarten,50.103166,20.0119598
Przedszkole Montessori Muszelka,kindergarten,50.0688795,19.9840845
Przedszkole Urszulanek,kindergarten,50.0586731,19.9427715
Samorządowe Przedszkole nr 23,kindergarten,50.0164837,19.8737293
"Prywatne Przedszkole ""Piotrusia Pana""",kindergarten,50.0845028,19.9468897
"Przedszkole ""Pępuś świata""",kindergarten,50.005972,20.012177
Przedszkole publiczne,kindergarten,50.0060488,20.0052396
