name,amenity,latitude,longitude
Szkoła Podstawowa nr 66 im. Edwarda Dembowskiego w Krakowie,school,50.0167367,19.8736646
Prywatna Szkoła Podstawowa nr 5,school,50.0642259,19.9377112
Szkoła Podstawowa Specjalna nr 121 im. św. Franciszka z Asyżu,school,50.0197468,20.0166248
Szkoła Podstawowa nr 109 im. Kornela Makuszyńskiego,school,50.0932358,19.9469236
Szkoła Podstawowa im. Bogdana Jańskiego,school,50.0799214,20.0206429
Szkoła Podstawowa nr 87 - Sportowa im. dr Henryka Jordana,school,50.0793712,20.0348601
Szkoła Podstawowa Specjalna nr 79,school,50.0687933,20.0551229
Szkoła Podstawowa nr 160 Zgromadzenia Sióstr Augustianek,school,50.0489654,19.9410917
Szkoła Podstawowa nr 105 im. Ludwiki Wawrzyńskiej,school,50.0780003,20.042239
Szkoła Podstawowa nr 135,school,49.9842039,19.9503625
"Chrześcijańska Szkoła Podstawowa ""Uczeń""",school,50.0858335,19.9041825
Szkoła podstawowa z oddziałem dwujęzycznym im. Piotra Michałowskiego,school,50.0661892,19.9284399
Szkoła podstawowa nr 159,school,50.0589646,19.942458
Szkoła Podstawowa nr 26 im A. Struga,school,50.0401046,19.9392397
Szkoła Podstawowa Źródło,school,50.0838754,19.9076743
Szkoła Podstawowa nr 52 im. Marii Dąbrowskiej,school,50.0834835,20.007327
Szkoła Podstawowa nr 110,school,50.050552,19.9238361
Szkoła Podstawowa nr 140 im. Stanisława Wyspiańskiego,school,50.0697418,20.1571553
Szkoła Podstawowa nr 60 im. Stanisława Wyspiańskiego,school,50.087648,19.9702598
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 128,school,50.0797644,19.9858893
"Społeczna Szkoła Podstawowa nr 4 im. Juliusza Słowackiego, STO 64",school,50.0673805,19.9375766
Szkoła Podstawowa Specjalna nr 131 im. św. Mikołaja,school,50.0675976,19.953003
Szkoła Podstawowa Wierchy,school,50.0836099,19.9076057
Katolicka szkoła podstawowa imienia świętej Jadwigi Królowej,school,50.0841797,19.9222716
Prywatna Szkoła Podstawowa im. Józefa Piłsudskiego,school,50.0230479,19.9830241
Szkoła Podstawowa Specjalna nr 150,school,50.0212242,19.9900894
Niepubliczna Szkoła Podstawowa z oddziałami dwujęzycznymi Cracow International School,school,50.0780765,19.9679285
Prywatna Szkoła Podstawowa Academos im. Edmunda Niziurskiego,school,50.0675783,19.9316271
Szkoła Podstawowa Przystanek Szkoła,school,50.0800531,19.929104
"Niepubliczna Chrześcijańska Szkoła Podstawowa nr 2 z Oddziałami Integracyjnymi ""Uczeń""",school,50.0277096,19.9181324
Szkoła Podstawowa nr 4 im. Romualda Traugutta,school,50.0593188,19.9316347
Szkoła Podstawowa nr 13,school,50.0988645,19.963804
Prywatna Szkoła Podstawowa i VII Prywatne Liceum Ogólnokształcące  im. Mikołaja. Reja,school,50.0557181,19.9390074
Szkoła Podstawowa nr 75,school,50.0739101,19.9625578
Szkoła Podstawowa nr 35 im. Króla Jana III Sobieskiego,school,50.0815692,19.8947516
Chrześcijańska Szkoła Podstawowa Uczeń,school,50.070611,19.902122
Szkoła Podstawowa Specjalna nr 59,school,50.1062457,19.9568355
Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 3 im. Andrzeja Frycza Modrzewskiego,school,50.0669926,19.9531028
