name,shop,amenity,latitude,longitude
O! Shop,convenience,,50.0747804,19.9101542
BP Krakowiak,convenience,fuel,50.0870389,19.9850877
O! Shop Orlen,convenience,,50.0107398,20.0098508
Lewiatan Market,convenience,,50.0880206,19.9683061
Żabka,convenience,,50.0162384,19.9092738
Żabka,convenience,,50.0652204,19.9387584
,convenience,,50.0632092,19.9402165
FH Smak,convenience,,50.0683437,20.01246
,convenience,,50.075169,19.9975681
Żabka,convenience,,50.0161743,20.0199029
Lewiatan,supermarket,,50.0930365,19.9940047
Stokrotka,supermarket,,50.0130369,19.9718397
Stokrotka,supermarket,,50.0182986,19.9828187
Avita,convenience,,50.0667965,19.9220191
Lewiatan,supermarket,,50.0977882,19.9593012
India@Store,convenience,,50.0542405,19.9479843
Żabka,convenience,,50.0747218,20.0480814
Carrefour Express,convenience,,50.0714772,19.9141668
Żabka,convenience,,50.0714289,19.914977
Lewiatan,supermarket,,50.0181888,19.985209
Lewiatan,convenience,,50.0763432,20.0473061
Groszek,convenience,,50.0144459,19.8902483
Żabka,convenience,,50.0868673,19.9256749
Żabka,convenience,,50.0198564,19.8981981
Czyżyk Supermarket,convenience,,50.071107,20.0461146
Biedronka,supermarket,,50.0079619,19.9590189
Delikatesy Podwawelskie,supermarket,,50.0729414,19.9802515
Cash&Carry Eurocash,supermarket,,50.0797813,19.8787021
Żabka,convenience,,50.027853,19.9290721
Biedronka,supermarket,,50.0760303,19.9281848
Pasaż 13,mall,,50.0602021,19.9380055
Biedronka,supermarket,,50.0732055,20.0250517
Lewiatan,supermarket,,50.0990236,19.9647139
Lewiatan,supermarket,,50.0733158,20.0289714
U Moniki,convenience,,50.069111,19.9304941
Carrefour Express,convenience,,50.0345348,19.9737233
Halex,convenience,,50.0787966,20.0277268
Biedronka,supermarket,,50.0428944,19.9686759
Lewiatan,convenience,,50.0443162,19.9830959
,convenience,,50.0449345,19.983107
Piekarnia Halagarda Pro,convenience,,50.0745268,20.0197692
Galeria Smaku u Jacka,convenience,,50.0190038,19.9059795
Avita,convenience,,50.0450417,19.9496737
Halagarda,convenience,,50.0854535,20.0744564
Żabka,convenience,,50.0731437,20.0094965
,convenience,,50.0589446,19.9762461
JustShop,convenience,,50.0576386,19.9382708
Biedronka,supermarket,,50.0269991,19.9206541
Globi,convenience,,50.0316899,19.9704658
,convenience,,50.0340947,19.9727366
Odido,convenience,,50.0870285,19.9059389
Lewiatan,supermarket,,50.0867939,19.9075832
Alpo,supermarket,,50.0719148,19.9242806
Carrefour Express,convenience,,50.0722234,19.9323851
Lewiatan,convenience,,50.0820866,20.0044809
"Sklep spożywczo-przemysłowy ""Jubilat""",convenience,,50.0881017,19.9141662
Żabka,convenience,,50.0874737,19.9166525
Groszek,convenience,,50.0126755,19.9102114
Lewiatan,convenience,,50.0791857,19.9737032
Carrefour Express,convenience,,50.0789418,19.8973024
Groszek,convenience,,50.0788623,19.8975406
Żabka,convenience,,50.080333,19.8952153
Żabka,convenience,,50.0791682,19.8963562
Żabka,convenience,,50.0226626,19.981111
Żabka,convenience,,50.0694022,20.0286622
Oliwka,convenience,,50.0690284,20.0284133
Żabka,convenience,,50.0398937,19.9256689
Biedronka,supermarket,,50.0896302,19.9625182
Avita,convenience,,50.0815357,19.9748595
Lewiatan,supermarket,,50.0868186,20.0101707
Avita,convenience,,50.0890092,20.0095348
Teresko,convenience,,50.0163455,19.8752323
Carrefour Express,convenience,,50.0595194,19.9378964
Lewiatan,supermarket,,50.0791035,19.8851777
Lewiatan,supermarket,,50.081526,19.8826798
Lewiatan,convenience,,50.0140583,20.0034856
,convenience,,50.0808424,19.8783713
,convenience,,50.0803967,19.8780735
,convenience,,50.0803846,19.8782881
,convenience,,50.080488,19.8788272
,convenience,,50.0808563,19.8781513
,convenience,,50.0807581,19.8786234
,convenience,,50.0803554,19.8785537
Żabka,convenience,,50.0568508,19.9447902
Żabka,convenience,,50.0816731,19.8822311
Żabka,convenience,,50.0813222,19.8886633
Żabka,convenience,,50.064106,20.0191944
"Sklep spożywczo-przemysłowy ""Nasz Sklep""",convenience,,50.0642948,20.0154143
,convenience,,50.0953121,20.0577379
,convenience,,50.1016005,20.0135015
Biedronka,supermarket,,50.0934188,20.0223255
,convenience,,50.0271255,19.9330066
Lewiatan,supermarket,,50.0863367,19.8942819
Żabka,convenience,,50.0856421,19.895584
Kocyk,convenience,,50.066645,19.9290919
Lewiatan,convenience,,50.0205342,19.8988892
Carrefour Express,convenience,,50.0725501,19.917947
Żabka,convenience,,50.0738466,19.9174464
Lewiatan,convenience,,50.0716346,19.9198715
Żabka,convenience,,50.071767,19.9235212
Lewiatan,convenience,,50.0151507,20.0094098
Żabka,convenience,,50.0663965,19.9696112
Żabka,convenience,,50.066642,19.9632537
,convenience,,50.0205758,19.9753604
