name,railway,latitude,longitude
Kraków Mydlniki,station,50.0835874,19.8597855
Kraków Nowa Huta,halt,50.0903614,20.1282485
Kraków Główny,station,50.0686663,19.947802
Kraków Płaszów,station,50.0350214,19.9747852
Kraków Prokocim,halt,50.0266172,19.9983218
Kraków Bieżanów Drożdżownia,halt,50.0106932,20.0352677
Kraków Bieżanów,station,50.0214997,20.0298488
Kraków Mydlniki Wapiennik,halt,50.091177,19.8444739
Kraków Łobzów,halt,50.0819507,19.91772
Kraków Lubocza,halt,50.0904669,20.0740178
Kraków Zabłocie,halt,50.0484407,19.9569831
Kraków Zakliki,halt,50.0797926,19.8494043
Kraków Młynówka,halt,50.0817947,19.8584723
Kraków Olszanica,halt,50.0764912,19.8255173
Kraków Bonarka,station,50.0298423,19.9464698
Kraków Łagiewniki,halt,50.0230861,19.9337391
Kraków Swoszowice,halt,50.0003673,19.9281054
Kraków Sidzina,halt,49.985557,19.8749008
Kraków Sanktuarium,halt,50.0139215,19.9343201
Kraków Podgórze,halt,50.0411604,19.9592209
Kraków Bronowice,halt,50.0828345,19.8923031
Kraków Opatkowice,halt,49.9884408,19.8985395
Kraków Złocień,halt,50.018159,20.0507407
Kraków Przylasek,halt,50.0519984,20.1635909
Kraków Grzegórzki,halt,50.0570638,19.9480267
Kraków Kościelniki,halt,50.08762489049424,20.168899881783275
