name,highway,latitude,longitude
Bratysławska 03,bus_stop,50.0828124,19.9346265
Plac Wolnica 02,bus_stop,50.048011,19.9435781
Mazowiecka 01,bus_stop,50.0778386,19.9176657
Łobzów SKA 01,bus_stop,50.0816562,19.9164263
Cmentarz Rakowicki Zachód 01,bus_stop,50.0761606,19.9467529
Torfowa 02,bus_stop,50.018913,19.9063861
Torfowa 01,bus_stop,50.0179419,19.9051402
Rybitwy Sklep 01,bus_stop,50.0415341,20.0283178
Rybitwy Dom Kultury 01,bus_stop,50.042677,20.0350867
Malczewskiego 03,bus_stop,50.0489996,19.9041371
Prądnik Biały 02,bus_stop,50.0962001,19.9302484
Bieżanowska 09,bus_stop,50.0233268,19.9804782
Bieżanowska 10,bus_stop,50.0228125,19.9820552
Dworcowa 04,bus_stop,50.0336561,19.9699996
Zesławice 01,bus_stop,50.1063224,20.0438592
Mistrzejowice 05,bus_stop,50.0959614,19.9962342
Zajezdnia Bieńczyce 01,bus_stop,50.0912224,20.0328945
Wzgórza Krzesławickie 02,bus_stop,50.0948632,20.0647317
Petőfiego 02,bus_stop,50.0941143,20.0355065
Zesławice Ogródki Działkowe 02,bus_stop,50.1056397,20.0496656
Kantorowice 01,bus_stop,50.1042347,20.0616863
Morcinka 03,bus_stop,50.1041242,20.071203
Jubileuszowa 01,bus_stop,50.1009989,20.0690159
UR Balicka 02,bus_stop,50.0808229,19.86552
Jerzmanowskiego 02,bus_stop,50.0106106,20.0080483
Jerzmanowskiego 01,bus_stop,50.0097066,20.0092725
Malborska 03,bus_stop,50.0260022,19.9748117
Jubilat 04,bus_stop,50.0560621,19.9266847
Nowy Kleparz 04,bus_stop,50.0737935,19.9350288
Nowy Kleparz 08,bus_stop,50.0747836,19.9350056
AGH / UR 01,bus_stop,50.0642847,19.9244122
Radio Kraków 02,bus_stop,50.0717751,19.9293048
AGH / UR 02,bus_stop,50.0627427,19.9230763
Nowy Kleparz 07,bus_stop,50.0742044,19.9363818
Radio Kraków 01,bus_stop,50.0717814,19.930435
Kawiory 04,bus_stop,50.0687523,19.9139822
Kawiory 01,bus_stop,50.0687842,19.9137865
Miasteczko Studenckie AGH 03,bus_stop,50.0703753,19.9042921
Kurdwanów P+R 04,bus_stop,50.0147596,19.9502348
Kurdwanów Szkoła 02,bus_stop,50.0050771,19.9654764
Kurdwanów Szkoła 01,bus_stop,50.0056998,19.9664078
Wielicka Granica Miasta 04,bus_stop,49.9998276,20.0280135
Koszykarska 02,bus_stop,50.052527,19.9889123
Centralna 01,bus_stop,50.0639787,20.0040776
Arctowskiego 02,bus_stop,50.0564732,20.0003517
Koszykarska 01,bus_stop,50.0525727,19.9899628
Arctowskiego 01,bus_stop,50.0570072,20.00175
Centralna 02,bus_stop,50.0630774,20.0034863
Góra Borkowska 03,bus_stop,50.006713,19.9245343
Clepardia 02,bus_stop,50.0932166,19.9447801
