name,power,man_made,latitude,longitude
,substation,,50.0448977,19.9515514
,substation,,50.069485,19.8985789
,substation,,50.0728622,19.9356556
,substation,,50.0720211,19.9226737
,substation,,50.0746846,19.9173701
,substation,,50.0697848,19.9156973
Oczyszczalnia ścieków,,wastewater_plant,50.0196312,19.8187624
,substation,,50.0585395,19.9372995
,substation,,50.0797255,19.9220033
,substation,,50.0232168,19.8953022
,substation,,50.0176158,20.0344805
,substation,,50.0609214,19.9280795
,substation,,50.0550772,19.9381178
,substation,,50.0502797,19.9492259
,substation,,50.0297864,19.9298555
,substation,,50.0401347,19.9268505
,substation,,50.0852941,19.9261985
,substation,,50.0864111,19.9306537
,substation,,50.0736993,19.9027002
,substation,,50.0827762,20.0107303
,substation,,50.08389,20.0099686
,substation,,50.0842634,20.0129644
,substation,,50.082083,20.0150106
,substation,,50.0773149,20.0118032
,substation,,50.0825517,20.0301615
,substation,,50.0820199,20.0289975
,substation,,50.0885624,20.0267364
,substation,,50.0966034,20.0088899
,substation,,50.0973458,20.0085077
,substation,,50.0988341,20.0211382
,substation,,50.0837804,20.0366535
,substation,,50.0722391,20.0341832
,substation,,50.0732192,20.0347151
,substation,,50.0774644,19.9321471
,substation,,50.0118357,19.9576009
,substation,,50.0147004,19.9599291
Kraków ul. Barska 10,substation,,50.051346,19.9290305
,substation,,50.0438257,19.9600902
,substation,,50.0457144,19.9507614
,substation,,50.0725134,19.9135046
,substation,,50.0734966,19.9111719
,substation,,50.0701411,19.9118395
,substation,,50.0682055,19.9211015
,substation,,50.0745197,19.9143263
,substation,,50.0737566,19.9304971
,substation,,50.073985,19.9325394
,substation,,50.0781866,19.9307435
,substation,,50.0798711,19.9330756
,substation,,50.089585,19.9175771
,substation,,50.0858252,19.9248091
,substation,,50.0947009,19.9327768
,substation,,50.0950945,19.9495471
,substation,,50.0966773,20.0107553
,substation,,50.0976651,20.0109758
,substation,,50.1021008,20.0069548
,substation,,50.0965639,20.0152989
,substation,,50.0978744,20.0149266
,substation,,50.1007948,20.021129
,substation,,50.1027407,20.014018
,substation,,50.0775202,20.0360369
,substation,,50.0777799,20.0379225
,substation,,50.0771251,20.041004
,substation,,50.0776304,20.0445213
,substation,,50.0792979,20.0411572
,substation,,50.0807279,20.0420964
,substation,,50.0789673,20.0458324
,substation,,50.0756876,20.0489314
,substation,,50.0750721,20.051413
,substation,,50.0739671,20.050254
,substation,,50.0780489,20.0343973
,substation,,50.071192,20.0407176
,substation,,50.0730921,20.039302
,substation,,50.0749449,20.0358247
,substation,,50.0647322,20.0169345
,substation,,50.0634417,20.0026516
,substation,,50.076711,20.0091996
,substation,,50.08475,20.0025275
,substation,,50.0813113,20.010615
,substation,,50.0795923,20.0233885
,substation,,50.0912029,20.0077819
,substation,,50.0660034,19.9572261
,substation,,50.0653793,19.9505263
,substation,,50.0664924,19.9544621
,substation,,50.0555934,19.9514256
,substation,,50.0577128,19.9492938
,substation,,50.0482408,19.9469583
,substation,,50.0485312,19.9454463
,substation,,50.0464077,19.9417673
,substation,,50.0717137,19.9593219
,substation,,50.0735353,19.9597889
,substation,,50.0692084,19.9621035
,substation,,50.0673804,19.9631236
,substation,,50.0671749,19.9671432
,substation,,50.0723156,19.9653267
,substation,,50.0778465,19.9763278
,substation,,50.0794484,19.9760041
,substation,,50.0876862,19.9423369
,substation,,50.0949875,20.0620861
,substation,,50.0694857,19.8574993
,substation,,50.0558212,19.9223104
,substation,,50.0652901,19.9146143
,substation,,50.0674111,19.9466845
,substation,,50.063746,19.9263334
,substation,,50.0438581,19.9465447
,substation,,50.0424846,19.9460528
,substation,,50.0464733,19.9731595
,substation,,50.0463336,19.9748101
Kraków ul. Chmielna,substation,,50.0119013,19.9453713
Kraków ul. Domagały Fadom,substation,,50.0301066,20.048505
Kraków ul. Domagały 1 Enix,substation,,50.0294644,20.0478998
,substation,,50.0250482,19.9233083
"Kraków ""Trasa Łagiewnicka TD-04 CZTO""",substation,,50.0232491,19.9236917
,substation,,50.0240113,19.9195686
,substation,,50.0270861,19.9114451
,substation,,50.026611,19.9205369
Kraków ul. Wadowicka 30,substation,,50.0312776,19.9381556
,substation,,50.040297,19.9637792
,substation,,50.0397736,19.9652269
,substation,,50.0490042,19.9638881
,substation,,50.0342928,19.9345979
,substation,,50.0492586,19.9502528
,substation,,50.0534082,19.9133808
Proton Property Sp. z o.o.,substation,,50.0104722,19.9321801
ul. Zakopiańska Agata 6,substation,,50.0113356,19.9292804
Kraków ul. Zakopiańska Carrefour T6,substation,,50.0120877,19.9325319
"Kraków ul. Zakopiańska ""LEXUS""",substation,,50.0121627,19.9285255
,substation,,50.0424106,19.9358046
,substation,,50.0421865,19.9310483
,substation,,50.042518,19.9301579
,substation,,50.0472428,19.9561857
Kraków pl. Boh.Getta Wieżowiec,substation,,50.0468561,19.9560945
"Kraków, ul. Kalwaryjska 68/Śliska 9",substation,,50.0394047,19.9416955
Kraków ul. Bagrowa 1,substation,,50.0360842,20.0033812
,substation,,49.9980254,19.8501876
,substation,,50.035065,19.9373471
,substation,,50.0350762,19.9373806
,substation,,50.0374778,20.0160683
,substation,,50.0372258,20.0135945
,substation,,50.0371331,20.0220832
,substation,,50.0388917,20.0224267
,substation,,50.0392516,20.0247554
,substation,,50.0484366,19.9324007
Kraków ul. Kapelanka GHELAMCO,substation,,50.044782,19.9211716
,substation,,50.0050465,19.9487426
,substation,,50.0222545,19.8903234
,substation,,50.0544122,19.9236243
,substation,,50.0547151,19.9242921
,substation,,50.0533874,19.9208897
,substation,,50.0539411,19.9223258
,substation,,50.0535543,19.9145933
,substation,,50.0571991,19.9303724
Zwierzyniecka,substation,,50.0559135,19.9281669
Jubilat,substation,,50.0560417,19.9277558
pl. Kossaka 1,substation,,50.0559094,19.9283715
Retoryka 28,substation,,50.0567282,19.9289922
pl. Kossaka 6,substation,,50.0567441,19.9283931
Straszewskiego 17 Hotel,substation,,50.0581362,19.9333468
Straszewskiego 18 Filharmonia,substation,,50.0590692,19.9328872
Straszewskiego 22 Filharmonia,substation,,50.0599268,19.9324298
,substation,,50.0685181,19.8482262
,substation,,50.0625478,19.8370705
,substation,,50.0606669,19.9222743
,substation,,50.0680497,19.9467268
,substation,,50.0741855,20.0262887
,substation,,50.073968,20.0266214
,substation,,50.0354511,19.9269853
,substation,,50.0534568,19.9584163
,substation,,50.0413195,19.999312
,substation,,50.0105935,19.8738958
,substation,,50.0366467,20.047279
,substation,,50.0306751,20.045755
,substation,,50.0276458,20.0373881
,substation,,50.0306416,20.0492191
,substation,,50.0484943,19.9677046
,substation,,50.04894,19.9663945
,substation,,50.048863,19.9646332
ST SO-5,substation,,50.0676887,19.9487942
,substation,,50.0642709,19.9275677
,substation,,50.0580972,19.9679915
,substation,,50.0924459,19.9628935
,substation,,50.0638568,19.9394245
,substation,,50.0636554,19.9411612
,substation,,50.0627319,19.9425429
,substation,,50.0746821,19.9389065
,substation,,50.0861548,19.9970562
,substation,,50.0849457,19.9965495
,substation,,50.0839359,19.9958513
,substation,,50.0845622,19.9980602
,substation,,50.0791705,19.9930201
,substation,,50.0764376,19.9940879
,substation,,50.0759929,19.9942294
,substation,,50.0759498,19.9954751
,substation,,50.075278,19.9946721
,substation,,50.0749922,19.9960971
,substation,,50.0727966,20.0013781
,substation,,50.0707013,19.9819167
,substation,,50.0287775,19.9217495
,substation,,50.0273172,19.908562
,substation,,50.0492852,19.910597
,substation,,50.0525712,19.9275342
,substation,,50.0530352,19.9298647
,substation,,50.0510346,19.9314056
,substation,,50.0445855,19.936179
,substation,,50.0457135,19.9480015
,substation,,50.0473078,19.9516926
,substation,,50.0495373,19.947772
,substation,,50.08539,19.8888048
,substation,,50.0937038,19.9461397
,substation,,50.0942669,19.9365082
,substation,,50.0945942,19.9349531
,substation,,50.0940635,19.9345791
,substation,,50.0954901,19.9371485
,substation,,50.0980327,19.9317906
,substation,,50.071444,20.0530786
,substation,,50.0679047,20.0515249
,substation,,50.0295652,19.9090951
,substation,,50.030154,19.9064377
,substation,,50.026488,19.9017232
,substation,,50.0209432,19.8955115
,substation,,50.0198407,19.8922623
,substation,,50.0381649,19.9566154
,substation,,50.0949769,19.9538408
,substation,,50.0947052,19.9555384
,substation,,50.0849043,19.9309605
,substation,,50.0840423,19.9348287
,substation,,50.0834779,19.9348503
,substation,,50.0834482,19.9319834
,substation,,50.0493414,19.866921
,substation,,50.0457596,19.8400647
,substation,,50.0731683,19.9797463
,substation,,50.0719073,19.9748198
,substation,,50.0750317,19.9587689
,substation,,50.0771271,19.9592694
,substation,,50.0731218,19.9647174
,substation,,50.0692657,19.9605239
,substation,,50.0674918,19.9584978
,substation,,50.0665724,19.9618343
,substation,,50.0679867,19.9675971
,substation,,50.0128445,19.9919258
,substation,,50.0366477,20.0087447
,substation,,50.0363377,20.0199471
,substation,,50.0365806,20.023273
,substation,,50.0309415,20.0507198
,substation,,50.029632,20.0496722
,substation,,50.0353641,20.0059975
,substation,,50.035313,20.0059869
,substation,,50.0337871,20.0059496
,substation,,50.0337643,20.005946
,substation,,50.0333892,20.0053461
,substation,,50.0326949,20.0072769
,substation,,50.0317094,20.00563
,substation,,50.0315464,20.0100424
,substation,,50.0306217,20.0121827
,substation,,50.0338845,20.009267
,substation,,50.0364559,20.012684
,substation,,50.032138,20.0209566
,substation,,50.0366108,20.048739
,substation,,50.0434844,19.8189006
,substation,,50.044877,19.8174294
,substation,,50.0639274,19.9383729
,substation,,50.0644181,19.9387283
,substation,,50.0648606,19.9389979
,substation,,50.0647685,19.9404356
,substation,,50.0644655,19.9417887
,substation,,50.0636846,19.9439023
,substation,,50.0630966,19.9408379
,substation,,50.0627876,19.9405791
