name,amenity,leisure,tourism,latitude,longitude
Multikino Łódź,cinema,,,51.7589818,19.4605689
,,,viewpoint,51.8468159,19.5131685
Górka Rogowska,,,viewpoint,51.8166232,19.4971202
Muzeum Miasta Łodzi,,,museum,51.7787211,19.4510486
Muzeum Fabryki,,,museum,51.7807947,19.4480512
,,,attraction,51.832621,19.477472
Teatr Mały,theatre,,,51.7805499,19.4462037
"Muzeum Tradycji Niepodległościowych, oddz. ""Radogoszcz"", EKSPOZYCJA MUZEALNA",,,museum,51.8095763,19.4388767
Beczki Grohmana,,,attraction,51.7553675,19.4739108
Muzeum Sztuki MS1,,,museum,51.7718438,19.4482831
Muzeum Miasta Łodzi Oddział Kultur i Tradycji Wyznaniowych,,,museum,51.7761508,19.4543839
MKS Jedynka,,sports_centre,,51.755099,19.5406061
Klub Osiedlowy „Alternatywy”,community_centre,,,51.7581965,19.5271144
Siłownia,,sports_centre,,51.7579478,19.5269925
Rudzka Góra,,,viewpoint,51.7085277,19.4420407
,,,attraction,51.7535319,19.4825613
Dawny budynek straży pożarnej,,,attraction,51.753935,19.4808826
Dawny budynek konsumów,,,attraction,51.755802,19.4804656
Szkoła Powszechna K. Scheiblera,,,attraction,51.7559819,19.4814515
Pałac Herbsta,,,attraction,51.7542671,19.484721
Zespół willi Wilhelma Teschemachera,,,attraction,51.7564699,19.4633028
Ogród przywillowy Rassalskich,,,attraction,51.756198,19.4602097
Otoczenie kamienicy Gelicha,,,attraction,51.7540193,19.4591586
Kamienica K. Gelicha,,,attraction,51.7540326,19.4594038
kamienica Tomaszowskiej Fabryki Sztucznego Jedwabiu,,,attraction,51.7550211,19.4592395
kamienica wielkomiejska,,,attraction,51.7542513,19.4593537
Tkalnia Sp. A. Wyrobów Wełnianych i Bawełnianych Marcusa Silbersteina,,,attraction,51.7516573,19.4609727
Dom rezydencjonalny Karola Königa,,,attraction,51.7509678,19.4605929
Kamienica Henryka Birnbauma (z 2 oficynami),,,attraction,51.7503906,19.4607078
Zespół pałacowy Emmy i Roberta Schweikertów,,,attraction,51.7500692,19.4613922
Willa Gustawa i Roberta Geyerów,,,attraction,51.7461339,19.4620005
Pałac Karola i Emila Steinertów,,,attraction,51.7475082,19.4614116
Budynek elektrowni,,,attraction,51.7458954,19.4620471
Zespół budynków fabryki Ludwika Geyera,,,attraction,51.7442364,19.4612065
Dom Jana Petera,,,attraction,51.7745257,19.4548601
Kamienica A. Lubińskiego,,,attraction,51.7737854,19.4550991
Kamienica Bechtoldów,,,attraction,51.7738309,19.4555653
,,,viewpoint,51.704878,19.3714449
Nieoficjalny punkt widokowy,,,viewpoint,51.706906,19.3551585
,,,viewpoint,51.7179312,19.3674427
Wójtowski Młyn,,,attraction,51.7563716,19.4929441
Sala Zabaw „Smocza Jama”,,,theme_park,51.7411531,19.4803728
Teatr Szwalnia,theatre,,,51.7611427,19.4330707
Miejski Ośrodek Pomocy Społecznej Łódź Górna,community_centre,,,51.7367454,19.4436613
,,,viewpoint,51.7225969,19.4091177
Kochankowie z ulicy Kamiennej,fountain,,artwork,51.7739896,19.458459
,drinking_water,,attraction,51.7727836,19.4557277
Mural,,,artwork,51.7758868,19.4528823
Mural,,,artwork,51.776355,19.4512999
Mural,,,artwork,51.7661619,19.4545823
Mural,,,artwork,51.7765668,19.4502859
Famuły Księży Młyn,,,attraction,51.7548428,19.481796
,,,attraction,51.7892421,19.4722976
Teatr Powszechny,theatre,,,51.7766673,19.4500288
Polonia,cinema,,,51.7682834,19.4552498
Zespół Zakładów Przemysłu Spirytusowego „Monopol Wódczany”,,,attraction,51.7628942,19.4851761
Energy Fitness,,fitness_centre,,51.736716,19.3838307
Lordi's Club & FooFoo Bar,nightclub,,,51.7650678,19.4584943
Retkińska morela,,,artwork,51.7448505,19.4194712
Akademicki Klub Karate,,sports_centre,,51.76538,19.4273469
„Koń Tuwimowski”,,,artwork,51.7622393,19.4485708
,,,artwork,51.8042294,19.4451493
Willa Paula Habicha,,,attraction,51.7090153,19.427215
Casinos Poland,casino,,,51.7790208,19.4497884
dawny Rosyjski Bank Państwa (1906-08),,,attraction,51.7680082,19.4542349
Dawny Łódzki Bank Handlowy,,,attraction,51.768225,19.4531936
Charlie,cinema,,,51.7549718,19.4586413
3D Wytwórnia,cinema,,,51.7575547,19.4434839
Muzeum Tradycji Niepodległościowych,,,museum,51.7757364,19.4473997
Willa Ryszarda Geyera,,,attraction,51.746068,19.4590091
Centrum Artystyczne Hokus Pokus,arts_centre,,,51.7545898,19.4644301
Galeria Sztuki Kookaburra Studio,,,gallery,51.7717954,19.4553363
Macierzyństwo,,,artwork,51.7476126,19.408282
Bociany,,,artwork,51.746962,19.4181455
Pt47-1,,,attraction,51.732857,19.5983463
Broadway18,nightclub,,,51.7519939,19.4527467
Łaźnia Geyera,,,attraction,51.7454621,19.4634946
Św. Faustyna Kowalska,,,artwork,51.7407804,19.4631812
Activity Club,,sports_centre,,51.7389338,19.4616307
Pałac Scheiblerów,,,attraction,51.7495894,19.4609604
Willa Józefa Richtera,,,attraction,51.7486765,19.4531341
Willa Zygmunta Richtera,,,attraction,51.7506057,19.4554565
Fabryka Sztuki w Łodzi,arts_centre,,,51.7485453,19.4634312
Bielnik Kopischa,,,attraction,51.748967,19.4639228
,,,artwork,51.7673234,19.4696536
Willa Ryszarda Köeniga,,,attraction,51.7286525,19.4491973
Pałac Juliusza Kindermanna,,,attraction,51.7613274,19.4578123
Sala Teatralna im. ks. Jerzego Popiełuszki,theatre,,,51.7607304,19.4638343
Przędzalnia Salomona Barcińskiego,,,attraction,51.7536752,19.4695209
Mural z Jelonkiem,,,artwork,51.7626148,19.4406747
Pływalnia przy SP 19,,sports_centre,,51.7413005,19.389061
Fit Fabric 14.0,,sports_centre,,51.747479,19.5733121
Klub DOM,nightclub,,,51.7611732,19.4594569
Dom Tkaczy,,,attraction,51.752134,19.4603838
Dom Towarzystwa Akcyjnego Ludwika Geyera,,,attraction,51.7681602,19.4568253
Madame Chicken,,,artwork,51.7438928,19.4518267
Still Life,,,artwork,51.7440627,19.451802
,,,artwork,51.7467046,19.4539004
,,,artwork,51.7396647,19.4510414
Bookłażan,,,artwork,51.7457409,19.4552526
,,,artwork,51.7477161,19.4517348
,,,artwork,51.7477639,19.4534776
Wytwórnia Sala Koncertowa,,dance,,51.7577784,19.4425156
Kino Helios,cinema,,,51.7489896,19.4483577
Czółenko,,,artwork,51.7569872,19.4310709
Dawny kantor fabryki Silbersteinów,,,attraction,51.7519894,19.4603741
Pałac Augusta Haertiga,,,attraction,51.7524342,19.460329
FitFabric 3.0,,sports_centre,,51.8180157,19.4348371
,,,artwork,51.7806765,19.4938174
,,,artwork,51.7806246,19.4930145
Planetarium EC1,planetarium,,museum,51.7681501,19.4699213
Klub Osiedlowy Nr 2 Spółdzielni Mieszkaniowej „Chojny”,community_centre,,,51.7162882,19.4799738
,,,artwork,51.7355368,19.4703832
Narraganset,nightclub,,,51.7596653,19.4509963
TEO,,,artwork,51.7940837,19.383382
Capoeira Łódź - Centrum Academia,,fitness_centre,,51.7641435,19.4695999
,,,artwork,51.7598882,19.4788997
Dom firmy „Krusche - Ender”,,,attraction,51.7609868,19.4579094
Biała Fabryka Geyera,,,attraction,51.7455063,19.4618741
FitFabric,,sports_centre,,51.7613575,19.469806
,,,artwork,51.7703778,19.4421125
Śródmiejskie Centrum Kultury,arts_centre,,,51.7607569,19.461827
Abracadabra Da Club,nightclub,,,51.7652326,19.4594647
Soda Underground Stage,nightclub,,,51.7651341,19.4588455
Sferyczne Kino 3D,cinema,,,51.7675997,19.4683483
,,,attraction,51.7851817,19.4444349
Atmosfera Fitness Club,,fitness_centre,,51.7480304,19.4124944
,,,viewpoint,51.8234428,19.4676011
Biuro Turystyczne WONDERLAND,,,attraction,51.7914789,19.449029
MRS.SPORTY,,sports_centre,,51.7372839,19.384781
Max Gym,,sports_centre,,51.7632909,19.4374212
Muszla koncertowa,theatre,,,51.804592,19.4460669
Muzeum Farmacji im. prof. Jana Muszyńskiego,,,museum,51.7762288,19.4542896
Energy Fitness Club,,sports_centre,,51.7367167,19.3839763
Centrum Tańca i Zabawy TWISTER,arts_centre,,,51.7904993,19.4506912
Saltos,,sports_centre,,51.7636714,19.4921666
Matka Polka,,,artwork,51.7052158,19.4804692
Revolve Fitness,,fitness_centre,,51.7457885,19.4696181
Willa Ferdynanda Köeniga,,,attraction,51.7301404,19.4513007
zabytkowe autobusy,,,attraction,51.7542351,19.3816741
Dawny kompleks młyński Reicha,,,attraction,51.7342836,19.4501794
Łódzki Manhattan,,,attraction,51.7584496,19.4604664
Łódzki Manhattan,,,attraction,51.7570998,19.460268
Łódzki Manhattan,,,attraction,51.7551855,19.4606971
Dawny Uniontex - ruiny magazynów,,,attraction,51.7504333,19.4715644
Dawny Uniontex - ruiny farbiarni,,,attraction,51.7497415,19.4712571
Dawny Uniontex - ruiny bielnika,,,attraction,51.7499362,19.4719575
Dawny Uniontex - ruiny tkalni,,,attraction,51.7494576,19.4722112
Dawny Uniontex - ruiny budynku administracji i szatni,,,attraction,51.7501408,19.4733826
Dawny Uniontex - ruiny przygotowalni,,,attraction,51.7506704,19.4731211
Well Fitness,,fitness_centre,,51.7586623,19.5378776
Dom literatury,community_centre,,,51.7608041,19.4618536
Energy Fitness Club,,fitness_centre,,51.7760547,19.4509542
