name,leisure,landuse,natural,latitude,longitude,area_m2,score
Las Popioły,,forest,,51.69407090112052,19.454194876337496,3742178.9709518002,2993743.1767614405
Park Widzewski,park,,,51.76171498776311,19.511343122007194,176344.65955219857,176344.65955219857
Park Poniatowskiego,park,,,51.75403464177328,19.442394735001187,1107116.689454512,1107116.689454512
Park nad Jasieniem,park,,,51.75807108464532,19.493076419747087,244915.0205898804,244915.0205898804
,,forest,,51.75048720422436,19.539018501260163,261749.79056852355,209399.83245481885
Lasek Widzewski,park,,,51.75307210483859,19.545536067546536,651680.6704289721,651680.6704289721
Park Piłsudskiego,park,,,51.76683218832579,19.412484010428205,5472530.28531309,5472530.28531309
,,grass,,51.783197064614384,19.438459762696265,128131.31910540802,89691.92337378561
Park Ocalałych,park,,,51.78609750910143,19.47297691104898,211295.99333156334,211295.99333156334
Skwer Gdański,park,,,51.78814524740823,19.472670776522776,53965.38905076645,53965.38905076645
,,forest,,51.81844995288771,19.444551672658207,22875.417552192375,18300.3340417539
,,forest,,51.822039845189096,19.44726006837943,8421.832893018729,6737.466314414984
,,forest,,51.75087289300358,19.378659829930953,222819.24695803446,178255.3975664276
Skwer Świętej Siostry Faustyny Kowalskiej,park,,,51.740678435207606,19.46356492140223,15057.608514455904,15057.608514455904
Park Miejski przy ul. Leczniczej,park,,,51.735791335728536,19.473218279370606,47885.470242286065,47885.470242286065
,park,,,51.731557556531776,19.46316326480072,44545.6311619105,44545.6311619105
,,forest,,51.73103236175505,19.59997593402289,86373.11247379034,69098.48997903228
,,forest,,51.73478206922358,19.600412830491717,165593.51212049217,132474.80969639376
,,forest,,51.74169732614644,19.58872549098548,408387.4137106742,326709.9309685394
,,forest,,51.74524318175198,19.588575228257067,13679.440753097802,10943.552602478243
Widzewska Górka I,park,,,51.75754345070651,19.52424541550964,131563.13602283006,131563.13602283006
Widzewska Górka II,park,,,51.757371196661445,19.529369615339796,103034.27612178882,103034.27612178882
,,forest,,51.7494703316027,19.551543395174022,205935.26689948418,164748.21351958736
,,forest,,51.75149390386213,19.572337719751705,36475.908287887316,29180.726630309855
,,forest,,51.75141701568867,19.57977485559271,256495.17745622413,205196.14196497932
,,forest,,51.74937646155412,19.58627993365427,48588.672937278265,38870.938349822616
,,forest,,51.744511484630806,19.578363236455715,29093.191420031406,23274.553136025126
,,forest,,51.736518598264766,19.576274178905923,224845.5970310777,179876.47762486216
,,forest,,51.735597655808185,19.56629509746706,55007.45959310204,44005.96767448163
,,forest,,51.73728614250899,19.569614106169144,13915.156427849806,11132.125142279845
,,forest,,51.73048365264084,19.549699272033187,68141.75702821092,54513.40562256874
Park na Młynku,park,,,51.72559351339289,19.523603056754386,404146.7066944185,404146.7066944185
,,forest,,51.8063799074243,19.55025992917446,46424.641411909935,37139.71312952795
,,forest,,51.80476403482441,19.553057281511467,305082.322061565,244065.85764925202
,,forest,,51.807111230411174,19.556227581922126,27747.96701941192,22198.373615529537
,,forest,,51.804743066265154,19.555538440265778,37251.93325433515,29801.54660346812
,,forest,,51.806252638231825,19.558827037049998,171156.18042508818,136924.94434007056
,,forest,,51.80684037179467,19.566582329740676,872479.2175341089,697983.3740272871
Dolna Łaka,,meadow,,51.726377455818294,19.372639630300664,16372.315097818007,8186.157548909004
Łąka Górna,,meadow,,51.726821694081046,19.376903424690727,7362.4605055872835,3681.2302527936417
Polanka,,meadow,,51.72745458877959,19.37535281254519,1389.9697183935366,694.9848591967683
,,forest,,51.735392303637106,19.369248962711463,30097.427180047365,24077.941744037893
,,forest,,51.72497508171216,19.352863259301913,27523.371425239493,22018.697140191594
,,forest,,51.72580123469279,19.352884684213723,5715.99668484849,4572.797347878793
,,forest,,51.72492454378115,19.355289821693557,9586.165289834815,7668.932231867852
,,forest,,51.72439907575439,19.34910105097425,249538.30347922834,199630.64278338267
,,forest,,51.71588035231054,19.344168044560124,75151.43315173096,60121.14652138477
,,forest,,51.714444461148155,19.345680408020424,186607.5295677312,149286.02365418497
,,forest,,51.71204133085702,19.351608102369504,120791.23332329423,96632.98665863539
,,meadow,,51.763335195649965,19.390840270698114,89218.33208144153,44609.16604072077
,,meadow,,51.76226660277156,19.388444717044337,24840.426427670525,12420.213213835263
,,forest,,51.72087425586248,19.35666711226343,60860.850729525555,48688.680583620444
,,forest,,51.80567200667373,19.52418727297442,117283.48787832432,93826.79030265946
,,forest,,51.81920548184649,19.54855675391111,27224.959133093413,21779.967306474733
,,forest,,51.848945784470274,19.464694009316375,269454.0381182755,215563.23049462042
Park Piastowski,park,,,51.79966586436721,19.37075854464652,136726.411727758,136726.411727758
Skwer leśny przy Odrzańskiej,park,,,51.71391935488759,19.42368394277602,35935.11788864442,35935.11788864442
,,forest,,51.812508680893316,19.58111177958696,96732.46438855791,77385.97151084633
,,forest,,51.801821896782926,19.59606044294761,553311.7662608617,442649.41300868936
,,forest,,51.804697887956266,19.600399263040767,61337.43920328806,49069.95136263045
,,forest,,51.80731169601039,19.60079649080299,178528.40339180495,142822.72271344397
,,forest,,51.71683615505918,19.3867350189858,59616.39111121654,47693.112888973235
,,forest,,51.71673583512252,19.390615465581565,88418.2455281926,70734.59642255408
,,forest,,51.73033022812703,19.41707950945544,219881.481549222,175905.1852393776
,,forest,,51.77529064605267,19.59560163754384,748952.155325686,599161.7242605488
,,forest,,51.70701900153461,19.57082081192472,18882.452323956077,15105.961859164861
,,forest,,51.70605818350021,19.573853740777253,10842.301113144698,8673.84089051576
,,forest,,51.708337191770944,19.57821268422578,7212.246678576705,5769.797342861364
,,forest,,51.69809946160129,19.505567537502504,80480.29441411863,64384.23553129491
Park Wenecja im. Juliusza Słowackiego,park,,,51.733592247308096,19.45424704605163,98979.81943082732,98979.81943082732
Park im. Tadeusza Rejtana,park,,,51.73858767616909,19.44847426704804,183621.30541937548,183621.30541937548
Park im. Jana Kilińskiego,park,,,51.75255756003118,19.474092689297915,60280.569415921185,60280.569415921185
Park Źródliska II,park,,,51.75777410039758,19.475100937968246,155182.19389926296,155182.19389926296
Park im. Stefana Żeromskiego,park,,,51.79519911926936,19.384326159889344,62120.41391104328,62120.41391104328
Park im. Zofii Garlickiej,park,,,51.70331774539803,19.478014156123855,21076.188403559045,21076.188403559045
,park,,,51.714372337143715,19.480926343394046,74237.12711111753,74237.12711111753
,,forest,,51.6962133393835,19.46738091068671,57020.490356711656,45616.39228536933
,,grass,,51.71055006346426,19.485884513283416,9305.217464658208,6513.652225260746
,park,,,51.75464366870611,19.476290788611742,37188.222163253806,37188.222163253806
,,forest,,51.800402795780215,19.57577246493925,231937.25396666664,185549.80317333332
Pałac Edwarda Herbsta,garden,,,51.754372597380076,19.485527339127078,38973.5272848214,31178.821827857122
,,forest,,51.81372743796148,19.610145572049994,52673.37294771661,42138.69835817329
,,grass,,51.73856457124517,19.401898475515857,86232.49911524977,60362.74938067483
,,grass,,51.73421810614589,19.40469065725381,9131.665690653932,6392.165983457752
Uroczysko Lublinek,park,,,51.73128907370448,19.387643790326,1248174.4047630709,1248174.4047630709
,,forest,,51.70989872589863,19.41103492203948,20470.465501231156,16376.372400984925
,,grass,,51.748607482781765,19.460085323166997,4664.299563459123,3265.009694421386
,,grass,,51.7492756812277,19.45913526294629,1543.477298029976,1080.4341086209831
,,grass,,51.74856030193516,19.458790135347876,6711.910319894034,4698.337223925823
,,grass,,51.73205112821117,19.453378313977158,1069.7838240984518,748.8486768689162
,,grass,,51.72521621885849,19.384945578743594,43353.451614035774,30347.41612982504
,,grass,,51.72192285085055,19.361229124803298,37165.44991375794,26015.814939630556
,,grass,,51.75459724034427,19.3935124265604,1025283.3365472918,717698.3355831043
,,,grassland,51.75291620500057,19.387230635031294,184035.2076053125,128824.64532371874
,,grass,,51.75338741398369,19.451025890176062,3453.868213835109,2417.7077496845764
,,grass,,51.75288966421626,19.45112335688615,7735.963457531585,5415.174420272109
,,grass,,51.73129582199883,19.476760283121102,3192.4500420869917,2234.715029460894
,,grass,,51.732087188215445,19.4787184385832,18436.906441453124,12905.834509017186
,,forest,,51.71675351991172,19.41189799206525,37927.01247123423,30341.609976987384
,,grass,,51.81490928411887,19.424841040540638,1405.4712775969965,983.8298943178975
,,grass,,51.816854325860035,19.424067935454264,2766.7421293802604,1936.7194905661822
,,grass,,51.8171284327835,19.424152879104557,4072.595201169186,2850.81664081843
