name,amenity,latitude,longitude
Przedszkole Sukces,kindergarten,51.8293041,19.4274735
Niepubliczne Przedszkole dla Dzieci o Specjalnych Potrzebach Rozwojowych,kindergarten,51.7825558,19.4548675
Niepubliczne Przedszkole Integracyjne dla Dzieci z Wadami Słuchu,kindergarten,51.8010955,19.433713
Niepubliczne Przedszkole Rybna 7,kindergarten,51.7852881,19.44683
Przedszkole,kindergarten,51.710973,19.5453054
Przedszkole Miejskie Nr 163,kindergarten,51.757093,19.527007
Przedszkole Miejskie Nr 164,kindergarten,51.7526783,19.5412026
Przedszkole Miejskie nr 18,kindergarten,51.7812325,19.4592153
Przedszkole Miejskie Nr 192,kindergarten,51.7148199,19.4901184
Przedszkole Miejskie nr 20,kindergarten,51.7062626,19.4729392
Przedszkole Miejskie Nr 207,kindergarten,51.7478653,19.4612658
Przedszkole Miejskie Nr 215,kindergarten,51.7168589,19.4807454
Przedszkole Miejskie nr 218,kindergarten,51.7605052,19.5454481
Przedszkole Miejskie Nr 223,kindergarten,51.7647719,19.4620706
Przedszkole Miejskie nr 227,kindergarten,51.7560661,19.5207712
Przedszkole Miejskie nr 234,kindergarten,51.7422091,19.5667223
Przedszkole Miejskie nr 235,kindergarten,51.8176676,19.426345
Przedszkole Miejskie nr 35,kindergarten,51.7837807,19.4514177
Przedszkole Miejskie nr 71,kindergarten,51.7747506,19.4589647
Przedszkole Miejskie nr 224,kindergarten,51.7659201,19.4846429
Przedszkole Miejskie nr 199,kindergarten,51.7613249,19.4406168
Przedszkole Misiowo,kindergarten,51.7831721,19.3868251
Publiczne Przedszkole „Galileo”,kindergarten,51.7414753,19.5654141
Przedszkole ABC,kindergarten,51.7398268,19.5766297
Przedszkole Miejskie nr 94,kindergarten,51.7919017,19.5234028
Przedszkole Sióstr Honoratek im. Anieli Róży Godeckiej,kindergarten,51.7303893,19.4720986
Katolickie Przedszkole Zgromadzenia Sióstr Karmelitanek Dzieciątka Jezus,kindergarten,51.815639,19.4260288
Przedszkole Miejskie nr 39,kindergarten,51.7796579,19.4786732
Przedszkole Lingwistyczne,kindergarten,51.8194395,19.4425456
Tęczowy Świat Dziecka. Międzynarodowe Przedszkole Edukacji Innowacyjnej,kindergarten,51.7747429,19.471522
Przedszkole Żywioły,kindergarten,51.736679,19.447557
Przedszkole Lokomotywa,kindergarten,51.8084428,19.4358613
Przedszkole British International School of the University of Łódź,kindergarten,51.7565453,19.4719271
Przedszkole bł. Marii i Alojzego Beltrame Quattrocchi,kindergarten,51.7780113,19.4487541
Przedzkole miejsce nr 13,kindergarten,51.7742822,19.4611154
Przedszkole Pomarańczowe,kindergarten,51.7483321,19.4270267
Przedszkole Miejskie 57,kindergarten,51.7712313,19.4615968
Przedszkole Miejskie nr 183,kindergarten,51.7619102,19.5263439
Przedszkole Miejskie Nr 171,kindergarten,51.7587125,19.5416489
Przedszkole Uniwersytetu Łódzkiego,kindergarten,51.7799742,19.4975915
Przedszkole Miejskie nr 204,kindergarten,51.8246103,19.4320314
Przedszkole na Księżym Młynie,kindergarten,51.7520588,19.4719139
Przedszkole Miejskie nr 228,kindergarten,51.7930672,19.5874362
Przedszkole niepubliczne Eko-Junior,kindergarten,51.7773903,19.3900449
Przedszkole Miejskie Integracyjne nr 36,kindergarten,51.729368632038586,19.452670750503888
Przedszkole Miejskie nr 128,kindergarten,51.794993164035134,19.392502327211695
Przedszkole Publiczne Sióstr Służebniczek NMP NP im. Edmunda Bojanowskiego,kindergarten,51.760748189027474,19.463098810751323
Przedszkole nr 14,kindergarten,51.78185534698737,19.488330755171916
Przedszkole Miejskie nr 185,kindergarten,51.76381843862802,19.50428071841712
Przedszkole Miejskie Nr 170,kindergarten,51.74003642327238,19.389050533858974
Przedszkole Miejskie nr 160,kindergarten,51.79864400858455,19.463315151241154
Przedszkole Prywatne Elżbiety Raczyńskiej,kindergarten,51.739008597722886,19.49180027584706
Przedszkole lingwistyczne Dobry Start,kindergarten,51.74356449304513,19.56453216661202
Przedszkole nr 99,kindergarten,51.752364088554714,19.465323521181208
Przedszkole Miejskie Nr 208,kindergarten,51.76576957072559,19.450100707590504
Przedszkole Miejskie nr 160,kindergarten,51.7984691780132,19.463296087342354
Przedszkole Miejskie nr 140,kindergarten,51.788876584932765,19.417802848525696
Przedszkole Miejskie nr 122,kindergarten,51.72676225116318,19.450592826820895
Przedszkole im. św. Franciszka z Asyżu Sióstr Bernardynek,kindergarten,51.70117298247939,19.43782398381979
Przedszkole Miejskie nr 174,kindergarten,51.747053308005576,19.387264460444094
Przedszkole nr 115,kindergarten,51.79131527403571,19.399633785337613
NAVICULA CENTRUM - Przedszkole Specjalne,kindergarten,51.70873734142066,19.381747250656776
Słoneczne Przedszkole nr 42,kindergarten,51.785890636218795,19.44018158149101
Przedszkole Miejskie nr 117,kindergarten,51.73044173207263,19.502300841573376
Przedszkole Miejskie nr 118,kindergarten,51.73081058144645,19.49517066264961
Przedszkole Miejskie Nr 138,kindergarten,51.7622359933326,19.481608879516106
Przedszkole Miejskie nr 16,kindergarten,51.82107567257106,19.423394909765257
Przedszkole Miejskie nr 202,kindergarten,51.79417396640726,19.44471273086419
Przedszkole Miejskie nr 12,kindergarten,51.77437809877419,19.415880171337125
Przedszkole Miejskie nr 74,kindergarten,51.77606664793523,19.424805640138203
Przedszkole Familijna Łódka,kindergarten,51.795387783944356,19.591577117782915
Przedszkole Miejskie nr 56,kindergarten,51.76514752107733,19.442914063924903
Przedszkole Miejskie nr 200,kindergarten,51.71912151364725,19.49154567028534
Przedszkole Miejskie nr 9,kindergarten,51.7928732023547,19.48312326727669
Przedszkole Miejskie nr 156,kindergarten,51.74461114107863,19.491365159135825
Integracyjne Przedszkole Miejskie nr 221,kindergarten,51.745209663082285,19.491334604141162
Przedszkole Miejskie nr 231,kindergarten,51.823422564958975,19.444252323427225
Przedszkole Kraina Bajki,kindergarten,51.79025014363937,19.595512840794772
Przedszkole Miejskie nr 149,kindergarten,51.798409413402986,19.45212204943001
Przedszkole Miejskie nr 149 w Łodzi,kindergarten,51.79838473391074,19.45255283820878
Przedszkole Miejskie nr 4,kindergarten,51.74700274634173,19.56421929162322
Przedszkole Miejskie nr 115,kindergarten,51.791094322414345,19.399625462655894
Przedszkole Miejskie nr 120,kindergarten,51.79472855305611,19.398795911391403
Przedszkole Miejskie nr 123,kindergarten,51.793033187332625,19.386539332900167
Przedszkole Miejskie nr 141,kindergarten,51.79401718477619,19.389421775711984
Przedszkole Miejskie nr 48,kindergarten,51.79422539117478,19.380148420963387
Przedszkole Prywatne PLAYSCHOOL,kindergarten,51.7983687583313,19.373703978567637
Przedszkole Miejskie nr 139,kindergarten,51.798429076653555,19.378101915824946
Przedszkole Miejskie nr 148,kindergarten,51.79776507595635,19.37337859402618
Przedszkole Miejskie nr 30,kindergarten,51.796375279900396,19.372661876249378
Przedszkole Miejskie nr 110,kindergarten,51.79100857972444,19.418937727755203
Przedszkole Miejskie nr 105,kindergarten,51.78683809486685,19.42368312700682
Przedszkole Miejskie nr 112,kindergarten,51.75088109606759,19.42554035974136
Przedszkole Miejskie nr 38,kindergarten,51.73758874213524,19.472185087934783
Przedszkole Miejskie nr 26,kindergarten,51.71522238202936,19.485095014639477
Przedszkole Miejskie nr 137,kindergarten,51.74426726523157,19.496397916478884
Przedszkole Miejskie nr 125,kindergarten,51.77024914458212,19.486517957328488
Przedszkole Miejskie nr 220,kindergarten,51.77444314522615,19.4722326454331
Przedszkole Miejskie Nr 50,kindergarten,51.78359329202822,19.459042029546975
Przedszkole Miejskie nr 52,kindergarten,51.77725348247546,19.476915873709594
Przedszkole Miejskie nr 138 w Łodzi,kindergarten,51.762197367871615,19.481807596600962
Przedszkole Miejskie nr 15,kindergarten,51.76486769806618,19.478950855912
Przedszkole Miejskie nr 10,kindergarten,51.755894665481094,19.484077136006157
Przedszkole Miejskie nr 170,kindergarten,51.73985068356061,19.389344983164175
Przedszkole Miejskie Nr 119,kindergarten,51.73502646420222,19.496474485742123
Przedszkole Miejskie nr 126,kindergarten,51.73289845570627,19.50044899697253
Przedszkole Miejskie nr 81,kindergarten,51.7888925707321,19.45779244482679
Przedszkole Miejskie nr 53 Pod Modrzewiami,kindergarten,51.77985729623467,19.427991542284083
Przedszkole Niepubliczne im. Dzieci Dobrego Ojca,kindergarten,51.81849954182164,19.483227324270366
Przedszkole Miejskie nr 153,kindergarten,51.79403880034524,19.438412597861355
Przedszkole Miejskie nr 44,kindergarten,51.792559544244114,19.44092523074346
"Family School - Szkoła Języków Obcych, Przedszkole Montessori",school,51.74660397977522,19.471021091061907
Przedszkole Miejskie nr 101,kindergarten,51.73835202986504,19.44432740376477
Przedszkole Miejskie nr 34,kindergarten,51.742601009433734,19.46857987636757
Przedszkole Miejskie nr 86,kindergarten,51.710579202460835,19.446430859195896
Przedszkole Miejskie nr 124,kindergarten,51.73380923377345,19.44567699896095
Przedszkole Miejskie nr 107,kindergarten,51.766050439340326,19.506717760821502
Przedszkole Miejskie nr 76,kindergarten,51.730060579430926,19.491562908125562
Katolickie Przedszkole Parafialne im. bł. Edmunda Bojanowskiego,kindergarten,51.71240872922273,19.487861658315776
Przedszkole Zgromadzenia Sióstr Urszulanek SJK im. św. Urszuli Ledóchowskiej,kindergarten,51.73606050866036,19.44358433396576
Przedszkole Miejskie nr 151,kindergarten,51.74644206897511,19.422632765492526
Przedszkole Miejskie Nr 206 z Oddziałami Integracyjnymi w Łodzi,kindergarten,51.755885320764136,19.54494146026577
Przedszkole Miejskie nr 58,kindergarten,51.764660313408946,19.460874796363132
