name,shop,amenity,latitude,longitude
Stokrotka,supermarket,,51.7600343,19.5265505
,convenience,,51.7765468,19.4291951
Aduś Alkohole,convenience,,51.7736491,19.4271862
Biedronka,supermarket,,51.8242581,19.4399439
Netto,supermarket,,51.8204275,19.4326795
,convenience,,51.7382949,19.4103246
Żabka,convenience,,51.7631071,19.5079312
Biedronka,supermarket,,51.7611386,19.5219538
Merci,convenience,,51.7491989,19.5710327
Centrum Obslugi Konsultantek AVON,mall,,51.759088,19.4595
Żabka,convenience,,51.7327194,19.4741568
Żabka,convenience,,51.8058681,19.3954581
Primus,convenience,,51.7542126,19.5661107
Biedronka,supermarket,,51.80616,19.4389021
,convenience,,51.8073669,19.4345738
U Kasi,convenience,,51.8074719,19.4298504
Sam-Scan,supermarket,,51.8073409,19.432658
Żabka,convenience,,51.7041778,19.4776683
,convenience,,51.7041439,19.4781312
Pokusa,convenience,,51.7033134,19.479122
,convenience,,51.7053997,19.480455
BP,convenience,fuel,51.7098273,19.4889357
,convenience,,51.7113526,19.4290489
Gama,convenience,,51.7110891,19.4275223
Polskie Smaki,convenience,,51.773319,19.4620141
,convenience,,51.7404203,19.5709456
Mati,convenience,,51.7162314,19.4802072
Sklep spożywczy,convenience,,51.7183779,19.4768924
Warzywniak,convenience,,51.7180112,19.4750559
Kaja - sklep spożywczy,convenience,,51.7185773,19.4773752
Warzywniak,convenience,,51.7185175,19.4772143
Sklep spożywczy „Kajtuś”,convenience,,51.7216418,19.4759114
Frajda,convenience,,51.7429466,19.3778497
Zbyszek,convenience,,51.750024,19.4008497
Ardeks,convenience,,51.7467956,19.4087972
Stokrotka,convenience,,51.7698191,19.4564169
,,marketplace,51.7401994,19.4039135
Żabka,convenience,,51.7685263,19.4550128
Społem,supermarket,,51.7498475,19.4604016
Stokrotka,supermarket,,51.7650221,19.4550159
Żabka,convenience,,51.7705031,19.4538085
Żabka,convenience,,51.7719908,19.4559202
Biedronka,supermarket,,51.7576881,19.5439119
Stokrotka,supermarket,,51.7562236,19.5489302
Damian,convenience,,51.7577792,19.5492573
,convenience,,51.7594245,19.5521489
Biedronka,supermarket,,51.753561,19.5298226
,convenience,,51.793511,19.4519484
Primus,convenience,,51.7949231,19.4538744
Biedronka,supermarket,,51.789747,19.4504841
sklep spożywczy,convenience,,51.7556155,19.4707045
Sklep „Społem”,convenience,,51.7596795,19.4332114
Żabka,convenience,,51.759742,19.433412
Zieleniak,convenience,,51.7383524,19.4105164
,convenience,,51.7384568,19.4103251
,convenience,,51.7285032,19.4880099
Delikatesy pod zegarem,convenience,,51.78984,19.4195602
Sam-Scan,convenience,,51.7869355,19.4175302
Żabka,convenience,,51.7264597,19.4650141
,convenience,,51.817984,19.4385217
,convenience,,51.7885119,19.4351339
Żabka,convenience,,51.7881536,19.4349327
Delikatesy Centrum,convenience,,51.7483265,19.3983066
Stokrotka,supermarket,,51.7570352,19.5341121
Market „Primus”,convenience,,51.7603275,19.4419612
Gust-Pol,supermarket,,51.8031465,19.4216377
Sklep Spożywczy,convenience,,51.7429772,19.4853537
Livio,convenience,,51.7756291,19.3470962
Żabka,convenience,,51.7285069,19.446571
,convenience,,51.7273567,19.4498567
Zetka,convenience,,51.7274837,19.4488596
Odido,convenience,,51.736563,19.4517369
,convenience,,51.7094172,19.3746874
,convenience,,51.7307262,19.4480958
,convenience,,51.7317718,19.448236
Margo,convenience,,51.7709546,19.4321428
