name,railway,latitude,longitude
Łódź Lublinek,station,51.7209139,19.3592771
Łódź Chojny,station,51.7264089,19.4841953
Łódź Andrzejów,halt,51.7410347,19.6171505
Łódź Kaliska,station,51.757822,19.4305417
Łódź Olechów Wschód,halt,51.7297931,19.5947679
Łódź Pabianicka,halt,51.7262238,19.4453004
Łódź Radogoszcz Zachód,halt,51.8219706,19.4157524
Łódź Dąbrowa,halt,51.7358946,19.5106059
Łódź Andrzejów Szosa,halt,51.7415641,19.6129065
Łódź Olechów Wiadukt,halt,51.7236883,19.5436605
Łódź Olechów Zachód,halt,51.7249266,19.5591901
Łódź Arturówek,halt,51.8154459,19.4566295
Łódź Marysin,halt,51.8001727,19.4861551
Łódź Stoki,halt,51.7765631,19.5105621
Łódź Żabieniec,station,51.7935514,19.4070192
Łódź Niciarniana,halt,51.7668148,19.5074366
Łódź Widzew,station,51.7631038,19.5438083
Łódź Fabryczna,station,51.7695535,19.4696108
Łódź Zarzew,halt,51.7517052,19.5132392
Łódź Radogoszcz Wschód,halt,51.8266567,19.4433824
Łódź Warszawska,halt,51.8080021,19.47123
Łódź Retkinia,halt,51.7403478,19.40658
