name,highway,latitude,longitude
Palki - Wojska Polskiego,bus_stop,51.7899755,19.4866304
Zielona - pl. Hallera,bus_stop,51.7689226,19.4395376
Paderewskiego - Karpacka,bus_stop,51.7269418,19.4621734
Rojna - Wiernej Rzeki,bus_stop,51.7936863,19.3797721
Kolumny - Kolumny 118 NŻ,bus_stop,51.7081129,19.5122791
Felińskiego - Gojawiczyńskiej,bus_stop,51.7323543,19.5038668
Narutowicza - Radiostacja,bus_stop,51.7740891,19.4948941
Pomorska - Iglasta,bus_stop,51.7700726,19.569146
Żeromskiego - Żwirki NŻ,bus_stop,51.7546402,19.4491128
Świtezianki - Sikorskiego,bus_stop,51.8188644,19.44846
Byszewska - Nowosolna,bus_stop,51.7947542,19.5914168
Telefoniczna - Telefoniczna 27 NŻ,bus_stop,51.7826625,19.5041424
Strykowska - Rogowska NŻ,bus_stop,51.8189627,19.5061282
Brzezińska - CH M1,bus_stop,51.7963184,19.5108917
Kasprzaka - Srebrzyńska,bus_stop,51.7740499,19.4273178
Kasprzaka - Srebrzyńska,bus_stop,51.7746916,19.4272485
Kasprzaka - Legionów,bus_stop,51.770472,19.4289356
Kasprzaka - Drewnowska,bus_stop,51.7806327,19.4268871
Radogoszcz Wschód,bus_stop,51.8246985,19.438279
Świtezianki - Syrenki,bus_stop,51.8223157,19.4478758
Świtezianki - Sikorskiego,bus_stop,51.8199759,19.4487638
Pienista - Komandorska,bus_stop,51.7363233,19.4084412
Retkińska - Dw. Łódź Retkinia,bus_stop,51.7421035,19.4053257
Retkińska - Zagrodniki,bus_stop,51.7457083,19.4055983
Retkińska - Wyszyńskiego,bus_stop,51.7490745,19.4074139
Zgierska - Dolna,bus_stop,51.7898973,19.4490216
Mickiewicza - Łąkowa NŻ,bus_stop,51.7564653,19.4416566
Janów,bus_stop,51.7520158,19.5749272
Retkinia Kusocińskiego,bus_stop,51.7479089,19.3835711
Wólczańska - Czerwona,bus_stop,51.7461085,19.4569471
Traktorowa - Sierpowa,bus_stop,51.7990065,19.3945223
Traktorowa - Duńska NŻ,bus_stop,51.8011459,19.3949045
Traktorowa - Ludowa NŻ,bus_stop,51.8040045,19.3953906
Traktorowa - Ludowa NŻ,bus_stop,51.8062434,19.3958105
Traktorowa - św. Teresy NŻ,bus_stop,51.8076123,19.3960757
Liściasta - Czereśniowa NŻ,bus_stop,51.8073061,19.4343441
Palki - Wojska Polskiego,bus_stop,51.7903041,19.4866582
Liściasta - cm. Radogoszcz,bus_stop,51.8066139,19.4378959
Liściasta - cm. Radogoszcz,bus_stop,51.8064054,19.438891
Liściasta - Czereśniowa NŻ,bus_stop,51.8071301,19.4352787
Kilińskiego - Fabryczna,bus_stop,51.7558667,19.4708896
Tymienieckiego - ŁSSE,bus_stop,51.7526748,19.4773337
Książąt Polskich - Zakładowa,bus_stop,51.7441664,19.5521035
Rokicińska - Hetmańska NŻ,bus_stop,51.7541227,19.5740356
Rokicińska - Książąt Polskich NŻ,bus_stop,51.7552906,19.5662707
Rokicińska - Książąt Polskich NŻ,bus_stop,51.7558625,19.5645007
Zakładowa - Hetmańska,bus_stop,51.7406395,19.568066
Zakładowa - Odnowiciela,bus_stop,51.7415228,19.5628269
Zakładowa - Odnowiciela,bus_stop,51.7417991,19.5615271
Zakładowa - Piasta Kołodzieja,bus_stop,51.7429958,19.5542215
Hetmańska - Zagłoby,bus_stop,51.7474477,19.5722176
Hetmańska - Zagłoby,bus_stop,51.7461276,19.5715978
Hetmańska - Dąbrówki,bus_stop,51.7432299,19.5702403
Hetmańska - Dąbrówki,bus_stop,51.7435045,19.5703683
Hetmańska - Juranda ze Spychowa,bus_stop,51.7494885,19.5731686
Sikorskiego - Nastrojowa,bus_stop,51.8174237,19.443617
Sikorskiego - Herlinga-Grudzińskiego,bus_stop,51.8162746,19.4392767
Sikorskiego - Zgierska,bus_stop,51.8156312,19.4357963
Sikorskiego - Nastrojowa,bus_stop,51.8176245,19.4449576
Pojezierska - Brukowa,bus_stop,51.8004925,19.411826
św. Teresy - Włókniarzy NŻ,bus_stop,51.8045613,19.4242286
Św. Teresy - św. Teresy 91 NŻ,bus_stop,51.804683,19.4202158
Włókniarzy - Liściasta NŻ,bus_stop,51.809684,19.4256186
Włókniarzy - Liściasta NŻ,bus_stop,51.8100831,19.4252343
Liściasta - Liściasta 72 NŻ,bus_stop,51.808382,19.4289018
Liściasta - Liściasta 72 NŻ,bus_stop,51.8083935,19.428846
Kniaziewicza - Brzóski,bus_stop,51.7998226,19.4386341
