name,amenity,leisure,tourism,latitude,longitude
Państwowe Muzeum na Majdanku,,,museum,51.2253195,22.6062576
Baobab,community_centre,,,51.2483116,22.5572691
Reland,,sports_centre,,51.1918087,22.5406053
,,,viewpoint,51.2264796,22.537113
,,,viewpoint,51.168332,22.5269816
Muzeum Historii Miasta Lublina,,,museum,51.2475224,22.5665315
Figura Najświętszej Maryi Panny,,,artwork,51.250258,22.5629731
Pomnik Powstańców Styczniowych 1863r.,,,artwork,51.2463168,22.5375521
Cube Gym Czechów,,fitness_centre,,51.2696123,22.5626732
,,,viewpoint,51.2487697,22.569613
Teatr Stary,theatre,,,51.2473889,22.5692
Hala MOSiR im. Zdzisława Niedzieli,,sports_centre,,51.2375632,22.56834
kamienica Rynek 10,,,attraction,51.2477154,22.5684845
kamienica Złota 5,,,attraction,51.2478082,22.5692468
Centrum Sportu Akademos,,sports_centre,,51.2694651,22.5561943
Pomnik Ułanów ks. J. Poniatowskiego,,,artwork,51.2588988,22.5718191
Pomnik Honorowych Krwiodawców,,,artwork,51.2487938,22.5562805
Akademia Aikido,,sports_centre,,51.2386518,22.5333379
Karate,,sports_centre,,51.2383915,22.5326514
Lubelska Trasa Podziemna,,,museum,51.2478003,22.5679544
Głaz Katowski-Kamień Nieszczęścia,,,attraction,51.2471662,22.5679852
Baobab,,,artwork,51.2522889,22.5405538
Cinema City,cinema,,,51.245075,22.5508333
,,,viewpoint,51.2503062,22.5723661
taras widokowy,,,viewpoint,51.2470583,22.5680917
Muzeum Narodowe w Lublinie,,,museum,51.2504791,22.5717298
,,,viewpoint,51.2470338,22.5702433
Teatr im. Juliusza Osterwy,theatre,,,51.2464884,22.5613828
"Dom Kultury "" Błonie """,community_centre,,,51.2357578,22.5050478
Warsztaty Kultury w Lublinie,community_centre,,,51.2484615,22.5686916
Opera Lubelska,theatre,,,51.2462386,22.5484982
Filharmonia im. Henryka Wieniawskiego,theatre,,,51.2464669,22.5482193
,,,viewpoint,51.2377018,22.5320187
Lubelska Akademia Aikido,,sports_centre,,51.2721087,22.5504116
"Muzeum Martyrologii ""Pod Zegarem""",,,museum,51.2467375,22.5462512
,,,viewpoint,51.2493273,22.5698366
,,,viewpoint,51.2532384,22.572222
Dom Słów- Izba Drukarstwa,,,museum,51.2461762,22.5679732
Pomnik Matki Sybiraczki,,,artwork,51.2465555,22.5573166
Apteka Muzeum,,,museum,51.2485044,22.5685473
Pomnik Marii Curie-Skłodowskiej,,,artwork,51.2455174,22.5416252
Pomnik Henryka Wieniawskiego,,,artwork,51.2460842,22.548793
Homagium,,,artwork,51.2474851,22.5448271
Pomnik Cypriana Kamila Norwida,,,artwork,51.2482835,22.5442185
"Pomnik Prymasa Tysiąclecia, Kardynała Stefana Wyszyńskiego",,,artwork,51.246338,22.5690427
