name,leisure,landuse,natural,latitude,longitude,area_m2,score
Park Rury im. Romualda Dylewskiego,park,,,51.23359740373166,22.523174909383638,597201.8409638479,597201.8409638479
Ogród Botaniczny UMCS,garden,,,51.26228899479574,22.51492226820921,485179.55732668244,388143.645861346
,,forest,,51.27820785526547,22.491916842408394,1650710.3165067781,1320568.2532054225
,,forest,,51.28326204112012,22.514464278484702,208566.74553470488,166853.39642776392
Park Rury im. Romualda Dylewskiego,park,,,51.23222267945382,22.53241007399691,366670.9822541843,366670.9822541843
,,forest,,51.26504957478504,22.500229678529085,105414.45219201919,84331.56175361536
Park Weglin,park,,,51.23263488223917,22.48727822787828,106072.51073423807,106072.51073423807
Park Bronowice,park,,,51.237787376356664,22.57606600120542,62289.42470242851,62289.42470242851
,park,,,51.2446813587106,22.520944409478926,21079.23499233683,21079.23499233683
,,grass,,51.24458581205235,22.523434294835088,17933.153961812466,12553.207773268725
,,grass,,51.26238631267759,22.505877146074827,1521.4532262140149,1065.0172583498104
,,grass,,51.262725012737825,22.505234406701177,227.7909501592664,159.45366511148646
,,grass,,51.2625870500758,22.50547245002457,244.74169160513944,171.3191841235976
,,grass,,51.26142645990841,22.507192283351234,683.4762241071361,478.43335687499524
,,grass,,51.25125752938267,22.53041334364276,126.17359031003672,88.3215132170257
,,grass,,51.253983011942886,22.537691148463537,1373.1513873700956,961.2059711590668
wąwóz,,forest,,51.22776019566628,22.537179420397727,47073.80259256432,37659.04207405146
,,grass,,51.2435400750687,22.55368092366452,577.4832772428119,404.23829406996833
,garden,,,51.2312702338995,22.53454570910011,694.0993819779806,555.2795055823844
,,,grassland,51.225771633135416,22.540313278905515,27123.73948077624,18986.617636543368
,,,grassland,51.227165144010044,22.53942678299409,5072.392772293124,3550.6749406051867
,,forest,,51.23301900907526,22.53106935506516,71313.96687661868,57051.17350129495
,park,,,51.23651446668795,22.549372142585245,7518.484208873572,7518.484208873572
,,,wood,51.2264232040872,22.53536987085111,1537.418594458315,1076.1930161208204
,,forest,,51.16696564550026,22.519776344618304,9427.2272985626,7541.781838850081
,,grass,,51.24855494928832,22.550371478467593,156.67283605788936,109.67098524052254
,,grass,,51.246904119175355,22.567604640639434,1899.2030037734546,1329.4421026414182
,park,,,51.24923460796812,22.559398833104215,2486.6754149023855,2486.6754149023855
Plac Lecha Kaczyńskiego,park,,,51.246613353623594,22.556469562619018,22254.58343318494,22254.58343318494
Jarugi,,forest,,51.21731089303896,22.475988544649177,92029.52600976745,73623.62080781396
Skwer imienia błogosławionego Jerzego Popiełuszki,park,,,51.234288767979685,22.597602752810793,13961.254642566444,13961.254642566444
Skwer Ofiar Wołynia,park,,,51.241811338492816,22.544081761206268,1888.474537160157,1888.474537160157
,park,,scrub,51.24973570878161,22.59549660519557,11291.522193081755,11291.522193081755
,park,,,51.244030171140054,22.60003724206812,45178.392173279644,45178.392173279644
,park,,,51.257132262262814,22.52078293883685,11566.499457495673,11566.499457495673
Rezerwat Stasin,nature_reserve,,,51.21538926601887,22.505254014609616,645202.50436317,645202.50436317
,,grass,,51.23640020686476,22.530610066094958,13600.010671604536,9520.007470123175
,,grass,,51.23475816525717,22.53732241374753,2388.317718229732,1671.822402760812
,,,wood,51.234496462243875,22.536950599632227,1431.4825457845566,1002.0377820491896
Skwer Tarasa Szewczenki,park,grass,,51.25297576087929,22.574726324947747,5231.270809848753,5231.270809848753
,,grass,,51.2536957300462,22.473579263687554,22066.705889807694,15446.694122865385
,,grass,,51.202690371547526,22.58073272610844,58847.21725179157,41193.0520762541
,,grass,,51.25503334777259,22.48595747947214,13748.740600676929,9624.11842047385
,,meadow,,51.24330037652085,22.48216339607692,24762.922506793224,12381.461253396612
,,meadow,,51.24289051756091,22.48111063614675,19044.78609736193,9522.393048680966
,,meadow,,51.238584847046646,22.471183170223995,30276.473979487702,15138.236989743851
,,forest,,51.2372828480969,22.467477229853085,16379.867214451211,13103.89377156097
,,meadow,,51.23668143440618,22.464697772624344,7246.947217700323,3623.4736088501613
,,grass,,51.23097750043762,22.4625471799137,19811.121741057566,13867.785218740295
,,grass,,51.23324978636371,22.461988503430202,6276.370366511271,4393.45925655789
,,forest,,51.231800187643,22.461517367826193,17228.4902082416,13782.79216659328
,,grass,,51.2516394905294,22.524882533243996,1766.1845206404755,1236.3291644483327
,,grass,,51.251362769861665,22.525699509343482,2147.712005466702,1503.3984038266913
,,grass,,51.252166610249056,22.526130820520763,4885.791449316777,3420.0540145217437
,,grass,,51.25087930799211,22.525019391703328,2245.5565344475704,1571.8895741132992
,,,wood,51.23418112861359,22.534588392356103,666.1023651415294,466.2716555990705
,,grass,,51.234823411117894,22.53310275301412,2670.7545890571073,1869.528212339975
,,grass,,51.23384944649834,22.53294317356839,7590.007582334802,5313.005307634361
,,grass,,51.234549294407806,22.534317965895905,707.3711233728451,495.1597863609915
,,grass,,51.23364613108116,22.53406249613504,3664.7441982315313,2565.320938762072
,,grass,,51.234648403531175,22.533886367986458,739.0919612098406,517.3643728468884
