name,amenity,latitude,longitude
"Przedszkole Prywatne ""Martynka""",kindergarten,51.228028,22.5323597
Przedszkole Publiczne nr 53,kindergarten,51.2372499,22.5457322
Przedszkole nr 67,kindergarten,51.2352515,22.5461291
Przedszkole nr 81,kindergarten,51.223653,22.5279633
"Niepubliczne Przedszkole Artystyczne ""Fortepiano"" w Lublinie",kindergarten,51.2329704,22.5409578
Przedszkole nr 32 w Lublinie,kindergarten,51.230854,22.5896639
Przedszkole nr 84 w Lublinie,kindergarten,51.2178353,22.6306342
Przedszkole nr 54 w Lublinie,kindergarten,51.2573418,22.5813516
Przedszkole nr 13 w Lublinie,kindergarten,51.2548998,22.5827807
Przedszkole Skrzacik,kindergarten,51.1813253,22.5891507
"Przedszkole Niepubliczne ""Mali Giganci"" w Lublinie",kindergarten,51.2767917,22.5867997
Przedszkole Niepubliczne z Oddziałami Integracyjnymi im. Bł. Bolesławy Lament,kindergarten,51.2160976,22.5833851
"Niepubliczne Przedszkole ""Jeżyk"" w Lublinie",kindergarten,51.2286188,22.5825746
"Prywatne Przedszkole ""Strumyk"" 3 w Lublinie",kindergarten,51.2595842,22.545408
"Niepubliczne Przedszkole ""Akademia Małych Artystów""",kindergarten,51.266036,22.5248788
"Niepubliczne Przedszkole Artystyczne ""Słonecznik"" w Lublinie",kindergarten,51.2377043,22.5225519
"""Martynka Bis"" Przedszkole Prywatne",kindergarten,51.2005273,22.5440665
Przedszkole,kindergarten,51.2167846,22.6351221
"Przedszkole Niepubliczne ""Świat Marzeń"" w Lublinie",kindergarten,51.2694259,22.5427579
"Przedszkole Prywatne ""Entliczek-Pentliczek 2""",kindergarten,51.277793,22.5835983
"Przedszkole Niepubliczne ""Bajninio""",kindergarten,51.2681095,22.5190252
"Niepubliczne Przedszkole ""Pozwalamy Dzieciom"" w Lublinie",kindergarten,51.2229906,22.5049984
"Niepubliczne Przedszkole Językowe ""Bursztynek"" w Lublinie",kindergarten,51.2236263,22.5063356
Przedszkole Kolorowe Kredki,kindergarten,51.2392001,22.5484432
"Przedszkole Prywatne ""Pszczółka"" w Lublinie",kindergarten,51.2336378,22.5963516
"Przedszkole Niepubliczne ""Mali Giganci III""",kindergarten,51.2233684,22.485963
"Przedszkole Niepubliczne ""Koralik"" w Lublinie",kindergarten,51.2240611,22.4850743
"Przedszkole Niepubliczne ""Hulajnoga"" w Lublinie",kindergarten,51.2233374,22.4852083
Niepubliczne Przedszkole Dwujęzyczne Abc w Lublinie,kindergarten,51.2244494,22.4846796
"Niepubliczny Punkt Przedszkolny ""Leon"" w Lublinie",kindergarten,51.226217,22.4813703
"Prywatne Przedszkole ""Strumyk"" 1 w Lublinie",kindergarten,51.2384946,22.5214967
Przedszkole Specjalne Tajemniczy Ogród,kindergarten,51.2528807,22.5874313
"Niepubliczne Przedszkole Muzyczne ""Stonoga 3"" w Lublinie",kindergarten,51.2025098,22.5602339
Przedszkole Ziarenko,kindergarten,51.2234377,22.5174985
Przedszkole nr 88 w Lublinie,kindergarten,51.2223527,22.4920118
"Niepubliczne Przedszkole Specjalne ""Tajemniczy Ogród"" w Lublinie",kindergarten,51.252978,22.5863536
"Niepubliczne Przedszkole ""Skrzat"" z Oddziałami Specjalnymi w Lublinie",kindergarten,51.2545727,22.5925593
"Przedszkole ""Kot Filemon""",kindergarten,51.2169708,22.6384042
Niepubliczne Przedszkole Sióstr Nazaretanek,kindergarten,51.2535929,22.5736498
"Niepubliczny Punkt Przedszkolny ""Kraina Pomocnych Dłoni""",kindergarten,51.2366169,22.5835578
"Przedszkole Niepubliczne ""Zacisze"" z Oddziałami Integracyjnymi w Lublinie",kindergarten,51.2497299,22.5568745
Niepubliczne Przedszkole Elfik,kindergarten,51.28245,22.54947
Przedszkole Sióstr Urszulanek Serca Jezusa Konającego w Lublinie,kindergarten,51.27945,22.54547
Przedszkole nr 89 w Lublinie,kindergarten,51.2785675,22.5838329
Przedszkole nr 26 w Lublinie,kindergarten,51.2786814,22.5835969
"Niepubliczne Przedszkole ""Calineczka"" w Lublinie",kindergarten,51.27605,22.50813
Niepubliczne Przedszkole Bajkowy Dworek w Lublinie,kindergarten,51.2674767,22.5735985
Przedszkole Insignis,kindergarten,51.2690719,22.549898
"Niepubliczne Przedszkole ""Dzieciaki.pl""",kindergarten,51.26834,22.57663
Przedszkole Specjalne nr 11,kindergarten,51.2661542,22.5554006
"Przedszkole Niepubliczne ""Krasnal II"" w Lublinie",kindergarten,51.2674761,22.5848156
"Przedszkole Niepubliczne ""Daszek"" w Lublinie",kindergarten,51.2615824,22.5960909
"Niepubliczny Punkt Przedszkolny Świętych Cyryla I Metodego ""Źródełko"" w Lublinie",kindergarten,51.25799,22.53848
"Prywatne Przedszkole ""U Pana Kleksa"" w Lublinie",kindergarten,51.25747,22.50141
"Niepubliczne Przedszkole ""Dzwoneczek"" w Lublinie",kindergarten,51.25585,22.55448
Niepubliczne Przedszkole Akademia Małego Człowieka w Lublinie,kindergarten,51.255282,22.4814922
"Prywatne Dwujęzyczne Przedszkole ""Motylek"" w Lublinie",kindergarten,51.25478,22.52034
Przedszkole nr 25 w Lublinie,kindergarten,51.2544438,22.5211619
"Przedszkole Niepubliczne ""Akademia Przedszkolaczka"" w Lublinie",kindergarten,51.25337,22.53431
"Prywatne Przedszkole ""U Pana Kleksa""",kindergarten,51.2531831,22.5211778
Niepubliczne Przedszkole Maluszkowo w Lublinie,kindergarten,51.2514389,22.5439673
"Niepubliczny Punkt Przedszkolny ""Hello Kids"" w Lublinie",kindergarten,51.25119,22.53609
"""Akwarelki"" Prywatne Przedszkole Językowo-Artystyczne",kindergarten,51.25004,22.53666
Przedszkole nr 4 w Lublinie,kindergarten,51.2495629,22.560871
"Przedszkole Niepubliczne ""Kredki"" w Lublinie",kindergarten,51.2488921,22.5183544
Przedszkole Niepubliczne Akademia Przygody w Lublinie,kindergarten,51.2487605,22.517535
"Niepubliczne Przedszkole ""Dobry Start"" w Lublinie",kindergarten,51.2543472,22.5369426
Katolickie Przedszkole,kindergarten,51.2491477,22.5556027
"Niepubliczne Przedszkole ""Moje Przedszkole""",kindergarten,51.247158,22.536162
Niepubliczne Przedszkole KróL Maciuś II w Lublinie,kindergarten,51.2475383,22.512319
Przedszkole nr 18 w Lublinie,kindergarten,51.2448318,22.5530994
"Punkt Przedszkolny ""Lolek"" w Lublinie",kindergarten,51.2446946,22.5956859
Niepubliczne Przedszkole Elfik 2 w Lublinie,kindergarten,51.244,22.51552
Niepubliczna Szkoła Podstawowa i Niepubliczne Przedszkole Dzieci Montessori,school,51.2434353,22.5129144
"Przedszkole Niepubliczne ""Junior"" w Lublinie",kindergarten,51.2417,22.53428
"Przedszkole Niepubliczne ""Kubuś I Przyjaciele"" w Lublinie",kindergarten,51.24167,22.49953
Przedszkole Sióstr Urszulanek Serca Jezusa Konającego w Lublinie,kindergarten,51.2416,22.4896299
"Przedszkole Niepubliczne ""Martynka I Przyjaciele"" w Lublinie",kindergarten,51.23994,22.52647
"Przedszkole ""KróL Maciuś I"" w Lublinie",kindergarten,51.2398006,22.4960309
Niepubliczny Punkt Przedszkolny Zagajnik w Lublinie,kindergarten,51.23688,22.49721
"Przedszkole Prywatne ""Lubelskie Skrzaty""",kindergarten,51.2216006,22.5391525
Przedszkole nr 49 w Lublinie,kindergarten,51.2339486,22.5276157
"Niepubliczne Przedszkole ""Gadu-Gadu"" w Lublinie",kindergarten,51.23493,22.51218
"Przedszkole Niepubliczne ""Mini-Martynka"" w Lublinie",kindergarten,51.23451,22.51697
Przedszkole z Oddziałami Integracyjnymi nr 12 w Lublinie,kindergarten,51.235066,22.5696136
"Przedszkole Niepubliczne ""Kubuś I Tygrysek"" w Lublinie",kindergarten,51.2335907,22.583025
"Przedszkole Niepubliczne ""Odkrywcy Talentów"" w Lublinie",kindergarten,51.2343775,22.5093185
Przedszkole Niepubliczne Bajkowy Dworek 2 w Lublinie,kindergarten,51.23252,22.59994
"Przedszkole Niepubliczne ""Akademia Przedszkolaczka 2"" w Lublinie",kindergarten,51.2312096,22.5823418
"Prywatne Przedszkole ""Motylek""",kindergarten,51.22996,22.5160899
Przedszkole nr 64 w Lublinie,kindergarten,51.2294403,22.5941052
Przedszkole nr 77 w Lublinie,kindergarten,51.22904,22.53013
"Niepubliczny Punkt Przedszkolny ""Kropka"" w Lublinie",kindergarten,51.22618,22.48138
"Niepubliczne Przedszkole ""Z Uśmiechem"" w Lublinie",kindergarten,51.22599,22.56304
Przedszkole Niepubliczne Koralik 2 w Lublinie,kindergarten,51.2262087,22.4854181
Przedszkole Niepubliczne Kubuś I Królik,kindergarten,51.2256512,22.5334758
"Przedszkole Niepubliczne ""Czterolistna Koniczynka"" w Lublinie",kindergarten,51.22506,22.49285
Niepubliczne Przedszkole Omnibus w Lublinie,kindergarten,51.2243323,22.4966301
Niepubliczne Przedszkole Kot Filemon w Lublinie,kindergarten,51.2234563,22.5780889
"Niepubliczne Przedszkole Integracyjne ""Turkusiaki"" w Lublinie",kindergarten,51.2234,22.51304
"Przedszkole Niepubliczne ""Oleńka 2"" w Lublinie",kindergarten,51.2216758,22.4988168
"Przedszkole Prywatne ""Entliczek Pentliczek"" w Lublinie",kindergarten,51.22132,22.50516
Przedszkole Niepubliczne Niebieski Koralik w Lublinie,kindergarten,51.2161237,22.6353147
"Przedszkole Niepubliczne ""Akademia Wesołych Przedszkolaków"" w Lublinie",kindergarten,51.20939,22.5438
Niepubliczne Przedszkole Biedronka,kindergarten,51.2091378,22.5716301
Niepubliczne Przedszkole im. Św. Józefa z Nazaretu,kindergarten,51.2090871,22.5731945
"Przedszkole Niepubliczne ""Haguś"" w Lublinie",kindergarten,51.20873,22.59219
