name,amenity,latitude,longitude
Szkoła Podstawowa Nr 28 im. Synów Pułku Ziemi Lubelskiej,school,51.2286719,22.5313763
Szkoła Podstawowa nr 22 im. Bolesława Prusa,school,51.2344394,22.5334332
Szkoła Podstawowa Nr 11 im. Stanisławy Filipiny Paleolog,school,51.2431673,22.5863542
Szkoła Podstawowa nr 44 w Lublinie,school,51.2599738,22.5880583
Publiczna Szkoła Podstawowa im. św. Wincentego Pallotiego,school,51.2538272,22.5231864
Szkoła Podstawowa nr 7 im. ks. Jana Twardowskiego,school,51.2379505,22.5529951
Międzynarodowa Szkoła Podstawowa Paderewski w Lublinie,school,51.2696726,22.555006
Szkoła Podstawowa Specjalna nr 54,school,51.2617845,22.5687307
"Niepubliczna Szkoła Podstawowa z Oddziałami Integracyjnymi ""Bajkowa Akademia"" w Lublinie",school,51.2673527,22.5735743
Katolicka Szkoła Podstawowa im. Świętej Jadwigi Królowej W Lublinie,school,51.26764,22.54464
Szkoła Podstawowa nr 45 w Lublinie,school,51.2586851,22.549731
Szkoła Podstawowa nr 21 im. Królowej Jadwigi w Lublinie,school,51.2533676,22.531437
Prywatna Szkoła Podstawowa,school,51.2506508,22.5415216
Szkoła Podstawowa Specjalna nr 41,school,51.2595359,22.5608679
Społeczna Terapeutyczna Szkoła Podstawowa,school,51.243931,22.5875883
Niepubliczna Szkoła Podstawowa i Niepubliczne Przedszkole Dzieci Montessori,school,51.2434353,22.5129144
Szkoła Podstawowa im. Bolesława Chrobrego w Lublinie,school,51.2399146,22.4959116
Niepubliczna Szkoła Podstawowa Montessori w Lublinie,school,51.2214076,22.5393684
Katolicka Szkoła Podstawowa,school,51.2321925,22.5864521
Niepubliczna Szkoła Podstawowa Domowa Szkoła,school,51.2303025,22.5142501
Niepubliczna Szkoła Podstawowa Świętego Jana Bosko w Lublinie,school,51.2240066,22.5461647
Szkoła Podstawowa Specjalna nr 56 w Lublinie,school,51.2027277,22.5588993
"Rodzinna Szkoła Podstawowa ""Leon"" w Lublinie",school,51.19927,22.54516
Szkoła Podstawowa nr 3 im. Juliusza Słowackiego,school,51.24536865309251,22.517862284449887
Społeczna Szkoła Podstawowa im. Sebastiana Fabiana Klonowica w Lublinie,school,51.26069425139534,22.50816251917703
Szkoła Podstawowa nr 27 im. Marii Montessori w Lublinie,school,51.24687676680788,22.598046930074588
Szkoła podstawowa Nr 27 im Marii Montessori w Lublinie,school,51.24458690901247,22.595999480369272
Szkoła Podstawowa nr 38 im. Henryka Sienkiewicza,school,51.23715829610227,22.518403914641056
Szkoła Podstawowa nr 31 im. Lotników Polskich,school,51.23570687908442,22.587712524783296
Szkoła Podstawowa nr 1 im. Ks. Stanisława Konarskiego,school,51.22265263254789,22.577315069467712
Szkoła Podstawowa nr 52 im. Marii Konopnickiej w Lublinie,school,51.21943183652119,22.634588443843228
Szkoła Podstawowa nr 16 im. Fryderyka Chopina w Lublinie,school,51.270820564069155,22.546924731224237
Szkoła Podstawowa nr 5 im. Króla Władysława Łokietka w Lublinie,school,51.26588286910017,22.546848246907853
Szkoła Podstawowa nr 34 im. Kornela Makuszyńskiego,school,51.26044202312004,22.5415446989256
Szkoła Podstawowa nr 43 im. Ignacego Jana Paderewskiego,school,51.27235371414988,22.550412667773575
Szkoła Podstawowa nr 50 im. Stefana Kardynała Wyszyńskiego,school,51.23009317427741,22.49378944385084
Szkoła Podstawowa nr 55 dla Dzieci Niesłyszących i Słabo Słyszących,school,51.228617018060646,22.603483945329696
"Niepubliczna Szkoła Podstawowa z Oddziałami Integracyjnymi ""Bajkowa Akademia""",school,51.27332655716896,22.52881717435572
Niepubliczna Szkoła Podstawowa z Oddziałami Integracyjnymi Bajkowa Akademia,school,51.27318450339103,22.528850085139123
Szkoła Podstawowa Specjalna nr 26,school,51.260435696209555,22.54376848311244
Szkoła Podstawowa nr 24 im. Partyzantów Lubelszczyzny,school,51.24973684655796,22.561100492445117
Szkoła Podstawowa Nr 33 im. 27 Wołyńskiej Dywizji Piechoty Armii Krajowej,school,51.23192975346535,22.59762030974243
Szkoła Podstawowa Specjalna nr 26 im. Janusza Korczaka w Lublinie,school,51.24083506447798,22.580259842678593
Szkoła Podstawowa nr 47 im. Józefa Ignacego Kraszewskiego w Lublinie,school,51.18928263351381,22.59984304899826
Szkoła Podstawowa nr 29 im. Adama Mickiewicza,school,51.24348945215683,22.523403438030996
Szkoła Podstawowa nr 23 im. Olimpijczyków Polskich w Lublinie,school,51.25581237387672,22.576558850174635
Szkoła podstawowa nr 2 im. Jana Kochanowskiego,school,51.217832998355526,22.58241553433858
Szkoła Podstawowa nr 40 im. Lubelskiego Lipca 1980,school,51.212900190347234,22.569780096663703
Niepubliczna Szkoła Podstawowa z Oddziałami Integracyjnymi Skala,school,51.20241696467619,22.560080805266004
Szkoła Podstawowa nr 4. im. Adama Mickiewicza w Lublinie,school,51.26358780281433,22.578377161376768
Szkoła Podstawowa nr 32 z Oddziałami Integracyjnymi im. Pamięci Majdanka w Lubline,school,51.228223534046286,22.591238684205692
Szkoła Podstawowa nr 18 im. Macieja Rataja,school,51.25069783407069,22.542121664434926
Prywatna Szkoła Podstawowa i Liceum im. Królowej Jadwigi,school,51.25081701551771,22.541517987710062
Szkoła Podstawowa nr 10 im. Henryka Sienkiewicza,school,51.25286284561624,22.591180550047028
Szkoła Podstawowa nr 42 im. Konstantego Ildefonsa Gałczyńskiego,school,51.234079169718065,22.50806490223093
Szkoła Podstawowa Nr 6 im. Romualda Traugutta,school,51.247074908396456,22.531925054398723
Szkoła Podstawowa nr 14 im. Tadeusza Kościuszki,school,51.27141258113293,22.508012830462576
Szkoła Podstawowa nr 46 im. Króla Jana III Sobieskiego,school,51.2295871489179,22.5067207574319
Szkoła Podstawowa Specjalna nr 53 w Lublinie,school,51.20586441253505,22.59642774753818
"Niepubliczna Szkoła Podstawowa ""Skrzydła""",school,51.23006335797969,22.514152691025927
Szkoła Podstawowa nr 20 im. Jarosława Dąbrowskiego w Lublinie,school,51.235729654781835,22.567856153867385
Szkoła Podstawowa nr 48 im. Józefa Piłsudskiego w Lublinie,school,51.26182727001919,22.631448131802422
Szkoła Podstawowa nr 51 im. Jana Pawła II w Lublinie,school,51.223934661250965,22.519002140516402
Szkoła Podstawowa nr 3 im. Juliusza Słowackiego,school,51.24490439252864,22.51798543375028
Szkoła Podstawowa Specjalna Nr 56,school,51.22877807820017,22.591762193694734
Szkoła Podstawowa nr 39 im. Szarych Szeregów w Lublinie,school,51.171210277874714,22.506267061666115
Szkoła Podstawowa nr 57 im. Jana Kochanowskiego,school,51.242251187581424,22.514468076706127
Niepubliczna Szkoła Podstawowa SKRZYDŁA,school,51.230110694390085,22.514167385879883
Szkoła Podstawowa nr 30 im. Kazimierza Wielkiego,school,51.20906388601097,22.545226799225404
Szkoła podstawowa nr 15 im. Jana Pawła II,school,51.2299019670938,22.586518715721372
Niepubliczna Szkoła Podstawowa im. Alberta Einsteina w Lublinie,school,51.234477688821755,22.474553727269534
Szkoła Podstawowa nr 58,school,51.221888299006444,22.49199979603347
Szkoła Podstawowa Sióstr Urszulanek UR w Lublinie,school,51.245390228693616,22.562396770877893
Szkoła Podstawowa nr 25 im. Władysława Broniewskiego,school,51.25758178408238,22.56949477896594
Szkoła Podstawowa nr 19 im. Józefa Czechowicza,school,51.254353326562295,22.571498777567847
Rodzinna Szkoła Podstawowa LEON,school,51.2051847031107,22.557888573161343
Szkoła Podstawowa nr 21 im. Królowej Jadwigi w Lublinie,school,51.25351369268059,22.531952279601953
