name,shop,amenity,latitude,longitude
Vipsat,mall,,51.2414211,22.5697583
Biedronka,supermarket,,51.2493961,22.5132448
Biedronka,supermarket,,51.2402797,22.5710405
Żabka,convenience,,51.227051,22.5304929
,convenience,,51.195522,22.5379272
Żabka,convenience,,51.2482976,22.5530328
,convenience,,51.2410235,22.5171057
Banan,convenience,,51.2480619,22.54303
Żabka,convenience,,51.2457229,22.5503644
Biedronka,supermarket,,51.2644533,22.5743882
,convenience,,51.2224533,22.534513
,convenience,,51.2233708,22.5352426
,convenience,,51.2239452,22.5262878
Żabka,convenience,,51.244635,22.5445742
Stokrotka,supermarket,,51.2202255,22.6294653
Żabka,convenience,,51.2370642,22.5480533
Delikatesy Lewiatan,convenience,,51.2244258,22.5053573
,convenience,,51.1921597,22.5844822
Stokrotka,supermarket,,51.2232221,22.5298692
Społem,convenience,,51.2329247,22.5856599
Groszek,convenience,,51.2044054,22.5806318
Żabka,convenience,,51.2005587,22.5432009
Groszek,convenience,,51.2005425,22.5438831
,convenience,,51.2332134,22.5156506
Stokrotka,supermarket,,51.2300391,22.519302
Biedronka,supermarket,,51.2383679,22.5238681
Stokrotka,supermarket,,51.232054,22.5369719
Żabka,convenience,,51.2323671,22.5392283
Lewiatan,convenience,,51.2387422,22.5509726
Auchan,supermarket,,51.2659682,22.55985
Kropka,convenience,,51.243426,22.5336701
Mini Lewiatan,convenience,,51.2436226,22.5291076
Biedronka,supermarket,,51.2700034,22.5594398
,convenience,,51.273179,22.5685874
Żabka,convenience,,51.2267075,22.518911
,convenience,,51.2257534,22.5216039
Carrefour,supermarket,,51.2367339,22.6045734
,,marketplace,51.2432352,22.5995884
Biedronka,supermarket,,51.255637,22.5796671
Żabka,convenience,,51.2509313,22.5608194
Żabka,convenience,,51.2479621,22.552092
Żabka,convenience,,51.2202748,22.6353553
Żabka,convenience,,51.2546867,22.569618
Targ na Ruskiej,,marketplace,51.2534207,22.5704759
Żabka,convenience,,51.2348593,22.5929316
E. Leclerc,supermarket,,51.2399646,22.5192049
Biedronka,supermarket,,51.2325669,22.5985246
Żabka,convenience,,51.2400487,22.5266075
,convenience,,51.21402,22.5706413
"LSS Społem ''Grześ""",supermarket,,51.2141561,22.5714113
Żabka,convenience,,51.2636769,22.5459097
Stokrotka,supermarket,,51.222315,22.5104037
Voltmax Center,mall,,51.2514497,22.5083066
Stokrotka,supermarket,,51.2528325,22.5236096
Biedronka,supermarket,,51.2291922,22.5149545
,convenience,,51.2402632,22.5537175
Stokrotka,supermarket,,51.2450361,22.5492199
Stokrotka,convenience,,51.2135558,22.5465546
Żabka,convenience,,51.2463254,22.5351246
"Sklep Odido ""Rzepka""",convenience,,51.2110995,22.5439822
Żabka,convenience,,51.2097222,22.5438917
Max s.c.,convenience,,51.2227626,22.5115576
Lewiatan,convenience,,51.2074484,22.58582
Stokrotka,supermarket,,51.2465949,22.534752
Żabka,convenience,,51.2402174,22.5492109
,convenience,,51.2402918,22.5489181
Stokrotka Express,convenience,,51.2396609,22.5496703
Stokrotka,supermarket,,51.2321284,22.5908576
Kaufland,supermarket,,51.2352042,22.4929138
