name,highway,latitude,longitude
Bohaterów M. Cassino 01,bus_stop,51.2472486,22.5059387
Zbożowa 02,bus_stop,51.2751359,22.5044833
Os. Skarpa 01,bus_stop,51.2258837,22.5371561
Os. Skarpa 02,bus_stop,51.2258012,22.5375563
KUL 02,bus_stop,51.2486049,22.5427478
Muzeum Narodowe - Zamek 02,bus_stop,51.2516459,22.5709924
Kalinowszczyzna 02,bus_stop,51.2535186,22.5941346
Zana Leclerc 03,bus_stop,51.2407316,22.5206784
Zana Leclerc 02,bus_stop,51.241198,22.519971
Skrzetuskiego 01,bus_stop,51.2395058,22.51269
Szpital Wojewódzki 01,bus_stop,51.2393268,22.4992969
Ogród Saski 03,bus_stop,51.2477193,22.5501037
Skrzetuskiego 02,bus_stop,51.2395754,22.5146526
Os. Słowackiego 02,bus_stop,51.2433936,22.5216042
UMCS 02,bus_stop,51.2449099,22.5395939
Krakowskie Przedmieście 02,bus_stop,51.2475713,22.5527985
Krakowskie Przedmieście 04,bus_stop,51.2476122,22.5538224
Ogród Saski 01,bus_stop,51.2472001,22.5514453
Lipowa - cmentarz 01,bus_stop,51.243926,22.5524942
Muzyczna 01,bus_stop,51.2396587,22.5527041
Zorza NŻ 03,bus_stop,51.2030294,22.5955132
Zorza NŻ 02,bus_stop,51.2036103,22.5952026
Jana Sawy 01,bus_stop,51.238877,22.5256678
Zana Leclerc 01,bus_stop,51.2405934,22.5176737
Rondo Krwiodawców 03,bus_stop,51.2504382,22.5239289
Muzeum Narodowe - Zamek 01,bus_stop,51.251428,22.5697062
Sikorskiego NŻ 05,bus_stop,51.2593712,22.5306643
Plac Litewski 02,bus_stop,51.248412,22.5582031
KUL 03,bus_stop,51.2491729,22.5408495
Rondo Krwiodawców 01,bus_stop,51.2520453,22.5264267
Lubomelska 02,bus_stop,51.2530479,22.5545231
Węglin 02,bus_stop,51.2313964,22.4827673
Brama Krakowska 02,bus_stop,51.2466471,22.5665831
Sikorskiego NŻ 02,bus_stop,51.2580289,22.5316103
KUL 01,bus_stop,51.2499175,22.5425469
Cisowa 02,bus_stop,51.250412,22.5110511
Pana Tadeusza 02,bus_stop,51.244245,22.5323067
Biskupa Fulmana 02,bus_stop,51.2008758,22.5425743
