name,amenity,leisure,tourism,latitude,longitude
Marabut,,,artwork,52.4083273,16.9073128
Muzeum Historii Miasta Poznania,,,museum,52.4086025,16.9340392
Kino Muza,cinema,,,52.4065954,16.9265909
Ośrodek Kultury Wierzbak,arts_centre,,,52.4246343,16.9089705
Teatr Ósmego Dnia,theatre,,,52.4082052,16.9253898
Pręgierz,,,attraction,52.408389,16.9342987
Galeria Miejska Arsenał,,,gallery,52.4079984,16.933301
Filharmonia Poznańska,theatre,,,52.4078848,16.9159902
Stary Marych,,,artwork,52.4051398,16.9312091
Van Diesel,nightclub,,,52.4089306,16.9332879
Club Havana,nightclub,,,52.4074772,16.9332229
Czekolada,nightclub,,,52.406101,16.9326987
Cuba Libre,nightclub,,,52.406398,16.9331346
Neferetete,nightclub,,,52.4087886,16.9358565
Muzeum Komunikacji Miejskiej,,,museum,52.3860887,16.9140045
Pracownia Portret,arts_centre,,,52.4087622,16.9214556
BodyFemme,,fitness_centre,,52.4116998,16.9076626
Balzac,nightclub,,,52.4078207,16.9180052
Blueberry Bar,nightclub,,,52.4068917,16.9242015
Blue Note,nightclub,,,52.4081069,16.9193975
Paw,,,artwork,52.4047731,16.9188579
Rozbrat,arts_centre,,,52.4174816,16.91858
Climbing Spot,,sports_centre,,52.4181957,16.9245281
,,,viewpoint,52.4089962,16.9315859
Tama,nightclub,,,52.4025325,16.9223458
Charlie Monroe Kino Malta,cinema,,,52.4026658,16.9318235
Blok Line,,sports_centre,,52.3738941,16.9807459
Cinema City,cinema,,,52.4420945,16.9189495
Dawny Przeciwatomowy Schron dla Władz Miasta Poznania,,,museum,52.4413113,16.8081399
BoJack i Diane,,,artwork,52.4121814,16.8445111
Poznańskie koziołki,,,artwork,52.4066411,16.9351411
Siłownia Słodkiewicz,,sports_centre,,52.3947307,16.9444461
Bowling POSiR,,bowling_alley,,52.3841012,16.9383865
Planet VR,,amusement_arcade,,52.4086754,16.9421862
Dom Kultury Stokrotka,arts_centre,,,52.3833534,16.8211735
Climbing Spot Widłakowa,,sports_centre,,52.4726126,16.9464659
Poznańska Wenecja,,,artwork,52.4078643,16.940172
Studnia Higiei,,,artwork,52.4081636,16.928731
Bułgarska 19,cinema,,,52.3992108,16.8622564
FitSwim,,sports_centre,,52.3959925,16.9249217
Dziewczynka z misiem,,,artwork,52.3840375,16.9473157
W przestrzeni,,,artwork,52.3899527,16.9477155
Puchatek,,sports_centre,,52.3996202,16.9871617
Mój Teatr,theatre,,,52.409509,16.8931406
"Piątkowskie Centrum Kultury ""Dąbrówka""",arts_centre,,,52.4496196,16.9167935
Stacja Podolany,,sports_centre,,52.447708,16.8938265
,,,artwork,52.4056612,16.9447875
Dziewczynka i chłopiec z Trytonem,,,artwork,52.3983825,16.9026783
Dziewczynka i chłopiec z Trytonem,,,artwork,52.398427,16.90285
SU-22M4,,,attraction,52.4015039,16.9505305
Muzeum Powstania Poznańskiego – Czerwiec 1956,,,museum,52.4076825,16.9189184
Zyga Latarnik,,,artwork,52.4037106,16.9425251
Niebieskookie kobiety,,,artwork,52.4100755,16.937238
Muzeum Instrumentów Muzycznych,,,museum,52.4080417,16.9347384
Muzeum Literackie Henryka Sienkiewicza,,,museum,52.4088834,16.9327177
Muzeum Farmacji,,,museum,52.4074963,16.9297059
kameralna bawialnia,community_centre,,,52.4216315,16.9729256
Game World,,amusement_arcade,,52.4026408,16.9293799
Fitness Point,,sports_centre,,52.4067302,16.9277107
Pacha Poznań,nightclub,,,52.4079913,16.9312187
Organic fitness,,fitness_centre,,52.3631139,16.9030094
Chorągiew Wielkopolska ZHP,community_centre,,,52.4080516,16.9187146
Dom Polonii,community_centre,,,52.4076533,16.9345671
Klub u Bazyla,nightclub,,,52.416831,16.9117032
Klub Studencki Cicibór,nightclub,,,52.4290426,16.9172676
ODK Bajka,community_centre,,,52.4385731,16.9335735
,,,artwork,52.4030085,16.9270078
Zabawa w teatr,,,artwork,52.3898935,16.9712484
Misie,,,artwork,52.3898541,16.9715703
Mały Dżokej,,,artwork,52.3893729,16.9706572
Obszar obrazów efemerycznych,,,artwork,52.407354,16.9150142
Chłopiec z psem,,,artwork,52.4039798,16.9340539
Profesor,,,artwork,52.4040287,16.9338947
Dziewczynka,,,artwork,52.4040833,16.9340459
,,,viewpoint,52.3847583,16.8677664
Górka saneczkowa,,,attraction,52.3997502,16.9247616
,,,viewpoint,52.4051164,16.8508544
Waza,,,artwork,52.4095009,16.9174638
Waza,,,artwork,52.409619,16.9169295
,,,artwork,52.418235,16.9290623
Kufel,,,artwork,52.4018663,16.9271129
An-2,,,attraction,52.4210094,16.9326125
Ił-28,,,attraction,52.4206604,16.9324916
Jak-12M,,,attraction,52.4206436,16.932763
LIM-5,,,attraction,52.4208814,16.9326994
MiG-15,,,attraction,52.4201119,16.9329699
MiG-21,,,attraction,52.4210136,16.9323868
Helikopter SM-1,,,attraction,52.4204278,16.932974
Su-20,,,attraction,52.4209155,16.9322822
TS-11 Iskra,,,attraction,52.4206961,16.9322815
Kompozycja,,,artwork,52.4209849,16.9353533
Zwierzę,,,artwork,52.4211408,16.936195
Kosmonauta,,,artwork,52.4238043,16.9369876
Braterstwo broni,,,artwork,52.4196641,16.9348411
Matka z dzieckiem,,,artwork,52.4220341,16.938164
Maszkarony,,,artwork,52.4220715,16.9439129
Mewy,,,artwork,52.4209243,16.9397437
Piast i Rzepicha,,,artwork,52.421464,16.9381144
Niedziela z lamą,,,artwork,52.4208373,16.9408868
Nike,,,artwork,52.4197922,16.9366172
IS-2,,,attraction,52.4199798,16.9329768
T-55,,,attraction,52.4199745,16.9327934
T-72,,,attraction,52.4199311,16.9327418
Helikopter Mi-2P,,,attraction,52.4204421,16.9328375
,,,artwork,52.4219613,16.9385023
Don Kichot,,,artwork,52.421669,16.9331544
Gimnastyczka,,,artwork,52.4220841,16.9376754
Kompozycja,,,artwork,52.4211267,16.931278
Płaczący kamień,,,artwork,52.4187913,16.933378
Rodzina,,,artwork,52.4208401,16.9322535
Róża,,,artwork,52.4246023,16.9316139
Skrzydlaty,,,artwork,52.4192006,16.9386955
Skrzypaczka,,,artwork,52.4205869,16.9381167
Wyścig,,,artwork,52.4188814,16.9344479
Zakochani,,,artwork,52.420069,16.9389159
Zryw,,,artwork,52.4231514,16.9311326
Zwycięstwo,,,artwork,52.4234743,16.9386861
Żalek,,,artwork,52.4220895,16.9368566
Żalek,,,artwork,52.4222091,16.9368856
KontenerART,arts_centre,,,52.4059058,16.9447664
Cyryl Club,community_centre,,,52.4114237,16.92707
Dom Tramwajarza,community_centre,,,52.4103576,16.9082019
Lokomobila HCP,,,attraction,52.3824107,16.9117024
Teatr Muzyczny,theatre,,,52.4022554,16.9237047
Wake Park Malta,,sports_centre,,52.4067554,16.9572656
Dom Kultury Kolejarza,community_centre,,,52.4055158,16.9189318
,,,artwork,52.408793,16.9310432
,,,viewpoint,52.4091363,16.9317863
Makieta dawnego Poznania,,,attraction,52.4082756,16.9308939
Rogalowe Muzeum Poznania,,,museum,52.4083783,16.935015
Baker Street,nightclub,,,52.4055564,16.9271815
Staw Edy,,,viewpoint,52.3596079,16.8768254
,,,viewpoint,52.3583636,16.8778093
,,,artwork,52.4043977,16.9441304
1944 Pamiętamy,,,artwork,52.4008001,16.8848311
Stella,,,artwork,52.4083011,16.9292149
Extravagance,nightclub,,,52.4076955,16.9326132
,,,attraction,52.4006171,16.9332968
,,,attraction,52.400677,16.9332176
,,,attraction,52.4007223,16.9334044
,,,attraction,52.4007428,16.9330149
,,,attraction,52.4035667,16.9364472
Powódź 1736,,,attraction,52.4077528,16.9344722
,,,attraction,52.4110317,16.9466305
,,,attraction,52.416295,16.9346625
Helios,cinema,,,52.3976863,16.9563263
Plus Jeden Poznań Coworking,community_centre,,,52.406271,16.9362913
Dwoje pod parasolem,,,artwork,52.4191402,16.8794496
Lucie,,,artwork,52.3984936,16.953856
"Dom Kultury ""Jędruś""",community_centre,,,52.3798636,16.9511596
Słoń,,,artwork,52.3840233,16.9477539
Smarkateria,community_centre,,,52.4103435,16.9105871
W tańcu,,,artwork,52.386627,16.9463627
,,,artwork,52.4074267,16.8714541
Podróż na ślimaku,,,artwork,52.3898159,16.9723001
Lot,,,artwork,52.3862779,16.9512433
Kompozycja - otwieranie,,,artwork,52.3903143,16.9423074
Rodzina,,,artwork,52.3899235,16.968339
Pokój,,,artwork,52.3923399,16.9491452
Asz.teatr,theatre,,,52.4495344,16.9168015
"Dom Kultury ""Na Pięterku""",community_centre,,,52.3777117,16.9602946
"Dom Kultury ""Polan 100""",community_centre,,,52.3837208,16.9601977
"Dom Kultury ""Jagiellonka""",community_centre,,,52.3909323,16.9530554
Lokomotywa Ty51-183,,,attraction,52.3968737,16.8609342
Gracie Barra,,sports_centre,,52.4080311,16.912681
Mural Lecha Poznań,,,artwork,52.405898,17.0401722
,,,artwork,52.4047225,16.9535538
KS Pocztowiec,,sports_centre,,52.4021124,16.9480449
Fair Play,,,artwork,52.4007057,16.9475539
Fabryka Formy,,fitness_centre,,52.3526509,16.8400154
Dłubanka Mokoro,,,artwork,52.4020855,16.9000528
Koziołki,,,artwork,52.3863638,16.9754426
Mural Lecha Poznań,,,artwork,52.4106004,16.9504335
Coraz Lepiej,nightclub,,,52.4061738,16.933085
Czarna Owca,nightclub,,,52.406244,16.9323242
Club 13.13,nightclub,,,52.4100827,16.934484
Ssaki drapieżne,,,attraction,52.4014473,17.0001288
Ptaki drapieżne i sowy,,,attraction,52.4020361,17.0027623
Flamingi,,,attraction,52.3965868,16.9986509
Huśtawka wodna,,,attraction,52.4024041,16.9866433
Kibice Razem Lech Poznań,community_centre,,,52.4129173,16.9546571
Dwie kobiety,,,artwork,52.4234543,16.9009549
,,,artwork,52.4135755,16.9051945
Sofit studio,,sports_centre,,52.4083781,16.9436385
Klub Muzyczny B17,nightclub,,,52.397296,16.8591877
Don Kichot,,,artwork,52.4310519,16.9413383
Jump Arena Rataje,,trampoline_park,,52.3777083,16.9791109
Yoga Friends Poznań,,sports_centre,,52.3977037,16.8953864
Laser Tag Poznań,,sports_centre,,52.4451284,16.9165114
"Osiedlowy Dom Kultury ""Wiktoria""",community_centre,,,52.4390354,16.9299741
Bunuba Klub,nightclub,,,52.4092449,16.9365843
Światowid,clock,,attraction,52.4075109,16.9117742
Kozły poznańskie,,,artwork,52.3922185,16.9513414
Stajnia CrossFit,,fitness_centre,,52.3763956,16.8695373
Sztuczna ruina,,,attraction,52.4960052,16.9555835
Prywatka Poznań,nightclub,,,52.4055947,16.9208789
,,,viewpoint,52.4799735,16.9031885
Centrum Bukowska,community_centre,,,52.4084834,16.897942
Fontanna Wolności,,,attraction,52.4080323,16.9282217
PIX.HOUSE,,,gallery,52.3994011,16.9050836
Mieszkanie-Pracownia Kazimiery Iłłakowiczówny,,,museum,52.4090452,16.9079791
Well Fitness,,fitness_centre,,52.4045825,16.9306864
CyberMachina,,amusement_arcade,,52.4087597,16.9220551
Trops,nightclub,,,52.3980674,16.9488623
Centrum Inicjatyw Senioralnych,community_centre,,,52.4092054,16.9234794
Teatr Animacji,theatre,,,52.4081466,16.919154
Centrum Kultury Zamek,arts_centre,,,52.407776,16.9191858
Axis,,,artwork,52.4600609,16.8285498
Atlantis Fitness,,fitness_centre,,52.4285744,16.9433668
Basen Posnania,,sports_centre,,52.4284766,16.943684
,,,viewpoint,52.3992702,16.9010483
Metaliczna Symfonia,,,artwork,52.4000466,16.9007299
Metaliczna Symfonia,,,artwork,52.4003438,16.9006421
Cortique,theatre,,,52.4131214,16.9076415
Dram Whisky Explorers Bar,nightclub,,,52.4090917,16.9339582
Ceramiczna Ściana Dekoracyjna,,,artwork,52.4082778,16.9116842
Dark House - Escape Room,,escape_game,,52.4049771,16.9391442
Projekt Fifna,arts_centre,,,52.4092388,16.9084429
Wilk,,,artwork,52.4078046,16.9061528
Krokodyl,,,artwork,52.4082193,16.9063566
Pelikany,,,artwork,52.4077383,16.9059718
Małpa,,,artwork,52.4082652,16.9067971
Koń,,,artwork,52.4081958,16.9064416
Mini park linowy Stare Zoo,,sports_centre,,52.4085076,16.9063714
Hades,nightclub,,,52.4079322,16.9180137
Schron,nightclub,,,52.4051396,16.9212549
Hyćka Klub,nightclub,,,52.4068184,16.920807
Business Link Maraton,community_centre,,,52.3991758,16.9318522
Karuzela,,,theme_park,52.4001483,16.9796573
Wielka Spluwa Laser Tag,,sports_centre,,52.4121788,16.9335397
Plan osiedla Piastowskiego,,,artwork,52.3969558,16.9423788
Mood for Wood,,,artwork,52.3870343,16.973238
Mood for Wood,,,artwork,52.3881181,16.9868042
Fragment muru Twierdzy Poznań,,,attraction,52.3992669,16.9313896
,theatre,,,52.4069293,16.9444625
,,,artwork,52.4082953,16.9573408
Parowóz Tx26-423,,,attraction,52.4083748,16.9573863
Mood for wood,,,artwork,52.389428,16.9737958
Tetris,,,artwork,52.3889964,16.9877828
Tetris,,,artwork,52.3891852,16.9885581
Łączy pokolenia,,,artwork,52.388484,16.9817778
Łączy pokolenia,,,artwork,52.3960411,16.9442473
Tetris,,,artwork,52.3940504,16.9448901
Tetris,,,artwork,52.3870427,16.9422038
Tetris,,,artwork,52.3905525,16.9435572
Tetris,,,artwork,52.3925441,16.9429064
Tetris,,,artwork,52.3890293,16.9415626
I to mi zostało,,,artwork,52.3802773,16.9518701
Krystyna Feldman,,,artwork,52.3810734,16.9516137
Zielona Symfonia,,,artwork,52.4113243,16.9518472
Point Dance Studio,,dance,,52.4101958,16.9090408
Saga,,fitness_centre,,52.4071191,16.907629
billaboom,,sports_centre,,52.4091695,16.9105138
,,,artwork,52.3845608,16.9178787
Grand Casino,casino,,,52.4007938,16.8932445
Kaponiera Kolejowa,,,attraction,52.4078364,16.9127624
Koziołki poznańskie,clock,,attraction,52.4085235,16.934244
Galeria mil’ART,,,gallery,52.4099296,16.9339822
Blubry 6D,,,gallery,52.4100044,16.9340019
Gear UP!,flight_school,amusement_arcade,,52.4024924,16.9303672
Muzeum Broni Pancernej,,,museum,52.4271017,16.8481261
Górka spotterska,,,viewpoint,52.4193879,16.8219069
Górka spotterska,,,viewpoint,52.4205469,16.8161197
Zakaz wyprowadzania sów,,,artwork,52.390734,16.9010257
Macierzyństwo,,,artwork,52.394443,16.93562
Korty tenisowe KW04,,sports_centre,,52.3959406,16.9375233
Obraz pożerający narzędzia rekreacji,,,artwork,52.4612271,16.8278601
Gwiazda,,,artwork,52.4611917,16.8264259
Living Sugar,,,artwork,52.46029,16.828974
"Królik, który widział jutro",,,artwork,52.4600425,16.829908
CityFit,,fitness_centre,,52.4375015,16.9191944
PZL TS-8 Bies,,,attraction,52.3843417,16.883664
Orzeł Biały,,,artwork,52.3777283,16.962656
100,,,artwork,52.4078924,16.9164221
Waga,,,attraction,52.4069955,16.928383
,,,artwork,52.4142053,16.9517553
Muzeum Ziemi,,,museum,52.4634657,16.9418657
Personifikacja Poczty,,,artwork,52.4071333,16.9177744
Słoń,,,artwork,52.3862274,16.9789661
UP Pixel,,fitness_centre,,52.3907379,16.8583197
2Progi Club,nightclub,,,52.4149355,16.9264711
,,,attraction,52.3678025,16.9290589
Tu wszystko się zaczęło,,,artwork,52.4125825,16.9484875
Totemy,,,artwork,52.4068322,16.9113264
Klub Uczelniany AZS Politechniki Poznańskiej,,sports_centre,,52.4028806,16.948093
Dark Angels,nightclub,,,52.407302,16.9381313
HAH Poznań,nightclub,,,52.4115998,16.9360236
,,,artwork,52.3990667,16.8959712
,,,artwork,52.3991474,16.8960122
,,,artwork,52.3991482,16.8953816
,,,artwork,52.3991719,16.8952453
Stary Kształt – Nowa Brutalność,,,artwork,52.4147819,16.8269369
POZnan*,,,artwork,52.4148314,16.8276794
,,,gallery,52.4062184,16.9346047
Łęctwo,,,gallery,52.3956689,16.9034015
X-Demon Poznań,nightclub,,,52.4080653,16.93161
T-34,,,attraction,52.4198475,16.9329361
Golem,,,artwork,52.4098416,16.9293192
