name,amenity,latitude,longitude
Medyczne Studium Zawodowe,school,52.414317,16.8809224
Wyższa Szkoła Języków Obcych,school,52.4067459,16.9221503
Studium Języków Obcych,school,52.4070858,16.9224327
"Centrum Języków Obcych ""Kontakt""",school,52.404223,16.936225
Publiczne Liceum Ogólnokształcące im. Romka Strzałkowskiego,school,52.4124315,16.9077872
Internat Liceum Ogólnokształcącego Mistrzostwa Sportowego,school,52.3653846,16.9101552
XXI Liceum Ogólnokształcące im. gen. Władysława Andersa,school,52.4009219,16.9304026
Technikum Budowlane im. gen. Władysława Andersa,school,52.4007109,16.9302692
Technikum Mechaniczne dla dorosłych,school,52.3722882,16.8994831
Technikum Mechaniczne,school,52.3723027,16.898132
Zasadnicza Szkoła Zawodowa nr 29,school,52.3722955,16.8987601
XXIX Liceum Ogólnokształcące,school,52.3723353,16.8973913
Zespół Szkół Budowlano-Drzewnych im. Bolesława Chrobrego,school,52.3868001,16.8705461
XXVIII Liceum Ogólnokształcące,school,52.3868964,16.8707339
Szkoła Policealna nr 1,school,52.4010112,16.866081
Technikum Ekonomiczno-Admnistracyjne nr 1,school,52.4008562,16.8666204
Technikum Gastronomiczne,school,52.4018484,16.868203
Branżowa Szkoła I st. nr 3,school,52.4021426,16.8684269
Branżowa Szkoła I st. nr 34,school,52.4251834,16.9458503
Technikum Łączności,school,52.425384,16.9460364
Szkoła Policealna nr 34,school,52.425592,16.9462294
Szkoła Specjalna Przysposabiająca do Pracy nr 4,school,52.4235727,16.9270332
XVIII Liceum Ogólnokształcące,school,52.4077165,16.8811367
Technikum Geodezyjno-Drogowe,school,52.4076241,16.881832
Branżowa Szkoła I st. nr 18,school,52.4076675,16.8815051
Zasadnicza Szkoła Zawodowa nr 8,school,52.4279894,16.9282853
XXVI Liceum Ogólnokształcące,school,52.3407975,16.9919097
Technikum Środowiska,school,52.4333254,16.8808724
Ośrodek Szkolenia Zawodowego,school,52.3757377,16.9703561
II Liceum Ogólnokształcące Dla Dorosłych,school,52.4034749,16.900104
1349 International Baccalaureate School,school,52.4036087,16.9001347
II Liceum Ogólnokształcące im. generałowej Jadwigi Zamoyskiej i Heleny Modrzejewskiej,school,52.4038692,16.9001649
Szkoła Specjalna Przysposabiająca do Pracy nr 2,school,52.4260517,16.9462792
Branżowa Szkoła Specjalna I st. nr 2,school,52.4262872,16.9464446
Szkoła Specjalna Przysposabiająca do Pracy nr 5,school,52.4130116,16.8824875
Szkoła Policealna Specjalna,school,52.4132804,16.8826565
IV Liceum Ogólnokształcące Specjalne,school,52.413098,16.8818413
Branżowa szkoła Specjalna I st. nr 4,school,52.4132344,16.8818596
Cosinus,school,52.4072455,16.9221267
Belward,school,52.3986503,16.9197281
Szkoła Specjalna Przysposabiająca do Pracy nr 7,school,52.4114615,16.9567067
III Liceum Ogólnokształcące Specjalne,school,52.4115028,16.9567187
Szkoła Policealna Specjalna nr 2 dla Młodzieży Niesłyszącej i Słabo Słyszącej,school,52.4115442,16.9567307
Technikum Specjalne,school,52.4115855,16.9567427
Branżowa Szkoła Specjalna I st. nr 3,school,52.4116268,16.9567547
Zespół Szkół Komunikacji im. Hipolita Cegielskiego,school,52.4086295,16.9216196
Branżowa Szkoła Specjalna I st. nr 1,school,52.4234651,16.9268375
Branżowa Szkoła I st. nr 2,school,52.4233574,16.9266418
XXXIII Liceum Ogólnokształcące z Oddziałami Sportowymi,school,52.3989237,16.8946579
Chrześcijańskie Placówki im. Króla Dawida,school,52.4019921,16.9392215
Policealne studium kosmetyczne Anieli Goc,school,52.3901135,16.8756587
Ventzi szkoła rysunku,school,52.405707,16.9383254
Poznańska Szkoła Chóralna Jerzego Kurczewskiego,school,52.4020777,16.9394846
Kann szkolenia zawodowe,school,52.4388198,16.8932319
