name,amenity,latitude,longitude
"Przedszkole nr 104 ""Bajlandia""",kindergarten,52.3682372,16.8938834
Przedszkole nr 31,kindergarten,52.4090499,16.9224843
Przedszkole nr 115,kindergarten,52.3987818,16.9247471
Przedszkole nr 161,kindergarten,52.3904242,16.9824731
Zespół Szkolno-Przedszkolny nr 12,school,52.4415588,16.9260405
Przedszkole Specjalne dla Dzieci z Autyzmem nr 135,kindergarten,52.4134318,16.8820406
"Przedszkole nr 14 ""Polne Kwiaty""",kindergarten,52.4365102,16.8222614
"Przedszkole nr 42 ""Kwiaty Polskie""",kindergarten,52.3902584,16.9172155
"Przedszkole ""Horyzonty""",kindergarten,52.4069114,17.0183676
Prywatne Przedszkole Estetyczne,kindergarten,52.4532329,16.875817
Przedszkole nr 175,kindergarten,52.439489,16.9434461
"Publiczne Przedszkole ""Cogito""",kindergarten,52.4066176,16.8794465
"Przedszkole ""Tęczowa Wyspa""",kindergarten,52.430688,16.950306
Przedszkole Kasztanowe 2,kindergarten,52.4311243,16.9452379
Przedszkole nr 190,kindergarten,52.4550237,16.9252258
Przedszkole nr 23 im. Krasnala Hałabały,kindergarten,52.4101729,16.9395555
"Żłobek i Przedszkole ""Bajkowa Kraina""",kindergarten,52.3877949,16.8833881
Przedszkole nr 192,kindergarten,52.4071702,17.0195486
Przedszkole Specjalne dla Dzieci z Wadami Słuchu i Mowy,kindergarten,52.4117095,16.9567787
Niepubliczne Przedszkole Zielone Pandy,kindergarten,52.3807674,16.9624191
Niepubliczne Przedszkole Dawid,kindergarten,52.4019714,16.9393239
Latawce-Dmuchawce - Niepubliczne przedszkole,kindergarten,52.4459404,16.9534374
Przedszkole nr 8,kindergarten,52.383169,16.8891334
Magiczna Kraina prywatne przedszkole,kindergarten,52.4481252,16.8934584
Przedszkole nr 44 im. Janusza Korczaka,kindergarten,52.3925568,16.9010097
Przedszkole i Żłobek Nad Różanym Potokiem,kindergarten,52.471992,16.9065727
Zespół szkolno-przedszkolny nr 11 w Poznaniu,kindergarten,52.4577841,16.9143053
Little Frends Academy przedszkole dwujęzyczne w Poznaniu,kindergarten,52.3805685,16.9106486
Przedszkole Uniwersyteckie,kindergarten,52.4666851,16.9185415
Publiczne Przedszkole Leonardo,kindergarten,52.4432055,16.8880038
Przedszkole Specjalne nr 164,kindergarten,52.41271064199426,16.91668703612757
Przedszkole nr 74 im. Misia Uszatka,kindergarten,52.40171693089723,16.940662418119544
"Przedszkole nr 71 ""Pod Topolą""",kindergarten,52.41415955217198,16.89361616067253
"Przedszkole Integracyjne nr 91 ""Bajka""",kindergarten,52.399787554042845,16.872968987327965
Żłobek i Przedszkole Pozytywnego Rozwoju,kindergarten,52.44622479470891,16.927497426382264
Zespół Szkolno-Przedszkolny nr 7,school,52.4073506894353,17.019720061267808
"Przedszkole 112 ""Mali Przyrodnicy""",kindergarten,52.36664953042071,16.912122936111786
Przedszkole nr 81 im. Skrzata Borodzieja,kindergarten,52.36505917502401,16.906196612249666
"Przedszkole nr 22 ""Chatka Puchatka""",kindergarten,52.36506907561793,16.909495927477693
"Przedszkole nr 10 im. Bolka, Lolka i Toli",kindergarten,52.39224348088512,16.9586631139957
"Przedszkole nr 130 ""Bajkowy Świat""",kindergarten,52.38731897379639,16.949854255851065
Przedszkole nr 20 im. Śmiałka Umiałka,kindergarten,52.3775583852921,16.962900335450236
Przedszkole nr 178 „Kwiaty Polskie”,kindergarten,52.37859685443994,16.96683785704358
Przedszkole nr 90 im. Jana Brzechwy,kindergarten,52.389394878654315,16.889683665178996
"Przedszkole nr 110 ""Wesoły Domek""",kindergarten,52.409630006993076,16.880020653293908
