name,shop,amenity,latitude,longitude
Eurospar,supermarket,,52.429995,16.8490462
,supermarket,,52.3642179,16.883109
ABC,convenience,,52.3670379,16.8958389
Carrefour Market,supermarket,,52.38147,16.9467133
Żabka,convenience,,52.4118311,16.9052615
Żabka,convenience,,52.4158812,16.9055718
Żabka,convenience,,52.403778,16.9287631
Żabka,convenience,,52.4088055,16.9356735
Żabka,convenience,,52.4062382,16.9330773
,convenience,,52.4084445,16.9382711
Biedronka,supermarket,,52.3775856,16.9602168
Żabka,convenience,,52.4037819,16.9261606
Netto,supermarket,,52.4493489,16.9413031
Carrefour Market,supermarket,,52.4384934,16.9415495
Jagódka,convenience,,52.45623,16.9451075
Kaufland,supermarket,,52.4350044,16.927955
Lewiatan,supermarket,,52.4062395,16.9269264
Żabka,convenience,,52.4064041,16.9255481
Żabka,convenience,,52.407623,16.9280708
Żabka,convenience,,52.4060492,16.9201769
Żabka,convenience,,52.4126656,16.9044422
Jeżyk,supermarket,,52.4121369,16.9069734
Żabka,convenience,,52.4120487,16.907315
Żabka,convenience,,52.4078267,16.9251387
Żabka,convenience,,52.4114767,16.9087898
WoW Korea,convenience,,52.407909,16.9211954
Żabka,convenience,,52.4084554,16.9213173
Marcas,convenience,,52.4299993,16.9213665
Chata Polska,supermarket,,52.4119031,16.9034263
Żabka,convenience,,52.4104562,16.8338599
Rena,convenience,,52.4087389,16.8365893
U Dawida ABC,convenience,,52.3912482,16.9726217
Żabka,convenience,,52.3911527,16.9740232
,convenience,,52.3128331,16.9671123
,convenience,,52.3129765,16.9668445
Lewiatan,supermarket,,52.4776299,16.7821226
Lewiatan,convenience,,52.4768057,16.7725525
Delikatesy Centrum,supermarket,,52.3796353,16.9540882
Chata Polska,supermarket,,52.4292715,16.9256587
Żabka,convenience,,52.3827228,16.8317815
delikatesy,convenience,,52.4009827,16.9040181
Stokrotka,supermarket,,52.3952668,16.976042
Bartuś,convenience,,52.3945074,16.9802581
Społem,supermarket,,52.3824749,16.8315443
Biedronka,supermarket,,52.3948358,16.9450547
Delikatesy Hentia,convenience,,52.3931877,16.9835335
Biedronka,supermarket,,52.3673704,16.9044894
Chata Polska,convenience,,52.4097704,16.9771493
Chata Polska,convenience,,52.3633673,17.0080889
Żabka,convenience,,52.355439,17.0290488
Mus,convenience,,52.3507229,17.041978
Żabka,convenience,,52.4070357,16.8780596
Aro,convenience,,52.4081646,16.8791196
Społem,convenience,,52.4101216,16.8827665
Żabka,convenience,,52.4121016,16.8723449
