name,railway,latitude,longitude
Poznań Dębina,halt,52.3734621,16.9106138
Maltanka,station,52.408425,16.9572952
Poznań Główny,station,52.4016269,16.9115788
Poznań Dębiec,halt,52.3681804,16.9010752
Balbinka,halt,52.4047653,16.9791249
Ptyś,halt,52.4060356,16.9751905
Zwierzyniec,station,52.3997487,16.992445
Poznań Karolin,halt,52.4384218,16.9814064
Poznań Antoninek,halt,52.4096599,17.0281738
Poznań Garbary,halt,52.4164409,16.9368434
Poznań Strzeszyn,halt,52.4601389,16.8661626
Poznań Podolany,halt,52.447276,16.8809436
Poznań Wschód,station,52.4182197,16.971483
Poznań Krzesiny,station,52.3416969,16.9755354
Poznań Starołęka,station,52.3662312,16.9342759
Poznań Górczyn,station,52.3802146,16.8814902
Poznań Wola,halt,52.433565,16.8503707
