name,highway,latitude,longitude
Luboń Dębiecka n/ż,bus_stop,52.3531689,16.9016765
Piastowska n/ż,bus_stop,52.372398,16.9186068
Przelot n/ż,bus_stop,52.4262015,16.859844
Miłostowo,bus_stop,52.4103256,17.0042964
Bożeny n/ż,bus_stop,52.4107093,17.0151619
Krzesiny,bus_stop,52.3411926,16.9879226
Krzesiny,bus_stop,52.3412196,16.9880881
Rynek Wschodni,bus_stop,52.4209,16.9699931
Urząd Marszałkowski,bus_stop,52.4155077,16.9264806
Libelta,bus_stop,52.4131413,16.9203549
Urząd Marszałkowski,bus_stop,52.4153113,16.9266626
Garbary PKM,bus_stop,52.4166908,16.9395846
Stobnicka n/ż,bus_stop,52.4534404,16.8013921
Most Teatralny,bus_stop,52.4110138,16.9138389
Poznań Główny,bus_stop,52.4027453,16.9117834
Poznań Główny,bus_stop,52.4026412,16.9120889
Brzechwy n/ż,bus_stop,52.4078286,16.8440563
Złotowska,bus_stop,52.4129828,16.8341283
Armii Poznań n/ż,bus_stop,52.4213065,16.9228072
Umultowo n/ż,bus_stop,52.4819265,16.9435649
Estońska n/ż,bus_stop,52.4427315,16.9362392
Wójtowska,bus_stop,52.429938,16.9398245
Os. Marysieńki,bus_stop,52.4618473,16.9036224
Kiekrz Kościół n/ż,bus_stop,52.4774128,16.7842328
Kiekrz,bus_stop,52.4736466,16.7744849
ZNTK,bus_stop,52.3923224,16.9137408
Os. Przyjaźni,bus_stop,52.4305258,16.929918
Ozimina,bus_stop,52.4276542,16.9237528
Ozimina,bus_stop,52.428097,16.924843
Wojska Polskiego,bus_stop,52.4276686,16.900437
Ziębicka Kościół n/ż,bus_stop,52.3819932,16.8477044
Ściegiennego,bus_stop,52.3908885,16.8732632
Uniwersytet Przyrodniczy,bus_stop,52.4262907,16.9040371
Kacza,bus_stop,52.3804989,16.8622691
Mrągowska,bus_stop,52.3812589,16.8647246
Grotkowska,bus_stop,52.3863759,16.8438145
Os. Kopernika,bus_stop,52.385503,16.8636418
Pelikan,bus_stop,52.3998442,17.0012538
Wichrowa,bus_stop,52.4321994,16.8100141
Zamek,bus_stop,52.4085539,16.9178305
Kolorowa,bus_stop,52.4119658,16.8637286
Rakoniewicka n/ż,bus_stop,52.377825,16.8808464
Rakoniewicka n/ż,bus_stop,52.3774478,16.8803178
Leszczyńska n/ż,bus_stop,52.3756977,16.8785421
Leszczyńska n/ż,bus_stop,52.3760563,16.878823
Śmiełowska,bus_stop,52.3739028,16.8771235
Śmiełowska,bus_stop,52.3732813,16.8766681
Koźmińska n/ż,bus_stop,52.3692599,16.8766534
Koźmińska n/ż,bus_stop,52.3690182,16.8767516
Buczka,bus_stop,52.3638846,16.8788399
Buczka,bus_stop,52.3633297,16.879073
Okulickiego n/ż,bus_stop,52.3593706,16.8812345
Świerczewo n/ż,bus_stop,52.3570167,16.8839625
Świerczewo n/ż,bus_stop,52.3570674,16.884799
Korfantego,bus_stop,52.3592049,16.8868348
Korfantego,bus_stop,52.3596466,16.8873887
Będzińska n/ż,bus_stop,52.3616427,16.8899176
Będzińska n/ż,bus_stop,52.3610344,16.8891563
Cieszyńska n/ż,bus_stop,52.3654783,16.8945347
Łozowa,bus_stop,52.368919,16.9079378
Łozowa,bus_stop,52.3677503,16.9080623
Azaliowa,bus_stop,52.3640651,16.9075892
Azaliowa,bus_stop,52.3637101,16.9073671
Os. Dębina,bus_stop,52.3603573,16.9045829
Opolska,bus_stop,52.3674749,16.8970393
Opolska,bus_stop,52.3673775,16.8956031
Jesionowa,bus_stop,52.3698996,16.8928071
Jesionowa,bus_stop,52.369682,16.8930478
