name,power,man_made,latitude,longitude
,substation,,52.3876103,16.9882779
,substation,,52.3869136,16.9875702
,substation,,52.389564,16.9881657
,substation,,52.3904247,16.986442
,substation,,52.3867024,16.9899149
,substation,,52.3879631,16.9904315
,substation,,52.3886037,16.9832586
,substation,,52.3901332,16.9903991
,substation,,52.3906983,16.9844156
,substation,,52.3895418,16.9823758
,substation,,52.3908653,16.9823806
,substation,,52.3912482,16.9434021
,substation,,52.3921493,16.9430967
,substation,,52.3945254,16.9448399
,substation,,52.3956707,16.9444543
,substation,,52.3890377,16.9537702
,substation,,52.3878407,16.9541339
,substation,,52.3893611,16.9627978
,substation,,52.3903252,16.9624676
,substation,,52.4293725,16.9268566
,substation,,52.3776619,16.9596583
,substation,,52.3823154,16.843444
,substation,,52.3845841,16.981543
,substation,,52.3855991,16.9803532
,substation,,52.3925997,16.9562601
,substation,,52.392711,16.9572579
,substation,,52.3908859,16.9576602
,substation,,52.391084,16.959283
,substation,,52.3927113,16.9523253
,substation,,52.3938308,16.9505691
,substation,,52.393966,16.9516802
,substation,,52.3932132,16.9451624
,substation,,52.3884898,16.9602756
,substation,,52.3931527,16.9539225
,substation,,52.3988339,16.9490156
,substation,,52.3856578,16.9766058
,substation,,52.3860745,16.9774524
,substation,,52.3818061,16.9661957
,substation,,52.3836034,16.9681722
,substation,,52.3939686,16.9475508
,substation,,52.3937791,16.9459418
,substation,,52.3841508,16.975717
,substation,,52.3853629,16.9773841
,substation,,52.3856616,16.9678464
,substation,,52.3887572,16.9699064
,substation,,52.3873891,16.9734467
,substation,,52.4135573,16.8786668
,substation,,52.3903267,16.9696331
,substation,,52.391215,16.9739412
,substation,,52.3912963,16.9702036
,substation,,52.3916526,16.9715686
,substation,,52.4015339,16.9516492
,substation,,52.4023507,16.9518089
,substation,,52.4026782,16.9509527
,substation,,52.3899103,16.9598377
,substation,,52.3901056,16.9614735
,substation,,52.3813162,16.9719194
,substation,,52.3824,16.9811442
,substation,,52.3662817,16.995059
,substation,,52.3970314,16.9500047
,substation,,52.3960281,16.9631521
,substation,,52.3880414,16.976251
,substation,,52.3893289,16.9764255
,substation,,52.3795368,16.9599882
,substation,,52.3795572,16.9603735
,substation,,52.3800107,16.9626008
,substation,,52.3801131,16.9573411
,substation,,52.3825645,16.9673885
,substation,,52.384807,16.9687975
,substation,,52.3932607,16.9799504
,substation,,52.4094065,16.9550329
,substation,,52.3893477,16.8970669
,substation,,52.3874634,16.9579567
,substation,,52.3837534,16.9787385
,substation,,52.3840557,16.9607299
,substation,,52.3821369,16.9569493
,substation,,52.3827358,16.958202
,substation,,52.3849241,16.961644
,substation,,52.3823469,16.9774949
,substation,,52.3893523,16.9555009
,substation,,52.3894628,16.9565649
,substation,,52.3906429,16.975366
,substation,,52.3930695,16.9779326
,substation,,52.3939751,16.9752426
,substation,,52.3941137,16.9784175
,substation,,52.3941872,16.9739481
,substation,,52.3950845,16.973956
,substation,,52.3953942,16.9760238
