name,amenity,leisure,tourism,latitude,longitude
Pływalnia Orka,,sports_centre,,51.4020303,21.1655388
Muzeum im. Jacka Malczewskiego,,,museum,51.4026169,21.1421469
Cenrum Organizacji Pozarządowych,community_centre,,,51.4043075,21.150829
"Ośrodek Kultury i Sztuki ""Resursa Obywatelska""",arts_centre,,,51.4042624,21.1504029
Endorfina Platinium - Gym&Fitness,,fitness_centre,,51.4079446,21.1569863
"Miejski Ośrodek Kultury ""Amfiteatr""",theatre,,,51.4118437,21.1492147
Drukarnia Trzebińskiego,,,attraction,51.401244,21.1509615
Kamienica Artystyczna,,,artwork,51.4027603,21.1445779
Dom Starościński,,,attraction,51.4021738,21.1438504
Multikino,cinema,,,51.4053242,21.1543389
Łaźnia Klub Środowisk Twórczych i Galeria,arts_centre,,,51.4002861,21.1586473
Hala MOSiR im. Kazimierza Paździora,,sports_centre,,51.3969751,21.1476666
Dom Jacka Malczewskiego,,,attraction,51.4032821,21.14869
Kręgielnia Platyna,,bowling_alley,,51.388513,21.1477092
Platyna,,fitness_centre,,51.3886974,21.1476067
Leda,,sports_centre,,51.3913402,21.1474587
skwer Unii Radomsko-Wileńskiej,,,attraction,51.4017096,21.1451566
,,track,,51.3596053,21.1482341
Mazowieckie Centrum Sztuki Współczesnej 'Elektrownia',arts_centre,,,51.3980508,21.1497466
Hala Sportowa na Ośrodku Kultury,,sports_hall,,51.3849484,21.1804396
Explosion,nightclub,,,51.4091471,21.1446401
Zdrofit,,fitness_centre,,51.4093393,21.1443802
Pop Gym Fitness Club,,fitness_centre,,51.4028441,21.1513763
Pop Gym,,fitness_centre,,51.4028528,21.1516953
Park Trampolin Sky Jump,,sports_centre,,51.3894362,21.138993
Armata,,,artwork,51.401747,21.1448704
Armata,,,artwork,51.4017469,21.1448075
Tkalnia zagadek,,escape_game,,51.4012458,21.1565788
Rogatka Warszawska,,,attraction,51.4058145,21.151495
Aparat telefoniczny CB-49,,,artwork,51.4017763,21.15727
Półbuty damskie,,,artwork,51.4017617,21.154052
Maszyna do szycia kl. 82,,,artwork,51.4017818,21.1540616
Maszyna do pisania Łucznik 1301,,,artwork,51.3984173,21.153913
Pistolet Vis wz. 35,,,artwork,51.404097,21.1499843
Maska przeciwgazowa wz. 24,,,artwork,51.4021142,21.1555858
Temida,,,artwork,51.4117326,21.1538936
Telefon Bratek,,,artwork,51.4044455,21.1545852
Waga domowa,,,artwork,51.4047333,21.1557145
Kozaki Sofix,,,artwork,51.4026889,21.1463727
Rower wojskowy Łucznik typ XX,,,artwork,51.4007812,21.157689
Serek homogenizowany,,,artwork,51.4009239,21.1552192
Alibi,nightclub,,,51.4075433,21.1519371
Gmach Powiatowego Związku Samorządowego,,,attraction,51.3985732,21.1538702
"Mural ""Dyzio Marzyciel""",,,artwork,51.4014385,21.1550291
Dom Wejssów,,,attraction,51.3994708,21.1549811
Gmach Banku Państwa,,,attraction,51.4010736,21.1557037
Mury miejskie,,,attraction,51.4021958,21.1414197
Dom Esterki,,,attraction,51.4035662,21.1420458
Budynek Stacji Pomp Wodociągu Miejskiego,,,attraction,51.4062733,21.1659932
Budynek loży wolnomularskiej,,,attraction,51.4040675,21.1490838
Dom Staniszewskich,,,attraction,51.400675,21.1542458
"Kamienica ""Pod Lwem""",,,attraction,51.4002672,21.1553533
Brzemienna - Pomnik Matki Polki,,,artwork,51.4003069,21.1455691
"Kamienica ""Komitetu Pięciu""",,,attraction,51.3973463,21.152249
Kamienica Deskurów,,,attraction,51.4026263,21.1433062
Resursa Obywatelska,,,attraction,51.404109,21.1501012
Radomska Orkiestra Kameralna,arts_centre,,,51.4015767,21.1580996
Biurowiec Zakładów Energetycznych Okręgu Wschodniego,,,attraction,51.4003776,21.1634637
Siłownia Just Gym,,fitness_centre,,51.4098494,21.1755979
Dom Rzemiosła,,,attraction,51.4025938,21.1540616
Resursa Rzemieślnicza,,,attraction,51.402516,21.1537336
Cocoon Pole Dance Academy,,sports_centre,,51.3883494,21.1477225
Budynek d. Szkoły Handlowej i Seminarium Nauczycielskiego,,,attraction,51.3984245,21.1612905
