name,leisure,landuse,natural,latitude,longitude,area_m2,score
,,grass,,51.393783862205005,21.208369517204414,5022.367223560471,3515.6570564923295
,,grass,,51.39034366400341,21.211496971583898,355613.8606273014,248929.70243911096
,,grass,,51.393262842641526,21.213472522247923,32767.615910114444,22937.33113708011
,,grass,,51.393986781587856,21.21144052485384,1535.8737792968125,1075.1116455077686
,,grass,,51.393588783242855,21.210283432403614,5046.846125289075,3532.792287702352
,,grass,,51.39365505572101,21.209645099294164,5039.37857627542,3527.5650033927936
,,grass,,51.39352241646173,21.210922510684064,5038.5655176180535,3526.9958623326374
,,grass,,51.393776989404934,21.2072874242576,12204.649616900257,8543.254731830179
,,forest,,51.3846665894656,21.222793731152528,775883.0828814834,620706.4663051867
,,grass,,51.39345755469189,21.211559293252066,5060.338823268099,3542.237176287669
,,grass,,51.392688531425364,21.217285058543766,54145.774155220846,37902.04190865459
,,grass,,51.39366910447211,21.20899445518351,4065.453019953071,2845.8171139671495
,,grass,,51.393219888124825,21.21878749169067,1354.9958595222517,948.4971016655761
,,grass,,51.393104086873905,21.215616775855256,8720.328084325034,6104.229659027524
,,grass,,51.391414849720235,21.218965030299582,253949.55840005525,177764.69088003866
Park im. Józefa Ruzika,park,,,51.38978700032725,21.167900731660716,78461.92520704484,78461.92520704484
,,forest,,51.441479871027056,21.2363033500281,1911501.160457906,1529200.9283663249
,,grass,,51.39894239735247,21.140344553049086,2836.051562809573,1985.236093966701
,,grass,,51.40033729944133,21.145573722035447,337.3906266936055,236.17343868552382
,,grass,,51.400526644153345,21.145536290348975,132.34036598675743,92.6382561907302
,,grass,,51.400129254679975,21.145723103493843,183.21449383148212,128.25014568203747
,,grass,,51.40066887543219,21.14552785389223,288.6908378200937,202.08358647406558
,,grass,,51.40057577659476,21.145853830304198,246.75102766055986,172.72571936239189
,,grass,,51.39142786247958,21.145398616169413,1266.066434983789,886.2465044886521
,,grass,,51.39433792253861,21.14199029913909,4617.761848720895,3232.433294104626
,,grass,,51.39492850909798,21.141406983235974,1948.2635699653024,1363.7844989757116
,,grass,,51.375332148596705,21.161926597311723,2301.291893756616,1610.904325629631
,,forest,,51.42833026546529,21.210869431991473,1177578.2382710406,942062.5906168325
,,forest,,51.389282657560436,21.113144644383883,37505.88503372268,30004.708026978147
,,forest,,51.39348579575375,21.113686424903726,1614.0415997235234,1291.2332797788188
,,grass,,51.39271683178526,21.11306561756996,34017.55612528811,23812.289287701675
,,grass,,51.3932575615191,21.11164135446979,2895.729374447634,2027.010562113344
,,grass,,51.402748616035524,21.117021400490195,1859.2898510174118,1301.502895712188
