name,amenity,latitude,longitude
"Szkoła Językowa ""Filadelfia""",school,51.4205203,21.1669223
Nova - Centrum Edukacyjne,school,51.4032696,21.1548769
Sukces Edukacja,school,51.402498,21.1465693
"Szkoła Policealna ""Żak""",school,51.3948147,21.1544683
Cosinus - szkoły policealne,school,51.4020515,21.1485033
English College,school,51.4014502,21.1531823
City College,school,51.401404,21.153513
ZSSiH - Stołówka Szkolna,school,51.3983014,21.1545165
Szkoła Partnerstwa Międzynarodowego z oddziałami dwujęzycznymi im. Unii Europejskiej,school,51.3968906,21.1532082
Szkoła Języka i Kultury Francuskiej,school,51.4029215,21.1594496
English College - filia Michałów,school,51.4284187,21.1637432
Ośrodek Doskonalenia Nauczycieli,school,51.3949077,21.1490262
SpeakUp,school,51.3997131,21.1650565
English School,school,51.3996182,21.1652894
Zespół Niepublicznych Placówek Oświatowych Specjalnych,school,51.3790241,21.0872993
,school,51.403989778858424,21.156560662380233
XII Liceum Ogólnokształcące im. Witolda Gombrowicza,school,51.378451805614546,21.163745746767376
III Liceum Ogólnokształcące im. płk. Dionizego Czachowskiego,school,51.39900261397476,21.15108794063309
V Liceum Ogólnokształcące im. Romualda Traugutta,school,51.40016987197023,21.15024805088155
Zespół Szkół Budowlanych im. Kazimierza Wielkiego,school,51.39603730844759,21.14928817810737
Zespół Szkół Ekonomicznych,school,51.41068131332137,21.138060394686086
Zespół Szkół Technicznych im. Tadeusza Kościuszki,school,51.400230963990005,21.138573614857755
Zespół Szkół Specjalnych i Placówek Oświatowych,school,51.37580056179094,21.15630437285079
Zespół Szkół Samochodowych im. rotmistrza Witolda Pileckiego,school,51.401843073164194,21.164553250908103
Zespół Szkół Muzycznych im. Oskara Kolberga,school,51.40442222683627,21.165424725097683
XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Polskich Noblistów w Radomiu,school,51.40517593183169,21.163369300675512
Zespół Szkół Elektronicznych im. Bohaterów Westerplatte,school,51.40738576739518,21.182034360652434
XI Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Stanisława Staszica w Radomiu,school,51.415510961639235,21.15828859535556
VII Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego,school,51.41261678207516,21.155535545465334
II Liceum Ogólnokształcące im. Marii Konopnickiej,school,51.40954913712489,21.156242944917977
X Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Stanisława Konarskiego,school,51.39484876285483,21.162618404416264
Zespół Szkół Plastycznych im. Józefa Brandta,school,51.38871595056017,21.15482030611365
"Zespół Szkół Zawodowych im. mjr. Henryka Dobrzańskiego ""HUBALA""",school,51.38775368082518,21.151719967507578
I Społeczne Liceum Ogólnokształcące STO,school,51.38275610296605,21.15472808015895
Centrum Kształcenia Ustawicznego im. Tadeusza Kościuszki,school,51.39551127027638,21.150174159834464
,school,51.39678105064172,21.15317303814152
Niepubliczna Szkoła Muzyczna I Stopnia,school,51.381080052231624,21.130168269833398
Szkoły Zakładu Doskonalenia Zawodowego,school,51.40718703800253,21.137445792597358
Zespół Szkół Agrotechnicznych i Gospodarki Żywnościowej im. Władysława Reymonta,school,51.4125758072828,21.112983670036957
Poradnia Psychologiczno-Pedagogiczna nr 2 w Radomiu,school,51.39168360935026,21.132523221482785
IV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. dra Tytusa Chałubińskiego,school,51.396229494767525,21.142794014862407
Specjalny Ośrodek Szkolno Wychowawczy dla Dzieci Niewidomych i Słabo Widzących im. Prymasa Stefana kardynała Wyszyńskiego,school,51.409251202622364,21.179390678780532
"Zespół Szkół Skórzano-Odzieżowych, Stylizacji i Usług",school,51.410401283927996,21.150602686230496
Specjalny Ośrodek Szkolno - Wychowawczy dla Dzieci Niesłyszących im. Marii Grzegorzewskiej,school,51.40840619633104,21.1493691380052
I Liceum Ogólnokształcące im. Mikołaja Kopernika,school,51.40106775808145,21.148254131528216
VI Liceum Ogólnokształcące im. Jana Kochanowskiego w Radomiu,school,51.40265165642345,21.156236210346194
Tomrad - Niepubliczny Ośrodek Kształcenia Ustawicznego,school,51.43783255208712,21.16670699437227
TEB Technikum Radom,school,51.389615457138504,21.171430574887452
Centrum Kształcenia Zawodowego,school,51.39514356531588,21.14818078136406
Bursa Szkolna nr 1 w Radomiu,school,51.39472901242252,21.1497420456269
Katolickie Liceum Ogólnokształcące im. św. Filipa Neri,school,51.40494477634877,21.173280613796887
Zespół Szkół Spożywczych i Hotelarskich,school,51.37514858616412,21.158627938796055
