name,amenity,latitude,longitude
Publiczne Przedszkole nr 9 im. Ewy Szelburg-Zarembiny,kindergarten,51.39087,21.1776086
"Przedszkole Niepubliczne ""Czas Dziecka""",kindergarten,51.416373,21.1751696
Przedszkole Publiczne nr 26,kindergarten,51.3949077,21.1426908
Przedszkole Niepubliczne Piotrówkowe Skarby,kindergarten,51.3986417,21.1356793
Publiczne Przedszkole nr 18 im. Św. Brata Alberta,kindergarten,51.3758071,21.156361
Niepubliczny Żłobek i Przedszkole Słoneczna Kraina,kindergarten,51.4128974,21.1852208
Niepubliczne Przedszkole Językowe Gąska Balbinka,kindergarten,51.4211769,21.1728902
Niepubliczne Przedszkole Kraina Radości,kindergarten,51.368202,21.1264488
Niepubliczne Przedszkole Planeta Odkrywców,kindergarten,51.4045206,21.1200807
Publiczne Przedszkole nr 21,kindergarten,51.383834,21.1551977
"Niepubliczne Przedszkole Terapeutyczne ""Mój świat""",kindergarten,51.3956594,21.1748552
Publiczne Przedszkole nr 15,kindergarten,51.41015279988551,21.156979514947718
Zespół Szkolno-Przedszkolny nr 2,school,51.383699861668234,21.155322752587743
Zespół Szkolno-Przedszkolny nr 4,school,51.39457412472184,21.142712052003418
Niepubliczna Szkoła Podstawowa z Oddziałami Przedszkolnymi Realizująca Program Rehabilitacji „Nasza Szkoła”,school,51.42950401943596,21.16169785434587
Publiczne Przedszkole nr 8 im. Króla Maciusia I,kindergarten,51.428348574960616,21.15661918010626
Przedszkole Publiczne nr 24 z Oddziałami Integracyjnymi im. Janusza Korczaka,kindergarten,51.41302483498892,21.181873469678642
Publiczne Przedszkole nr 3 im. Janiny Porazińskiej,kindergarten,51.40604506857137,21.175453573412565
Przedszkole Wesołe Krasnoludki,kindergarten,51.39814265903003,21.073135222396346
Publiczne Przedszkole nr 2,kindergarten,51.410470978482046,21.163156539748012
Publiczne Przedszkole nr 1 im. Marii Konopnickiej,kindergarten,51.413979331772424,21.182402876791155
Publiczne Przedszkole nr 1 im. Marii Konopnickiej,kindergarten,51.413176500547586,21.178755689706684
Publiczne Przedszkole nr 16,kindergarten,51.38589977754361,21.150845683285617
Przedszkole Publiczne nr 14,kindergarten,51.380023054252014,21.155694246655862
Publiczne Przedszkole nr 12,kindergarten,51.41094137012918,21.136625525253592
Przedszkole Publiczne nr 11,kindergarten,51.39524690916452,21.14737075587264
Publiczne Przedszkole nr 13,kindergarten,51.39987708848957,21.122592712953995
Publiczne Przedszkole nr 10 im. Jana Brzechwy,kindergarten,51.37955676287273,21.164395630213548
Publiczne Przedszkole nr 19 z Oddziałami Integracyjnymi,kindergarten,51.390358616408726,21.12147953874719
Publiczne Przedszkole nr 5 im. Tadeusza Kościuszki,kindergarten,51.37295831133704,21.12990312781135
"Przedszkole Niepubliczne ""Kraina Przygód""",kindergarten,51.37470786355283,21.12818547390946
Publiczne Przedszkole nr 23,kindergarten,51.371514694968276,21.12795421581944
Publiczne Przedszkole nr 6,kindergarten,51.42112363320626,21.165018118821095
Przedszkole Publiczne nr 4 im. Juliana Tuwima,kindergarten,51.401576895136735,21.155355787730528
Publiczne Przedszkole nr 17 im. Czesława Janczarskiego,kindergarten,51.40063345096147,21.170676271436818
Przedszkole Niepubliczne prowadzone przez Zgromadzenie Córek Maryi Niepokalanej,kindergarten,51.40154457902452,21.13840937081394
Przedszkole Publiczne nr 4 im. Juliana Tuwima,kindergarten,51.40266309046589,21.15537344489006
"Niepubliczne Przedszkole ""Słoneczko""",kindergarten,51.377772932469384,21.171035862187452
Przedszkole Publiczne nr 11,kindergarten,51.39513519348027,21.1510900195842
Publiczne Przedszkole nr 8 im. Króla Maciusia I,kindergarten,51.429115484618166,21.157028736594953
Niepubliczne Przedszkole Słoneczna Kraina,kindergarten,51.401405591183966,21.165318012275133
Publiczne Przedszkole nr 22 im. Hanny Łochockiej,kindergarten,51.44422527045113,21.149765625665502
Publiczne Przedszkole nr 7 w Radomiu,kindergarten,51.39722594416384,21.202640881549993
"Niepubliczne Przedszkole ""Niezapominajka""",kindergarten,51.38957489491487,21.158249524742246
