name,shop,amenity,latitude,longitude
,convenience,,51.3700244,21.1865734
,convenience,,51.3671007,21.1933026
,convenience,,51.3683265,21.1889123
Chorten,convenience,,51.3757849,21.1822311
Żywność Ekologiczna - Sklep u Jacka,convenience,,51.4116046,21.1603105
Społem,supermarket,,51.412544,21.1597662
Biedronka,supermarket,,51.3851684,21.1612188
Sklep Monopolowy,convenience,,51.3791844,21.1652261
,convenience,,51.380157,21.1620936
,convenience,,51.3986049,21.1805035
Lewiatan,supermarket,,51.3852746,21.154173
Biedronka,supermarket,,51.393039,21.1565403
Netto,supermarket,,51.3809039,21.1580616
Eurospar,supermarket,,51.381827,21.1757628
abc,convenience,,51.3787392,21.1716773
ALDI,supermarket,,51.3924494,21.1474707
Carrefour Market,supermarket,,51.3837821,21.1580365
Feniks,mall,,51.3874524,21.1584303
Lidl,supermarket,,51.3915805,21.1410807
Żabka,convenience,,51.4021171,21.1463208
Żabka,convenience,,51.3746015,21.1639458
,convenience,,51.375172,21.1625307
,convenience,,51.3753235,21.1612402
,convenience,,51.3756406,21.1616302
,convenience,,51.3765073,21.1622319
Żabka,convenience,,51.3795246,21.1602783
,convenience,,51.3808064,21.1594374
REMAN Nocny,convenience,,51.39396,21.147343
Społem,convenience,,51.3945294,21.1457607
Carrefour Market,supermarket,,51.4063445,21.1547795
Sklep Spożywczo - przemysłowy,convenience,,51.3656293,21.166624
,convenience,,51.3676868,21.1653282
Awex,convenience,,51.3859099,21.1562221
amic energy,convenience,fuel,51.4129644,21.130956
,convenience,,51.3776616,21.1566694
abc,convenience,,51.389045,21.1273514
,convenience,,51.3813258,21.1555062
Biedronka,supermarket,,51.3777749,21.1428683
PSS Społem nr 30,convenience,,51.3980133,21.1618205
Biedronka,supermarket,,51.4068548,21.1574908
abc,convenience,,51.3975255,21.1370386
Żabka,convenience,,51.4025951,21.1044157
Żabka,convenience,,51.4308016,21.1529769
Żabka,convenience,,51.3780324,21.1539491
Iskra,convenience,,51.3777304,21.1537922
,convenience,,51.3773934,21.1497568
abc,convenience,,51.3817869,21.1959909
Sklep ABC,convenience,,51.4230576,21.1664382
Delikatesy,convenience,,51.3960312,21.1348473
Żabka,convenience,,51.4231691,21.1654092
Społem,convenience,,51.4129038,21.1849447
,convenience,,51.3960904,21.1609511
Delikatesy Centrum,supermarket,,51.4184063,21.1684342
Sklep spożywczo-monopolowy,convenience,,51.3692177,21.1933607
Sklep ABC,convenience,,51.361657,21.1473444
Biedronka,supermarket,,51.4071282,21.1426311
Żabka,convenience,,51.379292,21.18266
Żabka,convenience,,51.4209581,21.1697317
ŻAK PSS Społem,supermarket,,51.4211502,21.1624034
Żabka,convenience,,51.3934939,21.1544442
Żabka,convenience,,51.3942168,21.1548974
Stokrotka,supermarket,,51.3887576,21.1269199
Biedronka,supermarket,,51.4049955,21.131747
Lewiatan,convenience,,51.3655283,21.1254865
"Sklep spożywczy ""Kubuś""",convenience,,51.3627994,21.1325462
Żabka,convenience,,51.401645,21.1496572
Żabka,convenience,,51.4057755,21.1288687
Świat serów,convenience,,51.4062591,21.1290204
Sklep spożywczo-monopolowy,convenience,,51.4063449,21.1285642
Delikatesy Centrum,supermarket,,51.4092257,21.1447046
Grosik,convenience,,51.4055079,21.1251659
Wild Bean Cafe,convenience,,51.4063074,21.1228668
,convenience,,51.4042923,21.1197317
Katarzynka,convenience,,51.4047024,21.1217115
Żabka,convenience,,51.4100584,21.159472
,convenience,,51.4305887,21.1497483
,convenience,,51.4154317,21.1543396
,convenience,,51.4174172,21.1357197
Biedronka,supermarket,,51.4030615,21.1513442
Stokrotka,supermarket,,51.4047199,21.1292373
Żabka,convenience,,51.3993889,21.1549362
Społem,convenience,,51.3974542,21.1519897
Społem,convenience,,51.4007545,21.1550412
Społem,convenience,,51.3980047,21.1542507
Biedronka,supermarket,,51.4191094,21.2089321
Żabka,convenience,,51.406002,21.1511183
Delikatesy Centrum,supermarket,,51.4096366,21.161364
Cafe Bistro,convenience,,51.3916854,21.1421388
,convenience,,51.4000296,21.1404976
E.Leclerc,supermarket,,51.3786507,21.1256291
U Łukasza,convenience,,51.3722979,21.1347848
Wild Bean Cafe,convenience,,51.4055704,21.1524813
Wild Bean Cafe,convenience,,51.4103053,21.183169
Żabka,convenience,,51.4093798,21.1788845
,convenience,,51.4094878,21.1747221
Sklep  u  Jacka,convenience,,51.4071995,21.1789175
Społem,convenience,,51.407223,21.1745889
Żabka,convenience,,51.4062486,21.1747505
Targowisko Korej,,marketplace,51.4091149,21.1459256
Żabka,convenience,,51.3981599,21.1518541
Stop Cafe,convenience,cafe,51.4133199,21.2045723
Społem,convenience,,51.4098685,21.1474958
Żabka,convenience,,51.4009462,21.1564436
Żabka,convenience,,51.3925569,21.1495642
Żabka,convenience,,51.4019533,21.139556
,convenience,,51.4113417,21.1816132
,convenience,,51.410977,21.1829972
Żabka,convenience,,51.4024055,21.159545
Stop Cafe,convenience,cafe,51.3850853,21.1765827
Stop Cafe,convenience,cafe,51.3817047,21.1301055
,convenience,,51.4119683,21.1737621
"Sklep spożywczy ""Piotruś""",convenience,,51.4138802,21.154895
e-superfood,convenience,,51.3889468,21.1473042
,convenience,,51.4168782,21.1528757
Żabka,convenience,,51.3810931,21.1628718
,convenience,,51.3783395,21.1534992
,convenience,,51.4166417,21.2038552
amic market,convenience,,51.412792,21.1311705
Żabka,convenience,,51.3998201,21.1644111
Żabka,convenience,,51.4008932,21.1543144
Delikatesy,convenience,,51.4187499,21.1638009
Żabka,convenience,,51.4031992,21.1485604
Żabka,convenience,,51.4172432,21.1730609
abc,convenience,,51.4172859,21.1728181
U Mirka,convenience,,51.3818184,21.1619966
Żabka,convenience,,51.4075888,21.1577704
,convenience,,51.4032278,21.148626
Delikatesy Centrum,supermarket,,51.4166664,21.1779405
Sklep Spożywczy,convenience,,51.4108361,21.1577245
Żabka,convenience,,51.3913812,21.1555822
