name,highway,latitude,longitude
Wolanowska / Spadzista,bus_stop,51.4029942,21.1094757
Ustronie / Radomskiego,bus_stop,51.3766238,21.1715179
Zbrowskiego / Gołębiowska (NŻ) 10,bus_stop,51.4185679,21.178554
Słowackiego / Paciaka,bus_stop,51.36921,21.1937764
Słowackiego / Idalińska 13,bus_stop,51.3794629,21.1829671
Dw. Główny PKP / Traugutta 02,bus_stop,51.3928282,21.1547234
Beliny-Prażmowskiego / Dw. PKS 01,bus_stop,51.3931843,21.1583924
Grzecznarowskiego / Świerkowa 05,bus_stop,51.379872,21.1712049
Słowackiego / Gromadzka,bus_stop,51.3829511,21.179256
Słowackiego / Gromadzka,bus_stop,51.383654,21.1784877
Kusocińskiego / Chrobrego 04,bus_stop,51.4101504,21.1599351
Chrobrego / Sowińskiego,bus_stop,51.4122142,21.1600422
Grzecznarowskiego / Osiedlowa 03,bus_stop,51.3814154,21.1665643
Grzecznarowskiego / Osiedlowa 06,bus_stop,51.3805692,21.1676987
Grzecznarowskiego / Jana Pawła II (NŻ) 04,bus_stop,51.3833742,21.1630504
Długojowska / Miedziana (NŻ),bus_stop,51.3869426,21.1798229
Warszawska / Rondo 10,bus_stop,51.4293583,21.1494982
Warszawska / Janiszewska (NŻ),bus_stop,51.4336323,21.1480077
Os. Gołębiów I 11,bus_stop,51.4108662,21.1844855
Idalin,bus_stop,51.3705108,21.1833922
Przejazd / Idalińska,bus_stop,51.3748084,21.1813914
Mazowiecka / Laskowa,bus_stop,51.3723069,21.1844665
Janiszpol,bus_stop,51.3644707,21.1994969
Jana Pawła II / Grzecznarowskiego 03,bus_stop,51.3835208,21.1594349
Jana Pawła II / Sandomierska 01,bus_stop,51.3806927,21.1587226
PCK / Grzecznarowskiego,bus_stop,51.3868267,21.1517912
PCK / Grzecznarowskiego,bus_stop,51.3870132,21.1541853
Kelles-Krauza / 25 Czerwca,bus_stop,51.4029991,21.1619133
Malczewskiego / Wernera,bus_stop,51.4068942,21.1519455
Wernera / Malczewskiego 02,bus_stop,51.4060357,21.1503072
Limanowskiego / Wałowa 02,bus_stop,51.4028974,21.1398723
1905 Roku / Tytoniowa 04,bus_stop,51.3909207,21.1407454
Grzecznarowskiego / Śląska 02,bus_stop,51.3862347,21.1576451
Grzecznarowskiego / Śląska 01,bus_stop,51.3858072,21.1587654
Limanowskiego / Maratońska 09,bus_stop,51.3907935,21.1297455
Narutowicza / Kościuszki,bus_stop,51.397049,21.1497084
Dw. Główny PKP / pl. Dworcowy 05,bus_stop,51.3914501,21.1547119
Dw. Główny PKP / Poczta 02,bus_stop,51.3922644,21.1559216
Beliny-Prażmowskiego / Dw. PKS 04,bus_stop,51.393132,21.1586454
Limanowskiego / Maratońska,bus_stop,51.3896312,21.1283348
Wernera / Mireckiego,bus_stop,51.4083133,21.1450629
Szarych Szeregów / Warszawska (NŻ),bus_stop,51.4137633,21.1498351
11 Listopada / Starowolska,bus_stop,51.4140838,21.159342
Narutowicza / Kościuszki,bus_stop,51.3969312,21.1500574
Żwirki i Wigury / Kusocińskiego 01,bus_stop,51.4092334,21.1655024
Żwirki i Wigury / Struga 02,bus_stop,51.4079079,21.1660422
Warsztatowa / Potokowa (NŻ),bus_stop,51.3636116,21.1209083
Żeromskiego / Czachowskiego 03,bus_stop,51.3996197,21.1680193
Mireckiego / Wernera 01,bus_stop,51.4083238,21.1422711
Limanowskiego / Młodzianowska 04,bus_stop,51.3981799,21.1386857
Limanowskiego / Młodzianowska 03,bus_stop,51.3981833,21.1388403
Wojska Polskiego / Słowackiego 02,bus_stop,51.3825041,21.1816042
Chrobrego / Rapackiego 09,bus_stop,51.4212098,21.1628413
Chrobrego / Mierzejewskiego 07,bus_stop,51.4175373,21.1624501
Chrobrego / Mierzejewskiego 08,bus_stop,51.4185963,21.1632053
