name,power,man_made,latitude,longitude
Podczyszczalnia wód deszczowych Wiejska - Godowska,,wastewater_plant,51.365964,21.1506854
Planty 2,substation,,51.3931103,21.1532631
"Rozdzielnia 15kV ""RS Port Lotniczy""",substation,,51.3961104,21.2012115
Wierzbicka Pompownia,substation,,51.3755018,21.1288086
Leclerc,substation,,51.3782986,21.1246222
,substation,,51.396286,21.1561193
Natolińska,substation,,51.4050771,21.1223696
Pawilon Czachowskiego,substation,,51.3988397,21.1664037
Seminarium,substation,,51.3759082,21.1083116
,substation,,51.4015793,21.1598741
U-43,substation,,51.3811405563532,21.16609807553223
Oczyszczalnia Ścieków,,wastewater_plant,51.46041193631676,21.19356338313709
Biała,substation,,51.381322100000006,21.1761273
"Stacja elektroenergetyczna 110/30/15kV ""Radom Południowa""",substation,,51.37816494037136,21.160202268431565
"Rozdzielnia 15kV ""RS Ustronie""",substation,,51.38738595,21.153272949999998
"Stacja elektroenergetyczna 110/15kV ""Radom Centralna""",substation,,51.39771042708713,21.1483925027384
U-41,substation,,51.38115938081923,21.160848962076635
"Stacja elektroenergetyczna GPZ 110/15kV ""Radom Gołębiów""",substation,,51.426006341867506,21.202221089457613
"Stacja elektroenergetyczna 110/30/15kV ""Radom Północ""",substation,,51.41379847051463,21.168681401421036
"Rozdzielnia 15kV ""RS Krynicka""",substation,,51.361950448010376,21.140725727742545
U-47,substation,,51.38006241009828,21.16532352268437
,substation,,51.37853581078732,21.165386199057014
Anielewicza,substation,,51.40089733211974,21.142533722498793
"Stacja elektroenergetyczna GPZ 110/15kV ""Radom Zamłynie""",substation,,51.3986207596693,21.117944427528727
,substation,,51.36050386926787,21.11993926654531
Wolność,substation,,51.40487715000001,21.1444817
,substation,,51.40536282891984,21.128875787218078
CPN Kozienicka,substation,,51.41033391612241,21.184039431508833
G-9,substation,,51.41281415000001,21.182967
G-5,substation,,51.41151416244096,21.177893698312392
G-6,substation,,51.41206130017688,21.176694854014375
G-10,substation,,51.41405239057958,21.185421581697934
G-15,substation,,51.41408288262519,21.177849244249867
G-13,substation,,51.414007350000006,21.177773100000003
G-3,substation,,51.4115403,21.1834711
G-4,substation,,51.411735223045206,21.180296536616904
G-12,substation,,51.413289144433264,21.18180332394585
G-2,substation,,51.4114874277388,21.181976562900175
Grzybowska 1,substation,,51.40899745000001,21.177086850000002
Wolanowska 3,substation,,51.40184949565018,21.090305429473048
Sucha,substation,,51.38711141898627,21.1215991911433
,substation,,51.359255299999994,21.1193461
Zalewowa,substation,,51.38887084590641,21.120249881391587
"Stacja elektroenergetyczna GPZ 110/15kV ""Radom Potkanów""",substation,,51.352794089597985,21.09087467487407
Miła,substation,,51.407448200000005,21.159938800000003
,substation,,51.39494622039812,21.184080213103197
Pałac Ślubów,substation,,51.398857224150234,21.15384564205285
Graniczna,substation,,51.39039285,21.164077550000002
,substation,,51.396486827765884,21.173815329550045
,substation,,51.38698033152224,21.17762216493979
,substation,,51.38787997858412,21.142775815584265
KBM Gdyńska,substation,,51.38769429923936,21.137512120528026
"Rozdzielnia 15kV ""RS 1905 Roku""",substation,,51.39281494874147,21.14050179542501
,substation,,51.39605980226913,21.1357925494585
"Rozdzielnia 15kV ""RS Dzierzków""",substation,,51.4007911527325,21.17574269365687
,substation,,51.378973650000006,21.090865
W-8,substation,,51.382886649999996,21.102996800000003
W-4,substation,,51.383544185861645,21.106598240997577
W-1,substation,,51.38271335,21.1076383
W-5,substation,,51.384780800956094,21.106810067127473
H-4,substation,,51.39102019056026,21.104578553385867
Planowa,substation,,51.40022371898951,21.119041539807043
,substation,,51.40233084552831,21.123216070475635
Krucza,substation,,51.40102017459274,21.12195234750604
PD-9,substation,,51.37024644999999,21.13624125
Gębarzewska 2,substation,,51.372413795019845,21.13704892342545
PD-1,substation,,51.372774931413154,21.1306519110989
PD-28,substation,,51.36763383871175,21.130604223143067
Na Stoku,substation,,51.414924021156025,21.12459443990661
Przytycka 1,substation,,51.40921187410222,21.106580590408274
,substation,,51.41717927073611,21.180211462677857
Galla,substation,,51.370215898065396,21.17056494292551
Opolska,substation,,51.36240980000001,21.147824
Godowska,substation,,51.36837518129888,21.15876678661508
Główna 1,substation,,51.403173478400696,21.118813837704913
Topiel,substation,,51.40477105075354,21.109221694267454
,substation,,51.40362940483171,21.104606923374522
Klwowska,substation,,51.404631475023024,21.099431641258395
,substation,,51.35619068332603,21.08301960015866
Potkanów Szkoła,substation,,51.364709816941826,21.09280101696849
Kierzkowska 2,substation,,51.39359259500968,21.085007824517742
Tetmajera,substation,,51.389739474706786,21.09737096190425
,substation,,51.4124881,21.1311858
Traugutta,substation,,51.400884267415414,21.149219865303643
Rapackiego 1,substation,,51.421969500029306,21.17199690883648
Rapackiego 2,substation,,51.421391899999996,21.174222400000005
M-14,substation,,51.429450744727255,21.15498607132248
M-5,substation,,51.431715600000004,21.162233049999998
M-4,substation,,51.43021457982215,21.164131937970247
M-7,substation,,51.4320354012629,21.15613695049558
M-2,substation,,51.42824516999736,21.161279760427963
Dom Studenta,substation,,51.420666647884666,21.16089032289415
PD-23,substation,,51.36521129508475,21.13209812506856
PD-25,substation,,51.3662270290505,21.133065888296606
PD-26,substation,,51.36604550150402,21.13091554275464
,substation,,51.36744679856041,21.125101255155993
PD-12,substation,,51.36632277103794,21.126068758522713
PD-15,substation,,51.364719172992146,21.12685856186025
PD-17,substation,,51.364136900000005,21.1285846
PD-18,substation,,51.3637222455631,21.130121471027785
PD-21,substation,,51.3651966,21.1295051
PD-20,substation,,51.364537799999994,21.130029399999998
PD-22,substation,,51.36453095,21.131814400000003
PD-19,substation,,51.36359079999999,21.131829650000004
Park,substation,,51.40000215,21.15888965
MSTW Radom Dworzec,substation,,51.39076000158711,21.153729206557664
M-1,substation,,51.4275647,21.161394750000003
