name,amenity,leisure,tourism,latitude,longitude
Dom Kultury Staroniwa,community_centre,,,50.0344939,21.9721387
Zamek Lubomirskich,,,attraction,50.0324722,22.0006286
Pomnik Czynu Rewolucyjnego,,,attraction,50.0405955,21.9994803
Calypso Fitness Club,,fitness_centre,,50.0216136,21.9943052
Osielowy Dom Kultury,community_centre,,,50.0447345,22.0019576
Zdobywcom przestrzeni,,,artwork,50.0237198,21.9861842
Muzeum Dobranocek ze Zbiorów Wojciecha Jamy,,,museum,50.0378428,22.0067534
Teatr Maska,theatre,,,50.0376871,22.0065254
Klub Vinyl,nightclub,,,50.0400287,22.0072914
RDK filia Budziwój,community_centre,,,49.9666866,21.9799117
Mienta Klub,nightclub,,,50.0369616,22.0061733
,,,attraction,50.0374906,22.0049161
Pomnik Kazimierza Górskiego,,,artwork,50.0365816,22.0037651
,,,artwork,50.0341997,22.0039279
Pomnik Stanisława Nitki,,,artwork,50.0248617,22.0013482
Kitsch,nightclub,,,50.0384349,22.0003433
OFF Centrum,nightclub,,,50.0383949,22.0003386
Teatr Przedmieście,theatre,,,50.0324747,21.9956506
Plan Wiedemanna,,,artwork,50.0384936,22.0007901
Siemacha Spot Rzeszów Millenium Hall,community_centre,,,50.0270783,22.0142043
Grawitacja Rzeszów Park Trampolin,,trampoline_park,,50.0023548,22.0159103
Przejście 2001,,,artwork,50.0372127,22.0068906
Exitmania Escape Room,,escape_game,,50.0345895,21.9946417
,,,viewpoint,50.0055592,22.056936
Lot,,,artwork,50.0186525,21.9975588
Rzeszówski inkubator kultury,community_centre,,attraction,50.0349803,21.9957504
Kasia Twardzik Studio,,fitness_centre,,50.0390869,22.0030513
Cool Gym,,fitness_centre,,50.0352923,21.9970824
RDK filia Załęże,community_centre,,,50.0539564,22.0404497
,,,artwork,50.029472,21.9938167
RDK filia Wilkowyja,community_centre,,,50.0312836,22.061071
,,,artwork,50.0274537,22.0444499
Muzeum Energetyki,,,museum,50.0381053,22.0132349
Muzeum Łowiectwa w Rzeszowie,,,museum,50.040705,21.9939932
Muzeum Diecezjalne w Rzeszowie,,,museum,50.0342439,22.0001638
Fundacja Aparat Caffe,,,museum,50.0396875,22.0028315
Prasłowiańska Figura,,,artwork,50.0249183,22.0266365
Prasłowiańska Figura,,,artwork,50.0249106,22.0266043
Prasłowiańska Figura,,,artwork,50.0248899,22.0265183
Saksofon,,,artwork,50.0379989,22.009684
Dom ludowy,community_centre,,,50.0769347,21.9843261
Jana Pawła 156,,,attraction,49.9823179,21.990253
Titum Stowarzyszenie na Rzecz Wspomagania Rozwoju Dzieci i Młodzieży,community_centre,,,50.0396883,21.9869458
Runway club,nightclub,,,50.0214175,22.0121366
LUKR club,nightclub,,,50.0279612,22.0139347
RDK filia Przybyszówka,community_centre,,,50.0534287,21.9461291
Franciszek Kotula,,,artwork,50.045373,21.9582966
Fitness For Life,,sports_centre,,50.0214175,21.9936152
Ikar,,,artwork,50.0609814,21.9822907
Rosiczka,,,artwork,50.0610997,21.9822121
,,,artwork,50.043157,21.9929579
,,,artwork,50.0371274,21.9977189
,,,artwork,50.0371208,21.9976993
,,,artwork,50.0371475,21.9977
,,,artwork,50.0371423,21.9976812
,,,artwork,50.0371683,21.9976823
,,,artwork,50.0371618,21.9976615
Galaktyka - kregielnia i restauracja,,bowling_alley,,50.0209358,22.0124766
RDK filia Dąbrowskiego,community_centre,,,50.0308804,21.9955954
RDK filia Biała,community_centre,,,49.995584,22.0042353
RDK filia Zwięczyca,community_centre,,,50.0061888,21.9592076
RDK filia Krynicka,community_centre,,,50.0453693,21.9643868
RDK filia Staroniwa,community_centre,,,50.0298134,21.9661527
Rzeszowski Dom Kultury filia Miłocin,community_centre,,,50.0675539,21.9709488
RDK filia Mieszka I,community_centre,,,50.0361732,22.0215866
Młodzieżowy Dom Kultury,community_centre,,,50.0393378,22.0108564
,,,artwork,50.0288886,22.0159843
,,,artwork,50.0288985,22.0158532
,,,artwork,50.0288959,22.01582
Super Saiyan Gokū,,,artwork,50.0604676,21.985828
Piccolo,,,artwork,50.0604414,21.9857532
Pizza,,,artwork,50.0621679,21.9766197
Double Trouble,,,artwork,50.0623868,21.9766909
,,,artwork,50.0567881,21.9803019
,,,artwork,50.0568019,21.9807087
,,,artwork,50.0568251,21.9809216
,,,artwork,50.0567225,21.9812638
,,,artwork,50.0567163,21.9813611
,,,artwork,50.0567387,21.9815737
,,,artwork,50.0567895,21.9810499
,,,artwork,50.0533465,21.9889002
,,,artwork,50.0474767,21.9830474
Centrum Snu,,,artwork,50.0548756,21.9684986
Punkt Widzenia,,,artwork,50.0429282,21.9923149
Bajka Malowana,,,artwork,50.0497364,22.0109276
,,,artwork,50.0496143,22.0096613
Joker,,,artwork,50.0469193,22.0051392
Ser,,,artwork,50.0621789,21.9765786
Burger,,,artwork,50.0623381,21.9763075
,,,artwork,50.0622846,21.9763004
,,,artwork,50.0622189,21.9764262
Zwierzęta Lisiej Góry,,,artwork,50.0120712,21.9928324
Aloha - Bowling & Club,,bowling_alley,,50.048828,21.9755673
Kolorowy Świat,,sports_centre,,50.0201311,22.0108941
Pluton,,,attraction,50.0451214,21.9612928
Neptun,,,attraction,50.0551486,21.9962451
Uran,,,attraction,50.034742,21.985556
Saturn,,,attraction,50.0347294,21.9967608
Jowisz,,,attraction,50.0375573,22.0092262
Ceres,,,attraction,50.0370707,22.0015953
Mars,,,attraction,50.0371387,22.0055181
Księżyc,,,attraction,50.0369215,22.0041065
Ziemia,,,attraction,50.0369208,22.0041042
Wenus,,,attraction,50.0373834,22.0047532
Merkury,,,attraction,50.0377691,22.0042811
Słońce,,,attraction,50.0375236,22.0041042
Taniec Życia,,,artwork,50.0390491,21.9999277
,,,artwork,50.0302155,21.9707165
Żubr,,,artwork,50.0568055,21.9955738
Helios,cinema,,,50.0420771,21.9989198
,,,artwork,50.0347773,21.9979478
150 lat Rzeszowskiej Straży Pożarnej,,,artwork,50.0375042,22.0086695
Fitness For Life,,fitness_centre,,50.0422789,21.9990067
Ignacy Łukasiewicz,,,artwork,50.0199445,21.9807796
Escape Room Rzeszów,,escape_game,,50.0419659,22.0079424
WydostanSie,,escape_game,,50.0388654,22.0078873
WydostanSie,,escape_game,,50.0346858,21.9996523
Deloitte,,,artwork,50.0309416,22.0159788
Muzeum Historii Miasta Rzeszowa,,,museum,50.0370706,22.0054819
FlyWall - Centrum Wspinaczkowe,,sports_centre,,50.0461887,22.0152747
Aqua,nightclub,,,50.0374337,22.0058003
,,,artwork,50.0245742,21.9953329
Tomasz Stańko,,,artwork,50.0290481,21.9966751
Multikino,cinema,,,50.0267094,22.0146969
Dziewczynka ze słuchawkami,,,artwork,50.0340128,21.9957243
Drabina do Nieba,,,artwork,50.0474773,21.9773413
Fitness For Life,,fitness_centre,,50.0477742,21.9872761
,,,artwork,50.0379966,21.9993462
Déballage,,,artwork,50.0386553,22.0004056
Tadeusz Nalepa,,,artwork,50.025755,21.9956009
Błogosławiona Rodzina Ulmów,,,artwork,50.0386298,22.0084892
,,,artwork,50.0392298,22.0001063
Zemsta Docenta,community_centre,,,50.0313473,22.0129664
Fitnes for Ladies,,fitness_centre,,50.0446607,21.9493603
Bicykl,,,artwork,50.0303627,22.0007028
Crossfit Rzeszów 2.0,,fitness_centre,,50.0256006,21.9797529
,,,artwork,50.0508542,21.9974828
,,,artwork,50.0352051,21.9679333
Tulipanowiec Marian,,,attraction,50.0022152,21.9707945
,,,viewpoint,49.9899083,22.0498462
,,,viewpoint,49.9895635,22.0505301
Stanisław Konarski 1770 1775,,,artwork,50.0358449,22.0011631
Ptaki,,,artwork,50.0353846,22.0011448
Ptaki,,,artwork,50.0352728,22.0011356
BodyShock,,fitness_centre,,50.0314132,22.008352
Hell Gym,,fitness_centre,,50.0296584,21.9857707
Pływalnia kryta,,sports_centre,,50.0393023,21.9942706
,,sports_hall,,50.0386294,21.9938294
Fitness For Life,,fitness_centre,,50.0580334,21.9779972
Fitness For Life,,fitness_centre,,50.0277859,22.0415537
Fitness For Life,,fitness_centre,,50.0379517,22.0226295
Fitness For Life,,fitness_centre,,50.0296009,22.0178189
,,,artwork,50.0243247,21.9996543
,,,artwork,50.0243557,21.9996777
Irena Sendler,,,artwork,50.0380607,22.0061145
Jan Nepomucen,,,artwork,50.0377269,22.0022808
Muzeum Etnograficzne im. Franciszka Kotuli,,,museum,50.03704453422509,22.00463480514969
Rzeszowskie Towarzystwo Tenisowe,,sports_centre,,50.025161519127245,21.98735621331304
Wojewódzki Dom Kultury,community_centre,,,50.03939779748067,22.00376379875822
Biuro Wystaw Artystycznych,arts_centre,,,50.038693804291675,22.00757018116084
Filharmonia Podkarpacka,theatre,,,50.033530877251046,22.0041882942809
Letni Pałac Lubomirskich,,,attraction,50.03396136057672,22.00242409088287
Kino za Rogiem Café,cinema,,,50.04178934875978,22.00628447508281
Klub Pod Palmą,nightclub,,,50.01652639165257,22.004794555619497
Helios,cinema,,,50.01907386165044,21.990597526110417
Delfin,,sports_centre,,50.0258570191462,22.01042032453249
Muzeum Techniki i Militariów,,,museum,50.04500742776897,22.007878093536306
"Stadion Miejski ""Stal""",,sports_centre,,50.021635723685556,21.99706469910824
RDK filia Country,community_centre,,,49.97884137995796,21.99324925371317
,,track,,50.041092000000006,21.995952100000007
,,track,,50.041585946968574,21.99623736799604
Teatr im. Wandy Siemaszkowej,theatre,,,50.03896418722129,21.999549963148194
Muzeum Okręgowe w Rzeszowie,,,museum,50.035274672323034,22.001449402661667
Hala Podpromie,,stadium,,50.02931959663333,22.001207000496485
PAKO GYM,,fitness_centre,,50.03215051284931,21.993834545906914
Dunami - Studio Ruchu i Edukacji Somatycznej,,dance,,50.0322863812684,21.993494958383028
Kino Zorza,cinema,,,50.034939122804204,22.000563690504517
Reskart,,sports_centre,,50.036280848191744,21.9903556716628
Rzeszowskie Piwnice,,,museum,50.037613502054874,22.004103127635876
,,,attraction,50.024762167031476,22.04008715609218
Galeria Miejska,arts_centre,,,50.02821473022595,21.99275149062917
Orlik IV LO,,sports_centre,,50.02261601729493,21.98020412150238
,,track,,50.02445966890152,22.011041639388445
,,sports_centre,,50.025421027346994,22.009544865040173
Sport Park,,sports_centre,,50.05025975612405,21.980238745634736
Karpik,,sports_centre,,50.04456734187544,21.97435422461969
Osiedlowy Klub Kultury Karton,community_centre,,,50.052805957644594,21.978954925998156
Hala Sportowa,,sports_centre,,50.0663770483383,21.972332822614472
,,track,,50.0327718,22.022229149999987
Basen kryty Matuszczaka,,sports_hall,,50.01566949802666,21.97785030062398
,,track,,50.04557146624849,22.009950226357766
RDK filia Pobitno,community_centre,,,50.04604144373088,22.026999024423635
"Ośrodek Sportów Wodnych ""Marina""",,sports_centre,,50.01783428375836,21.99676063677346
Hala sportowa,,sports_centre,,50.02249597339904,21.994056980116916
RDK filia Słocina,community_centre,,,50.02783548844757,22.048223746101897
Muzeum Mleczarstwa,,,museum,50.05177238272281,21.99853948581861
