name,amenity,latitude,longitude
Technikum Nr 1,school,50.0418534,21.9948144
VI Liceum Ogólnokształcące,school,50.0421716,21.9951517
Społeczna Szkoła Podstwowa nr 2,school,50.0395949,21.9868211
VIII Liceum Ogólnokształcące,school,50.0393148,21.9864467
Szkoła Języków ARTCOM,school,50.0329796,21.9991566
Akademickie Liceum Ogólnokształcące,school,50.0497502,21.9825661
Publiczne Liceum Ogólnokształcące Sióstr Pijarek,school,50.0437345,21.9598916
Publiczne Liceum Ogólnokształcące im. św. Jana Pawła II Sióstr Prezentek,school,50.0395394,21.9976819
Liceum Ogólnokształcące Mistrzostwa Sportowego Resovia,school,50.0392214,21.986322
Społeczne Liceum Ogólnokształcące,school,50.0395015,21.9866963
III Liceum Ogólnokształcące,school,50.0347192,22.0089003
Branżowa Szkoła I Stopnia Nr 1,school,50.0673494,21.970866
Technikum Nr 13,school,50.0676561,21.9709902
Niepubliczne Liceum Ogólnokształcące Mistrzostwa Sportowego w Rzeszowie,school,50.0657986,21.9716752
Branżowa Szkola II Stopnia Nr 2 w Rzeszowie,school,50.0554179,21.9966293
Branżowa Szkoła I Stopnia Nr 8,school,50.0556898,21.9965129
Technikum Nr 11,school,50.0559616,21.9963964
Szkoła Specjalna Przysposabiająca Do Pracy,school,50.052267,21.977637
Branżowa Szkoła I Stopnia Specjalna Nr 2,school,50.0522734,21.9774629
Ośrodek Rewalidacyjno-Wychowawczy w Rzeszowie,school,50.0522924,21.9769406
Branżowa Szkoła I Stopnia Nr 9,school,50.0511978,21.9984048
Technikum Nr 10,school,50.0513774,21.9983406
Liceum Ogólnokształcące dla Dorosłych,school,50.0475015,21.9799701
Branżowa Szkoła II Stopnia Nr 3 w Rzeszowie,school,50.04757,21.9800461
Branżowa Szkoła I Stopnia Nr 11,school,50.0477072,21.9801983
Technikum Nr 12,school,50.0477758,21.9802743
X Liceum Ogólnokształcące,school,50.0478444,21.9803504
Technikum Nr 8,school,50.0268314,21.9871
Branżowa Szkoła I Stopnia Nr 5,school,50.0269014,21.9869217
Mundurowe Liceum Ogólnokształcące dla Dorosłych w Rzeszowie,school,50.0271114,21.9863869
Liceum Ogólnokształcące dla Dorosłych Zaoczne w Rzeszowie,school,50.041421,22.0052162
"Liceum Ogólnokształcące dla Dorosłych ""Żak"" w Rzeszowie",school,50.0412727,22.0003928
Liceum Ogólnokształcące Teb Edukacja dla Dorosłych w Rzeszowie,school,50.0414842,22.0077871
Branżowa Szkoła II Stopnia Nr 1 w Rzeszowie,school,50.0354614,22.0117248
Branżowa Szkoła I Stopnia Nr 6,school,50.0358001,22.0119012
Technikum Nr 4,school,50.0361387,22.0120775
Technikum Zakładu Doskonalenia Zawodowego w Rzeszowie,school,50.0392755,22.0143448
Branżowa Szkoła I Stopnia Zakładu Doskonalenia Zawodowego w Rzeszowie,school,50.0394412,22.0144078
Liceum Ogólnokształcące dla Dorosłych Zakładu Doskonalenia Zawodowego w Rzeszowie,school,50.0399384,22.0145968
Liceum Ogólnokształcące Mistrzostwa Sportowego Stal w Rzeszowie,school,50.0376845,22.0058927
"Liceum Ogólnokształcące dla Dorosłych ""Newton"" w Rzeszowie",school,50.0369198,22.023367
Liceum Ogólnokształcące Specjalne Przy Szpitalu Wojewódzkim Nr 2,school,50.0359913,22.0354603
Zespół Szkół Przy Klinicznym Szpitalu Wojewódzkim Nr 2,school,50.036049,22.0354591
"Liceum Ogólnokształcące dla Dorosłych ""Archimedes"" w Rzeszowie",school,50.0357966,22.0012966
I Liceum Ogólnokształcące,school,50.0359711,22.0012978
"Ośrodek Rewalidacyjno-Edukacyjno-Wychowawczy ""Parasol""",school,50.035045,21.9777032
Technikum Nr 2,school,50.03455,22.01724
VII Liceum Ogólnokształcace,school,50.034835,22.0172305
Zaoczne Liceum Ogólnokształcące Arcus Sinus w Rzeszowie,school,50.0344581,22.0093777
Branżowa Szkoła I Stopnia Nr 3,school,50.0339664,21.9939247
Technikum Nr 5,school,50.0340118,21.9938192
XI Liceum Ogólnokształcące,school,50.0341028,21.9936083
Niepubliczna Placówka Oświatowa Akademia Nauki Rzeszów,school,50.0337275,21.9744929
Ogólnokształcąca Szkoła Muzyczna I Stopnia,school,50.0328937,22.0037424
Ogólnokształcąca Szkoła Muzyczna II Stopnia,school,50.032998,22.003929
Państwowa Szkoła Muzyczna II Stponia,school,50.0329576,22.0038446
Cogito Placówka Kształcenia Ustawicznego w Rzeszowie,school,50.0323683,21.9955116
Ogólnokształcąca Szkoła Sztuk Pieknych,school,50.0277716,21.9927348
Liceum Plastyczne,school,50.0278581,21.9924259
XII Liceum Ogólnokształcące Z Oddziałami Integracyjnymi,school,50.0257394,22.0112035
Branżowa Szkoła I Stopnia Nr 7,school,50.0242031,21.9959677
Technikum Nr 7,school,50.0243903,21.9960081
V Liceum Ogólnokształcące,school,50.0232866,21.9943953
Branżowa Szkoła I Stopnia Nr 4,school,50.017498,21.9958613
Technikum Nr 6,school,50.0176577,21.9955246
Technikum Nr 9,school,50.01527,21.97811
Liceum Ogólnokształcące Nr XIV,school,50.0155459,21.9783786
IX Liceum Ogólnokształcące,school,50.04070919905332,22.01424678619681
Zespół Szkół Elektronicznych w Rzeszowie,school,50.017526022668186,21.9953183691109
Centrum Kształcenia Praktycznego,school,50.02427678233487,21.99703694395088
Zespół Szkół Mechanicznych,school,50.02460177887672,21.996227996509003
Zespół Szkół Ogólnokształcących Nr 2,school,50.02281501763347,21.99401977575914
Zespół Szkół Nr 2,school,50.03485440896815,22.017952839452814
,school,50.00628400032681,21.959264811097
II Liceum Ogólnokształcące,school,50.041165763311625,21.994495767729532
Wydział Muzyki URz,school,50.02274314375634,21.98640360382218
British School,school,50.019555219875606,21.993536280571693
,school,50.03579452873971,22.001853495510744
Zespół Szkół Energetycznych,school,50.027168827004715,21.98675423194207
Zespół Szkół Plastycznych,school,50.02786538821673,21.993143435720757
Zespół Szkół Ekonomicznych,school,50.03386438777521,21.993552322883623
Zespół Szkół Ogólnokształcących im. Jana Pawła II Sióstr Prezentek w Rzeszowie,school,50.03944998278275,21.99752487881216
IV Liceum Ogólnokształcące,school,50.02170611244876,21.98031336839058
Zespół Szkół Samochodowych,school,50.05574560385599,21.996920504148335
Zespół Szkół Ogólnokształcących nr 4,school,50.02539367491141,22.0110912601438
Zespół Szkół Technicznych,school,50.015569153159944,21.978356693647093
Zespół Szkół nr 3 z Oddziałami Integracyjnymi,school,50.05410831682489,21.98368174478727
Zespół Szkół Kształcenia Ustawicznego,school,50.04792884587271,21.980511216981593
Zespół Szkół Sióstr Pijarek,school,50.04374098002253,21.959936810748975
Zespół Szkół Zakładu Doskonalenia Zawodowego,school,50.03957613162692,22.014431371187417
,school,50.04988983535304,21.983020614724968
,school,50.03439634273013,22.009667949867286
Zespół Szkół Społecznych Nr 2 w Rzeszowie,school,50.0390051911807,21.98714123904611
Zespół Szkół Specjalnych im. UNICEF,school,50.05161088191004,21.976974410845468
Zespół Szkół Gospodarczych,school,50.03576600366679,22.01181910679843
Zespół Szkół Nr 3,school,50.05151992486911,21.998600146104454
