name,amenity,latitude,longitude
Przedszkole Publiczne Nr 21,kindergarten,50.0263328,22.0215826
Przedszkole Publiczne nr 1,kindergarten,50.0058377,21.9584024
Publiczne przedszkole nr 35,kindergarten,50.0200653,22.0083099
Przedszkole imienia bł. Karoliny w Rzeszowie,kindergarten,50.0430905,21.9638033
Przedszkole Publiczne Nr 25,kindergarten,49.9696422,21.9859069
Przedszkole Publiczne Zgromadzenia Sióstr Franciszkanek Rodziny Maryi,kindergarten,49.9697176,21.9858891
Niepubliczne Przedszkole Akademia Małego Inżyniera w Rzeszowie,kindergarten,50.06488,22.00887
"Niepubliczne Przedszkole ""Akademia Przedszkolaka Montessori"" w Rzeszowie",kindergarten,50.06439,22.00819
Przedszkole Publiczne Nr 6,kindergarten,50.0617,21.99708
Punkt Przedszkolny w Szkole Podstawowej Nr 25,kindergarten,50.06007,21.9821199
Przedszkole Publiczne Nr 26,kindergarten,50.0608894,22.0464554
"Niepubliczne ""Domowe Przedszkole""",kindergarten,50.0596378,21.9769416
"Niepubliczne Przedszkole ""Kraina Szczęścia"" w Rzeszowie",kindergarten,50.05314,21.97873
Specjalne Przedszkole Publiczne Nr 30 w Rzeszowie,kindergarten,50.0522861,21.9771147
"Przedszkole Niepubliczne ""Przyjaciele Z Podwórka"" w Rzeszowie",kindergarten,50.05207,21.95854
Przedszkole Publiczne Nr 31 w Rzeszowie,kindergarten,50.0508386,21.9355434
Punkt Przedszkolny w Szkole Podstawowej Nr 8,kindergarten,50.049593,21.9836548
"Przedszkole Niepubliczne ""Kraina Uśmiechu"" w Rzeszowie",kindergarten,50.0457273,21.9850579
Przedszkole Publiczne Nr 39 w Rzeszowie,kindergarten,50.0451119,22.0098581
Punkt Przedszkolny w Szkole Podstawowej Nr 2,kindergarten,50.04469,21.99165
"Niepubliczny Integracyjno-Terapeutyczny Punkt Przedszkolny ""Kreatywne Dzieci"" w Rzeszowie",kindergarten,50.0444131,21.9659246
Punkt Przedszkolny w Szkole Podstawowej Nr 28,kindergarten,50.04407,21.97538
Niepubliczne Przedszkole Anglojęzyczne Abc University w Rzeszowie,kindergarten,50.0440783,21.963818
