name,amenity,latitude,longitude
Szkoła Podstawowa Nr 27,school,50.0257968,22.0214183
Szkoła Podstawowa Nr 7,school,50.00581,21.95895
Publiczna Szkoła Podstawowa Sióstr Pijarek,school,50.044097,21.9600075
Publiczna Szkoła Podstawowa,school,50.0395501,21.9974466
Szkoła Podstawowa Mistrzostwa Sportowego Resovia,school,50.039128,21.9861972
Szkoła Podstawowa Mistrzostwa Sportowego w Rzeszowie,school,50.0659674,21.9716669
Szkoła Podstawowa Nr 13,school,50.0621938,21.9978097
Szkoła Podstawowa Nr 6,school,50.0607541,22.0470591
Szkoła Podstawowa Nr 4,school,50.0510734,21.9357419
"Niepubliczna Szkoła Podstawowa ""Kraina Uśmiechu"" w Rzeszowie",school,50.0491431,21.9973359
Szkoła Podstawowa dla Dorosłych,school,50.0473643,21.979818
Szkoła Podstawowa Nr 19,school,50.0452329,22.010258
Szkoła Podstawowa Nr 8,school,50.0496716,21.9831105
Szkoła Podstawowa Nr 12,school,50.0383053,22.0267026
Szkoła Podstawowa Mistrzostwa Sportowego Stal w Rzeszowie,school,50.037816,22.005917
Szkoła Podstawowa Z Oddziałami Dwujęzycznymi Promar w Rzeszowie,school,50.0372379,21.9813667
Szkoła Podstawowa Nr 36 im.marii Grzegorzewskiej Przy Szpitalu Wojewódzkim Nr 2,school,50.0360213,22.0354603
Społeczna Szkoła Podstawowa Nr 1,school,50.0341332,21.9781718
Szkoła Podstawowa Nr 14 im. Orląt Lwowskich,school,50.0293844,21.9665018
Szkoła Podstawowa Nr 30 Z Oddziałami Integracyjnymi,school,50.0257283,22.0123634
Szkoła Podstawowa Sportowa Nr 33,school,50.0229504,21.9943312
Szkoła Podstawowa Nr 26,school,50.0223335,21.9811668
Szkoła Podstawowa Montessori,school,50.0208488,22.0123225
Szkoła Podstawowa Nr 23,school,50.0202597,22.008305
Niepubliczna Specjalna Szkoła Podstawowa Solis Radius w Rzeszowie,school,50.0019877,22.0246326
Szkoła Podstawowa Nr 15,school,49.9692798,21.9875089
Szkoła Podstawowa Nr 35 w Rzeszowie,school,50.087281,21.9712367
Szkoła Podstawowa Nr 5,school,50.024993298617254,22.047851290812783
Szkoła Podstawowa nr 9,school,49.995920517394275,22.003754671574914
Szkoła Podstawowa Nr 24,school,50.00509223801922,22.031500613952712
Szkoła podstawowa nr 10,school,50.021668096627316,21.989200106665496
Szkoła Podstawowa Sióstr Prezentek,school,50.034665017103634,21.99804411065097
Szkoła Podstawowa Nr 31,school,50.038226999714034,21.99172149304187
Szkoła Podstawowa nr 17,school,50.02754892417428,21.99995497554469
Szkoła Podstawowa nr 3,school,50.0334940645873,21.9942217583889
Szkoła Podstawowa nr 11,school,50.02286737124697,22.004417081838824
Szkoła Podstawowa Nr 21,school,50.03243513211593,22.022704188907163
Szkoła Podstawowa nr 25,school,50.060358907343854,21.98151145786005
Szkoła Podstawowa nr 29,school,50.04955700082855,22.006713776214063
Szkoła Podstawowa nr 2,school,50.04505748056751,21.99186032816765
Szkoła Podstawowa nr 16,school,50.037841010875965,21.983340279703175
Szkoła Podstawowa nr 28,school,50.044596965658535,21.9754097674575
Szkoła Podstawowa nr 1,school,50.03925537779716,22.00194368769205
Szkoła Podstawowa Nr 18,school,50.04338723177622,21.95170388387455
Szkoła Podstawowa Specjalna Nr 32 w Rzeszowie,school,49.96564649601306,22.006718022062486
Publiczna Szkoła Podstawowa Sióstr Nazaretanek,school,50.03852941442242,21.900189847566505
Publiczna Szkoła Podstawowa Zakonu Pijarów,school,50.04553755290741,22.0518596380488
"Niepubliczna Szkoła Podstawowa ""Kraina Uśmiechu""",school,50.06088224310519,21.943168305987896
Szkoła Podstawowa Nr 34,school,49.99899352353153,22.056682151423043
Niepubliczna Szkoła Podstawowa Montessori w Rzeszowie,school,50.04562294998267,22.02978962227187
Szkoła Podstawowa nr 37 im. Tadeusza Ferenca,school,49.99875106966909,21.99179072396114
