name,shop,amenity,latitude,longitude
Zelmer sklep firmowy,mall,,50.0315041,21.9871573
FRAC,supermarket,,50.0351183,21.980623
Nasz Sklep,convenience,,50.0349996,21.9809842
Żabka,convenience,,50.0418861,21.9908223
Alton-hurtowniaGSM,mall,,50.0471375,21.9894537
FRAC,supermarket,,50.0371278,22.0225107
Orlen,convenience,fuel,50.0629763,22.0112991
Bendiks auto sklep,mall,,50.06652,22.04726
Delikatesy Centrum,supermarket,,50.0035794,22.0289074
Eurospar,supermarket,,50.0267685,22.0149642
Biedronka,supermarket,,50.0183496,22.0036186
Delikatesy Hitpol,supermarket,,50.0214694,22.0107295
FRAC,supermarket,,50.0432138,21.9732097
Biedronka,supermarket,,50.0412058,22.0033982
Delikatesy,convenience,,50.0263877,21.9949442
SPOŁEM,convenience,,50.0188588,21.9942727
Społem,convenience,,50.0417115,21.9907082
MarketVita,supermarket,,50.0259454,22.0076494
Carrefour,supermarket,,50.0587142,21.9784231
FRAC,supermarket,,50.0581,21.9780409
Shell,convenience,fuel,50.0508569,22.0027705
Delikatesy Premium,convenience,,50.0408359,21.9877002
FRAC,supermarket,,50.0447982,22.0015836
MarketVita Express,convenience,,50.0232068,21.9849109
Pod Arkadami,convenience,,50.0228068,21.9871233
Społem,convenience,,50.0230618,21.9867582
Słoneczko,convenience,,50.0237745,21.9847541
,convenience,,50.0234546,21.9854261
Biedronka,supermarket,,50.0447833,21.9552631
Delikatesy Centrum,supermarket,,50.0592088,22.0472243
Eko,convenience,,50.0249125,22.017671
Żabka,convenience,,50.0384917,22.0042801
Moya,convenience,fuel,49.9812643,22.0210345
BP Tulipan,convenience,fuel,50.0183706,22.0147858
Watkem,convenience,fuel,50.0129364,21.9688567
Shell,convenience,fuel,50.0426978,21.9901955
Delikatesy Centrum,supermarket,,50.0048172,22.0091351
Żabka,convenience,,50.0121083,21.9991651
Delikatesy Centrum,supermarket,,49.9789655,21.9926134
Żabka,convenience,,49.9963897,21.9895617
Biedronka,supermarket,,50.0364733,22.0025632
Społem,supermarket,,50.0599204,21.9836221
PSS Społem,convenience,,50.0383494,22.0003254
Biedronka,supermarket,,50.0509619,21.9971009
SPOŁEM,convenience,,50.0285171,21.9968259
Śnieżynka,convenience,,50.0093001,22.0218053
Odido,convenience,,50.0241101,21.9907655
Nasz Sklep,convenience,,50.0248912,21.9826571
Społem,convenience,,50.0418326,22.004144
Biedronka,supermarket,,50.0021791,22.0150059
Nasz Sklep,convenience,,49.9973602,21.9967756
Słoneczko,convenience,,50.0095554,22.0037732
Targowisko na Targowej,,marketplace,50.0382019,22.0111703
Lidl,supermarket,,50.0256461,22.0055292
Biedronka,supermarket,,50.0230192,22.0177157
Nasz Sklep,convenience,,50.0587238,21.9788455
Żabka,convenience,,50.0407634,21.993805
Delikatesy Centrum,supermarket,,50.0297606,22.0178158
E. Leclerc,supermarket,,50.0197668,22.0202912
Carrefour,supermarket,,50.0265288,22.0174978
Full Market,mall,,50.0209881,22.018374
FRAC,supermarket,,50.023855,21.9903838
U Ignaca,convenience,,50.0237814,22.0224762
Żabka,convenience,,50.0289754,21.99336
Społem,convenience,,50.0260859,21.9907985
Sklep spożywczy PSS Społem,convenience,,50.0453424,21.9582913
Delikatesy Centrum,supermarket,,50.0244799,22.0452603
Andjan,convenience,,50.0114635,22.0614905
Słoneczko,convenience,,50.035976,21.9933265
Żabka,convenience,,50.0367875,21.9906193
Groszek,convenience,,49.9878684,22.0176947
Żabka,convenience,,50.017762,22.0033797
Delikatesy Centrum,supermarket,,50.0448751,21.9854342
Szubryt Delikatesy,supermarket,,50.0427593,21.996884
Intermarché,supermarket,,50.0354319,21.9962456
Biedronka,supermarket,,50.0355731,21.9994213
Żabka,convenience,,50.0296462,22.009017
Żabka,convenience,,50.0410726,22.0018049
Biedronka,supermarket,,50.0470395,21.98582
Żabka,convenience,,50.047142,21.9766004
Żabka,convenience,,50.0140897,21.9755259
Społem,convenience,,50.0436646,21.9775927
MarketVita Express,convenience,,50.0546761,22.0410592
Lewiatan,convenience,,50.079705,21.9775463
MarketVita,supermarket,,50.0181448,21.9722098
Żabka,convenience,,50.0183823,21.9722107
bi1,supermarket,,50.0388133,21.9756325
Stokrotka,supermarket,,50.0197747,21.9714279
Lelek,convenience,,50.0402324,22.0396599
,convenience,,50.0282995,22.0609342
Moje Auchan,supermarket,,50.0070182,21.9563193
Delikatesy Dwójka,convenience,,50.076587,21.9864719
Żabka,convenience,,50.0378329,22.0026788
Michałek,convenience,,50.0324657,22.0156579
Społem,convenience,,50.0342077,22.0064087
Żabka,convenience,,50.0338406,22.0067221
Żabka,convenience,,50.0338853,22.0139781
Biedronka,supermarket,,50.042197,21.9729462
Euro Sklep,convenience,,50.031581,21.9902028
Delikatesy Jabłuszko,convenience,,50.0450467,21.9650568
Groszek,convenience,,50.0247576,21.9911797
FRAC,supermarket,,50.026383,22.0175014
Warzywniak,convenience,,50.0294248,21.9970682
PSS Społem,convenience,,50.0280934,21.9809741
Zdrowa żywność,convenience,,50.0522277,21.9790318
Warzywniak,convenience,,50.053069,21.9781855
Żabka,convenience,,50.0178301,22.0072068
Żabka,convenience,,50.0162607,22.0123419
Żabka,convenience,,50.0450595,21.9996898
Żabka,convenience,,50.0158641,21.9689033
Pszczółka,convenience,,49.9926085,21.9840338
Żabka,convenience,,50.0247585,22.0147839
Żabka,convenience,,50.0248072,22.0173843
Picolo,convenience,,50.0036505,22.0381691
PSS Społem,convenience,,50.0394054,22.0128974
Żabka,convenience,,50.039772,21.9524241
FRAC,supermarket,,50.0162281,21.9736575
Delikatesy Mixum,convenience,,50.0125904,21.9991699
Odido,convenience,,50.0470982,21.9767423
Żabka,convenience,,50.0454028,21.9800425
Auchan,supermarket,,50.0275171,22.0352113
MarketVita Express,convenience,,50.0612229,21.9755318
Auchan,supermarket,,50.0544061,21.989544
