name,railway,latitude,longitude
Rzeszów Załęże,halt,50.0585326,22.0693278
Rzeszów Osiedle,halt,50.0225878,21.9777599
Rzeszów Zwięczyca,halt,50.0059268,21.957168
Rzeszów Miłocin,halt,50.0756228,21.9872147
Rzeszów Staroniwa,station,50.038491,21.9897333
Rzeszów Główny,station,50.0432134,22.0058076
Rzeszów Zachodni,halt,50.0534458,21.9942049
Rzeszów Pobitno,halt,50.0524311,22.0306142
Rzeszów Centrum,halt,50.0431231,21.9981154
Rzeszów Staromieście,halt,50.0628258,21.9923951
Rzeszów Politechnika,halt,50.0271625,21.9836467
Rzeszów Dworzysko,halt,50.0779245,21.9683681
Rzeszów Baranówka,halt,50.0644638,21.9889641
