name,highway,latitude,longitude
Dworzec Główny PKP 01,bus_stop,50.0423103,22.0065943
,bus_stop,50.0302179,21.9714462
Słoneczny Stok / Pańska 01,bus_stop,50.0359933,21.9373297
Pańska Kopalnia 01,bus_stop,50.0456275,21.9439331
Strażacka / Urocza 03,bus_stop,50.006186,22.0061529
Bardowskiego 04,bus_stop,50.0417092,22.0085909
Mochnackiego 02,bus_stop,50.035253,21.9943798
Wincentego Pola Politechnika 02,bus_stop,50.0272136,21.9851806
Ustrzycka 05,bus_stop,50.0532835,21.9555755
Dębicka / Krakowska 02,bus_stop,50.0541128,21.9657605
Dębicka kościół 04,bus_stop,50.0549834,21.958019
Wita Stwosza pętla 01,bus_stop,50.0313211,21.9800375
Matuszczaka / Rymanowska 02,bus_stop,50.015722,21.9759922
Jarowa kościół 02,bus_stop,50.0051456,21.9612745
Jarowa / Starowiejska 03,bus_stop,50.0027808,21.9680177
Jarowa / Starowiejska 04,bus_stop,50.0026859,21.9685126
Jarowa / Brzegowa 06,bus_stop,50.000827,21.9743198
Jarowa / Brzegowa 05,bus_stop,50.0008908,21.9746215
Zwięczycka / Podkarpacka 02,bus_stop,49.9945275,21.9588174
Zwięczycka staw 04,bus_stop,49.9944353,21.9624179
Zwięczycka staw 03,bus_stop,49.9941112,21.9617999
Boya Żeleńskiego 01,bus_stop,50.0296346,21.9819428
Wincentego Pola Politechnika 01,bus_stop,50.0266587,21.9869024
Staromiejska / Lubelska 01,bus_stop,50.05441,22.0034731
Stączka / Jaspisowa 04,bus_stop,50.0575174,22.0452641
Potockiego / Stączka 02,bus_stop,50.0592564,22.0488037
Potockiego / Nefrytowa 04,bus_stop,50.0589149,22.0522083
Potockiego / Ametystowa 06,bus_stop,50.0588559,22.0616439
Potockiego / Ametystowa 03,bus_stop,50.0588254,22.0609574
Cienista / Lwowska 02,bus_stop,50.038974,22.0457416
Olbrachta / Św. Kingi 08,bus_stop,50.031996,22.0625897
Olbrachta domki 06,bus_stop,50.0334808,22.0577772
Olbrachta domki 05,bus_stop,50.0345066,22.0554518
Olbrachta / Zygmunta I Starego 04,bus_stop,50.0351622,22.0536645
Olbrachta / Kr. Marysieńki 03,bus_stop,50.0360905,22.0522517
Ustrzycka / Wadowicka 04,bus_stop,50.0506531,21.9587494
Ustrzycka / Wadowicka 03,bus_stop,50.0503779,21.9593878
Paderewskiego / Armii Krajowej 04,bus_stop,50.0270779,22.0328898
Kiepury / Herberta 02,bus_stop,50.0038158,22.0381379
Podleśna / Podlesie 01,bus_stop,49.9572132,21.9829884
Podleśna / Podlesie 02,bus_stop,49.9562885,21.9823292
Podleśna / Liliowa 04,bus_stop,49.9512747,21.982078
Podleśna / Nadziei 05,bus_stop,49.9474847,21.9813659
Podleśna / Nadziei 06,bus_stop,49.9472952,21.9812402
Podleśna / Jarzębinowa 08,bus_stop,49.9380479,21.9797007
stanowisko 1,bus_stop,50.0429807,21.994131
stanowisko 2,bus_stop,50.043031,21.9944479
stanowisko 3,bus_stop,50.0428387,21.9947057
stanowisko 4,bus_stop,50.0426197,21.994666
stanowsko 5,bus_stop,50.0424149,21.9943247
stanowisko 6,bus_stop,50.0424737,21.9941344
stanowisko 7,bus_stop,50.0425475,21.9939118
stanowisko 8,bus_stop,50.0428007,21.9938273
Wieniawskiego / Sulikowskiego 02,bus_stop,50.0233166,22.0455576
Wieniawskiego / Sulikowskiego 01,bus_stop,50.0237009,22.0456944
Wieniawskiego / Niemaszków 04,bus_stop,50.0206503,22.045472
Wieniawskiego / Niemaszków 03,bus_stop,50.0204142,22.0455766
Wieniawskiego / Karpa 06,bus_stop,50.017394,22.0435247
Wieniawskiego / Karpa 05,bus_stop,50.0168829,22.0432109
Wieniawskiego działki 08,bus_stop,50.0132764,22.039838
Wieniawskiego działki 07,bus_stop,50.0141951,22.0409673
Wieniawskiego / Dunikowskiego 10,bus_stop,50.0092223,22.0358308
Wieniawskiego / Dunikowskiego 09,bus_stop,50.0103858,22.0369318
Wieniawskiego / Słonecznikowa 12,bus_stop,50.0061953,22.0325424
Wieniawskiego / Słonecznikowa 11,bus_stop,50.0067322,22.0332357
Krakowska granica 15,bus_stop,50.0636569,21.9353278
Podleśna / Jarzębinowa 07,bus_stop,49.9381312,21.9797875
Sieciecha / Załęska 02,bus_stop,50.050114,22.0316871
Spichlerzowa Pętla,bus_stop,50.067954,22.0610758
Spichlerzowa / Załęska,bus_stop,50.0677404,22.0495483
Załęska / Rzecha 04,bus_stop,50.058563,22.0356952
Sieciecha / Załęska 01,bus_stop,50.0500247,22.0318257
Załęska / Konf. Barskich 02,bus_stop,50.0469035,22.028986
Konf. Barskich / Traugutta,bus_stop,50.0424016,22.0317586
Krakowska granica 18,bus_stop,50.0642816,21.9337343
Konf. Barskich / Traugutta 01,bus_stop,50.0425305,22.0311002
Załęska / Konf. Barskich 01,bus_stop,50.0460473,22.0280942
Załęska / Rzecha 05,bus_stop,50.058421,22.0353184
Ciepłownicza MPGK 01,bus_stop,50.0611634,22.0252622
Ciepłownicza / Rzecha 02,bus_stop,50.0590673,22.0239615
Ciepłownicza Elektrociepłownia 06,bus_stop,50.0635163,22.0271056
Ciepłownicza MPGK 01,bus_stop,50.061221,22.0251636
Sikorskiego granica 18,bus_stop,49.9748373,22.0244906
Sikorskiego granica 15,bus_stop,49.9740373,22.0253656
Słoneczny Stok 04,bus_stop,50.0335044,21.9327028
Słoneczny Stok 03,bus_stop,50.0331084,21.9317281
Słoneczny Stok / Pańska 02,bus_stop,50.0359989,21.9376803
Pańska Kopalnia 02,bus_stop,50.0455127,21.9438697
Błękitne Wzgórze / Słoneczny Stok 02,bus_stop,50.0284071,21.9223195
Nowe Wzgórze / Matysowska 02,bus_stop,49.9985844,22.0552587
Wierchowa I 02,bus_stop,49.9978983,22.0516636
Wierchowa II 04,bus_stop,49.999382,22.0489912
Wierchowa III 06,bus_stop,50.0026946,22.0443382
Smosarskiej 01,bus_stop,50.0033209,22.0405052
Biznesowa / Kapitałowa 02,bus_stop,50.0744824,21.9650864
Biznesowa / Innowacyjna 03,bus_stop,50.0750395,21.9675794
Biznesowa / Innowacyjna 04,bus_stop,50.0747748,21.9682988
Biznesowa 06,bus_stop,50.0770669,21.9698546
Kasprowicza,bus_stop,50.0423249,21.9937102
,bus_stop,50.0039706,22.0772973
,bus_stop,50.0428924,21.9923265
,bus_stop,50.0397836,22.0005716
Dworzec Główny PKP 03,bus_stop,50.0424507,22.0066447
Rzeszów Europa,bus_stop,50.04113,22.0032522
,bus_stop,50.0622833,21.9926652
Ofiar Katynia / Wyzwolenia 02,bus_stop,50.05512,21.9783348
Ofiar Katynia kładka 01,bus_stop,50.0527314,21.9785188
Ofiar Katynia kładka 04,bus_stop,50.0528576,21.9782072
Jana Pawła II/ Św. Antoniego 06 nż,bus_stop,49.9853885,21.9890241
Kwiatkowskiego Dom Studenta 04,bus_stop,50.01655284252559,22.00206245931545
Św. Rocha lasek pętla 11,bus_stop,50.004789225942986,22.07468535853008
Boya Żeleńskiego 02,bus_stop,50.02921031556371,21.981387988468555
Kwiatkowskiego / Powst. Warszawy 02,bus_stop,50.01905533970064,22.003863837750895
Powst. Warszawy szkoła 11,bus_stop,50.01884071693207,22.008828849463725
Powst. Warszawy / Podwisłocze 07,bus_stop,50.02006014933546,22.002560967387545
Powst. Warszawy / Graniczna 10,bus_stop,50.01817414585244,22.009983941536564
Powst. Warszawy / Sikorskiego 12,bus_stop,50.0176597170306,22.015348489102184
Powst. Warszawy / Rejtana 13,bus_stop,50.01814608781098,22.015058439335085
Powst. Warszawy Dom Studenta 09,bus_stop,50.019741868285486,22.005194783063413
Powst. Warszawy Dom Studenta 08,bus_stop,50.01948346280759,22.004679225789353
Powst. Warszawy stadion 06,bus_stop,50.0199416079175,21.996059987290195
Powst. Warszawy / Hetmańska 03,bus_stop,50.02036596838069,21.99316646293105
Powst. Warszawy Politechnika 04,bus_stop,50.02012856036713,21.988680619662517
Hetmańska stadion 07,bus_stop,50.021280722935266,21.99493493025795
Powst. Warszawy Politechnika 01,bus_stop,50.02051984921653,21.987490542645528
Dąbrowskiego / Bat. Chłopskich 10,bus_stop,50.02248035328301,21.983995749163547
Dąbrowskiego / Boh. Westerplatte 08,bus_stop,50.02312068940485,21.985204526724377
Dąbrowskiego Instytut Muzyki 07,bus_stop,50.02365515553549,21.986686353776236
Bat. Chłopskich / Dąbrowskiego 02,bus_stop,50.0227363666346,21.982477577635013
Bat. Chłopskich / Podkarpacka 01,bus_stop,50.02326835440321,21.9809733159722
Powst. Warszawy / Dąbrowskiego 02,bus_stop,50.02101947832038,21.98371439147901
Hetmańska ZS. Mech. 06,bus_stop,50.024629207256886,21.994934107287943
Hetmańska ZS. Mech. 05,bus_stop,50.024408081419445,21.99516904830981
Chmaja bloki 03,bus_stop,50.02823180421577,21.986493841479895
Chmaja / Langiewicza 02,bus_stop,50.03056770372892,21.987297744210284
Langiewicza park 02,bus_stop,50.03137813038473,21.988930424910606
Dąbrowskiego KW Policji 03,bus_stop,50.02645557722786,21.990965184558576
Dąbrowskiego KW Policji 04,bus_stop,50.02633483262593,21.99044481064433
Langiewicza park 03,bus_stop,50.03191886384117,21.990988815612745
Dąbrowskiego park 02,bus_stop,50.030405380940415,21.994375140576015
Hetmańska podzamcze 02,bus_stop,50.03118700105002,21.998482355036796
Hetmańska podzamcze 01,bus_stop,50.03113271039042,21.99874367319414
Dąbrowskiego park 01,bus_stop,50.030479389892186,21.994942801075407
Lisa - Kuli 01,bus_stop,50.03570958879088,21.99724090116536
Cieplińskiego 01,bus_stop,50.03914622388727,21.998431051805785
Cieplińskiego 02,bus_stop,50.03880222312164,21.997619845820637
Piłsudskiego U. Wojewódzki 03,bus_stop,50.04065842928427,22.000778495709866
Piłsudskiego U. Wojewódzki 06,bus_stop,50.04095454297172,22.001130492543307
Piłsudskiego U. Marszałkowski 08,bus_stop,50.041771379354785,21.997894158409363
Piłsudskiego U. Marszałkowski 05,bus_stop,50.04145417516799,21.997695227976905
Pl. Wolności 01,bus_stop,50.039672218529844,22.008705968756132
Pl. Wolności 04,bus_stop,50.04028113744241,22.00765765986619
Piłsudskiego ZDZ 02,bus_stop,50.03918487010406,22.013642284579422
Bardowskiego 02,bus_stop,50.04162519336891,22.00995072546565
Bardowskiego 01,bus_stop,50.04168907470159,22.010039709123394
Bardowskiego 03,bus_stop,50.0415515214948,22.00985029855482
Pl. Kilińskiego 01,bus_stop,50.04149040816545,22.00802811704428
Głowackiego ZUS 01,bus_stop,50.03984012832107,22.010647534830113
Bardowskiego 04,bus_stop,50.04166331525395,22.008813028983166
Kopisto U. Skarbowy 03,bus_stop,50.02893928397941,22.009198089294284
Kopisto Uniwersytet 01,bus_stop,50.028328323423004,22.01387535031907
Kopisto Most Zamkowy 04,bus_stop,50.02985266451163,22.006994400074117
Kopisto Uniwersytet 02,bus_stop,50.02874777991293,22.015524255526906
Podwisłocze U. Skarbowy 03,bus_stop,50.02849364477507,22.00735508610313
Rejtana / Lwowska 01,bus_stop,50.038234274790554,22.01649978362198
Rejtana Uniwersytet 06,bus_stop,50.03030012557562,22.017102353656195
Rejtana Uniwersytet 05,bus_stop,50.031779843766124,22.016610210169038
Rejtana cmentarz 04,bus_stop,50.03306021719155,22.01699260869807
Rejtana / Kustronia 02,bus_stop,50.036463781927,22.01690612783447
Rejtana / Popiełuszki 09,bus_stop,50.022632424017885,22.01684511915317
Rejtana / Kopisto 07,bus_stop,50.02758370101798,22.01650461918663
Rejtana / Paderewskiego 10,bus_stop,50.02262553354702,22.01727697509054
