name,leisure,landuse,natural,latitude,longitude,area_m2,score
,,forest,,53.42745436062732,14.730131817985363,4533713.228546371,3626970.582837097
Cmentarz Centralny,park,cemetery,,53.41600531831391,14.513506345625677,4778222.409743151,4778222.409743151
plac Dziecka,park,,,53.42214346699317,14.541303301070526,12133.826837474024,12133.826837474024
skwer imienia Friedricha Ackermanna,park,,,53.42467048985166,14.545734259928087,17191.901436256165,17191.901436256165
plac Słowiański,park,,,53.394031377061474,14.668547854975813,103657.51027307367,103657.51027307367
park Krystyny i Romana Łyczywków,park,,,53.44924858234061,14.515284648100826,46430.45361873123,46430.45361873123
,park,,,53.3676538981283,14.6511188193558,19992.839327139325,19992.839327139325
,,,wood,53.40869946658486,14.55226309173338,710586.849850504,497410.79489535274
park Stanisława Noakowskiego,park,,,53.43672568086981,14.525382185596392,179723.84234031136,179723.84234031136
plac Generała Józefa Dowbór-Muśnickiego,park,,,53.41103557080282,14.532398814770294,148315.61947414212,148315.61947414212
park imienia Fryderyka Chopina,park,,wood,53.45703010253937,14.529231609678671,286900.0380651576,286900.0380651576
park imienia Profesora Bolesława Briksa,park,,,53.441025326789045,14.523849032899095,46688.40701390984,46688.40701390984
park Księdza Alberta Wilimsky'ego,park,,wood,53.36529801333862,14.600850523651484,71800.31395177165,71800.31395177165
Różanka,garden,,,53.44690930873366,14.524972301439004,56765.528082213765,45412.422465771015
Ogród Dendrologiczny imienia Profesora Stefana Kownasa,park,,wood,53.447386783572426,14.535241264864958,442973.75809777604,442973.75809777604
skwer imienia Michała Doliwo-Dobrowolskiego,park,,,53.424566857224384,14.532096272872078,14534.477738150743,14534.477738150743
Polana Widok,,meadow,,53.37457866039353,14.619950493782282,19296.180987713593,9648.090493856796
park Lipy,park,,,53.46433785860942,14.54745446898884,14097.827732593267,14097.827732593267
,,,grassland,53.3566434322421,14.681616960940193,179694.56020432318,125786.19214302622
,,forest,,53.35596066305255,14.679837712770992,10652.993634437018,8522.394907549615
,,grass,,53.44325153226217,14.533316636909044,6324.079964771532,4426.855975340072
plac Tobrucki,park,,,53.42153149158214,14.553896721868671,19493.85370446307,19493.85370446307
,,forest,,53.368222644469235,14.678106954964042,157964.85488187626,126371.88390550102
,garden,,,53.36716320096265,14.648169982465776,992.2940324862448,793.8352259889958
,,grass,,53.37704853038888,14.647784009471891,17632.712216341646,12342.898551439152
skwer imienia Księdza Kazimierza Świetlińskiego,park,,wood,53.39522456876617,14.675004877682175,101302.23298286035,101302.23298286035
,,grass,,53.44197476196016,14.538723938784797,2181.457489133024,1527.0202423931166
,,grass,,53.44235335796832,14.538343783523342,2224.640443189025,1557.2483102323174
,,grass,,53.44186382718018,14.53838632381477,2117.7759248171083,1482.4431473719758
,,grass,,53.44223528858412,14.538013470248506,2333.9046714991428,1633.7332700493998
,park,,,53.37206531617735,14.64324413941237,33980.71624237232,33980.71624237232
park Brodowski,park,,wood,53.45942511882314,14.566727497147722,419847.6531616769,419847.6531616769
park imienia Stanisława Nadratowskiego,park,,wood,53.436618893265916,14.566741122678177,32688.384319295208,32688.384319295208
,,grass,,53.440423249535534,14.528117452893891,5295.496560142593,3706.847592099815
,park,,,53.39803549317503,14.523931566202942,16253.520586595714,16253.520586595714
,park,,,53.39579231735573,14.523790697132412,49659.77788008484,49659.77788008484
park imienia Sprawiedliwych wśród Narodów Świata,park,,,53.412624860881714,14.496476346236351,23983.00235102272,23983.00235102272
,park,,,53.42719335423801,14.489309268201195,11340.194465726912,11340.194465726912
skwer Majora Mieczysława Tarchalskiego,park,,,53.4460051306028,14.523295272841995,10316.71551042976,10316.71551042976
plac Adwokata Jerzego Chmury,,grass,,53.446941597962926,14.512382492562118,669.6119332963874,468.72835330747114
plac Leona Koczego,park,,,53.461950902567196,14.595437201141703,13418.535120894252,13418.535120894252
,,grass,,53.39769255699242,14.677051598814549,194.54819556221207,136.18373689354843
,,grass,,53.39780299385887,14.677691120335094,261.1893895338618,182.83257267370325
,park,,,53.42520471130328,14.548126012664827,11646.65666003544,11646.65666003544
plac Janiny Szczerskiej,park,,,53.42592339926257,14.535771391804317,29149.04795780914,29149.04795780914
skwer imienia Jacka Nieżychowskiego,park,,,53.444708373185,14.549221645555845,17129.752350687275,17129.752350687275
park Przygodna,park,,,53.433066914649395,14.488283069055116,59714.49276180192,59714.49276180192
"Polana ogniskowa ""Nad Głębokim""",common,,grassland,53.481531447376014,14.469401606383549,3973.412072436838,2781.3884507057865
Polana Harcerska,common,grass,,53.48149346134686,14.501858241951494,10116.061681896383,7081.2431773274675
Zespół przyrodniczo-krajobrazowy „Wodozbiór”,nature_reserve,,,53.491374633658154,14.555455113848552,1704627.8359351088,1704627.8359351088
park Szachisty,park,,,53.454858492851216,14.490632516497627,13831.452137928627,13831.452137928627
,,grass,,53.4327538529087,14.51666730933958,478.5130772871877,334.95915410103134
,,grass,,53.43238270938198,14.516543326469678,2274.3399832835294,1592.0379882984705
,,grass,,53.43306385497073,14.516623317839594,370.2057001006461,259.1439900704522
,,grass,,53.452162640286076,14.492201940688224,1934.1878535279761,1353.9314974695833
,,grass,,53.452699893703446,14.490992615372962,3866.728075781069,2706.7096530467484
,,grass,,53.4520366692442,14.490288087475557,4182.7221914356305,2927.9055340049413
,,grass,,53.45175784571471,14.49032974160952,1115.3569360520196,780.7498552364136
,,grass,,53.43998378660148,14.493269957130384,3391.4738813890576,2374.0317169723403
,,grass,,53.45297074610656,14.493816042554325,3594.492729752335,2516.1449108266343
,,grass,,53.452618571155995,14.493477002527161,1442.0149433609527,1009.4104603526667
,,grass,,53.452895349894256,14.493275448856604,523.5921997722596,366.51453984058173
,,grass,,53.452497076740805,14.49362640104928,209.00878581288623,146.30615006902036
,,grass,,53.452301107829875,14.493534219056976,1421.3998447653626,994.9798913357537
,,grass,,53.45273988179062,14.495904057042356,6060.810194880985,4242.567136416689
,,grass,,53.45241639427145,14.49424836855076,982.0451996165482,687.4316397315837
,,meadow,,53.440129883354075,14.523572196379716,4209.409326889042,2104.704663444521
,,grass,,53.425229606218274,14.532149433891888,529.2380465802667,370.46663260618664
,,grass,,53.42317803869194,14.531433577059119,341.435145159933,239.00460161195306
,,grass,,53.42148275630943,14.531194713783162,170.2193097136735,119.15351679957145
,,grass,,53.425431397474284,14.531883697601646,389.88806172436455,272.9216432070552
,,grass,,53.423415512620245,14.531371393547388,238.7190256957828,167.10331798704794
,,grass,,53.42152575159946,14.53079852021172,330.36888870613876,231.2582220942971
,,grass,,53.42224550380661,14.531278028467092,3488.034971549725,2441.624480084807
,,grass,,53.42161319131379,14.53091182932654,317.6596251101632,222.3617375771142
,,grass,,53.42377929988089,14.53100778776809,73.66997258129122,51.56898080690385
,,grass,,53.42661019786915,14.531379405589444,728.9771176004019,510.2839823202813
,,grass,,53.422590112902206,14.530624933017648,1240.3844337797905,868.2691036458533
,,grass,,53.42514984037901,14.53149559451113,8873.825578371736,6211.677904860215
,,grass,,53.42392520342013,14.531114930781623,294.32917694909213,206.03042386436448
,,grass,,53.4236346261718,14.532068508351164,208.35235668665544,145.8466496806588
,,grass,,53.42358038387301,14.531045624947685,615.0964549193877,430.5675184435714
,,grass,,53.42402936204397,14.531402896069714,135.02090956340587,94.5146366943841
,,grass,,53.42603255973917,14.531304519332686,1457.5667241322496,1020.2967068925747
,,grass,,53.43032362381084,14.551217938705983,3672.4942641815014,2570.745984927051
,,grass,,53.428850191400976,14.55247496146824,407.1069528778747,284.97486701451226
,,grass,,53.43009714500152,14.550623743926593,3743.623134790168,2620.5361943531175
,,grass,,53.43215521907266,14.553819784648542,699.8507716091683,489.89554012641776
,,grass,,53.43225965335308,14.55286712059149,3274.2507324081425,2291.9755126856994
,,grass,grassland,53.43951483806505,14.493770084649688,16201.246468137917,11340.872527696542
,,grass,,53.44038162910307,14.494008453600172,425.04670857240285,297.532696000682
,,,grassland,53.44025940473131,14.493841285626738,71.3367811259194,49.935746788143575
,,grass,,53.45268031287927,14.49684555184464,3174.5480804118756,2222.1836562883127
,,grass,,53.45241554808521,14.496192696546814,354.08889073329476,247.8622235133063
,,grass,,53.4394182103245,14.548923793891323,5635.441366648335,3944.8089566538342
,,grass,,53.44738550313617,14.4929440149545,4317.170821825681,3022.0195752779764
,,grass,,53.45203967822179,14.499853439813691,109.7107714164075,76.79753999148524
,,grass,,53.45174851383844,14.499667164842117,3215.7932114511523,2251.0552480158062
,,grass,,53.452208469412774,14.499215736484482,1527.6995703621799,1069.3896992535258
,,grass,,53.45161153347463,14.500335926180611,2437.363580503667,1706.1545063525668
,,grass,,53.45198372580018,14.500410083910975,3332.926935148851,2333.0488546041956
,,grass,,53.45202461152496,14.499511253232706,128.64686677159304,90.05280674011512
,,grass,,53.45268059723307,14.499470476030888,7715.472220167708,5400.830554117395
,,grass,,53.45253002816624,14.499249249597955,3133.547469313867,2193.4832285197067
,,grass,,53.440247600068524,14.493202530567652,4091.4551443631167,2864.0186010541815
,,grass,,53.43951576282978,14.494656963289545,9281.312683917979,6496.918878742585
,,grass,,53.44023350960795,14.494869570418354,5151.795064609964,3606.2565452269746
,,grass,,53.440093597741935,14.495114299183635,1496.77620539242,1047.743343774694
,,grass,,53.42752421814568,14.55963502311213,9340.287566164228,6538.201296314959
,,grass,,53.428271621672,14.556715036657291,98.24959940166708,68.77471958116695
,,grass,,53.42820281884151,14.557153630545837,759.9247406662564,531.9473184663794
,,grass,,53.427939130141404,14.557452400201148,4648.008766097908,3253.6061362685355
,,grass,,53.427410860038535,14.558087776722273,309.55254668638474,216.68678268046932
,,grass,,53.42817724916711,14.55763621993795,1025.9719241755138,718.1803469228596
,,grass,,53.42818174070931,14.556664907660856,91.80268122708506,64.26187685895954
,,grass,,53.42799094195075,14.556665965987111,50.90654284433623,35.63457999103536
,,grass,,53.42174761702731,14.557943510548213,2538.3442649718954,1776.8409854803267
,,grass,,53.44800230671587,14.549511208466955,2318.859567286457,1623.2016971005198
,,grass,,53.447559684485306,14.548944697900124,811.6210396918789,568.1347277843151
,,grass,,53.447768833653825,14.549598965580241,1392.4538068968823,974.7176648278175
,,grass,,53.44772938818049,14.549210386111168,3903.006278607728,2732.1043950254093
,,grass,,53.44784420787601,14.548765197968311,2188.7549145793396,1532.1284402055376
,,grass,,53.44855805320748,14.547963210478578,7679.593573448801,5375.715501414161
,,grass,,53.44819276636477,14.549563660018775,1191.2583869120178,833.8808708384124
,,grass,,53.43914858852145,14.49537777441571,2053.883018092579,1437.7181126648052
,,grass,,53.43965949730808,14.49530828079655,7069.176799926188,4948.423759948331
,,grass,,53.44915265313726,14.547591785367032,12613.108456291871,8829.17591940431
,,grass,,53.43410837698882,14.539495646763838,3512.69455942492,2458.886191597444
,,grass,,53.44017359664717,14.52007876566962,173.5844050145402,121.50908351017814
,,grass,,53.42868098017819,14.56536843612076,12781.002439269529,8946.70170748867
,,grass,,53.43058273424384,14.567316785226447,19003.12687189928,13302.188810329495
,,grass,,53.4297395582242,14.56580283234881,1778.3234151407323,1244.8263905985125
,,grass,,53.43943543468232,14.519522835709013,293.36268086128376,205.35387660289862
,,grass,,53.4399579576122,14.51707309594455,1017.5521898277748,712.2865328794423
,,grass,,53.43950911935946,14.518929452802837,793.8372744146841,555.6860920902789
,,grass,,53.43945644109215,14.5192709446601,979.6934344888369,685.7854041421858
,,grass,,53.43965517652977,14.51821150190419,1057.3831048861553,740.1681734203087
,garden,,,53.44066914954138,14.516838355302477,349.3624012392654,279.48992099141236
,garden,,,53.44071003834056,14.51671452743192,385.6197114258062,308.495769140645
,garden,,,53.440771999944275,14.51655006568744,801.6871066724594,641.3496853379676
,garden,,,53.44027030179245,14.517003742616563,2545.8341289549116,2036.6673031639293
,garden,,,53.44072931806088,14.517187414363917,83.04111592789809,66.43289274231847
,garden,,,53.44084572071522,14.516836873226662,76.99098122805071,61.59278498244058
,garden,,,53.44062118882613,14.516941364312874,451.85747828484284,361.4859826278743
,garden,,,53.44001688293124,14.518035076167441,5922.919795428567,4738.335836342854
,garden,,,53.44076682313449,14.51707068270531,90.34041353889371,72.27233083111497
,garden,,,53.44080646505847,14.516952831188654,82.57089006631689,66.05671205305352
,garden,,,53.44059401213923,14.517065176026353,373.2848666753965,298.6278933403172
,garden,,,53.44058425018152,14.517811136504555,175.56412437785963,140.4512995022877
,garden,,,53.44033948571548,14.517847769093486,6565.6619213151735,5252.529537052139
,,grass,,53.45660061123735,14.49272993559295,184.27922264995595,128.99545585496915
,,grass,,53.456502845603666,14.491484480205889,3070.0912178250283,2149.0638524775195
,,grass,,53.456282687873035,14.490623962878015,373.3467322213853,261.3427125549697
,,grass,,53.45632578507488,14.490174636342585,2791.5719722605386,1954.1003805823768
,,grass,,53.455529429235945,14.490620390771856,1603.2232278828287,1122.25625951798
,,grass,,53.455917028668225,14.49027948308172,4840.880511147587,3388.6163578033106
,,grass,,53.45606452076601,14.48911772534918,2416.041036116866,1691.2287252818062
,,grass,,53.45625535063242,14.488563510779592,6386.454995050724,4470.5184965355065
,,grass,,53.45554391463949,14.486918239685762,7965.180913631606,5575.6266395421235
,,grass,,53.4556397925528,14.487624447897595,1988.972117834747,1392.2804824843229
,,grass,,53.45580546150554,14.488225649935153,2009.826467038931,1406.8785269272516
,,grass,,53.455496619554566,14.48864606032077,1900.6972411444372,1330.488068801106
,,grass,,53.45517337534028,14.487918068455338,349.55760798142916,244.6903255870004
,,grass,,53.45548809622799,14.488427996327367,3548.044203515691,2483.6309424609835
,,grass,,53.43933475385579,14.495480312756795,65.18585788832428,45.63010052182699
,,grass,,53.43933607743965,14.495059414242967,42.83084981898337,29.981594873288355
,,grass,,53.439333488310204,14.495254702638578,64.04156554196173,44.829095879373206
,,grass,,53.44088215004738,14.492605500000076,265.33712123771824,185.73598486640276
,,grass,,53.441166550047384,14.492604150000076,258.21072497764106,180.74750748434874
,,grass,,53.440597298514746,14.492427343866206,256.46742607962034,179.52719825573422
,,grass,,53.441068019414914,14.492353278882337,3485.6032079585193,2439.9222455709632
,,,grassland,53.441644318922194,14.493412283696308,172.34776274447975,120.64343392113582
,,grass,,53.441507625381306,14.493049034482379,155.2070408538538,108.64492859769766
,,grass,,53.44130843986457,14.492599524399083,164.1223316879626,114.88563218157381
,,grass,,53.441447098857005,14.493582178890287,326.20577449811657,228.34404214868158
,,grass,,53.44127596713395,14.493163270342109,2431.978026392763,1702.3846184749339
,,grass,,53.44153695901132,14.493286053763297,246.8384396593831,172.78690776156816
,,grass,,53.441024550028885,14.492604199999999,199.16000759834446,139.41200531884112
,,grass,,53.441123880568504,14.493021209513255,88.23671212563482,61.76569848794437
,,grass,,53.440852559021366,14.493425232399714,4651.366642734203,3255.956649913942
,,grass,,53.44120449320753,14.49294069016836,35.16499505769235,24.615496540384644
,,grass,,53.44098654808307,14.493039537434763,127.38389233191414,89.16872463233989
,,grass,,53.44115531243958,14.492802383376393,163.9000717446763,114.7300502212734
,,grass,,53.441188550001065,14.493268550000447,44.7051039884042,31.293572791882937
,,grass,,53.440506898354904,14.493128944662901,527.0937713621571,368.96563995350994
,,grass,,53.45223975194504,14.48990829715287,82.11188838332214,57.478321868325494
,,grass,,53.452752870208236,14.492262590230258,230.0067697470833,161.0047388229583
,,grass,,53.45341668979818,14.492766991068935,375.20730904423215,262.6451163309625
,,grass,,53.452671468065105,14.492185648249876,53.805397842878406,37.663778490014884
,,grass,,53.45329002979955,14.492826940909099,757.9564941384594,530.5695458969216
,,grass,,53.452352050558176,14.492418601040104,1143.466070405858,800.4262492841007
,,grass,,53.451996184907884,14.49218625021154,2514.516558736096,1760.1615911152671
,,grass,,53.45216237921039,14.492646836405369,250.28407628166616,175.1988533971663
,,grass,,53.45339711519037,14.492539914015067,333.918468357972,233.7429278505804
,,grass,,53.453875575635436,14.492803490181945,1401.4937277785036,981.0456094449524
,,grass,,53.45200630365586,14.489932275790114,383.0045571580979,268.1031900106685
,,grass,,53.452730613954174,14.49280261959169,4628.331594247375,3239.832115973162
,,grass,,53.45269520467234,14.492551949594557,1277.7352110383952,894.4146477268765
,,grass,,53.453134647361786,14.492558605666002,535.1458685493342,374.6021079845339
skwer Zdrowia imienia Doktora Henryka Kompfa,park,,,53.448072641934,14.51233116358795,10862.30989650601,10862.30989650601
skwer imienia Pułkownika Ryszarda Kuklińskiego,park,,,53.44642400234604,14.550296578036372,24459.957099649193,24459.957099649193
,,grass,,53.44167792340046,14.511299423338253,667.6639786909085,467.3647850836359
,,grass,,53.441564368431116,14.511716746321035,795.3364549928084,556.7355184949658
,,grass,,53.442270466669555,14.509022266666666,40.1489473842601,28.104263168982065
,,grass,,53.44223293334124,14.509170999999998,44.41565522674016,31.090958658718108
,,grass,,53.442230133342626,14.5090845,93.54579069572107,65.48205348700475
,,grass,,53.442307623632054,14.508827207298637,186.9273736830502,130.84916157813512
,,grass,,53.43264913703376,14.547389963907705,274.0063714932232,191.8044600452562
,,grass,,53.43290008968275,14.547770978271918,296.9112494659489,207.83787462616422
,,grass,,53.43299536428616,14.54802510555552,313.4908636499719,219.44360455498034
,,grass,,53.43247025862971,14.548166934939978,1061.7294564985925,743.2106195490147
,,grass,,53.43260527560095,14.548503284744537,1125.458579017691,787.8210053123836
,,grass,,53.43302877464307,14.547540436331143,614.585389265162,430.20977248561337
,,grass,,53.43249643820343,14.548667486095493,713.2981798695564,499.30872590868944
,,grass,,53.43290477928234,14.548322828535529,506.61317380334737,354.6292216623431
,,grass,,53.43254799961845,14.54773331011751,1172.4501110267372,820.715077718716
,,grass,,53.43292461543121,14.547561520150738,591.0991558412985,413.76940908890896
,,grass,,53.43233764034471,14.54821816732646,972.5867739810901,680.8107417867631
,,grass,,53.43317381509444,14.547983159889528,983.4022732196155,688.3815912537308
,,grass,,53.43324540104108,14.547963400988479,284.31775728834765,199.02243010184336
,,grass,,53.43247970001755,14.548794066162039,290.1706517705525,203.11945623938675
,,grass,,53.432262669137245,14.548204020338527,236.47873665085874,165.53511565560112
,,grass,,53.433040555665094,14.548593192820203,1587.080429863157,1110.9563009042097
,,grass,,53.43243890990754,14.547624888027853,1088.4469027479463,761.9128319235624
,,grass,,53.43300084509528,14.547370003646583,395.3561741075524,276.7493218752867
,,grass,,53.43248770915741,14.547431601748658,382.40794932265396,267.6855645258578
,,grass,,53.4330082415958,14.548756617227083,496.307862082368,347.41550345765756
,,grass,,53.43280904312359,14.547530131518597,435.1728321642551,304.62098251497855
,,grass,,53.43260136942952,14.548115690555504,260.95641271787184,182.66948890251027
,,grass,,53.43262844002082,14.547880065373304,266.0782764459502,186.25479351216515
,,grass,,53.43281742877919,14.54880689092348,264.5080140379378,185.15560982655646
,,grass,,53.44219195004047,14.50877734998428,477.67792315151144,334.37454620605797
,,grass,,53.44322118192287,14.502419019282227,371.5690894770453,260.0983626339317
,,grass,,53.44341473738023,14.502512215932832,438.51846577545246,306.9629260428167
,,grass,,53.44628300437871,14.516008371524336,1395.771266896085,977.0398868272595
,,grass,,53.4465740483634,14.516207529298278,1068.3044492304944,747.813114461346
,,grass,,53.44642877317266,14.515949751429732,1338.778748596796,937.1451240177572
,,grass,,53.44651422055371,14.515551367956537,1757.0616241785115,1229.943136924958
,,grass,,53.44643647969016,14.515348509532712,1777.958005999903,1244.570604199932
,,grass,,53.44656398089951,14.516469454454816,866.6575823596954,606.6603076517868
,,grass,,53.446406808229895,14.516379489464786,78.24624841384812,54.77237388969368
,,grass,,53.446944464423076,14.515982102165342,2704.6117349726187,1893.228214480833
,,grass,,53.446733634005334,14.515498086803913,741.9609904349775,519.3726933044842
,,grass,,53.44679858242788,14.515259196443356,713.7210452315455,499.60473166208186
,,grass,,53.44701780881749,14.516033238363603,550.4790946274113,385.3353662391879
,,grass,,53.44621141816233,14.516082614603416,157.02859660016006,109.92001762011203
,,grass,,53.446802515226736,14.516184264535603,480.37333667533926,336.26133567273746
,,grass,,53.44681944940031,14.51514593221445,70.82762631513656,49.57933842059558
,,grass,,53.446392818248185,14.515248581438659,345.7973315512954,242.05813208590675
,,grass,,53.44688786051541,14.515755829704045,695.8103179002387,487.06722253016704
,,grass,,53.43215628492545,14.516228781203203,359.11420320640127,251.37994224448087
,,grass,,53.43237275404531,14.513151609266442,1629.037547171696,1140.326283020187
,,grass,,53.42951846082072,14.512520202569798,1296.4425563454731,907.5097894418311
,,grass,,53.430091226810546,14.51402103982502,902.7148790047493,631.9004153033244
,,grass,,53.43003058330687,14.513781718312227,1040.0062086653022,728.0043460657115
,,grass,,53.42703416453327,14.531694814957975,4790.238550601249,3353.166985420874
,,grass,,53.426645700131395,14.53123444999951,380.2870135911688,266.20090951381815
,,grass,,53.429091069807846,14.510882693127979,608.6994583403857,426.08962083827
,,grass,,53.42919676739147,14.510665209762454,1212.7670009048588,848.9369006334011
,,grass,,53.4310713759317,14.496837695366537,23417.293944252422,16392.105760976694
,,grass,,53.42874480617168,14.502706801999905,4035.2756155956577,2824.69293091696
,,grass,,53.42872682062605,14.504273615359052,3543.490763143357,2480.44353420035
,,grass,,53.43345882517137,14.511565778708716,2515.739259905075,1761.0174819335523
,,grass,,53.434333740151885,14.493029819824152,12273.520057767098,8591.46404043697
,,grass,,53.435646608840564,14.491759141806934,217.27212344243384,152.0904864097037
,,grass,,53.43840225562348,14.489427918321189,25160.77983351836,17612.54588346285
,,grass,,53.423148551624344,14.529912407779646,5675.372305380688,3972.760613766481
,,grass,,53.42173406670365,14.529737999999996,409.26380615953394,286.4846643116737
,,grass,,53.42197696670133,14.530277499999999,366.8389547450996,256.78726832156974
,,grass,,53.421840358125266,14.530308399383221,1506.5139340998214,1054.5597538698748
,,grass,,53.422009348493845,14.530561776747104,975.2058215523389,682.6440750866371
,,grass,,53.42548764011273,14.531249470503024,400.13294249631565,280.0930597474209
,,grass,,53.43028906869228,14.516798756915984,757.7254673610844,530.4078271527591
,,grass,,53.430339500039075,14.516475633333332,385.73890426208754,270.01723298346127
,,grass,,53.4309840022732,14.516397662032364,527.3187772159172,369.123144051142
,,grass,,53.431090466276956,14.51643245246463,234.03559733046,163.824918131322
,,grass,,53.42961033337592,14.517839266666666,111.95125986946576,78.36588190862602
,,grass,,53.42946916810644,14.518755539208996,1358.450695486834,950.9154868407838
,,grass,,53.42990472753464,14.518555182410147,160.237288118361,112.16610168285268
,,grass,,53.429276136254224,14.518031969108186,4057.4800514428125,2840.2360360099688
,,grass,,53.429806357882576,14.517963075338615,948.4770279702357,663.9339195791649
,,grass,,53.430355633364606,14.514741666666662,179.40537263560702,125.58376084492491
,,grass,,53.43124817888918,14.517833204192362,1287.4578739208591,901.2205117446014
,,grass,,53.42904238742185,14.517007868590948,146.08376974215537,102.25863881950875
,,grass,,53.43081388275208,14.516878854199518,2863.4220884454176,2004.3954619117922
,,grass,,53.43096804026515,14.518623870967726,5704.724935637905,3993.307454946533
,,grass,,53.43011712129187,14.51477332255449,652.5409458762837,456.7786621133985
,,grass,,53.431202114796754,14.51754745612016,1472.2429617724995,1030.5700732407495
,,grass,,53.44276481189929,14.487095136211972,845.3031012949745,591.7121709064821
,,grass,,53.442040471378334,14.48759498349267,1355.5439677878103,948.8807774514671
,,grass,,53.44227612340703,14.487679552228517,117.44346345276531,82.21042441693571
,,grass,,53.442461431915596,14.487508186791851,118.80577184236871,83.16404028965809
,,grass,,53.44172543025342,14.488187189012956,150.03958467845302,105.02770927491711
,,grass,,53.44256638647025,14.487404258173633,119.46464831955208,83.62525382368645
,,grass,,53.44154737974885,14.491711538659116,2203.0088980849723,1542.1062286594806
,,grass,,53.44175113789793,14.491851307393787,110.99990491861841,77.69993344303289
,,grass,,53.44115447058332,14.491178373010364,272.19091992715806,190.53364394901064
,,grass,,53.44185977518626,14.491863266457262,54.83350188343426,38.38345131840398
,,grass,,53.440948805350224,14.491057850995457,1489.2054560155939,1042.4438192109158
skwer imienia Telesfora Badetko,park,,,53.443755344359445,14.524939034850547,38712.152803900564,38712.152803900564
,,grass,,53.44047508527434,14.531672170125937,569.0927064409043,398.364894508633
,,grass,,53.439877733826975,14.53184532577673,2069.9027029947,1448.93189209629
,,grass,,53.4400883802859,14.532386860622315,2997.9104952419957,2098.537346669397
