name,amenity,latitude,longitude
Zespół Szkół nr 6 imienia Mikołaja Reja,school,53.4184184,14.5402016
Zespół Szkół nr 3 imienia Oskara Langego,school,53.4183091,14.5410877
Technikum Informatyczne SCI,school,53.4307091,14.555197
V Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Adama Asnyka,school,53.4406573,14.5548429
XIV Liceum Ogólnokształcące,school,53.4223551,14.5424897
Branżowa Szkoła I stopnia nr 8,school,53.3988266,14.6698006
Technikum Kształtowania Środowiska,school,53.3987245,14.6704009
XII Liceum Ogólnokształcące,school,53.4279171,14.5626595
XI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi,school,53.4529113,14.4878841
XVIII Liceum Ogólnokształcące im. Józefa Wybickiego,school,53.4623616,14.5775833
EDICUS – sekretariat,school,53.4262709,14.5346025
Centrum Kształcenia Plejada,school,53.3853081,14.6320475
Top English School (Prawobrzeże),school,53.37441,14.6586894
Collegium Balticum,school,53.4094933,14.5163661
Żłobek nr 1 Muszelka,school,53.4006346,14.6673949
VIII Liceum Ogólnokształcące im. Olimpijczyków Polskich,school,53.4284625,14.5403707
Branżowa Szkoła I stopnia nr 7,school,53.3784154,14.6195748
Technikum Ogrodnicze,school,53.3785108,14.6194456
Liceum Ogólnokształcące z Oddziałami Sportowymi,school,53.3808567,14.6542658
I Prywatne Liceum Ogólnokształcące Leonarda Piwoni,school,53.4504595,14.4899832
Szkoła Mistrzostwa Sportowego FASE,school,53.4503892,14.4893838
Cosinus,school,53.4403081,14.5764678
Szkoła Przysposabiająca do pracy nr 2,school,53.4336583,14.529803
Technikum Elektryczno-Elektroniczne,school,53.4406588,14.5628877
Branżowa Szkoła Stolarska I stopnia Towarzystwa Salezjańskiego im. Św. Józefa,school,53.4207751,14.5032123
Technikum Technologii Drewna Towarzystwa Salezjańskiego im. św. Józefa,school,53.4206274,14.50321
Liceum Ogólnokształcące Towarzystwa Salezjańskiego im. św. Józefa,school,53.4209621,14.5027401
Prywatne Liceum Ogólnokształcące „Maxima”,school,53.4489974,14.49205
Technikum Kreatywne,school,53.4491742,14.4922856
XIII Liceum Ogólnokształcące,school,53.4398627,14.5482717
Branżowa Szkoła I stopnia nr 2,school,53.4629781,14.5778578
Technikum Morskie i Politechniczne,school,53.4631266,14.5779633
Liceum Ogólnokształcące dla Dorosłych nr 2,school,53.4632751,14.5780689
XXIV Liceum Ogólnokształcące Specjalne,school,53.3718905,14.6411545
Cosinus,school,53.4222053,14.5537173
Medyczna szkoła policealna,school,53.4374651,14.5309569
Niepubliczna Ogólnokształcąca Szkoła Muzyczna I stopnia „Promyk”,school,53.4300951,14.5605074
Branżowa szkoła I stopnia nr 9,school,53.4516761,14.5040928
Technikum Samochodowe,school,53.4516504,14.5035371
Branżowa Szkoła I stopnia nr 15 w Okręgowym Ośrodku Wychowawczym,school,53.4536474,14.4816125
XXVI Liceum Ogólnokształcące Specjalne dla Słabosłyszących,school,53.4568932,14.5813761
Branżowa Szkoła Specjalna II stopnia nr 2,school,53.4571057,14.5817537
Branżowa Szkoła Specjalna I stopnia nr 14,school,53.4571923,14.5816169
Szkoła Specjalna Przysposabiająca do pracy nr 1,school,53.4964295,14.5948189
Liceum Ogólnokształcące SAIL International School,school,53.456132,14.5286924
I Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,school,53.42928503151026,14.536717669987542
Centrum Kształcenia Sportowego,school,53.380906632201324,14.654957530816807
"Zespół Szkół Prywatnych ""Słoneczne""",school,53.375802587934075,14.655060535885813
Technikum Łączności i Multimediów Cyfrowych w Szczecinie,school,53.4213546522884,14.511179348422774
Centrum Kształcenia Sportowego,school,53.433278764053895,14.550656342947669
VII Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego,school,53.4337211685897,14.504755251464049
Zespół Szkół Ogólnokształcących nr 1,school,53.44054717489868,14.554902694457043
Wyższa Szkoła Integracji Europejskiej,school,53.43796388669784,14.529114303241538
Ogólnokształcąca Szkoła Muzyczna I stopnia im. prof. Marka Jasińskiego,school,53.431475890881266,14.53660450242136
Zespół Szkół nr 8 imienia Stanisława Staszica,school,53.423050647816105,14.549765479263423
Szczecin International School,school,53.422787479125454,14.537435339930791
Zespół Szkół Ogólnokształcących nr 2,school,53.42202941503689,14.54242717275619
,school,53.43991590040777,14.566012639921349
Zespół Szkół nr 2 im. Władysława Orkana,school,53.397782433965766,14.670039247646594
Zespół Szkół Sportowych im. Sportowców Ziemi Szczecińskiej,school,53.4277583453195,14.562399216327663
Zespół Szkół Ogólnokształcących nr 4,school,53.45277745698202,14.488739100522853
Zachodniopomorskie Centrum Edukacji Morskiej i Politechnicznej,school,53.462957841170194,14.579644715398182
Zespół Szkół nr 9 imienia komandora podporucznika Jana Grudzińskiego,school,53.49253852556495,14.607940415078245
Technikum Technologii Cyfrowych,school,53.449378903972274,14.536113154133448
6 Liceum Ogólnokształcące imienia Stefana Czarnieckiego,school,53.434569377513085,14.527530750081734
IV Liceum Ogólnokształcące imienia Bolesława Prusa,school,53.420836395944264,14.492869564906082
Szkoły Salezjańskie,school,53.420170220662335,14.502520683770658
,school,53.46185892580986,14.5779885882772
,school,53.43650884241987,14.534690112856298
Zespół Szkół Elektryczno-Elektronicznych im. prof. Maksymiliana Tytusa Hubera,school,53.44038925486492,14.561676150654401
II Liceum Ogólnokształcące im. Mieszka I,school,53.42923639586839,14.562168319765734
,school,53.460915480207625,14.527250061905555
Zespół Szkół Specjalnych nr 1,school,53.49661420335685,14.595174926451039
XVI Liceum Ogólnokształcące,school,53.41121468783324,14.529704767818508
Teren USK2 Pomorzany,school,53.405953670501574,14.530510349441633
IX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterów Monte Cassino,school,53.42686404419579,14.557058715241052
Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabosłyszących im. Juliana Tuwima,school,53.45733090224138,14.581555354463841
,school,53.46646809604754,14.590736298162449
,school,53.453364361389916,14.566558180805908
Collegium Salesianum,school,53.43320594302703,14.517776114052259
Zespół Szkół Ogólnokształcących Nr 9,school,53.428481279915964,14.53992639115339
Zespół Szkół Samochodowych,school,53.45231989535763,14.503573197540154
,school,53.45239431187551,14.530344930100634
Zachodniopomorskie Centrum Kształcenia Zawodowego i ustawicznego,school,53.45384365889468,14.53037739204562
Państwowe Liceum Sztuk Plastycznych im. Constantina Brancusiego,school,53.4253357818928,14.559749891557104
Zespół Szkół Centrum Kształcenia Rolniczego,school,53.379041605219165,14.617305476953081
Centrum Edukacji „Zdroje”,school,53.37767557945797,14.62183756435353
Katolickie Liceum Ogólnokształcące im. M.M. Kolbego,school,53.435829193779654,14.53732162545903
Prywatne Liceum Ogólnokształcące Leonardo SVS,school,53.44796408604189,14.517490258463964
,school,53.480940176191964,14.481132561710782
Zespół Szkół Budowlanych imienia Kazimierza Wielkiego,school,53.43729031691549,14.550103527469155
