name,amenity,latitude,longitude
Prywatna Szkoła Podstawowa Leonarda Piwoni,school,53.4317545,14.5289019
Szkoła Podstawowa dla Dorosłych nr 4 im. Komisji Edukacji Narodowej,school,53.4277364,14.5625705
Szkoła Podstawowa nr 33 im. Osadników Wojskowych i Pionierów Ziemi Szczecińskiej,school,53.4278433,14.5629677
Szkoła Podstawowa Nr 15,school,53.4282832,14.5402924
Szkoła Podstawowa nr 2 z Oddziałami Dwujęzycznymi,school,53.4525703,14.4878873
Publiczna Katolicka Szkoła Podstawowa im. św. Stanisława Kostki,school,53.4514841,14.4985938
Szkoła Podstawowa nr 42 im. Stefanii Sempołowskiej,school,53.4622346,14.5780028
"Szkoła Podstawowa ""Odkrywcy""",school,53.4332093,14.5175709
Sportowa Szkoła Podstawowa nr 2,school,53.3808392,14.6548779
Szkoła Podstawowa Towarzystwa Salezjańskiego im. św. Józefa,school,53.4209534,14.503031
"Niepubliczna Szkoła Podstawowa ""Dobry Start""",school,53.4367238,14.5408804
Niepubliczna Szkoła Podstawowa Specjalna Dobry Start,school,53.4262409,14.5625288
Niepubliczna Szkoła Podstawowa „Promyk”,school,53.43018,14.5603936
Szkoła Podstawowa Nr 46,school,53.436346,14.5345223
Szkoła Podstawowa Nr 6,school,53.4402292,14.5478844
Szkoła Podstawowa Specjalna nr 17,school,53.4479648,14.5041954
Szkoła Podstawowa nr 75 w Okręgowym Ośrodku Wychowawczym,school,53.4532508,14.4815141
Szkoła Podstawowa Specjalna nr 30,school,53.4569873,14.5812528
Szkoła Podstawowa Specjalna nr 31,school,53.4965387,14.594607
Szkoła Podstawowa SAIL International School,school,53.4559754,14.5286914
Szkoła Podstawowa nr 37 im. kapitana żeglugi wielkiej Antoniego Ledóchowskiego,school,53.375472489228365,14.653862201531565
Szkoła Podstawowa nr 61 im. Michała Kmiecika,school,53.42172654426965,14.548611733253479
Szkoła Podstawowa nr 59 im. Bolesława Krzywoustego,school,53.36980782835886,14.664485034107658
Szkoła Podstawowa nr 74 im. Stanisława Grońskiego,school,53.36379677610181,14.655259142300087
Szkoła Podstawowa nr 65 im. prof. Antoniego Bolesława Dobrowolskiego,school,53.381840449576636,14.637242913007123
Szkoła Podstawowa nr 54 im. Janusza Korczaka,school,53.434121152692015,14.54924902249986
Szkoła Podstawowa nr 21 z Oddziałami Integracyjnymi,school,53.43236905354887,14.510086159587676
Szkoła Podstawowa nr 51 im. prof. Stanisława Helsztyńskiego,school,53.42936907819201,14.507379329185563
Szkoła Podstawowa nr 71 im. Bogusława X i Anny Jagiellonki,school,53.403264721608785,14.68432663060213
Szkoła Podstawowa nr 55,school,53.40627417939116,14.522433044807602
Polsko-Amerykańska Prywatna Szkoła Podstawowa nr 1,school,53.43886992064895,14.530433488145901
Szkoła Podstawowa nr 1 im. Bolesława Chrobrego,school,53.43175089162366,14.53830255324445
Szkoła Podstawowa nr 44 im. Podporucznik Emilii Gierczak,school,53.51839239876536,14.608309161784929
Publiczna Szkoła Podstawowa Specjalna nr 67 im. Jana Brzechwy,school,53.43645821046996,14.546152322552791
Szkoła Podstawowa Nr 11 im. UNICEF-u,school,53.439810072335035,14.566491140781217
Szkoła Podstawowa Nr 11 im. UNICEF-u,school,53.438019034635474,14.571142924898044
Szkoła Podstawowa nr 28 im. Bolesława Czwójdzińskiego,school,53.34973536420598,14.743240801979614
Szkoła Podstawowa nr 39 im. Arkadego Fiedlera,school,53.42923352595917,14.737475194460078
Szkoła Podstawowa nr 13 im. Orląt Lwowskich,school,53.385451018365565,14.763849516700876
Szkoła Podstawowa nr 35 imienia Jana Pawła II,school,53.45010047066899,14.55544150740962
Szkoła Podstawowa nr 14 imienia Danuty Szyszkanin,school,53.46650820662642,14.591158158470517
Szkoła Podstawowa nr 51 im. prof. Stanisława Helsztyńskiego,school,53.42288050018244,14.517368889299084
Niepubliczna Szkoła Podstawowa LEGATO,school,53.37676494325649,14.664533965385358
Szkoła Podstawowa nr 45 z Oddziałami Integracyjnymi im. ks. Jana Twardowskiego,school,53.452858532453774,14.495090293273606
Szkoła Podstawowa Nr 7 im. Heleny Raszki,school,53.46632951569564,14.539750093591955
Szkoła Podstawowa nr 41 z Oddziałami Integracyjmymi im. Maksymiliana Golisza,school,53.44525880028167,14.5564692923443
Szkoła Podstawowa nr 8 imienia Młodych Europejczyków,school,53.42186196297372,14.48889273645713
Szkoła Podstawowa nr 12 im. Konstantego Ildefonsa Gałczyńskiego,school,53.364629925161175,14.59657644779208
Publiczna Szkoła Podstawowa Specjalna nr 25,school,53.37810210121955,14.626279339123334
Szkoła Podstawowa nr 16,school,53.411294618737955,14.50096342072018
Szkoła Podstawowa nr 68 im. 12 Pułku Ułanów Podolskich,school,53.455814072863795,14.536946323920136
Szkoła Podstawowa nr 23 im. Mariusza Zaruskiego,school,53.395488356618564,14.665995684666429
Szkoła Podstawowa nr 42 im. Stefanii Sempołowskiej,school,53.46346910497411,14.573461664956767
"Publiczna Szkoła Podstawowa ""Na Głębokiem""",school,53.48088992937824,14.481437861429479
Katolicka Szkoła Podstawowa im. Świętej Rodziny,school,53.39985321477195,14.527802564087008
Szkoła Podstawowa nr 20,school,53.39916196907246,14.5237637240926
Szkoła Podstawowa nr 56 imienia Kapitana Żeglugi Wielkiej Konstantego Maciejewicza,school,53.43651305722299,14.556773552071927
Społeczna Szkoła Podstawowa nr 1,school,53.44940887784093,14.567306318886814
Szkoła Podstawowa nr 63 z Oddziałami Integracyjnymi im. Związków Zawodowych Marynarzy i Portowców,school,53.42564526325792,14.558391721086833
Szkoła Podstawowa Nr 46,school,53.43662095436929,14.539089620521928
Szkoła Podstawowa nr 11 im. UNICEF,school,53.438205676856505,14.570718564584462
Szkoła Podstawowa nr 5 im. Henryka Sienkiewicza,school,53.42377569742604,14.539196746772284
Szkoła Podstawowa nr 10 im. Leonida Teligi,school,53.44508298647604,14.561065722184086
Szkoła Podstawowa nr 69 im. majora Henryka Sucharskiego,school,53.44881619352229,14.54314699762312
Katolicka Szkoła Podstawowa im. Jana Pawła II,school,53.35654667665267,14.591016596102202
Szkoła Podstawowa Nr 24 im. Jana Brzechwy,school,53.34656189446538,14.569328810194335
Pierwsza Szkoła Podstawowa Montessori BONA VENTURA w Szczecinie,school,53.454931343314485,14.532417021877489
Szkoła Podstawowa nr 48 im. Kawalerów Orderu Uśmiechu,school,53.43966894316148,14.49976881780334
Szkoła Podstawowa nr 3 im. Juliusza Słowackiego,school,53.44475878744649,14.513514129602399
Szkoła Podstawowa nr 53 im. Fryderyka Chopina,school,53.44768731040941,14.510291205857564
