name,shop,amenity,latitude,longitude
Żabka,convenience,,53.4324226,14.5539527
Netto,supermarket,,53.4255242,14.5520719
Żabka,convenience,,53.4317982,14.5474559
Auchan,supermarket,,53.4341416,14.5556785
Żabka,convenience,,53.367485,14.6541024
Auchan,supermarket,,53.3811588,14.6671929
Carrefour,supermarket,,53.4107323,14.5231485
Lewiatan,convenience,,53.3777018,14.6564742
Żabka,convenience,,53.431433,14.5452376
Żabka,convenience,,53.4537905,14.5419136
Carrefour,supermarket,,53.3860274,14.6617896
Żabka,convenience,,53.445569,14.5490349
Żabka,convenience,,53.4404751,14.5502668
Żabka,convenience,,53.4500001,14.5478548
Żabka,convenience,,53.4465338,14.5435055
MOL,convenience,fuel,53.4539312,14.5605949
Stokrotka,supermarket,,53.4553211,14.5226247
Żabka,convenience,,53.4386948,14.5455843
Żabka,convenience,,53.4410247,14.5131736
Żabka,convenience,,53.4331637,14.5321757
Biedronka,supermarket,,53.4292451,14.531444
Żabka,convenience,,53.4274911,14.5339709
Carrefour,supermarket,,53.426406,14.5288514
Żabka,convenience,,53.426206,14.5491593
Żabka,convenience,,53.4242579,14.5539343
Żabka,convenience,,53.4530527,14.5490941
Żabka,convenience,,53.4332061,14.5422462
Żabka,convenience,,53.432436,14.544102
Żabka,convenience,,53.4314536,14.5405856
Żabka,convenience,,53.3641842,14.5921287
Żabka,convenience,,53.4373499,14.5425356
Polonis,convenience,,53.3683928,14.657262
Żabka,convenience,,53.4669748,14.5356574
Biedronka,supermarket,,53.3834152,14.6325417
,convenience,,53.3692736,14.6686297
,convenience,,53.3811611,14.6616429
,convenience,,53.4653648,14.5484003
Stokrotka,supermarket,,53.4263964,14.5523897
Biedronka,supermarket,,53.4042137,14.4996127
,convenience,,53.3582284,14.5980172
Żabka,convenience,,53.3673418,14.5981173
Jagódka,convenience,,53.4365654,14.7486315
Żabka,convenience,,53.367955,14.6487672
,convenience,,53.3672762,14.6557071
Netto,supermarket,,53.3592506,14.7448653
Netto,supermarket,,53.3957897,14.6669453
,convenience,,53.3682694,14.6580779
,convenience,,53.363731,14.6596006
Netto,supermarket,,53.4269753,14.541794
Biedronka,supermarket,,53.3825228,14.6612597
Społem,supermarket,,53.4210002,14.5157823
Stokrotka,supermarket,,53.4283914,14.5013773
Społem,convenience,,53.4245169,14.5514508
Biedronka,supermarket,,53.4567725,14.5695767
Żabka,convenience,,53.4251993,14.5390502
Groszek,convenience,,53.3745117,14.6632175
Żabka,convenience,,53.4289452,14.5507083
Delikatesy Społem,supermarket,,53.4336689,14.5535467
Kubuś,convenience,,53.395215,14.671212
,convenience,,53.3415698,14.7789886
Żabka,convenience,,53.3519111,14.5744433
Żabka,convenience,,53.3832899,14.6375629
Turkus,supermarket,,53.3792081,14.6492741
Biedronka,supermarket,,53.4324025,14.5116931
Żabka,convenience,,53.4318289,14.5147054
abc,convenience,,53.432412,14.5173869
"Mini Market ""Słonecznik""",convenience,,53.3755559,14.650128
Biedronka,supermarket,,53.3756197,14.6568405
,convenience,,53.3780325,14.6559925
Społem,supermarket,,53.4316412,14.5409598
Netto,supermarket,,53.455402,14.4965765
Żabka,convenience,,53.4548961,14.5000137
Eko Spiżarnia,supermarket,,53.4311485,14.5428942
Żabka,convenience,,53.3785199,14.648572
Netto,supermarket,,53.3818208,14.6547831
Hala Piastowska,,marketplace,53.4436696,14.5496103
Netto,supermarket,,53.4435286,14.5536192
Stokrotka,supermarket,,53.4448555,14.5534315
MINI delikatesy,convenience,,53.3695742,14.6689502
Cup cake coffee,convenience,,53.4611513,14.5422061
Żabka,convenience,,53.4155765,14.4939253
