name,railway,latitude,longitude
Szczecin Drzetowo,halt,53.4495299,14.569757
Szczecin Port Centralny,station,53.4133077,14.5658023
Szczecin Pomorzany,halt,53.4139208,14.5299987
Szczecin Pogodno,halt,53.4375215,14.5231946
Szczecin Gocław,halt,53.4746469,14.6019877
Szczecin Podjuchy,station,53.3599161,14.5857672
Szczecin Główny,station,53.4182413,14.5494069
Szczecin Gumieńce,station,53.3980028,14.4976184
Szczecin Turzyn,halt,53.4291693,14.5283035
Szczecin Niebuszewo,halt,53.4485317,14.5543688
Szczecin Dąbie,station,53.3913468,14.6704623
Szczecin Łękno,halt,53.4462999,14.52187
Szczecin Zdroje,halt,53.3788244,14.636904
Szczecin Zdunowo,halt,53.3832805,14.7628376
Szczecin Łasztownia,halt,53.418227,14.5597737
Szczecin Trzebusz,halt,53.41175,14.713022
Szczecin Załom,halt,53.4294751,14.7440097
Szczecin Skolwin,halt,53.5166526,14.6147484
Szczecin Dunikowo,halt,53.3859096,14.7383363
Szczecin Żydowce,halt,53.3524764,14.5739079
Szczecin Cmentarz Centralny,halt,53.4220622,14.5272287
Szczecin Niemierzyn,halt,53.4510505,14.5319028
