name,highway,latitude,longitude
Kijewo,bus_stop,53.3770783,14.6900622
Osów,bus_stop,53.4801648,14.5179697
Osiedle Arkońskie,bus_stop,53.4593518,14.5316706
Police Ofiar Stutthofu nż,bus_stop,53.5329928,14.5759268
Komuny Paryskiej,bus_stop,53.453774,14.5654224
Komuny Paryskiej,bus_stop,53.4524834,14.56394
Wilcza Wiadukt,bus_stop,53.4463149,14.5653595
Wilcza Wiadukt,bus_stop,53.4460945,14.5649699
Ogrody „Przyjaźń” nż,bus_stop,53.4674591,14.5787491
Hoża,bus_stop,53.4637379,14.5773064
Hoża,bus_stop,53.46342,14.577454
Jana z Czarnolasu,bus_stop,53.4600253,14.573761
Jana z Czarnolasu,bus_stop,53.4586241,14.5719753
Pokoju,bus_stop,53.4756483,14.5898027
Pokoju,bus_stop,53.4763721,14.5887081
Bogumińska nż,bus_stop,53.472634,14.5848224
Bogumińska nż,bus_stop,53.4719464,14.5832731
Ogrody „Przyjaźń” nż,bus_stop,53.4682556,14.5793924
Zagórskiego,bus_stop,53.493643,14.5838931
Kolonistów,bus_stop,53.4881333,14.5854412
Kolonistów,bus_stop,53.4874796,14.5853802
Nehringa,bus_stop,53.4799327,14.5875282
Nehringa,bus_stop,53.4795318,14.5878498
Ogrody „Neptun” nż,bus_stop,53.4986238,14.5805856
Ogrody „Neptun” nż,bus_stop,53.4979682,14.5810641
Zagórskiego,bus_stop,53.4941226,14.5835372
Pyrzycka,bus_stop,53.3447402,14.7512084
Pyrzycka,bus_stop,53.3457646,14.7505591
Płonia Most,bus_stop,53.3619206,14.7481146
Przylesie Ośrodek nż,bus_stop,53.3648183,14.7478344
Drwali nż,bus_stop,53.3788767,14.7475012
Drwali nż,bus_stop,53.3789572,14.7480309
Lutyków,bus_stop,53.3824083,14.756479
Teatr Letni,bus_stop,53.446787,14.5295998
Jaworowa,bus_stop,53.4768953,14.485553
Jaworowa,bus_stop,53.477417,14.4852237
Cukrowa,bus_stop,53.3969882,14.4929225
Kwiatkowskiego,bus_stop,53.3950745,14.4909213
Ogrody „Górki Ustowskie”,bus_stop,53.3954559,14.5021798
Cukrowa Uniwersytet,bus_stop,53.4022906,14.4992406
Krakowska Uniwersytet,bus_stop,53.4053068,14.4955843
Reda,bus_stop,53.4041564,14.5027234
Zielona,bus_stop,53.4075145,14.4954039
Krakowska Uniwersytet,bus_stop,53.4048849,14.4972908
Reda,bus_stop,53.4045899,14.5016016
Poronińska,bus_stop,53.4124412,14.4959984
Krakowska – Rubież,bus_stop,53.4149308,14.4941804
Krakowska – Rubież,bus_stop,53.4146742,14.4946038
Zielona,bus_stop,53.4087085,14.4954647
Wrocławska,bus_stop,53.4193034,14.4883251
Wrocławska,bus_stop,53.4197798,14.4876436
Poronińska,bus_stop,53.4116289,14.4961681
Ku Słońcu,bus_stop,53.4207996,14.5002185
Ku Słońcu,bus_stop,53.4209957,14.4990601
Kwiatowa,bus_stop,53.4211434,14.4915145
Kwiatowa,bus_stop,53.4211977,14.4912785
Dworska,bus_stop,53.416613,14.4987567
Dworska,bus_stop,53.41693,14.4991006
Kleeberga,bus_stop,53.4421033,14.4925672
Łukasińskiego,bus_stop,53.4411297,14.4862603
Walentynowicz,bus_stop,53.4409837,14.4952335
Chłopickiego,bus_stop,53.438753,14.4991022
Łukasińskiego,bus_stop,53.4420609,14.4874631
Łukasińskiego,bus_stop,53.4412461,14.4860955
Czorsztyńska,bus_stop,53.4386694,14.5009714
Łukasińskiego,bus_stop,53.4409,14.4875857
Żyzna,bus_stop,53.4539789,14.4810413
Roweckiego,bus_stop,53.4367309,14.4966145
Osiedle Kaliny,bus_stop,53.432819,14.5047438
Taczaka,bus_stop,53.4360744,14.4916669
Żwirki i Wigury,bus_stop,53.4355945,14.5016024
Derdowskiego,bus_stop,53.4337943,14.5017349
Krzekowo Kościół,bus_stop,53.4499666,14.4841421
Kmieca,bus_stop,53.4293884,14.5003925
Derdowskiego,bus_stop,53.4327153,14.5027345
Krzekowo Kościół,bus_stop,53.4502429,14.4838758
Unii Lubelskiej Szpital,bus_stop,53.4508393,14.5049987
Taczaka,bus_stop,53.4350931,14.4919019
Zawadzkiego,bus_stop,53.4554046,14.4974012
Klonowica Zajezdnia,bus_stop,53.4495295,14.4963086
Wita Stwosza,bus_stop,53.4353634,14.4999395
Zawadzkiego,bus_stop,53.4561427,14.4977574
Wernyhory,bus_stop,53.4452647,14.4978349
Kmieca,bus_stop,53.428102,14.4995753
Zawadzkiego Kościół,bus_stop,53.4511244,14.5007259
Klonowica Zajezdnia,bus_stop,53.4491132,14.4966691
Ogrody im. Bema nż,bus_stop,53.4396617,14.4772909
Zaściankowa,bus_stop,53.4566364,14.461817
Wronia,bus_stop,53.4541573,14.4756364
Ogrody „Krzekowo” nż,bus_stop,53.4416966,14.4683259
Ogrody im. Bema nż,bus_stop,53.4396962,14.4746967
Zaściankowa,bus_stop,53.4564346,14.4625581
Ogrody „Krzekowo” nż,bus_stop,53.4416838,14.4687831
Zakłady Piekarnicze,bus_stop,53.4400049,14.4814969
Unii Lubelskiej,bus_stop,53.4512369,14.5122144
Unii Lubelskiej,bus_stop,53.4508846,14.5135265
Podleśna,bus_stop,53.4629485,14.525884
Podleśna,bus_stop,53.4618255,14.5279132
Unii Lubelskiej,bus_stop,53.4520192,14.5125534
Ogrody „Załomiak”,bus_stop,53.432494,14.7461018
Zakłady Drobiarskie,bus_stop,53.418233,14.7148624
Czekoladowa nż,bus_stop,53.3940793,14.7535363
Zakłady Drobiarskie,bus_stop,53.4182396,14.715035
Uczniowska,bus_stop,53.3580904,14.7445754
Bałtycka,bus_stop,53.3911976,14.765207
SKM Zdunowo (Bałtycka) nż,bus_stop,53.3836448,14.7652766
SKM Załom (Kablowa),bus_stop,53.4272667,14.7383907
Stary Szlak nż,bus_stop,53.3768106,14.7427978
Wielgowo Borsucza,bus_stop,53.3991321,14.7727661
SKM Trzebusz,bus_stop,53.4128862,14.7135462
Szosa Stargardzka nż,bus_stop,53.3629182,14.7398736
Przyszłości 15 nż,bus_stop,53.3537532,14.7448348
Wielgowo Borsucza,bus_stop,53.3991281,14.7726164
SKM Trzebusz,bus_stop,53.4125068,14.7120958
Płonia Most,bus_stop,53.3614423,14.7474144
Bryczkowskiego nż,bus_stop,53.3951274,14.7666127
Śmierdnica,bus_stop,53.3428049,14.7560361
Załom Parkowa,bus_stop,53.4269313,14.7170738
Topolowa Stadion nż,bus_stop,53.3420847,14.7613608
Zdunowo Szpital,bus_stop,53.3799332,14.7672966
Osiedle Kasztanowe,bus_stop,53.4357641,14.7450105
Przyszłości 15 nż,bus_stop,53.3542586,14.7445539
Bałtycka,bus_stop,53.3908572,14.7652885
Szosa Stargardzka nż,bus_stop,53.3628462,14.7390179
Osada Leśna nż,bus_stop,53.3937472,14.7461451
Kniewska,bus_stop,53.4162586,14.7162357
Jezierzyce,bus_stop,53.3424376,14.7781543
Osada Leśna nż,bus_stop,53.3937056,14.746632
SKM Zdunowo (Bałtycka) nż,bus_stop,53.3834754,14.765561
SKM Załom (Kablowa),bus_stop,53.4271883,14.738464
Uczniowska,bus_stop,53.359209,14.7442223
Bryczkowskiego nż,bus_stop,53.3936291,14.7655926
Śmierdnica,bus_stop,53.3426894,14.7560567
Zdunowo Szpital,bus_stop,53.3798873,14.7673231
Przylesie nż,bus_stop,53.3626283,14.7522964
Junaków,bus_stop,53.394049,14.709509
Fiołkowa nż,bus_stop,53.3974229,14.7697815
Wolińska,bus_stop,53.4105579,14.7046318
Topolowa nż,bus_stop,53.3433989,14.768869
Przylesie Ośrodek nż,bus_stop,53.3646016,14.7477867
Junaków,bus_stop,53.3944151,14.707958
Załom Parkowa,bus_stop,53.4275271,14.7197598
Czekoladowa nż,bus_stop,53.3941402,14.7533163
SKM Zdunowo (Żuka) nż,bus_stop,53.3824129,14.7652466
Załom Szkoła,bus_stop,53.4292774,14.7364277
Topolowa Stadion nż,bus_stop,53.3421525,14.7613258
SKM Zdunowo (Żuka) nż,bus_stop,53.3824927,14.7656297
Załom Szkoła,bus_stop,53.4289881,14.738349
Kniewska,bus_stop,53.4160325,14.7165927
Wiślana,bus_stop,53.3857517,14.7645237
Załom Kościół,bus_stop,53.4347075,14.729996
Bryczkowskiego nż,bus_stop,53.3948022,14.7648369
Wiślana,bus_stop,53.3858823,14.764617
Załom Kościół,bus_stop,53.4345805,14.7312778
Przyszłości 11,bus_stop,53.351392,14.7453125
Wolińska,bus_stop,53.4105582,14.7051242
SKM Zdunowo (Żuka) nż,bus_stop,53.3821637,14.7648754
Przylesie nż,bus_stop,53.3627447,14.752205
Dąbie Osiedle,bus_stop,53.4033081,14.6899078
Kijewo,bus_stop,53.3757213,14.6888576
Dąbie Osiedle,bus_stop,53.4033716,14.6898153
Kalenicka nż,bus_stop,53.3727658,14.6808599
SKM Dąbie (Stacyjna),bus_stop,53.3917358,14.6707007
Słupska,bus_stop,53.3970598,14.6921023
Kalenicka nż,bus_stop,53.3727759,14.6815558
Warmińska,bus_stop,53.4017007,14.6872822
Kijewo,bus_stop,53.3766,14.692055
Warmińska,bus_stop,53.4011,14.6865241
Olszynki Grochowskiej nż,bus_stop,53.3720527,14.6750369
Tczewska,bus_stop,53.3974199,14.6780495
Plac Słowiański,bus_stop,53.3952957,14.6721607
Struga,bus_stop,53.3823487,14.6812567
Plac Słowiański,bus_stop,53.3954223,14.6726899
Dąbie Osiedle,bus_stop,53.4039968,14.6918623
Słupska,bus_stop,53.3969532,14.6906742
Jugosłowiańska,bus_stop,53.3992412,14.6813149
Tczewska,bus_stop,53.3973851,14.6779037
Kijewo,bus_stop,53.3764097,14.6900607
Pomorska,bus_stop,53.3849166,14.6795959
SKM Dąbie (Stacyjna),bus_stop,53.3917839,14.6704053
Pomorska,bus_stop,53.3851972,14.6794672
Dąbie Osiedle,bus_stop,53.40301,14.6896488
Kijewo,bus_stop,53.3771634,14.6913766
Nowogardzka,bus_stop,53.3969867,14.6865685
Olszynki Grochowskiej nż,bus_stop,53.3718653,14.6747566
Nowogardzka,bus_stop,53.396963,14.6873463
Jelenia,bus_stop,53.3742602,14.6874427
Jugosłowiańska,bus_stop,53.3987752,14.680501
Zakłady Mięsne,bus_stop,53.3869034,14.6822427
Jelenia,bus_stop,53.3746576,14.6883206
Swojska,bus_stop,53.3658542,14.6644424
Sanatoryjna,bus_stop,53.3801682,14.6280633
Jasna,bus_stop,53.3820624,14.6522696
Centrum Żeglarskie,bus_stop,53.394996,14.6373761
Mączna,bus_stop,53.373662,14.6439948
Swojska,bus_stop,53.3659994,14.6652457
Osiedle Słoneczne,bus_stop,53.3736837,14.6603532
Emilii Gierczak,bus_stop,53.3969023,14.6656232
Walecznych,bus_stop,53.3741976,14.6451926
Gryfińska,bus_stop,53.3904755,14.6586417
Walecznych,bus_stop,53.3747546,14.6434874
Gwarna,bus_stop,53.3687548,14.667863
Rondo Ułanów Podolskich,bus_stop,53.3831682,14.6350093
Osiedle Bukowe,bus_stop,53.3675586,14.6535996
Gryfińska,bus_stop,53.3906022,14.6591534
Sanatoryjna,bus_stop,53.3795225,14.6271125
Jasna,bus_stop,53.3814671,14.6521275
Emilii Gierczak,bus_stop,53.3964266,14.6673059
Rondo Reagana,bus_stop,53.3705004,14.6584237
Mączna,bus_stop,53.373259,14.6444335
Chłopska,bus_stop,53.3655833,14.6617863
