name,amenity,leisure,tourism,latitude,longitude
Górka Kazurka,,,viewpoint,52.1366509,21.0443194
Atlantic,cinema,,,52.2315835,21.0125319
Muranów,cinema,,,52.2449411,20.9996291
Remont,nightclub,,,52.216736,21.0165767
Współczesny,theatre,,,52.2189944,21.0171498
Ateneum,theatre,,,52.2371963,21.032906
Studio Buffo,theatre,,,52.2280534,21.0265631
Teatr Kwadrat,theatre,,,52.2358793,21.0086898
Teatr Dramatyczny,theatre,,,52.2313293,21.0074971
Hybrydy,nightclub,,,52.2327432,21.0116281
"Teatr Muzyczny ""Roma""",theatre,,,52.2274112,21.0078118
,,adult_gaming_centre,,52.1718663,21.0188193
,,sports_centre,,52.2549119,21.0008289
,,,artwork,52.2171703,21.1773575
Klub Medyka,nightclub,,,52.2242426,21.000968
Impuls,,fitness_centre,,52.2713965,20.9498327
Luna,cinema,,,52.2187259,21.0191508
Muzeum Etnograficzne,,,museum,52.2381491,21.0121665
Syrena,theatre,,,52.2164477,21.0220793
TR Warszawa,theatre,,,52.2150311,21.0210451
Kopalnia,nightclub,,,52.2435332,21.0034635
Teatr Capitol,theatre,,,52.2411374,21.0029871
Pomnik Juliusza Słowackiego,,,artwork,52.2428484,21.002309
Żydowski Instytut Historyczny,,,museum,52.2443274,21.0027696
Muzeum Marii Skłodowskiej-Curie,,,museum,52.2515313,21.0085201
Muzeum Warszawy,,,museum,52.2499728,21.0113893
Muzeum Literatury,,,museum,52.2502252,21.0123863
Muzeum Teatralne,,,museum,52.2432594,21.009371
Teatr Sabat,theatre,,,52.2337872,21.0206517
Mauzoleum Walki i Męczeństwa,,,museum,52.2176184,21.0236508
Pomnik Geodezji Europejskiej,,,attraction,52.243967,21.0091784
Cinema City,cinema,,,52.1870541,21.0616152
,,,artwork,52.2496214,21.0043222
,,,artwork,52.2495875,21.0040754
Złota Kaczka,fountain,,attraction,52.236672,21.0240045
Multikino,cinema,,,52.3023121,21.0577228
,,,artwork,52.2340839,21.1090563
Muzeum Nurkowania,,,museum,52.2333872,20.98111
Kopiec Moczydłowski,,,viewpoint,52.2427444,20.955278
Gniazdo,community_centre,,,52.2257586,21.0186497
,,,artwork,52.2252532,21.070655
Bungee Jumping Mario,,sports_centre,,52.2347503,20.9540524
Pomnik Szczęśliwego Psa,,,artwork,52.2113265,20.9940324
Ośrodek Kultury Jelonki,community_centre,,,52.2279412,20.9123699
Muzeum Policji,,,museum,52.1840261,21.0054503
Galeria Promocyjna,,,gallery,52.2497777,21.0129897
Scena Letnia w Lapidarium,theatre,,,52.2502051,21.011213
Pomnik Małego Powstańca,,,attraction,52.2492766,21.0096187
Muzeum Cechu Rzemiosł Skórzanych,,,museum,52.2497656,21.0104493
Baj,theatre,,,52.2524956,21.0346245
Muzeum Farmacji,,,museum,52.2490905,21.0114523
Siłacz,,,artwork,52.2497348,21.0141328
Dzwon na Kanonii,,,artwork,52.2492665,21.0139665
Muzeum Rzemiosł Artystycznych i Precyzyjnych,,,museum,52.2484982,21.0107815
Instytut Słowacki,arts_centre,,,52.2507987,21.0115094
Dominikanskie Duszpasterstwo Akademickie Freta,community_centre,,,52.2521463,21.0098868
,,,artwork,52.2525563,21.0080646
,,,artwork,52.2526928,21.0086257
,,,artwork,52.24941,21.0045539
,fountain,,artwork,52.2500336,21.0052649
Agnieszka Osiecka,,,artwork,52.2331139,21.0546549
,,,viewpoint,52.257262,21.0241134
Fotoplastikon Warszawski,,,museum,52.2285899,21.0086432
Narodowe Muzeum Techniki,,,museum,52.2305729,21.0058739
Sala Kongresowa,theatre,,,52.2314997,21.0049699
Teatr Studio,theatre,,,52.2326368,21.0067376
Multikino,cinema,,,52.2293815,21.0018301
Muzeum Geologiczne,,,museum,52.2107922,20.9860198
Kocham Pragę,community_centre,,,52.2502863,21.0416471
Kino Kultura,cinema,,,52.2433382,21.014189
Teatr Lalka,theatre,,,52.232917,21.0065368
Aplauz Fitness Club,,fitness_centre,,52.2520975,20.9124988
Energy Fitness,,fitness_centre,,52.2447214,21.09302
Scena Przodownik,theatre,,,52.2041402,21.0193928
Gołąb,,,artwork,52.1624544,21.0259656
Cosmo Golem,,,artwork,52.2160009,21.0034736
Hulakula Rozrywkowe Centrum Miasta,,sports_centre,,52.2732681,21.0170546
Ruszt biblioteczny,,,artwork,52.2420725,21.0248068
,,,viewpoint,52.2425481,21.0263268
Brama Wjazdowa do pałacu w Wilanowie,,,attraction,52.1651066,21.0882945
Mi-2URN,,,attraction,52.181818,21.0665976
Mi-2T,,,attraction,52.1818486,21.0667759
Mi-2R,,,attraction,52.1818142,21.0666914
,,,attraction,52.1818094,21.066996
