name,leisure,landuse,natural,latitude,longitude,area_m2,score
Ogród Saski,park,,,52.24062336961527,21.008152140677417,414155.7046228138,414155.7046228138
Skwer Antoniego Słonimskiego,park,,,52.20551489690497,21.011755679030987,24793.03336228976,24793.03336228976
Park Szczęśliwicki,park,,,52.20542913947898,20.959416289085038,948086.3168078129,948086.3168078129
"Skwer Stanisława Broniewskiego ""Orszy""",park,,,52.20312861622894,21.022472245191842,12159.056897929391,12159.056897929391
Park Dreszera,park,,,52.19745879254927,21.021517715508512,74046.02962897746,74046.02962897746
Morskie Oko,park,,,52.20495516623207,21.027573221118896,466020.9592244254,466020.9592244254
Skwer Tarasa Szewczenki,park,,,52.21172064873639,21.023315236454426,10398.282773027257,10398.282773027257
"Skwer Grupy AK ""Granat""",park,,,52.189148449350924,21.023179919766942,48950.823435714025,48950.823435714025
Ogród Botaniczny,garden,,,52.21763206959624,21.02810159160314,87801.98356272563,70241.58685018051
Park Ujazdowski,park,,,52.222027008889235,21.02577325364129,136493.64927910542,136493.64927910542
Park Moczydło,park,,,52.24146244105007,20.952526807983645,561033.5343263182,561033.5343263182
Kamionkowskie Błonia Elekcyjne,park,,,52.24315212450989,21.064622473032202,571910.9523651424,571910.9523651424
,park,,,52.2126553423895,21.02750116907769,55671.347190355504,55671.347190355504
Dolina Szwajcarska,park,,,52.2223745647534,21.02224373929296,22239.483515899905,22239.483515899905
"Skwer Batalionu AK ""Ruczaj""",park,,,52.22310350577275,21.02048773626366,5357.036495823888,5357.036495823888
"Skwer Stefana Kisielewskiego ""Kisiela""",park,,,52.21896915896678,21.027032734969435,13044.27727477763,13044.27727477763
,park,,,52.21865680041836,21.034986975085666,179904.75753577036,179904.75753577036
Park Świętokrzyski,park,,,52.233908206566625,21.005408869376332,96189.36534675625,96189.36534675625
Park Wilanowski,park,,,52.16535543040051,21.089919293130222,587434.5259239238,587434.5259239238
"Skwer Kapitana Stanisława Skibniewskiego ""Cubryny""",park,,,52.24282938054576,21.027132206131267,34063.26942320668,34063.26942320668
Skwer Tadeusza Kahla,park,,,52.23863173360352,21.03288620789443,83801.52895781951,83801.52895781951
,park,,,52.25375558321419,20.93339433380388,59546.768724301844,59546.768724301844
Skwer gen. Jana Jura-Gorzechowskiego,park,,,52.24547991640562,20.987994096110725,35771.07172820889,35771.07172820889
Park im. Księcia Janusza,park,,,52.24921046348754,20.941205953148103,236298.87274478932,236298.87274478932
,park,,,52.25422444402299,20.93469238403719,15341.350788585618,15341.350788585618
,park,grass,,52.25272129124182,20.935140761740517,5448.0888370073935,5448.0888370073935
Skwer Sue Ryder,park,,,52.21775628149955,20.99173561015703,42334.529679000116,42334.529679000116
Ogród Krasińskich,park,,,52.248285303931986,21.002158368694662,209784.40412472183,209784.40412472183
,park,,,52.24906063782409,20.99194704559364,38911.894387179294,38911.894387179294
"Skwer Kompanii AK ""Żniwiarz""",park,,,52.27066784586053,20.9873041597996,20394.96320612338,20394.96320612338
,,grass,,52.219578269871455,21.011421815430523,3788.3263994540234,2651.8284796178164
,,,wood,52.25117760458194,20.931768975934503,429878.39498337556,300914.87648836285
Skwer Alojzego Pawełka,park,,,52.225204413941185,20.968358005488973,80223.23141927535,80223.23141927535
Park Kazimierzowski,park,,,52.24115491895674,21.02095048858608,116059.35649761496,116059.35649761496
Skwer Stanisława Jankowskiego „Agatona”,park,,,52.2430882059036,21.021699650396727,59532.762502273355,59532.762502273355
Ogród BUW (Dolny),park,,,52.24357290737037,21.024010135979736,40515.320781818715,40515.320781818715
,park,,,52.25657965484047,20.934888159830077,149936.8472447394,149936.8472447394
Park im. Edwarda Szymańskiego,park,,,52.233481828198954,20.951207352645525,553689.3636512368,553689.3636512368
Park Wielkopolski,park,,,52.21787483982221,20.99459450679508,78058.59315957036,78058.59315957036
"Park Pułkownika Jana Szypowskiego ""Leśnika""",park,,,52.24198598238411,21.111803881622247,133243.36490226837,133243.36490226837
Park przy Bażantarni,park,,,52.13660848414495,21.065597730332662,241263.14439557446,241263.14439557446
Park Józefa Polińskiego,park,,,52.248866731551175,21.09017537991595,125567.20119901461,125567.20119901461
Park na Książęcem,park,,,52.231365195586186,21.027898643849973,258006.18767626735,258006.18767626735
Sadek Natoliński,park,,,52.137763944538726,21.056077294281177,52003.94377908639,52003.94377908639
Lasek Brzozowy,park,,wood,52.14168139894391,21.058117433960156,62018.210486777774,62018.210486777774
,,grass,,52.204014066980164,21.001428259360996,3738.229142395056,2616.7603996765392
,,,grassland,52.199093832856605,20.99176949594441,58790.84618849137,41153.59233194395
Skwer Wasyla Stusa,park,,wood,52.211321580211234,21.008400184496452,26341.31933808938,26341.31933808938
,,grass,,52.22187410290949,21.00621293806834,1886.398381301624,1320.4788669111367
Królikarnia,park,,,52.189147292173324,21.026930522884708,106857.52136290359,106857.52136290359
Kępa Potocka,park,,,52.281171141982945,20.986852449092165,875804.1776369357,875804.1776369357
Dolinka Służewska,park,,,52.168352833170076,21.029113572332154,885299.5878688046,885299.5878688046
,park,,,52.21138366104751,20.98132064098314,5986.574323990444,5986.574323990444
Park Marii Skłodowskiej-Curie,park,,,52.2144225673364,20.98477387881499,53793.68215677612,53793.68215677612
Park Sielecki,park,,,52.199373289178,21.040693440254746,82270.84422681088,82270.84422681088
Park Kombatantów,park,,,52.207163415897455,20.91229179654241,128984.70021788128,128984.70021788128
Park Jana Pawła II,park,,,52.15642928391861,21.02852694121382,93684.72976005665,93684.72976005665
Skwer Księdza Jana Twardowskiego,park,,,52.24177620507879,21.016735393147556,22920.500271818026,22920.500271818026
Park Bródnowski,park,,,52.290635115934464,21.036957835718574,603826.2113301321,603826.2113301321
Park Obwodu Praga AK,park,,,52.246966764711914,21.07309782691014,83520.78987702006,83520.78987702006
,,forest,,52.212686073403745,21.13550979270875,300856.93895270384,240685.5511621631
,,forest,,52.21200629884352,21.140595575285097,318920.53496898175,255136.42797518542
,,forest,woodland,52.21661746869846,21.129433938115923,94948.12630926758,75958.50104741407
,,forest,wood,52.222644958016296,21.13415313042516,382652.65566251875,306122.124530015
,,forest,wood,52.22940779328247,21.130470204061876,907092.6955033918,725674.1564027135
Las Matki Mojej,,,wood,52.2331733888223,21.14543860949463,375305.80548977834,262714.0638428448
,,,wood,52.278224794313566,21.10105135483827,45823.95596055223,32076.769172386557
,,forest,,52.24614556072992,21.202949090757002,537025.9761845375,429620.78094763006
,,forest,,52.250828587094986,21.207721991087077,2528017.587698213,2022414.0701585703
,,,wood,52.20847587841695,21.059622649445064,6690.432902860433,4683.303032002303
,,,grassland,52.15371263306025,21.05077126938018,89234.10630498789,62463.87441349152
Plac Wielkiej Przygody,park,,,52.16009951601988,21.032736630334288,37436.101118094484,37436.101118094484
Park Romana Kozłowskiego,park,,,52.16443713397621,21.02301857370544,257163.70196214237,257163.70196214237
,,forest,,52.16603013811556,21.040518149064432,118347.23960562178,94677.79168449744
,park,,,52.17561738571867,21.052266463062715,94982.71107478294,94982.71107478294
,,forest,,52.205194444027434,21.154396773578043,47097.96025627897,37678.36820502318
,,forest,,52.207711439532844,21.156095769858034,351493.07075568853,281194.4566045508
Łazienki Królewskie,park,,,52.21332717863047,21.03370228867903,1902292.7130723875,1902292.7130723875
,,grass,,52.23792858324616,20.991665404956986,2556.6921571201137,1789.6845099840796
,park,,,52.2383916375435,20.99317573388799,2573.8535762718016,2573.8535762718016
,park,,,52.23974167006085,21.00321919557603,17120.31886948562,17120.31886948562
,,forest,,52.26406225226974,21.18012836860468,225728.94865106244,180583.15892084996
,,forest,,52.198444062158636,21.17154663397831,201065.04991550682,160852.03993240546
Ogrody Zamkowe,park,,,52.2484589723985,21.016156155703797,66016.60565138605,66016.60565138605
,park,,,52.224560331009904,21.026691032425724,6807.7694320633855,6807.7694320633855
,,,wood,52.290445505845724,20.94863927046137,32927.7710919662,23049.439764376337
Skwer Bohdana Wodiczko,park,,,52.2358897633588,21.023577601934615,34364.87897974928,34364.87897974928
,,,wood,52.24256749354799,21.040913138235204,100828.48532813488,70579.93972969441
,,,wood,52.263985105599204,21.01466910155697,38450.25032226734,26915.175225587136
Park przy Lesie Bielańskim,park,,,52.29194272085181,20.97153290282665,141369.0918433746,141369.0918433746
Skwer 1 Dywizji Pancernej WP,park,,,52.25407483706748,21.011167262533842,131109.81716314374,131109.81716314374
,park,,,52.24289745987226,21.10559719095201,7757.137824882788,7757.137824882788
Skwer Michała i Marii Radziwiłłów,park,,,52.25758359321979,21.059720380317792,16777.47196497319,16777.47196497319
Skwer Racheli Auerbach,park,,,52.244535883114004,20.985100524731752,21978.410394782393,21978.410394782393
Ogród Botaniczny PAN,garden,,,52.107364716780204,21.095817586304058,998958.5215975789,799166.8172780632
