name,amenity,latitude,longitude
XXXIV Liceum Ogólnokształcące im. Miguela de Cervantesa,school,52.2048871,21.040723
LX Liceum Ogólnokształcące im. Wojciecha Górskiego,school,52.283689,20.9328195
Wielokulturowe Liceum Humanistyczne,school,52.2522344,21.0356824
Prywatne Liceum Ogólnokształcące Sióstr Nazaretanek z Oddziałami Międzynarodowymi,school,52.2109737,21.0469266
CXXV Liceum Ogólnokształcące im. Waldemara Milewicza,school,52.2367612,20.9858686
Autorska Szkoła Muzyczna,school,52.1862342,21.0606364
CX Liceum Ogólnokształcące im. Roberta Schumana,school,52.1847658,21.0560595
Technikum Łączności,school,52.2290471,21.0668447
XCVI Liceum Ogólnokształcące,school,52.2293258,21.0679298
Branżowa Szkoła I Stopnia nr 55,school,52.2291738,21.0673698
Ogólnokształcąca Szkoła Baletowa im. Romana Turczynowicza,school,52.2439573,21.011834
Technikum nr 3 im. Ludwika Krzywickiego,school,52.2368223,20.9863928
Branżowa Szkoła I Stopnia Specjalna nr 67,school,52.2415707,20.9373671
Szkoła Policealna nr 48 dla dorosłych,school,52.2444595,20.9381256
Technikum Budowlane nr 22 dla dorosłych,school,52.2451167,20.9390524
Technikum Budowlane nr 5,school,52.2444224,20.9395652
LXXXIV Liceum Ogólnokształcące im. Bohaterów Narwiku,school,52.1876185,20.960182
Technikum nr 9 Lotnicze im. Bohaterów Narwiku,school,52.1873272,20.9599503
LVIII Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego,school,52.2246404,21.0342
Technikum Budownictwa i Architektury nr 1 im. Prof. Zdzisława Mączeńskiego,school,52.2246089,21.0336716
CXIV Liceum Ogólnokształcące im. Jana Kilińskiego,school,52.2612044,20.9879859
Technikum Mechaniczne nr 7 im. Jana Kilińskiego,school,52.2608891,20.9880859
Branżowa Szkoła Rzemiosł Artystycznych I Stopnia nr 65,school,52.2608548,20.9874231
"LXXIII Liceum Ogólnokształcące im. Zawiszaków Proporca ""Victoria""",school,52.2100034,20.9041342
British School Szkoła Języków Obcych,school,52.3177535,21.0502519
Technikum nr 23 im. Fryderyka Skarbka,school,52.2460713,20.9491377
XCII Liceum Ogólnokształcące z Oddziałami Integracyjnymi,school,52.2461033,20.9491362
Zasadnicza Szkoła Zawodowa nr 39,school,52.2460401,20.9491452
Academy of Language,school,52.2605484,20.9779573
LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta,school,52.2774585,20.9395737
Technikum Księgarskie im. Stefana Żeromskiego,school,52.2771544,20.9394866
Katolickie Liceum Ogólnokształcące,school,52.1587625,21.2016528
Liceum Ogólnokształcące Społeczne nr 17,school,52.2207441,21.0177668
Educhata,school,52.281311,20.9767899
21 Społeczne Liceum Ogólnokształcące im. Jerzego Grotowskiego,school,52.2411767,20.9954211
Społeczne Liceum Ogólnokształcące nr 3,school,52.2537175,21.0374359
Szkoła Języków Obcych Empik School,school,52.2744771,20.9377515
SKK Warszawa,school,52.24589,20.9931953
Niepubliczne Liceum Ogólnokształcące nr 61 im. Stefana Kisielewskiego,school,52.13698,21.0652506
CLXII Liceum Ogólnokształcące im. Szarych Szeregów,school,52.2968046,21.0301673
Europejska Akademia Estetyki Artystycznej,school,52.2874895,20.9765528
Liceum Ogólnokształcące Przymierza Rodzin im. Jana Pawła II,school,52.151649,21.0560304
Niepubliczne Liceum Ogólnokształcące im. Roberta Schumana,school,52.1330338,21.0613972
Ogólnokształcąca Szkoła Muzyczna I stopnia im. Ignacego Jana Paderewskiego,school,52.2468358,21.1356113
Technikum Ekonomiczne nr 5,school,52.2772809,20.9489177
Branżowa Szkoła I Stopnia nr 18,school,52.2773216,20.948478
Szkoła Baristów Colours of Coffee,school,52.1993977,20.9815245
Monnet International School,school,52.2030348,21.0353456
Liceum Ogólnokształcące Kreacji Gier Wideo przy WSF,school,52.2604884,20.9919064
Liceum Ogólnokształcące LifeSkills,school,52.2489552,21.0083376
Liceum Ogólnokształcące Niepubliczne nr 6,school,52.1724112,21.0322291
Liceum Ogólnokształcące Niepubliczne nr 40,school,52.1378227,21.0476395
International American School of Warsaw,school,52.131497,21.0759802
Sealart - Szkoła rysunku,school,52.280628,20.9248764
Branżowa Szkoła Samochodowa I stopnia nr 2,school,52.2140448,20.966674
Technikum nr 7,school,52.213796,20.9673344
Technikum Samochodowe nr 1 im. Romana Macieja Pijanowskiego,school,52.2141644,20.9662871
KIBERone,school,52.2598455,20.9724942
KIBERone,school,52.2017595,20.9569016
KIBERone,school,52.1891364,20.9056498
Technikum nr 25 im. Stanisława Staszica,school,52.2731531,20.9538738
Technikum Elektryczne nr 2 im. Synów Pułku,school,52.2607779,20.9924816
Branżowa Szkoła I Stopnia nr 61,school,52.2610954,20.9923732
Liceum Filmowe z Oddziałami Dwujęzycznymi przy WSF,school,52.2601729,20.9919828
CXLIX Liceum Ogólnokształcące dla Dorosłych,school,52.2598254,20.992807
"Technikum Elektroniczne nr 3 im. Żołnierzy Armii Krajowej ""Żywiciel""",school,52.2601429,20.9926985
Branżowa Szkoła Elektroniczna I Stopnia nr 2,school,52.2603017,20.9926443
LXXXV Liceum Ogólnokształcące Specjalne,school,52.2171077,21.1691362
CLXIII Liceum Ogólnokształcące im. Czesława Niemena,school,52.2174362,21.2411288
CXXIII Liceum Ogólnokształcące Specjalne,school,52.2052712,21.1918756
Zespół Szkół Specjalnych nr 78 im. Ewy Szelburg-Zarembiny,school,52.2055831,21.1918498
Szkoła Specjalna Przysposabiająca do Pracy nr 8,school,52.1649561,21.2053435
Szkoła Branżowa I Stopnia Specjalna TPD,school,52.213235,21.1918604
Szkoła Specjalna Przysposabiająca do Pracy TPD,school,52.2131251,21.191919
Specjalne Liceum Ogólnokształcące TPD,school,52.2133459,21.1917893
Zespół Szkół Elektronicznych i Licealnych,school,52.2604604,20.9925901
Zespół Szkół nr 28,school,52.2606192,20.9925359
Liceum Ogólnokształcące Towarzystwa Edukacyjnego Vizja,school,52.250673,20.9786607
XXVI Liceum Ogólnokształcące im. Juliana Tuwima,school,52.2178841,21.1693805
Chrześcijańskie Liceum Samuel,school,52.210296,21.1788994
"""Żagle"" Liceum Ogólnokształcące",school,52.2069245,21.1769435
Międzynarodowe Liceum Montessori,school,52.1345787,21.0194255
Nowatorskie Liceum Ogólnokształcące,school,52.1408913,21.0201328
"Liceum Ogólnokształcące Niepubliczne Nr 72 ""Ias""",school,52.1329183,21.0731731
Branżowa Szkoła I Stopnia nr 68,school,52.1530395,21.2046409
Wawerska Szkoła Realna,school,52.1631169,21.1986895
LI Liceum Ogólnokształcące,school,52.2654214,21.1667394
Niepubliczne Liceum Ogólnokształcące Zaoczne dla Dorosłych w Wesołej,school,52.2170185,21.2156728
"Liceum Ogólnokształcące Niepubliczne nr 27 ""Szkoła Rodzinna""",school,52.216985,21.2155914
CIV Liceum Ogólnokształcące dla Dorosłych,school,52.2480008,21.0555237
LXXXVII Liceum Ogólnokształcące im. gen. Leopolda Okulickiego,school,52.2363718,21.0588085
Technikum nr 27 im. prof. Józefa Zawadzkiego,school,52.2364873,21.0586891
Akademickie Liceum Ogólnokształcące,school,52.2289433,21.0682732
Szkoła Specjalna Przysposabiająca do Pracy nr 3,school,52.2488318,21.0485084
Branżowa Szkoła I Stopnia Specjalna nr 53,school,52.2487543,21.048353
