name,amenity,latitude,longitude
"Przedszkole nr 56 ""Wesołe Kubusie""",kindergarten,52.1743491,21.0689742
"Przedszkole Niepubliczne ""Chatka""",kindergarten,52.141621,21.0623061
"Dwujęzyczne Przedszkole Sportowe ""Mali Odkrywcy""",kindergarten,52.153194,21.0137555
Niepubliczne Przedszkole Sióstr Niepokalanek,kindergarten,52.1279985,21.075272
"Przedszkole nr 349 ""Barcelonka""",kindergarten,52.1760806,21.0554115
"Punkt Przedszkolny ""Ptasie Radio""",kindergarten,52.2539765,20.8900473
"Niepubliczne Przedszkole ""Inspiracja""",kindergarten,52.336328,20.9641045
Domek Przedszkolaka,kindergarten,52.1843407,20.9036946
Przedszkole z Oddziałami Integracyjnymi nr 345,kindergarten,52.2257699,20.9125041
"Niepubliczne Przedszkole Montessori ""Ciekawi Świata""",kindergarten,52.2373973,21.1149034
"Przedszkole Niepubliczne ""Raj Krasnali""",kindergarten,52.3303557,20.9419222
Przedszkole nr 249,kindergarten,52.2463001,21.0892323
Niepubliczne Przedszkole Językowe 4Kids,kindergarten,52.1943602,21.0235875
Muzyczne Przedszkole Montessori MocArt,kindergarten,52.1933736,21.0134029
Przedszkole nr 142,kindergarten,52.2014916,21.0172071
Przedszkole Sportowe Karate Kids,kindergarten,52.1654064,21.0718749
"Niepubliczne Przedszkole ""Kraina Uśmiechu""",kindergarten,52.3063359,20.9764094
Niepubliczny Punkt Przedszkolny Akademia Harmonika,kindergarten,52.3022597,21.0787722
"Przedszkole Niepubliczne ""Przedszkolaki""",kindergarten,52.3195882,20.9437518
Przedszkole Ciepełko,kindergarten,52.3210412,20.9442886
"Niepubliczne Przedszkole ""Zaczarowane Motylki""",kindergarten,52.2246858,20.9478165
Przedszkole nr 25,kindergarten,52.2141766,21.0189017
"Przedszkole nr 193 ""Mokotowskie Nutki""",kindergarten,52.1953725,21.009995
"Niepubliczne Przedszkole ""Szkrabki""",kindergarten,52.134219,21.0767094
Przedszkole Integracyjne nr 314,kindergarten,52.1946727,20.9682655
Przedszkole nr 406,kindergarten,52.2495033,20.9253358
Przedszkole nr 402,kindergarten,52.2506771,20.9270375
Terapeutyczny Punkt Przedszkolny Małe Kajtki,kindergarten,52.2359255,20.9671616
"Przedszkole nr 364 ""Pod Tęczą""",kindergarten,52.283717,20.9780591
Przedszkole Specjalne nr 393,kindergarten,52.1988251,21.0251453
Przedszkole nr 370 „Orderu Uśmiechu”,kindergarten,52.2262796,21.0975432
Przedszkole MikiLand,kindergarten,52.2049321,20.8936646
"Integracyjne Przedszkole ""Świat Dziecka""",kindergarten,52.2869355,20.9265414
"Niepubliczne Przedszkole ""Nasze Przedszkole""",kindergarten,52.1448733,21.055113
Międzynarodowe Niepubliczne Przedszkole Tequesta,kindergarten,52.2601134,20.9599413
"Przedszkole i Żłobek ""Ale Frajda""",kindergarten,52.2908597,21.0261491
Przedszkole nr 413,kindergarten,52.1847655,20.8683931
