name,amenity,latitude,longitude
Szkoła Podstawowa nr 112 Przymierza Rodzin im. Jana Pawła II,school,52.1515045,21.0557007
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 301 im. Janusza Korczaka,school,52.2258774,20.9131882
Szkoła Podstawowa nr 260 im. Jana Matejki,school,52.2048649,21.0399605
Prywatna Szkoła Podstawowa nr 6 Sióstr Niepokalanek im. Bł. M. Marceliny Darowskiej,school,52.1281635,21.075872
Szkoła Podstawowa nr 371 im. Sandro Pertiniego,school,52.1849713,21.0557102
Szkoła Podstawowa nr 2 Przymierza Rodzin im. Księdza Jana Twardowskiego,school,52.1994859,21.0197007
"Niepubliczna Szkoła Podstawowa ""Inspiracja""",school,52.3362566,20.9639921
Niepubliczna Szkoła Podstawowa „W Kontakcie”,school,52.235192,20.9721307
Szkoła Podstawowa Specjalna nr 155,school,52.2742302,20.9763212
Szkoła Podstawowa Niepubliczna nr 49,school,52.1724084,21.031695
Szkoła Podstawowa nr 370,school,52.2836689,20.9322197
Szkoła Podstawowa Specjalna nr 331,school,52.2419315,20.9371059
Szkoła Podstawowa nr 359,school,52.2100325,20.9039022
Szkoła Podstawowa Specjalna Nr 302 w Ośrodku Terapii Dziecka w Środowisku,school,52.1961443,21.0394438
Publiczna Szkoła Podstawowa Sióstr Zmartwychwstanek,school,52.2658654,20.976889
Szkoła Podstawowa nr 24 Społecznego Towarzystwa Oświatowego,school,52.2344615,20.9114594
Prywatna Szkoła Podstawowa nr 83,school,52.1577505,21.0411843
Społeczna Szkoła Podstawowa,school,52.2537796,21.0375829
Szkoła Podstawowa Kosmos,school,52.156188,21.0320717
Szkoła Podstawowa nr 9 STO,school,52.160569,21.0276357
Szkoła Podstawowa przy Społecznym Liceum Ogólnokształcącym nr 4 im. Batalionu AK „Parasol”,school,52.1509053,21.0411196
Niepubliczna Szkoła Podstawowa nr 47 im. Roberta Schumana,school,52.1326705,21.061566
Szkoła Podstawowa Specjalna nr 131,school,52.2594606,21.1324069
Szkoła Podstawowa nr 254 im. Gen Franciszka Żymirskiego,school,52.2468891,21.1359001
Szkoła Podstawowa Specjalna nr 346 w Szpitalu Bielańskim im. ks. Jerzego Popiełuszki w SPZOZ,school,52.287287,20.9504709
"""Wonderful Years School"" Prywatna Szkoła Podstawowa",school,52.2255044,21.0679836
Szkoła Podstawowa Sióstr Nazaretanek z Oddziałami Dwujęzycznymi,school,52.2108998,21.0467514
Szkoła Podstawowa nr 375,school,52.2274545,21.087391
Prywatna Szkoła Podstawowa nr 41 Edu Bene,school,52.2495948,20.9994516
Szkoła Podstawowa nr 316 im. Astrid Lindgren,school,52.2360351,20.901424
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 342 im. Jana Marcina Szancera,school,52.3310972,20.9438306
Szkoła Podstawowa nr 366 im. Jana Pawła II,school,52.3304579,20.9447264
Szkoła Podstawowa Specjalna nr 393,school,52.2167281,21.1691549
Szkoła Podstawowa nr 385 im. Marszałka Józefa Piłsudskiego,school,52.217455,21.2404025
Szkoła Podstawowa Specjalna nr 106,school,52.2053675,21.1918676
Szkoła Podstawowa Specjalna nr 179,school,52.1651375,21.2051176
Waldorfska Szkoła Podstawowa im. Augusta Cieszkowskiego,school,52.2178224,21.1688082
"""Żagle"" Szkoła Podstawowa",school,52.2068359,21.1769806
"Niepubliczna Szkoła Podstawowa ""W kontakcie""",school,52.2380862,20.9759247
Szkoła Podstawowa Heliantus,school,52.108805,21.0335736
Szkoła Podstawowa Montessori,school,52.1344838,21.0194546
Chrześcijańska Szkoła Podstawowa Daniel,school,52.1541002,21.0567705
Szkoła Podstawowa im. Samuela Bogumiła Lindego,school,52.1341393,21.0761055
Prywatna Szkoła Podstawowa Active School,school,52.1320295,21.0644905
Amerykańska Szkoła Podstawowa Niepubliczna Nr 44,school,52.1327976,21.0732516
Szkoła Podstawowa nr 235,school,52.152904,21.204674
"""Żagle"" Szkoła Podstawowa Stowarzyszenia Sternik",school,52.1694979,21.2170127
"Szkoła Podstawowa Niepubliczna nr 90 ""Szkoła Rodzinna""",school,52.2169832,21.2156728
Szkoła Podstawowa nr 224 dla Dorosłych,school,52.2479764,21.055998
Korczak. Szkoła Podstawowa Montessori,school,52.248898,21.0598829
Szkoła Podstawowa Specjalna nr 282,school,52.2346432,21.0625064
Szkoła Podstawowa Specjalna nr 348,school,52.2465112,21.093855
Szkoła Podstawowa Specjalna nr 5,school,52.2446201,21.0970728
Akademicka Szkoła Podstawowa Wyższej Szkoły Menedżerskiej w Warszawie,school,52.2574087,21.0569034
Szkoła Podstawowa Specjalna nr 6,school,52.2559303,21.0479842
Niepubliczna Szkoła Podstawowa EduArt im. Leonarda da Vinci,school,52.2467133,20.9675843
Szkoła Podstawowa Towarzystwa Edukacyjnego Vizja,school,52.2506633,20.9789006
Niepubliczna Szkoła Podstawowa Promitis,school,52.2598586,21.0459129
Niepubliczna Integracyjna Szkoła Podstawowa,school,52.2661767,21.0682602
Szkoła Podstawowa nr 360 im. Polskich Noblistek,school,52.1971835,20.8999141
Prywatna Szkoła Podstawowa nr 108,school,52.2909253,21.0791711
