name,shop,amenity,latitude,longitude
Auchan Warszawa Jubilerska,supermarket,,52.2354104,21.1188913
Carrefour Express,convenience,,52.2075043,21.0086308
E. Leclerc,supermarket,,52.1534708,21.0412809
Żabka,convenience,,52.1471715,21.0418487
Stan Umysłu,convenience,,52.1871809,21.0465864
Netto,supermarket,,52.2220922,21.0916229
Żabka,convenience,,52.239461,21.100124
Kwiryna,supermarket,,52.2466534,20.9854939
Żabka,convenience,,52.2263456,21.0035651
Biedronka,supermarket,,52.2448251,21.0960624
Biedronka,supermarket,,52.2473216,21.0567708
Żabka,convenience,,52.161661,21.0377241
Biedronka,supermarket,,52.2271892,20.9974293
Biedronka,supermarket,,52.1738517,21.199971
Biedronka,supermarket,,52.2500097,21.0423029
Żabka,convenience,,52.2271486,21.0014554
Carrefour,supermarket,,52.2133727,20.9515606
Żabka,convenience,,52.2401839,21.1147485
Meble Kuchenne,convenience,,52.2415738,21.1073483
Carrefour Express,convenience,,52.2330409,21.0545952
Carrefour Express,convenience,,52.1398122,21.0588405
Żabka,convenience,,52.2180936,20.9822534
Żabka,convenience,,52.246742,21.0638345
Inmedio Trendy,convenience,,52.3204033,21.0594447
Żabka,convenience,,52.320426,21.0597941
Max,convenience,,52.3181733,21.0589772
,convenience,,52.2437073,21.0939829
Delikatesy Aga,supermarket,,52.2082233,21.0214155
ABC Market,convenience,,52.1324783,21.0187629
Żabka,convenience,,52.2195859,21.0227069
,convenience,,52.1752848,21.0031351
Żabka,convenience,,52.2580868,21.0480759
Carrefour Express,convenience,,52.2913432,21.0517735
Warus,supermarket,,52.156238,21.052578
,convenience,,52.1816767,21.0551392
Żabka,convenience,,52.2477048,21.0495018
Carrefour Express,convenience,,52.2009592,21.0010213
Żabka,convenience,,52.2376801,20.9918835
Carrefour Market,supermarket,,52.2389317,20.9378533
Żabka,convenience,,52.2266315,21.0641808
Carrefour Express,supermarket,,52.2306723,21.0567524
Biedronka,supermarket,,52.2220578,20.9346101
Społem,supermarket,,52.2458489,21.0790035
Carrefour Express,convenience,,52.2496,21.0106814
Żabka,convenience,,52.245623,21.1045473
ML Delikatesy,convenience,,52.2493643,21.0109933
Żabka,convenience,,52.2411866,21.0897228
Sam Plus,convenience,,52.2533812,21.0069198
Społem,convenience,,52.2484225,21.0063218
"Sklep spożywczy ""Alpejski""",convenience,,52.2393738,21.0632173
Biedronka,supermarket,,52.2392354,21.0633017
Biedronka,supermarket,,52.2325974,21.0633777
Delikatesy Paula,convenience,,52.2366933,21.05178
Żabka,convenience,,52.2363264,21.06275
Select,convenience,,52.2331216,21.0551552
Carrefour Market,convenience,,52.188451,20.9009505
Delikatesy Jago,convenience,,52.2835758,20.9552473
Netto,supermarket,,52.3176151,20.9526451
Carrefour,supermarket,,52.2639678,20.9305127
Społem,convenience,,52.2075234,21.1914034
Mokpol,convenience,,52.1924476,21.0133913
Żabka,convenience,,52.270295,20.9808682
Biedronka,supermarket,,52.2485186,21.0840168
Merkury,supermarket,,52.270196,20.9824063
Top Market,supermarket,,52.2158147,20.9811291
Żabka,convenience,,52.1893185,21.0157818
,convenience,,52.2508664,21.1092803
Żabka,convenience,,52.2784485,20.9886338
Stokrotka,supermarket,,52.2528951,20.9131087
Żabka,convenience,,52.228283,21.0133265
,convenience,,52.2410225,21.1075218
Społem,supermarket,,52.2419252,20.9927681
Żabka,convenience,,52.2414589,21.1080161
Carrefour Express,convenience,,52.245447,21.0855245
Baltona,supermarket,,52.1718218,20.9711124
Żabka,convenience,,52.1925083,20.9878109
Delikatesy Organic,convenience,,52.1935179,20.9887416
Biedronka,supermarket,,52.201852,20.9816309
Żabka,convenience,,52.2438121,20.9620995
Borowik,supermarket,,52.2195556,21.163209
Carrefour,supermarket,,52.1799352,21.0049206
Żabka,convenience,,52.1552144,21.0511368
Carrefour Express,convenience,,52.2306412,21.0167817
DH Tarchomin,convenience,,52.3140363,20.956996
Żabka,convenience,,52.2543369,20.9184484
Top Market,supermarket,,52.2561196,20.920672
Żabka,convenience,,52.2513815,20.9244531
Carrefour Express,convenience,,52.1873387,21.01741
Mokpol,convenience,,52.1873899,21.0186675
Carrefour Express,convenience,,52.139725,21.0565149
U Agentki,convenience,,52.3233676,20.9461296
DH Tarchomin,supermarket,,52.3216395,20.9507864
Kaufland,supermarket,,52.2325141,21.0932807
Kalina Express,convenience,,52.2500397,21.0763977
Żabka,convenience,,52.1852569,21.0449231
Lidl,supermarket,,52.1972837,20.8819242
Orlen,convenience,,52.1927613,20.8594839
Odido,convenience,,52.1989253,20.8581512
,supermarket,,52.1952637,20.8624682
,supermarket,,52.1955465,20.8630691
Biedronka,supermarket,,52.2847747,20.9357681
Żabka,convenience,,52.2428458,20.9403972
Delikatesy Kameleon,convenience,,52.1759863,21.0638449
abc,convenience,,52.2495497,21.0380151
Spożywczy Groszek,convenience,,52.2492322,21.0376432
Żabka,convenience,,52.2491191,21.0388727
Lewiatan,convenience,,52.2822545,20.9306617
Stokrotka,supermarket,,52.2757172,20.9274517
Carrefour Market,supermarket,,52.2753685,20.9226838
Społem,supermarket,,52.2376586,21.0275773
Carrefour Express,convenience,,52.2612482,20.9914468
Delikatesy Mała Spiżarnia,convenience,,52.1358638,21.0491101
Carrefour Express,convenience,,52.2387948,21.0562228
Moje Auchan,supermarket,,52.2808195,20.9374645
U Justyny,convenience,,52.2188595,20.9964905
Carrefour,supermarket,,52.2581221,20.9857109
Bonus,convenience,,52.1818988,20.9777874
Mokpol,convenience,,52.1850328,21.0511923
Społem,convenience,,52.2468297,20.9884915
Auchan,supermarket,,52.156107,21.0334003
