name,railway,latitude,longitude
Warszawa Wschodnia,station,52.2515889,21.0523678
Ratusz-Arsenał,station,52.2449972,21.0011584
Marymont,station,52.2716615,20.9717196
Stare Bielany,station,52.2818172,20.9493596
Wawrzyszew,station,52.2863179,20.9395965
Młociny,station,52.2907599,20.9298695
Warszawa Włochy,halt,52.206084,20.9145689
Warszawa Gocławek,halt,52.2386653,21.1326399
Warszawa Jeziorki,halt,52.1103103,20.9931266
Warszawa Śródmieście WKD,station,52.2274779,20.9993834
Warszawa Wola Grzybowska,halt,52.2528227,21.2508564
Słodowiec,station,52.2768253,20.9602351
Warszawa Lotnisko Chopina,station,52.1696266,20.9753321
Warszawa Wesoła,halt,52.2540876,21.2240854
Warszawa Falenica,station,52.1620483,21.2106772
Warszawa Ursus Niedźwiadek,halt,52.1914638,20.8700172
Warszawa Śródmieście,halt,52.2293788,21.0075878
Warszawa Dawidy,halt,52.1285606,20.9911229
Warszawa Płudy,halt,52.3340318,20.9859058
Warszawa Choszczówka,halt,52.3577087,20.9723779
Warszawa Aleje Jerozolimskie,halt,52.2057559,20.9411445
Dworzec Wileński,station,52.2540622,21.0355034
Stadion Narodowy,station,52.2469808,21.0428426
Centrum Nauki Kopernik,station,52.2399148,21.0317878
Nowy Świat-Uniwersytet,station,52.236833,21.016788
Rondo ONZ,station,52.2331101,20.9982821
Rondo Daszyńskiego,station,52.2300827,20.9828946
Kabaty,station,52.1320765,21.0650711
Stokłosy,station,52.1560759,21.0347233
Natolin,station,52.1411007,21.0564351
Imielin,station,52.1493,21.0461062
Ursynów,station,52.1620456,21.0276283
Służew,station,52.1727624,21.0262866
Racławicka,station,52.1989416,21.0121943
Wierzbno,station,52.1899435,21.016599
Wilanowska,station,52.1818,21.0231369
Pole Mokotowskie,station,52.208529,21.0077851
Politechnika,station,52.2184572,21.0153582
Centrum,station,52.2311577,21.0100632
Warszawa Stadion,halt,52.2447987,21.0439637
Warszawa Zachodnia,station,52.2201572,20.9651719
Warszawa Ursus,halt,52.1964007,20.8852512
Warszawa Ochota,halt,52.2258253,20.9908403
Warszawa Reduta Ordona,halt,52.2143854,20.9478636
Warszawa Ursus Północny,halt,52.2057501,20.889622
Warszawa Rembertów,station,52.2571084,21.158478
Warszawa Olszynka Grochowska,halt,52.2498804,21.1064928
Warszawa Anin,halt,52.212993,21.1599414
Warszawa Międzylesie,halt,52.2039216,21.168978
Warszawa Radość,halt,52.1857228,21.1871497
Warszawa Miedzeszyn,halt,52.1726622,21.2002174
Warszawa Rakowiec,halt,52.1967848,20.9661819
Warszawa Żwirki i Wigury,halt,52.193416,20.9803082
Warszawa Służewiec,halt,52.1807488,20.9870352
Warszawa Okęcie,station,52.1657359,20.9873566
Warszawa Gdańska,station,52.2590955,20.9923588
Dworzec Gdański,station,52.2578685,20.9943315
Warszawa Wola,halt,52.2297953,20.957835
Warszawa Młynów,halt,52.2391381,20.9584665
Warszawa ZOO,halt,52.2635233,21.0178245
Warszawa Praga,station,52.2775107,21.0223526
Warszawa Toruńska,halt,52.2941826,21.0130377
Warszawa Żerań,halt,52.3142173,20.9988691
Warszawa Zacisze-Wilno,halt,52.2779433,21.0802097
Warszawa Wawer,station,52.2233538,21.1496097
Warszawa Ochota WKD,halt,52.2254065,20.9895212
Warszawa Zachodnia WKD,halt,52.2194559,20.9655716
Warszawa Raków,halt,52.1944814,20.9358485
Warszawa Salomea,halt,52.1864599,20.9243847
Plac Wilsona,station,52.2692519,20.9843885
Warszawa Mokry Ług,halt,52.2772783,21.1704615
Warszawa Powiśle,halt,52.2337064,21.0281295
Płocka,station,52.2324546,20.9663854
Trocka,station,52.2751021,21.0550586
Świętokrzyska,station,52.2350954,21.0078988
Księcia Janusza,station,52.2391822,20.9443771
Młynów,station,52.2376798,20.9601093
Warszawa Koło,halt,52.2462235,20.9590147
Szwedzka,station,52.2634709,21.0455232
Targówek Mieszkaniowy,station,52.2692518,21.0513658
Warszawa Powązki,halt,52.2560783,20.9723781
Bemowo,station,52.2391847,20.915319
Ulrychów,station,52.240322,20.9300041
Warszawa Główna,station,52.2250393,20.9850425
Warszawa Aleje Jerozolimskie WKD,halt,52.2053112,20.9422822
Warszawa Targówek,halt,52.2642483,21.0517396
Warszawa Centralna,station,52.2288207,21.00316
Bródno,station,52.293585,21.0289387
Kondratowicza,station,52.2920848,21.0486889
Zacisze,station,52.2837496,21.062148
Warszawa Zachodnia peron 9,halt,52.2220348,20.961427
Warszawa Wileńska,station,52.2558006,21.0385505
Warszawa Grochów,halt,52.2555011,21.0842391
