name,highway,latitude,longitude
PKP Ursus 15,bus_stop,52.194507,20.8830159
Ursynów Północny 06,bus_stop,52.1619841,21.0369755
Rozbrat 06,bus_stop,52.2219488,21.036804
Marysin 03,bus_stop,52.2404454,21.1560007
Magiera 01,bus_stop,52.2712729,20.9502563
Metro Kabaty 03,bus_stop,52.1311301,21.0673388
Bełdan 03,bus_stop,52.1735574,21.0118249
Parowcowa 01,bus_stop,52.2118633,20.9135842
Wałowicka 01,bus_stop,52.2087419,20.9138192
PKP Włochy 01,bus_stop,52.2053783,20.9156136
Ryżowa 03,bus_stop,52.1995236,20.9147912
Łopuszańska 03,bus_stop,52.1954302,20.9295817
Przedpole 01,bus_stop,52.1927523,20.9444896
Radarowa 01,bus_stop,52.1880598,20.9640989
Astronautów 01,bus_stop,52.1845203,20.974916
PKP Służewiec 02,bus_stop,52.1817214,20.9870333
Radarowa 02,bus_stop,52.1887647,20.9632057
Orzechowa 02,bus_stop,52.1921277,20.9494116
Przedpole 02,bus_stop,52.1934413,20.9423046
Popularna 04,bus_stop,52.2017068,20.934884
Mikołajska 02,bus_stop,52.2030072,20.9285593
Parowcowa 02,bus_stop,52.2122524,20.9139569
Wiatraczna 10,bus_stop,52.2433055,21.0846652
Wiatraczna 09,bus_stop,52.2434855,21.0840677
Wspólna Droga 01,bus_stop,52.2441219,21.0942982
Wspólna Droga 02,bus_stop,52.2434635,21.095996
Kinowa 06,bus_stop,52.2417324,21.0717342
Uniwersytet 01,bus_stop,52.2400695,21.0165446
Uniwersytet 02,bus_stop,52.2391901,21.0174092
Terminal Autokarowy 02,bus_stop,52.1680622,20.9751147
Lotnisko Chopina-Odloty 01,bus_stop,52.1721446,20.9732429
Ośrodek Wojskowy 02,bus_stop,52.1751751,20.9795667
Ośrodek Wojskowy 01,bus_stop,52.1748696,20.9790969
Komitetu Obrony Robotników 01,bus_stop,52.1789617,20.9780445
Komitetu Obrony Robotników 02,bus_stop,52.1805269,20.9782899
Sasanki 02,bus_stop,52.1840522,20.9792888
Sasanki 04,bus_stop,52.1840832,20.9778556
Sasanki 03,bus_stop,52.1829537,20.97986
Novotel 01,bus_stop,52.1907341,20.9809032
Rakowiec 01,bus_stop,52.1979812,20.983356
Rakowiec 02,bus_stop,52.1988088,20.9843591
Rakowiec 03,bus_stop,52.1981526,20.9848002
Uniwersytet Medyczny 01,bus_stop,52.2047806,20.9857041
Uniwersytet Medyczny 02,bus_stop,52.2046709,20.9863533
Poleczki 03,bus_stop,52.152335,21.0191847
Poleczki 01,bus_stop,52.1519805,21.0172835
Mandarynki 01,bus_stop,52.1447218,21.0637021
Mandarynki 02,bus_stop,52.1458368,21.0631652
Tarniny 02,bus_stop,52.1721558,21.0114598
Orzycka 02,bus_stop,52.171082,21.0089248
Orzycka 01,bus_stop,52.171238,21.0085778
Gotarda 01,bus_stop,52.1712421,21.0056662
Aleja Lotników 01,bus_stop,52.1723337,21.0194521
Bełdan 04,bus_stop,52.1746879,21.0127626
Gotarda 02,bus_stop,52.1722113,21.004654
