name,power,man_made,latitude,longitude
,substation,,52.2487321,21.0384459
,substation,,52.2496869,21.0087628
,,water_works,52.242613,20.9490813
,,water_works,52.2494749,20.9543169
,substation,,52.1624073,21.021936
,substation,,52.1645795,21.023827
,substation,,52.1614559,21.0222091
,substation,,52.1615946,21.0258867
,substation,,52.1616605,21.0239205
,substation,,52.1631974,21.0284732
,substation,,52.1635856,21.0301433
,substation,,52.1651752,21.0282709
,substation,,52.1653251,21.0286781
,substation,,52.157562,21.025989
,substation,,52.1574261,21.0222668
,substation,,52.1581497,21.0270414
,substation,,52.1587853,21.0237641
,substation,,52.1590953,21.024866
,substation,,52.1608158,21.0272237
,substation,,52.1627213,21.0264031
,substation,,52.1635865,21.0260561
,substation,,52.1641087,21.0258762
,substation,,52.2365502,20.9954392
,substation,,52.2378972,20.9947568
,substation,,52.2533434,20.9925437
,substation,,52.2584829,21.0541187
,substation,,52.2589274,21.0528825
,,water_works,52.2416908,20.9470893
,,water_works,52.2367172,20.9656063
,,water_works,52.2375572,20.9686315
,substation,,52.1686046,21.0390959
,substation,,52.2523096,21.0307637
,substation,,52.1319855,21.062392
,substation,,52.1339167,21.0606941
,substation,,52.1335266,21.053521
,substation,,52.1411468,21.0446967
,substation,,52.1325536,21.0549232
,substation,,52.14656,21.0420886
,substation,,52.1676398,21.0563131
,substation,,52.1323659,21.067653
,substation,,52.1331436,21.0695296
,substation,,52.128883,21.0674563
,substation,,52.1330383,21.0650139
,substation,,52.1346852,21.0619544
,substation,,52.1988532,20.9791509
,substation,,52.1997167,20.9802298
,substation,,52.1995725,20.9817931
,substation,,52.2040331,20.9793973
,substation,,52.2040437,20.9791945
,substation,,52.1338068,21.0628775
,substation,,52.1293237,21.0585946
,substation,,52.1283488,21.0620886
,substation,,52.1299003,21.0619476
,substation,,52.1323359,21.0703232
,substation,,52.1322601,21.0662993
,substation,,52.1326147,21.0694415
,substation,,52.1358013,21.0601476
,substation,,52.1368761,21.0587443
,substation,,52.155513,21.034234
,substation,,52.1503764,21.0430618
,substation,,52.1498077,21.0438681
,substation,,52.1520624,21.0401913
,substation,,52.1367942,21.0598676
,substation,,52.1403256,21.0542436
,substation,,52.1384863,21.0491639
,substation,,52.1613954,21.0757812
,substation,,52.12773,21.1039516
,substation,,52.1289306,21.0925575
,substation,,52.1730783,21.0239207
,substation,,52.1281267,21.0643671
,substation,,52.130368,21.0650571
,substation,,52.1522598,21.0394959
,substation,,52.1285076,21.0765839
,substation,,52.1425928,21.0637116
,substation,,52.1536124,21.0572926
,substation,,52.1348945,21.0644375
,substation,,52.1529525,21.0545694
,substation,,52.2779682,20.9587201
,substation,,52.1354656,21.0674894
,substation,,52.1356036,21.0687464
,substation,,52.1607607,21.0429107
,substation,,52.2431956,21.0050569
,substation,,52.1286736,21.0569283
,substation,,52.1546623,21.035584
,substation,,52.1616651,21.0297082
,substation,,52.1405924,21.0497484
,substation,,52.1440891,21.0424652
,substation,,52.1347084,21.0479597
,substation,,52.1323738,21.0478203
,substation,,52.1514115,21.061104
,substation,,52.2642583,20.9316309
,substation,,52.242662,21.0210403
,substation,,52.2043034,20.9646654
,substation,,52.2027556,20.9657009
,substation,,52.1792814,21.049467
Stacja Elektroenergetyczna 110/15kV RPZ Centrum,substation,,52.2359632,21.0058372
,substation,,52.1335902,21.0546982
,substation,,52.1398952,21.0527583
,substation,,52.1999004,20.975356
,substation,,52.1064561,21.0994294
,substation,,52.2240025,20.9702382
,substation,,52.2142858,20.9723969
,substation,,52.2125991,20.9735324
,substation,,52.2112173,20.9860753
,substation,,52.1991816,20.9733535
,substation,,52.1999453,20.9692019
,substation,,52.1970207,20.9629099
,substation,,52.1970346,20.9628778
,substation,,52.1915514,20.9733321
,substation,,52.1945041,20.9716671
,substation,,52.1930379,20.9753803
,substation,,52.2044281,20.9665955
,substation,,52.2071935,20.9648338
,substation,,52.2025052,20.9670317
,substation,,52.1937454,20.8934108
,substation,,52.1860647,20.8967072
,substation,,52.220624,20.8991421
,substation,,52.2176874,20.900257
,substation,,52.2210566,20.9156783
,substation,,52.2244242,20.9015931
,substation,,52.224535,20.898855
,substation,,52.2260582,20.89766
,substation,,52.2267311,20.9027629
,substation,,52.2261081,20.9038709
,substation,,52.2240827,20.9142607
,substation,,52.2240162,20.9125457
,substation,,52.2247665,20.9131174
,substation,,52.2253188,20.914573
,substation,,52.2266488,20.9143503
,substation,,52.227508,20.9115355
,substation,,52.227473,20.9103297
,substation,,52.227053,20.9079025
,substation,,52.2277596,20.908743
,substation,,52.2272052,20.9139199
,substation,,52.2259251,20.9015198
,substation,,52.2272235,20.8994531
,substation,,52.2260491,20.8980463
,substation,,52.2256432,20.8999202
,substation,,52.225011,20.9017751
,substation,,52.221717,20.901107
,substation,,52.2216201,20.8985671
,substation,,52.1457021,21.061734
,substation,,52.1457903,21.0583716
,substation,,52.233724,20.9814158
ST Budimex-18,substation,,52.219154,20.9649137
,substation,,52.1475337,21.0906815
,substation,,52.1424445,21.0564563
,substation,,52.2448045,21.0148829
,substation,,52.2070547,20.9997543
,substation,,52.1810099,21.0134699
,substation,,52.2322825,20.9627029
,substation,,52.2012786,20.9078982
,substation,,52.193025,20.8985423
,substation,,52.1882128,20.899945
,substation,,52.1873594,20.8984736
ST Wolska 5,substation,,52.2243677,20.9458979
ST Wolska 7,substation,,52.2239602,20.9475754
ST Wolska 4,substation,,52.2243835,20.9488203
ST Wolska 2,substation,,52.2255875,20.9438488
ST Wolska 1,substation,,52.2247462,20.9443864
ST Wolska 9,substation,,52.2226979,20.9435294
ST Wolska 8,substation,,52.2236379,20.9444077
,substation,,52.2363581,20.9611204
,substation,,52.2346956,20.9607289
,substation,,52.2300751,20.9648377
,substation,,52.2300776,20.9647499
,substation,,52.2300414,20.9649315
,substation,,52.2365061,20.9368577
,substation,,52.2299926,20.9712092
,substation,,52.2294319,20.970695
,substation,,52.229845,20.9621
,substation,,52.2289577,20.9615714
,substation,,52.2317675,20.9552742
,substation,,52.2328138,20.9553645
,substation,,52.2244577,20.9176508
,substation,,52.2240638,20.9191831
,substation,,52.223099,20.9203703
,substation,,52.2244038,20.9212982
,substation,,52.2251331,20.9192445
,substation,,52.2254645,20.9183607
,substation,,52.2276791,20.91698
,substation,,52.2284834,20.9164772
,substation,,52.2281266,20.9189265
,substation,,52.2290319,20.9186591
,substation,,52.2375254,20.9394617
,substation,,52.2380744,20.9415797
,substation,,52.2385469,20.9474016
,substation,,52.2338643,20.9004508
,substation,,52.2336328,20.8984161
,substation,,52.234222,20.8990918
,substation,,52.2349608,20.8978625
,substation,,52.2347644,20.9008059
,substation,,52.2365271,20.8991037
,substation,,52.2367287,20.9007791
,substation,,52.2370401,20.9018412
