name,amenity,leisure,tourism,latitude,longitude
,,,viewpoint,51.1285499,17.005575
Państwo Krasnalscy,,,artwork,51.1107048,17.0228408
Barduś,,,artwork,51.1131401,17.0187879
Śpioch,,,artwork,51.1111876,17.0304809
Więziennik,,,artwork,51.1123983,17.0324688
Szermierz,,,artwork,51.1138605,17.0341236
Pocztowiec,,,artwork,51.1090343,17.0326921
TynQuś,,,artwork,51.1100282,17.0316626
Pierożnik,,,artwork,51.1110932,17.0337939
Obieżysmak,,,artwork,51.1107377,17.0325861
Życzliwek,,,artwork,51.1104523,17.0311991
Powitalnik,,,artwork,51.112188,17.028841
Grajek i Meloman,,,artwork,51.1086276,17.0350331
Dryndek,,,artwork,51.1100086,17.0333685
Papa Krasnal,,,artwork,51.1075437,17.0325128
W-Skers,,,artwork,51.1095762,17.0316685
Kupczyk,,,artwork,51.0950539,17.0276391
Krasnale z Gildii Kupieckiej,,,artwork,51.0986778,17.0284112
Fontanna Krasnali,,,artwork,51.1053927,17.0332149
Pręgierz,,,artwork,51.1094563,17.0326988
Kolekcjoner,,,artwork,51.109486,17.0331598
Kuźnik,,,artwork,51.1106144,17.0337038
Arcik Podróżnik,,,artwork,51.1120561,17.0299121
Rzeźnik,,,artwork,51.1121319,17.0303313
Dietrich Bonhoeffer,,,artwork,51.1113077,17.0305888
Wrocławianin,,,artwork,51.1012187,17.0268608
Klucznik,,,artwork,51.1095944,17.0342937
Święty Jan Nepomucen,,,attraction,51.1146228,17.0437212
Madonna z Dzieciątkiem,,,attraction,51.1141637,17.0456361
Chlapibrzuch i Moczypięta,,,artwork,51.0907405,17.0331743
Freudek,,,artwork,51.0947936,17.0372048
Luminator,,,artwork,51.088544,17.016553
Alpinki,,,artwork,51.1127897,16.9844633
Solidarek,,,artwork,51.1129752,17.0190276
Lunatyk,,,artwork,51.1114541,17.0259998
Temidek,,,artwork,51.1083231,17.0239235
Ekonomek,,,artwork,51.0904947,17.0261092
Telesfor,,,artwork,51.0725866,17.0069928
,,,viewpoint,51.0748137,17.0116244
,,,viewpoint,51.0868736,17.0929442
Wykształciuch,,,artwork,51.1073165,17.0604602
Klaunuś,,,artwork,51.0748342,17.027167
Parasolniki,,,artwork,51.1113683,17.0623616
Galeria M,,,gallery,51.104746,17.0313299
Helios,cinema,,,51.118709,16.9874595
Miraż,,bowling_alley,,51.1183089,17.0006879
Teatr Muzyczny Capitol,theatre,,,51.1008129,17.030342
Wrocławianka,,,artwork,51.1078293,17.0406395
Mikołaj Ziółko,,,artwork,51.111542,17.027794
Popowice,,,artwork,51.1258595,17.0008768
Żyrafa,,,attraction,51.1052072,17.0754498
Struś,,,attraction,51.1050185,17.075997
Zebra,,,attraction,51.1047863,17.0765214
Lew angolski,,,attraction,51.1046625,17.077168
Dzieciniec,,,attraction,51.1050109,17.0739946
,,,artwork,51.0992894,17.0476918
Dolnośląskie Centrum Filmowe,cinema,,,51.1017174,17.030301
Wrocławski Teatr Lalek,theatre,,,51.105053,17.033054
