name,amenity,latitude,longitude
Przedszkole nr 64,kindergarten,51.1376214,16.9554336
Przedszkole nr 16,kindergarten,51.0744476,16.9890481
Przedszkole nr 131,kindergarten,51.0786288,16.9658739
Przedszkole Bajkowe Nutki,kindergarten,51.1118866,16.991097
Przedszkole nr 8,kindergarten,51.1543536,16.9285052
Przedszkole nr 7,kindergarten,51.1424753,16.9904041
Przedszkole nr 70,kindergarten,51.1469343,17.073484
Przedszkole Wysepka,kindergarten,51.1348416,17.0668241
Przedszkole nr 35 - Filia Komuny Paryskiej,kindergarten,51.1023337,17.0462735
Przedszkole nr 63,kindergarten,51.1246314,16.9728529
Przedszkole nr 113,kindergarten,51.1286187,16.9723685
Przedszkole Zaczarowany Ołówek,kindergarten,51.0744291,17.0404551
Przedszkole nr 84,kindergarten,51.1230158,16.970429
Przedszkole nr 19,kindergarten,51.0793681,17.0100489
Przedszkole Familjadek,kindergarten,51.1043301,17.0236909
Przedszkole nr 32,kindergarten,51.0721937,17.0422719
Przedszkole Salezjańskie,kindergarten,51.118686,17.0458536
Przedszkole nr 20,kindergarten,51.1621355,16.9061632
Przedszkole International Playschool,kindergarten,51.0874338,17.0213804
"Przedszkole ""Zdrój""",kindergarten,51.10024,17.0993644
Przedszkole Promyk Słońca,kindergarten,51.0971427,17.031725
Przedszkole Lokomotywka,kindergarten,51.1211503,17.0481871
Przedszkole Nr 30 Bajlandia,kindergarten,51.1036603,17.0240576
Żlobek i Przedszkole Bajkowe Ludki,kindergarten,51.0479213,17.027722
Przedszkole Berek,kindergarten,51.0922193,17.0090251
Przedszkole Misia Yogiego,kindergarten,51.1759189,17.0015563
Przedszkole Zielona Baza,kindergarten,51.1778008,16.9987605
Przedszkole Duszek,kindergarten,51.0839323,17.0502485
Przedszkole Marco Polo,kindergarten,51.1607583,17.1268561
Przedszkole nr 21,kindergarten,51.1300813,17.0346423
Przedszkole Łobuziaki,kindergarten,51.156278,16.9349635
Przedszkole FSA,kindergarten,51.1311748,16.95541
Przedszkole i Żlobek Kids & Co.,kindergarten,51.0976007,17.0352991
Przedszkole Galileo,kindergarten,51.1355558,16.924605
Przedszkole Kręciołek,kindergarten,51.0593527,17.0842945
Przedszkole Kropelka,kindergarten,51.105017,17.0573349
Przedszkole Stumilowy Gaj,kindergarten,51.0728655,17.0402039
