name,amenity,latitude,longitude
Szkoła Podstawowa nr 10,school,51.1440024,17.1309299
Szkoła Podstawowa nr 38,school,51.1227769,16.9701214
Szkoła Podstawowa nr 19,school,51.1372791,16.9553121
Szkoła Podstawowa nr 15,school,51.0786101,16.9654079
"Chrześcijańska Szkoła Podstawowa ""Arka""",school,51.0910595,16.9990421
Szkoła Podstawowa nr 21,school,51.1426856,16.9900439
Szkoła Podstawowa nr 16,school,51.07423,16.98979
Szkoła Podstawowa nr 40,school,51.1468558,17.0728561
Szkoła Podstawowa nr 65,school,51.1234396,16.9794467
Dwujęzyczna Szkoła Podstawowa ATUT Fundacji Edukacji Międzynarodowej,school,51.0797215,16.9912062
Szkoła Podstawowa nr 47,school,51.0797264,17.0109952
Szkoła Podstawowa nr 45,school,51.1098269,17.0954327
Szkoła Podstawowa nr 32,school,51.0721921,17.0417921
Salezjańska Szkoła Podstawowa,school,51.1190049,17.0459252
Szkoła Podstawowa nr 22,school,51.1632743,16.9070806
Szkoła Podstawowa Unisport,school,51.0879708,17.0209467
Szkoła Podstawowa International Primary School,school,51.0877327,17.0215511
"Szkoła Podstawowa ""Zdrój""",school,51.1003667,17.0993969
"Szkoła Podstawowa ""Iskry""",school,51.1004934,17.0994293
Szkoła Podstawowa nr 67,school,51.1040474,17.0257627
Szkoła Podstawowa Specjalna nr 86,school,51.1348827,16.8838881
Szkoła Podstawowa nr 113,school,51.1154944,16.9517939
Szkoła Podstawowa Marco Polo,school,51.1610426,17.1270411
Szkoła Podstawowa nr 39,school,51.1660356,17.1053653
Szkoła Podstawowa nr 26,school,51.1642977,16.922443
Szkoła Podstawowa nr 91,school,51.1032388,17.1099062
Szkoła Podstawowa nr 17,school,51.0864708,17.0398449
Szkoła Podstawowa dla Dorosłych nr 1,school,51.1006319,17.0225442
Szkoła Podstawowa nr 58,school,51.1197833,17.0267732
Szkoła Podstawowa Integracyjna nr 103,school,51.1149874,16.9562451
